"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
330398,110091,1540,885,1307,493,308753,140386,1357,771,882,239,53,142
1133904,459931,5381,2968,4078,1170,800159,501884,3938,1999,3117,1692,77,142
440751,112640,1488,822,833,139,435221,145416,1414,730,825,167,55,142
130417,25297,22,49,57,243,114911,32892,52,58,39,0,43,142
3754608,4308225,66653,32769,43881,0,1474277,3446063,33802,16391,24304,2391,126,142
141544,14190,219,209,214,0,140869,18603,212,163,173,138,40,143
1572229,359728,4591,1918,2974,586,1475436,446676,4085,1719,2356,467,70,143
223409,42670,543,219,611,0,222482,55211,481,178,547,4,47,143
102864,37253,348,310,289,401,89176,46702,274,195,451,315,39,143
2706609,561521,11887,6900,8523,2439,1806573,508505,6671,4135,5205,1736,91,144
122198,35679,153,133,260,647,106265,43716,125,108,267,455,42,144
106791,256357,26,33,106,297,100150,344730,52,55,172,74,38,144
1151776,563875,5274,2839,4878,1051,853792,640245,3631,1797,3038,979,76,144
1994911,986051,12602,6237,9282,625,1474553,1016920,9224,4468,6392,1341,87,144
597957,186664,2872,1457,1816,651,579229,231508,2270,1112,1965,545,59,145
627362,217047,4880,2814,3389,563,451086,247385,3581,2019,3186,623,68,145
622401,400337,2688,1335,1568,429,475960,346725,1579,782,1231,496,73,145
471274,153605,1246,672,947,486,457339,201722,1076,494,645,365,56,145
458456,45674,1091,626,415,0,450829,60665,916,575,394,423,56,146
1122857,182733,3839,2045,3258,1038,1087235,227851,3225,1550,2505,1284,65,146
549767,214895,1144,665,1424,330,449766,230717,965,452,973,354,66,147
110288,51309,286,203,294,358,86501,64613,319,158,183,222,43,147
110633,22672,80,48,78,349,96622,30951,71,62,95,127,40,147
390767,83398,1059,458,1079,162,396419,110551,930,355,929,152,53,147
352271,164230,2149,1142,1050,84,326076,214261,1814,848,847,73,54,147
648113,162627,7295,3686,4883,1323,611224,199285,6427,3226,4111,828,60,147
506702,192935,1320,631,827,163,502799,255873,1170,408,706,275,56,148
141840,29053,399,155,225,589,135120,37814,357,201,331,358,41,148
198512,53532,680,378,368,222,190209,70488,622,281,420,105,46,148
377352,153051,2365,1034,1583,661,325449,179351,1881,839,1260,774,58,148
442022,28302,943,533,744,487,438855,36437,924,484,640,363,55,148
2317828,929359,10305,5384,6709,1420,1754213,936731,6832,3968,6399,1034,84,148
2038838,1657317,24526,10377,17103,740,1161980,1660938,14794,6239,9920,1915,92,148
1688990,241996,4730,2491,2923,210,1591587,285281,3941,2086,2411,514,71,148
291698,71494,632,376,395,464,282943,94429,576,296,393,296,50,148
738112,272902,2014,1057,1253,451,628580,332900,1631,854,1148,636,67,149
743816,223587,4693,2482,3495,1161,675093,256792,4122,1880,3556,1757,65,149
152246,24058,146,75,355,297,139112,31386,184,91,420,334,44,149
695768,67637,2227,1218,1370,575,691721,84526,1995,1128,1439,590,60,149
95240,18014,312,153,414,301,89636,26552,234,139,375,93,36,149
313647,66689,1138,637,1064,938,297412,85794,995,468,848,1190,52,150
149006,99463,204,210,146,373,129274,120041,181,148,215,255,46,150
1271895,516689,7980,3999,5058,1142,983448,563825,5785,2734,3818,651,77,150
113518,43330,380,170,107,246,91729,48290,260,166,31,184,46,151
94777,28462,253,119,263,186,92584,38524,306,107,251,136,36,151
385314,46425,1008,554,494,135,374715,59945,831,509,464,168,54,151
534273,81036,57,48,73,371,508373,100498,50,66,145,366,59,152
241080,141018,938,474,606,106,228665,187601,846,365,440,42,49,152
1897431,1279503,23142,11319,16733,3719,1036757,1017419,11371,5604,9684,2499,95,152
312842,236594,1181,692,1072,956,236502,244930,861,385,909,625,58,152
5096638,1946815,34797,17861,22523,2701,3525691,1747351,22701,11479,13287,2429,98,152
909063,102176,2662,1542,2354,222,831226,118154,2324,1257,2059,272,64,152
102002,22394,60,26,40,267,97321,29200,58,40,155,18,36,153
1277188,298749,3857,1862,2123,1336,1065277,354730,3112,1557,1583,1271,72,153
1014860,189275,2655,1432,1880,561,855707,218914,2100,1078,1395,581,69,153
2670664,806160,6847,4295,5452,1845,2190496,839326,4946,3008,4449,1493,85,153
195030,38037,0,83,1,249,189601,51020,21,38,29,16,46,153
1139612,342802,5914,3279,3307,0,934276,373212,4481,2347,2967,789,74,153
151833,96904,378,173,304,166,108764,114813,336,191,272,30,51,154
219621,26514,323,174,315,356,206077,33351,290,122,228,106,48,154
235288,89997,564,323,690,330,217082,117383,445,274,527,299,49,154
593726,94334,2451,1284,1587,730,535072,112579,1938,1030,1560,562,62,155
217493,59163,44,22,90,143,194215,70381,53,89,113,44,51,155
676510,189548,2497,1305,1830,297,621911,230642,2127,1158,1455,253,62,155
249968,123955,466,204,332,651,208142,134556,363,203,205,380,55,155
148440,42312,190,113,206,310,126405,53727,134,133,130,138,45,156
182699,20584,563,277,559,383,180685,27945,498,257,406,344,44,156
207270,36252,425,221,124,244,203672,47483,354,136,194,182,46,158
846832,187155,3290,1613,2597,336,816544,239597,2676,1296,2001,291,62,158
390770,49025,1557,791,990,401,333046,55419,1318,637,949,674,58,158
107330,162545,3,107,125,219,98593,204931,19,54,114,129,39,158
475349,1167540,13893,7072,9677,1784,236574,988378,8318,3886,5505,2489,82,158
734862,203811,1392,536,1091,292,722015,263721,1257,425,1145,381,61,158
215821,38489,39,17,0,423,182684,43980,44,56,0,236,52,159
761870,159979,837,429,945,717,669588,192756,682,329,902,685,65,160
312823,31140,585,401,484,340,300448,36763,522,315,825,209,52,160
361615,16740,84,61,290,390,364592,22382,56,46,369,91,53,161
134629,43982,230,155,184,356,115686,52482,189,195,199,257,44,161
1230886,368068,4039,1953,3294,826,1143084,455580,3283,1591,3362,846,68,161
2496832,1001430,15022,6946,8923,2511,1570846,960212,9345,4211,5820,2041,91,161
1613449,681304,10166,4674,6360,1696,1180449,735564,7645,3528,4591,1717,79,161
474771,111945,1400,654,791,457,452038,141610,1156,678,501,314,56,161
763321,132980,2516,1108,1132,195,725099,163651,2252,978,827,534,63,162
1636503,589638,5977,2465,4012,1115,1147909,651681,3507,1619,2621,667,86,162
226531,87987,927,453,588,132,219185,115572,821,317,489,67,48,163
510750,87594,1106,505,651,333,456127,104490,933,356,864,220,60,163
2252220,1134588,18710,10506,14434,3551,1624852,1163535,12279,6840,9457,2660,84,163
3604365,1372016,25273,12107,17220,1226,2835939,1413534,18813,8657,12442,1453,84,164
294786,66247,368,348,197,233,279949,86541,357,314,236,46,52,164
356568,112386,1076,574,765,745,348686,148055,870,458,681,380,53,164
200568,43181,580,231,756,423,195198,58421,566,257,796,145,46,164
1082724,398955,2172,1076,1252,143,813866,365165,1448,791,1419,373,83,164
128236,44738,656,296,662,227,123123,60208,719,266,621,351,40,164
348839,176629,693,386,571,154,294836,214088,562,305,879,48,57,164
1620497,374019,8774,4785,6005,416,1125032,332021,5034,2829,3724,523,89,166
120236,18238,300,156,176,397,116861,24095,235,183,134,230,39,166
213307,38958,26,56,48,290,181347,43241,63,48,69,56,52,166
113318,27696,8,33,320,291,87858,28483,22,44,207,72,43,166
785584,460983,3370,1816,2366,489,324808,238153,1218,697,875,585,111,166
382173,29499,729,453,445,426,361907,35955,692,350,362,246,55,166
840737,187433,2768,1514,2330,1166,801067,235645,2246,1187,2227,1291,63,167
523872,35874,1114,615,668,0,519839,45536,1071,535,616,234,57,167
392715,73374,825,388,604,242,393422,95933,684,363,589,358,53,167
501262,102654,1521,966,993,602,447930,120166,1201,736,980,638,60,167
127489,50440,250,161,232,433,102774,64415,224,137,207,220,44,168
2360471,3627064,13445,8983,11997,7027,1293305,3269377,8178,5309,7592,3916,95,168
318074,47264,0,0,8,234,317059,64538,27,0,56,15,51,169
129467,102775,305,155,370,393,104041,120314,285,115,295,101,47,169
229829,99059,799,231,522,702,212990,128728,701,259,485,651,49,169
91589,22448,357,188,135,0,83980,32522,258,218,206,0,36,169
87497,21557,163,69,76,347,81531,27823,143,80,144,96,35,169
7039651,6854308,44159,21487,28948,1359,3230624,5731031,22232,9556,14608,1816,131,170
542167,114144,840,473,511,1,525381,144806,668,254,566,107,58,170
97508,75306,262,200,240,496,83542,91704,238,177,271,444,41,170
132325,122467,292,67,32,113,113212,150602,323,160,95,95,44,170
508608,100016,34,34,275,232,459816,110157,49,139,172,20,63,170
552011,193387,1994,921,989,336,493101,224540,1745,624,770,350,62,171
1037464,450405,6078,2961,3956,866,953052,546770,5550,2326,3464,783,66,171
854492,999810,13560,5596,8678,705,675868,1184658,10018,4407,6029,1292,70,171
1123656,103609,4479,2349,3028,714,1013639,119168,3713,1835,2693,611,70,171
340470,95391,2501,1253,2291,812,301432,121853,2085,1096,1939,755,56,171
430307,118115,1608,716,1082,285,413949,149635,1486,534,1263,222,56,171
200149,130233,679,292,324,660,144502,129001,424,195,368,322,53,172
161386,20661,412,204,308,357,157331,27439,397,155,301,173,42,172
1108614,826209,4864,2337,3129,304,897856,951983,3910,1951,2829,366,71,172
747601,58692,1846,991,1179,0,745322,74972,1785,791,1106,298,60,172
277546,110958,979,502,670,17,254695,146183,728,488,614,156,51,173
293328,74975,719,367,282,19,291880,101472,575,250,256,137,51,173
413757,113426,802,433,645,310,407665,149513,709,467,403,247,55,174
174655,67283,49,2,0,247,168726,87273,44,21,41,50,44,174
478812,141875,892,477,398,414,400778,166047,716,398,446,327,62,174
179687,61288,1248,600,891,318,154468,66606,1222,355,952,622,49,174
205549,28325,23,0,0,312,173139,31576,57,35,10,70,53,175
201260,32662,627,262,391,352,190707,45217,471,286,433,232,46,175
563269,83199,2007,969,1075,139,550555,105809,1666,837,1073,221,58,175
1151778,851573,18325,8126,11855,534,904132,943086,13536,5529,9763,577,77,176
244361,26464,587,371,270,292,238029,34984,475,305,447,286,49,176
171732,63479,266,178,304,210,161346,84905,257,204,378,67,45,176
1634268,801581,6946,2921,4669,1331,1304344,907770,5559,2135,4254,1205,76,176
262263,54987,689,231,404,480,252416,74030,618,207,647,319,50,176
162258,52614,394,235,132,676,143170,67904,406,234,150,469,46,176
373623,79736,791,328,664,731,347796,97487,645,311,549,719,55,176
225555,49035,35,0,24,235,132924,33573,64,32,142,40,69,177
448138,280548,1573,913,1175,660,339028,290011,945,600,685,397,71,177
1763397,1093717,22175,12114,14027,2466,940728,900847,12656,7070,8369,1730,96,177
814262,253784,2351,1141,1233,535,753298,319498,1898,1075,1323,717,64,177
162438,22628,372,224,258,478,156738,29006,303,151,196,444,44,177
101472,47222,150,62,168,485,93606,62248,179,63,124,284,36,177
2338374,715858,11198,6439,6971,1636,1506317,565622,6304,3598,4459,2136,93,177
294948,50545,847,494,466,656,278118,61295,686,319,587,452,51,177
784409,268342,2190,1019,1330,663,706140,331013,1715,738,1108,414,65,177
305802,113555,529,419,398,401,237956,110057,294,181,289,241,63,177
629071,571707,14292,5860,7740,2362,401226,558458,9904,3837,5264,2508,74,178
334941,151013,843,579,494,0,211079,142336,443,375,359,222,78,178
459703,461854,5519,2722,4056,869,344969,553205,4370,2057,3507,801,64,178
96272,29185,169,19,327,344,86664,38211,152,76,253,268,37,179
188436,58047,33,72,161,477,186838,79419,30,52,228,250,44,179
152951,44770,421,105,278,0,130694,50774,378,137,280,131,46,179
188094,115510,551,188,196,316,133611,119350,374,130,262,319,59,179
844847,397637,930,545,899,531,785492,487214,649,472,891,227,64,179
494797,92915,926,563,765,527,413324,102214,879,387,809,307,63,180
673315,310307,1795,845,1440,908,606631,362658,1451,670,1207,557,62,180
1190616,407672,7012,3368,4815,1231,1133184,487066,5431,2712,4055,825,68,180
967022,329628,3906,1674,2931,983,846468,405694,3188,1310,2770,737,67,180
882860,238808,3786,1706,2323,483,698412,265786,2899,1237,2500,315,70,180
2936962,529953,12900,7665,8106,988,1666784,419790,5952,3643,4518,683,102,181
146070,23270,219,117,0,393,141487,31574,256,134,0,212,42,182
539905,129213,3161,1623,2479,659,494623,159067,2523,1362,2102,765,61,182
132096,44615,253,149,184,483,116351,56817,176,118,287,386,43,182
683596,74964,2393,1356,1512,973,666304,85048,2201,1072,1718,864,60,182
169407,49431,635,379,443,307,117330,52568,514,217,457,273,53,182
1386934,1078320,13461,6987,9674,1604,1181460,1316989,10634,5517,8627,1628,71,182
1662440,349283,6759,3702,4539,948,1286818,347862,4723,2610,3503,1290,79,183
181792,89612,364,220,253,393,160755,115260,311,234,282,216,47,183
951994,383110,1488,821,1419,522,599296,302658,787,507,1107,308,83,183
200614,27596,243,123,367,529,195302,36298,200,138,375,422,46,184
424343,55142,1224,705,1087,431,410884,69824,998,664,1035,425,55,184
506551,173201,3481,1573,1889,312,302723,165853,2183,893,1455,575,75,184
438855,71081,941,544,564,435,384705,81331,721,351,512,340,58,184
355115,15629,28,19,131,276,355481,21971,47,62,108,64,52,184
1161415,778934,26323,13359,16197,3972,585109,612330,16772,8312,10894,4434,92,184
270920,44252,540,411,484,398,256737,56380,494,392,639,298,50,185
2659923,695984,7179,4141,6421,919,2178616,772372,5092,2598,4622,560,83,185
2250226,2129419,23996,12099,15907,1865,1350681,1666138,13635,6607,9611,1562,108,185
1441640,561327,13377,6634,8624,1618,1350830,685729,11307,5291,7701,916,68,185
1115702,252730,5243,2671,3016,1020,941185,261885,4321,1971,2676,647,71,185
204388,37196,818,348,273,383,187701,45508,734,262,201,312,48,186
172540,30899,0,41,5,286,156096,37185,10,15,128,171,46,186
579473,273466,1776,1067,1198,205,500740,338090,1483,824,1021,504,61,186
241062,48444,866,593,839,527,225912,62085,692,629,651,480,49,186
301795,90050,1896,1015,1457,357,242373,107730,1309,862,1469,555,56,186
111531,42025,302,264,323,219,103963,56656,196,200,419,70,39,187
151641,24645,348,214,386,157,146909,32908,296,183,354,64,43,187
277465,31145,466,296,407,0,274858,40993,411,244,546,148,50,187
455194,140875,2402,1133,1343,455,403885,167920,2007,838,953,584,59,188
831561,360795,3394,2140,2825,874,666494,386798,2496,1465,2110,1148,71,188
398365,123711,891,590,534,300,327847,87541,494,328,299,243,64,188
241836,44891,452,215,340,214,211260,50596,351,204,338,143,51,188
276943,104724,317,188,199,422,238445,113684,284,137,310,181,54,188
134925,62697,2455,1244,1792,0,108898,80637,2447,1060,1366,259,45,189
159391,52521,833,437,410,199,140937,64815,835,367,279,165,45,189
132815,27784,239,144,307,284,118348,36144,270,154,440,107,42,190
318785,32410,654,388,656,161,313969,40618,463,333,579,97,51,190
477070,91001,1325,767,1053,728,434399,102095,1016,588,939,652,58,190
526249,138025,988,467,753,897,500653,179039,903,422,740,534,58,190
206540,37502,538,205,358,291,205652,50670,407,200,280,142,45,190
7102987,4898794,48524,24058,35758,0,5350112,5032358,33086,15866,27504,2101,98,191
1651853,961622,12181,5643,7193,1172,1358936,1120874,9316,4404,5142,1302,76,191
150105,124817,302,191,427,391,148796,169248,308,240,403,132,42,191
147181,43928,195,88,68,220,131388,57486,149,65,47,175,44,191
1354717,3670761,64442,29926,41598,1800,655283,3129301,34346,15861,24553,6021,107,191
1554094,513228,6157,3422,4584,454,1367260,590417,4812,2769,3896,406,73,191
187206,35663,600,301,353,491,183464,49562,582,259,363,478,45,192
113390,21477,230,93,141,250,105103,28945,175,124,201,43,39,192
400267,95775,1186,799,960,150,366339,119498,925,538,841,156,57,192
2547025,578401,17442,10127,11702,2267,1037548,465153,7352,4449,5190,1290,112,192
2377569,428419,5922,2940,3273,1465,1981146,434429,4410,2196,2648,1052,80,193
2877858,1450865,23619,12535,16335,2273,1515161,1168708,12145,6417,7989,2350,104,193
129414,6949,54,47,98,305,108310,8706,69,45,132,62,43,193
271692,115574,1054,634,700,688,194349,128371,775,421,539,596,59,194
1116717,153383,2853,1495,1893,867,1040313,183492,2590,1029,1518,1339,68,194
552794,86242,2801,1487,2101,733,528757,106932,2447,1203,1670,579,59,194
552904,69600,2528,1263,974,531,512374,81476,1973,1058,1066,604,60,194
136820,5357,37,48,185,298,96460,4474,41,50,233,35,51,195
1774222,920725,4712,2507,2818,988,1197880,910804,2825,1608,1895,1237,83,195
123344,24977,260,210,118,4,118946,33129,294,114,179,107,40,196
119922,91454,546,303,352,99,113248,121093,531,236,559,56,40,196
