"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
137572,58467,154,159,216,305,108642,70824,91,114,163,97,46,137
248266,159526,963,661,739,384,166855,168819,714,418,404,367,63,137
152560,34562,106,58,301,224,120587,34396,178,128,409,60,49,137
1121839,472860,1249,774,777,422,617746,344368,719,480,480,243,99,137
249638,156762,407,344,201,216,200308,174327,367,217,224,157,56,137
1639197,850713,2399,1276,1277,674,1312092,739689,1628,810,1084,550,90,137
149492,76533,260,164,275,433,115336,94330,217,166,264,179,48,138
995074,1539618,3542,1822,2286,1650,416269,830961,1324,774,1156,1333,142,138
394898,568331,1342,815,862,0,178555,440527,623,309,708,220,100,138
167277,77991,311,184,114,274,124645,87223,316,157,381,124,51,138
162758,18970,0,60,148,155,101205,14634,54,64,115,46,58,138
187293,85936,419,179,220,198,137869,87904,259,93,448,180,56,138
194671,105378,360,244,230,298,132236,86824,238,228,175,78,57,138
907552,1278552,4280,2220,3023,930,295093,560605,1433,657,1274,971,151,138
213063,202576,675,324,967,526,123929,147331,395,198,699,258,73,138
375108,558361,1638,690,1304,436,126507,316126,692,221,566,556,115,138
235287,65621,602,434,280,377,199303,72620,488,266,206,241,54,138
130638,67000,219,142,186,273,103647,82158,246,70,270,232,45,138
106422,96586,323,120,256,329,88153,106161,189,81,359,64,41,138
163378,82685,244,117,227,322,132077,89459,141,107,198,445,48,138
149810,41390,175,52,144,320,111482,44723,106,94,198,70,50,138
230418,249212,432,234,24,456,186703,265820,310,128,91,244,54,138
192658,121374,442,280,406,560,137775,120547,222,188,256,416,56,138
128332,91225,256,158,316,307,94893,96575,156,76,267,67,47,138
1004253,241848,2172,1088,1528,409,695244,213960,1372,596,773,634,97,138
113831,112661,259,128,311,183,91079,99709,171,97,274,166,41,138
184944,154617,447,265,471,321,127870,135464,291,193,371,40,62,139
223167,156088,439,241,193,537,170199,134388,261,146,254,317,57,139
390485,372466,874,469,782,331,213267,261867,367,244,605,429,90,139
112571,52504,169,175,131,334,91828,62518,184,93,199,123,43,139
108364,40225,101,183,33,0,95273,49974,90,95,70,64,40,139
176298,46070,227,199,218,501,146261,56409,285,168,303,314,48,139
630307,287943,993,437,1169,743,386051,229717,494,271,1168,559,82,139
163136,162024,516,296,233,204,98051,153225,326,186,258,205,58,139
119408,90559,97,190,325,287,91589,100411,119,99,268,76,45,139
