"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
273334,84132,712,208,333,200,192239,81671,663,134,319,134,61,139
145622,11238,146,163,170,355,133320,14352,122,140,105,88,43,139
545147,147583,747,352,828,77,464344,168200,527,301,548,122,62,139
93528,47179,331,165,487,646,83193,56907,453,139,366,614,39,140
117731,15615,110,138,0,146,113015,18780,140,69,0,24,40,140
324135,126504,561,260,158,261,217863,139454,469,157,369,164,63,140
180703,81457,303,134,377,334,152372,101699,285,99,325,168,48,140
227451,43018,233,190,393,228,181221,36203,208,107,272,61,50,140
104093,21928,124,127,149,183,91091,28064,84,140,240,99,40,140
113703,7713,186,59,184,380,100494,10721,181,60,180,132,41,140
191402,79755,218,60,119,574,109961,36571,135,60,133,422,50,141
238690,47012,279,71,143,161,217451,57528,279,93,114,30,51,141
88635,13116,66,55,173,182,83006,17722,71,68,255,0,35,141
783739,198545,901,500,510,388,581613,207891,576,288,478,153,71,141
140955,24475,24,55,0,238,117418,25962,22,145,0,94,46,142
203101,126285,226,115,23,300,169551,156532,186,64,46,254,50,142
105282,5245,81,97,67,277,98033,7730,96,89,140,130,37,142
347165,106198,472,280,467,444,260177,113006,396,228,438,355,62,142
116355,34955,254,70,227,218,102663,38268,224,126,476,33,41,142
105753,9437,152,107,55,276,99345,13535,179,85,72,62,38,143
169446,111829,910,408,482,385,117451,94903,480,279,534,206,63,143
247477,17118,50,33,117,304,229126,22346,81,53,228,297,50,143
158607,68912,192,140,187,489,124975,79622,232,115,168,225,49,143
206649,25635,228,110,147,331,125723,22952,159,71,113,114,71,143
135398,33481,291,155,49,386,111842,40832,189,116,182,98,44,143
102161,19826,53,102,141,392,80038,21618,77,135,111,170,40,143
138033,37003,183,246,372,31,112726,44610,161,168,456,12,46,143
129743,22142,112,127,160,348,115333,28558,201,85,195,150,42,143
109886,28496,149,100,176,414,98576,38652,173,51,167,118,40,143
629683,88653,1042,427,287,275,562011,90317,606,350,329,166,64,143
144857,8339,30,0,111,202,121141,11742,69,33,282,40,45,143
664019,55030,627,316,392,283,595120,61790,562,305,383,296,64,143
207430,22721,168,124,147,282,192008,30169,110,149,191,95,49,143
98980,21430,138,79,195,273,92161,27599,162,102,159,101,37,144
108842,16863,214,150,198,250,88995,19047,187,127,209,32,42,144
181855,59182,318,86,136,319,126595,47218,249,67,313,221,58,144
175584,15632,92,65,142,269,150330,16400,84,92,145,190,47,144
909634,230149,1244,612,373,293,741783,260244,893,401,282,294,71,144
530594,32274,577,315,439,369,494546,40729,487,225,421,94,59,144
104225,11176,164,100,230,207,99437,15762,189,183,159,49,39,144
366281,174011,813,370,474,325,282458,200870,686,260,358,132,60,144
1037711,537615,1906,869,848,293,587355,276418,757,327,773,205,122,144
152982,145852,506,362,179,150,107500,176147,335,301,128,142,50,144
134953,17767,104,143,81,304,109122,23063,92,122,111,132,45,145
213088,4836,51,53,27,302,184973,7004,72,58,82,186,50,145
246049,27276,321,248,89,274,230889,35870,388,187,160,110,50,145
217366,61946,436,333,381,126,130307,55078,197,188,370,47,62,145
259786,364432,35,64,10,304,207431,445026,75,137,64,120,57,145
113423,33152,229,82,140,242,97308,41513,131,95,346,27,42,145
107598,13992,265,195,68,281,89041,14725,251,174,47,79,41,145
239334,100824,239,132,326,104,185415,120134,176,117,635,20,54,145
757305,1800101,5212,2716,2744,0,323352,1164742,2515,1180,1937,417,102,146
481875,125454,673,348,278,327,360528,114866,384,234,327,275,73,146
104619,19331,221,115,268,278,88126,20755,169,120,292,122,39,146
401846,30118,340,278,179,114,333885,36665,230,190,347,18,59,146
106857,10956,150,66,181,251,80521,13304,167,75,258,170,43,146
108995,8360,83,38,118,327,103401,11282,103,64,82,157,38,146
89105,9680,113,113,84,219,83327,13947,95,80,94,0,35,146
103292,44792,254,189,281,318,82783,47851,248,110,192,88,47,146
118353,29678,498,265,513,235,80680,28342,353,153,323,144,49,146
619642,220255,2514,1274,1122,578,443247,160178,1464,641,1141,549,91,146
407418,203279,1213,621,543,533,347782,218257,695,418,602,425,66,146
144141,127256,323,283,130,151,106346,131549,249,265,176,60,54,146
238423,51648,69,119,38,177,188748,54158,90,84,141,24,58,146
950380,263675,1061,628,984,75,710162,291933,826,506,694,117,71,146
207131,11034,62,56,4,269,173018,12079,84,63,25,31,51,146
874371,1205874,4239,1843,2384,207,530467,1015889,2692,1072,1389,441,84,146
667921,160208,707,404,285,246,554065,189739,614,275,299,454,63,146
134167,61731,176,91,117,366,121567,75991,179,71,196,170,43,147
113255,72393,297,153,427,357,84382,83242,169,133,453,70,46,147
335638,34992,467,190,120,361,307022,41532,331,124,152,119,54,147
229519,73435,448,205,246,323,189789,92662,380,154,263,87,53,147
609107,349242,2852,1267,1311,152,297370,290265,1373,623,939,242,89,147
234887,104947,202,139,669,353,153792,117871,135,73,521,176,58,147
182505,38415,356,152,352,531,144961,48683,283,161,374,255,50,148
153008,30946,161,189,336,212,133739,39490,210,124,262,26,45,148
106892,33249,156,105,441,240,85697,40170,156,63,462,113,43,148
324831,34350,173,166,124,403,301483,41109,176,126,136,124,54,148
187215,62845,596,265,422,462,135716,74671,417,172,292,299,52,148
172335,12217,252,113,232,376,156284,15091,221,134,238,178,46,148
226728,48132,496,341,378,409,185942,60453,335,314,363,178,53,148
157221,67802,447,251,148,159,97297,66317,366,161,201,116,58,149
299674,90551,341,236,314,464,220155,99446,221,119,310,287,60,149
158203,22186,234,64,300,332,141405,27300,246,66,229,156,45,149
192366,28498,272,137,230,417,152041,29777,311,93,200,240,51,149
99799,57942,143,225,227,260,82958,69947,142,132,188,201,40,149
421470,67274,372,190,211,274,380920,81577,277,91,283,175,57,149
1730739,883083,5323,2766,2526,369,1116477,893788,3362,1787,1556,586,85,149
157967,32177,156,118,372,224,137663,41478,140,145,399,13,45,149
111053,12591,135,103,170,304,83817,14761,115,104,131,186,44,149
874116,448961,3610,1780,1580,464,529211,350697,1795,744,670,285,102,149
419582,42457,191,92,186,345,397858,51181,147,148,328,350,56,149
110966,12967,196,157,391,208,90788,15167,126,193,303,36,42,150
279877,73557,250,185,303,417,241807,89500,231,94,318,236,54,150
140214,56843,138,98,174,311,123044,69866,164,84,165,72,44,150
158674,48150,202,116,269,434,142499,56541,216,156,422,286,47,150
93758,11035,124,98,172,232,88986,17003,121,69,249,167,36,150
110983,39868,114,131,227,438,92471,44892,119,82,267,155,42,150
109606,25840,236,153,157,203,92880,34363,171,153,69,75,41,150
132485,17455,168,105,189,347,113559,19894,166,103,236,342,44,150
162403,326101,55,81,68,297,148565,418003,53,52,85,73,45,150
112587,13775,87,84,66,378,111053,18080,113,99,96,147,39,151
136082,34172,246,64,124,192,111505,42851,211,87,127,166,46,151
104948,19082,192,84,93,355,91049,20754,203,69,43,224,40,151
126974,19088,267,206,279,216,106484,22465,176,134,316,110,44,151
261756,52642,318,207,179,179,237189,65941,205,168,274,350,52,151
