"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
123302,4158,0,0,63,268,110864,7460,29,15,94,11,41,359
176876,7403,54,20,214,375,160379,8852,70,58,225,169,46,370
154517,18041,74,57,256,505,149659,24924,66,87,180,342,42,376
175897,35009,84,108,98,165,171580,46591,94,76,98,37,44,378
198499,62011,59,95,151,345,199704,82788,32,74,91,88,45,379
181915,30028,59,113,97,497,178794,39435,72,76,99,203,44,380
146078,16541,79,130,379,246,141250,21796,62,74,375,33,41,383
134186,26723,47,106,14,440,103796,27055,46,57,22,242,48,387
164283,48786,64,206,105,214,160900,64739,107,126,102,112,43,387
124029,17991,73,145,78,269,119807,22912,56,128,101,12,40,403
144875,10125,91,55,245,322,137259,14069,93,97,350,172,42,435
213713,36880,113,5,151,325,157240,34306,76,58,295,94,59,440
202606,10332,21,135,62,250,189681,13653,27,108,36,13,47,456
152568,19179,113,71,297,195,151097,26243,138,74,471,175,42,461
102096,3864,27,47,99,308,90727,5492,16,90,136,85,37,465
126197,52400,41,54,120,260,122321,74051,68,117,131,36,40,472
213089,98942,48,8,267,289,185139,126378,45,36,262,158,49,481
175784,10738,0,18,67,331,143348,13031,28,41,86,98,49,491
146307,22159,29,44,158,394,143517,30510,23,103,235,171,41,517
134859,21753,67,154,73,374,130740,29285,46,117,67,239,40,527
798207,31071,59,99,98,414,730636,39335,123,94,200,228,64,545
1125594,1164622,1204,937,1056,998,536130,778688,539,401,612,731,115,561
348150,9024,16,83,0,237,284576,10333,27,79,67,18,63,565
492950,20793,121,15,194,435,489704,27559,140,82,322,147,56,569
139324,26657,103,33,30,226,137124,36163,100,24,97,36,41,577
136987,21154,104,35,39,176,132910,28110,73,29,48,38,40,578
665569,41288,141,35,104,297,664516,53791,143,51,131,177,59,582
149169,94268,114,32,131,368,136703,127578,82,58,122,92,44,588
149685,34032,54,46,24,246,147945,49272,63,32,87,62,41,589
886210,45339,37,72,0,245,882150,60069,68,93,99,44,63,634
281887,185296,223,122,667,581,202031,221988,227,170,592,397,58,640
369771,14339,59,62,66,284,362178,17485,56,79,110,30,53,647
89523,8349,62,123,130,341,87776,10788,74,127,217,188,34,655
147827,21343,44,163,118,323,140922,29210,49,131,111,129,42,656
141446,60944,11,47,305,293,127213,79741,17,52,199,31,43,682
139841,6254,63,57,117,246,135415,9293,60,77,131,28,42,684
300852,400979,42,36,63,269,277363,529112,55,56,106,34,52,690
1502656,1068083,293,308,4057,390,1450846,1350247,318,207,3582,1277,67,691
417045,859321,92,72,374,395,417909,1105486,129,119,291,175,54,692
602767,843726,1616,1070,3099,1977,427978,960687,1077,643,3067,1651,69,696
460911,962335,156,128,93,221,190102,579961,70,104,76,216,107,697
1398121,63295,166,44,80,296,1315982,77360,164,66,161,108,69,700
241952,24866,11,41,127,428,233912,32274,52,27,134,244,49,717
722189,160838,840,632,3346,707,651759,195243,653,478,2863,1035,64,726
148755,16241,82,59,121,272,145669,22121,72,53,67,76,42,729
838751,101490,620,354,1062,886,815988,132048,625,304,960,368,62,743
160323,9150,38,56,1,433,155256,13942,61,104,21,251,44,745
243110,93567,13,2,112,271,177686,86803,52,31,125,81,62,749
205739,6961,84,70,43,246,196184,10706,84,49,125,46,47,757
159496,124296,52,67,172,337,156230,167065,43,70,123,129,43,761
136170,8376,89,38,104,334,130753,11249,83,61,92,127,41,762
149595,18784,128,55,196,464,144028,25036,98,68,216,270,42,774
121254,12838,56,55,167,415,115005,17683,79,62,282,360,39,793
