"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
141154,30767,246,111,279,340,122629,41956,220,115,218,224,44,15854
626983,1424874,2715,1236,1478,1254,240420,1052696,1180,464,880,634,115,15855
128675,20595,200,28,262,158,121446,24736,168,63,277,0,43,15855
262346,39682,326,105,229,173,226109,50815,274,175,297,65,52,15856
601768,132444,645,364,510,44,533708,159092,504,254,527,113,62,15856
1906872,703294,2999,1622,2628,1271,1129175,557169,1738,923,1631,774,106,15856
211987,36350,178,60,156,283,193465,46774,116,45,176,57,48,15856
601992,157220,42,13,0,238,450754,150915,71,55,42,8,74,15857
183690,21785,280,119,180,382,168518,27722,307,89,312,106,46,15858
106120,23055,158,141,54,311,100908,32316,220,79,41,226,38,15858
192195,212456,298,199,253,418,101337,146855,216,101,239,221,70,15860
2975014,872132,4044,1924,2987,1579,2028413,596751,1741,871,1491,1052,117,15861
105510,43921,232,58,79,183,92390,46839,158,94,68,1,38,15861
258900,41016,351,102,105,544,223697,50241,260,81,85,262,52,15862
631097,349277,636,511,879,94,296174,261529,387,242,527,168,102,15862
9084876,6722682,23296,11566,16197,1711,2913952,3275416,7659,3559,6881,1374,193,15862
613334,466748,2735,1107,1481,780,259921,252273,966,497,717,643,121,15862
484434,827598,0,152,1,115,137838,197002,20,129,141,65,141,15862
107265,8032,26,1,25,241,105183,10693,46,17,50,0,38,15863
408883,93299,550,403,519,3,342494,91010,351,172,492,67,57,15863
156951,81235,401,226,236,116,115400,75026,273,151,203,190,54,15864
4175114,2622762,8052,4260,6059,1470,2961578,1347568,2497,1354,2222,1425,161,15864
207158,169220,625,310,485,229,146251,172117,256,150,426,169,64,15864
290109,73520,398,268,373,294,258725,82748,262,154,264,122,56,15866
256314,145298,183,82,161,130,242118,190552,105,86,199,0,49,15866
186267,30014,208,206,78,318,166688,37624,228,103,85,57,47,15868
427180,130767,449,260,536,234,360505,163040,396,219,453,164,58,15868
196443,69541,341,112,338,294,169684,85487,187,137,258,93,49,15869
106826,22286,199,25,111,436,80677,15569,165,92,147,305,36,15869
1881834,1206726,3085,1302,2192,1162,693572,811195,1107,574,1129,884,154,15872
2896475,921805,3838,2082,2449,246,1958361,825035,2075,1163,1596,461,96,15872
326276,61577,227,150,230,277,297162,77975,227,119,234,123,53,15872
119341,16969,112,106,187,358,99061,20769,79,112,205,99,42,15873
135213,33607,159,16,212,338,118821,40316,114,59,240,139,43,15874
3796214,3589009,10280,5049,5404,331,2681455,3087834,5718,2590,2888,498,113,15874
125265,15935,17,57,96,310,86901,15956,29,34,168,26,49,15875
145363,13988,118,0,116,286,142114,17285,114,8,194,40,42,15875
92886,44928,120,93,158,281,82117,59577,114,139,203,51,37,15876
177679,197057,439,215,282,452,140648,215371,392,184,231,233,55,15877
148374,24306,92,106,110,307,129017,30112,103,95,281,167,45,15878
417392,300397,1405,761,756,683,258772,282940,925,544,675,592,78,15879
