"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
5972490,16777215,8977,4875,11260,1026,2929028,16252536,4150,2181,5648,2615,130,140
225058,47051,204,95,322,366,189789,54495,209,90,532,190,53,140
89896,74940,26,59,153,81,88294,104237,52,102,194,65,35,140
244335,45552,182,174,177,339,215679,56921,205,132,276,306,50,140
91039,13404,165,82,109,278,84264,17767,161,43,102,54,35,140
674229,77197,73,36,140,239,672544,99547,69,72,212,5,59,140
397074,278513,62,18,116,190,322111,341507,53,68,116,35,59,140
1223406,4966366,0,33,1,283,709761,2824382,64,40,141,120,119,140
2276820,335764,378,99,750,417,1610585,324898,281,93,861,250,85,141
541669,73868,84,80,179,363,534172,95053,131,109,211,285,57,141
592390,59383,136,55,247,512,585620,74881,179,92,199,242,58,141
1732419,3914540,515,364,920,531,1223066,3947984,445,279,900,294,84,141
600842,60872,83,0,84,206,589113,75199,75,19,85,77,59,141
516705,55510,56,154,22,308,509053,71026,92,86,43,100,57,142
628825,60866,53,0,258,193,627164,77634,58,63,258,39,59,143
1252394,6690710,879,606,1555,715,858873,6925175,614,356,1386,293,89,143
85252,31934,46,70,66,208,81500,43156,115,96,74,68,34,143
2147121,1804282,303,334,622,593,1222592,1391754,195,172,501,278,97,143
439917,189207,67,0,139,344,430002,246528,94,43,176,119,56,143
13643971,16777215,26319,12637,24475,2667,4936637,10376401,9928,5074,9496,2500,165,143
2941360,4092117,612,356,727,417,1724504,3795289,418,240,399,189,93,144
543598,98976,128,45,136,234,534560,126398,110,51,229,241,57,144
368257,55384,13,15,240,327,361834,74869,39,38,378,113,54,144
2760868,2940071,605,341,458,638,1767995,2949078,336,231,519,372,92,144
647272,65217,94,81,98,384,643016,85059,78,29,181,100,58,144
85611,32650,66,33,101,189,82365,45297,46,53,171,0,34,144
540699,224584,482,233,453,819,444978,270744,455,184,395,743,63,144
381552,104459,182,138,269,285,354364,130032,141,127,205,145,55,145
16777215,16777215,56656,26796,47017,465,6736077,15433726,18466,8442,16187,6483,179,145
90383,52127,36,54,123,338,83248,70615,36,100,174,189,35,145
447940,272205,141,56,0,269,407330,349006,166,67,79,205,58,145
2985757,4644535,902,558,1207,396,1796620,4420094,626,471,997,525,91,145
1090036,185129,199,15,294,296,970817,223730,176,117,326,251,68,145
95395,25141,208,90,248,542,81129,30854,214,61,201,589,39,146
134734,79618,61,70,108,275,124749,105909,79,65,66,32,41,146
104377,42288,13,22,162,295,98758,57258,52,17,94,41,37,146
347432,206976,410,202,504,523,297577,262955,347,136,492,279,56,146
302205,168938,301,91,243,218,254907,203152,238,105,238,213,55,146
127489,26755,187,183,205,271,118113,34286,195,129,175,225,40,146
400769,455408,36,74,35,279,313449,523041,75,86,67,50,62,146
586588,95889,119,57,286,424,580490,124444,106,84,272,311,58,146
198954,91241,36,0,122,438,195414,119654,55,34,121,131,46,147
141116,46910,193,143,151,457,117349,57099,172,131,99,250,46,147
418387,205928,141,140,342,277,382738,239279,147,105,384,228,59,147
3686028,2371371,21908,11364,23081,5691,1464746,875587,2978,1672,3697,2150,272,147
480068,44084,24,0,209,315,468221,56381,43,30,231,65,57,147
239158,88819,29,95,125,340,219391,114811,56,96,240,118,50,147
615238,128054,153,22,139,510,611006,165018,99,73,189,260,58,147
592951,595582,28,51,315,245,547342,780057,60,95,279,36,59,148
487498,57296,74,20,322,225,489917,75925,66,48,274,28,55,148
488989,47476,101,26,183,367,487189,60914,90,75,129,100,56,148
842784,136389,51,113,0,451,794154,167537,76,41,0,198,63,148
666134,80619,79,70,103,131,657116,105534,85,72,133,53,59,149
1021128,156162,255,170,195,304,1005104,190466,180,132,186,283,64,149
542451,38874,74,52,130,320,543850,51849,100,18,121,233,57,149
466050,47305,23,138,348,520,457917,63036,75,120,433,276,55,149
110821,79829,16,0,1,239,97397,107338,19,91,93,52,40,149
610599,124619,180,54,441,340,496276,141767,166,53,492,340,64,150
415369,211087,519,344,773,497,303612,215990,409,217,756,438,66,150
151887,36037,273,178,123,704,135038,44803,236,161,172,568,45,150
113749,50719,109,32,160,212,99474,62549,92,51,289,26,40,150
235131,44277,127,100,98,476,215302,55422,135,162,142,199,49,151
189023,109331,68,35,31,428,175005,139096,45,71,42,215,46,151
380504,44188,62,26,280,310,371489,56499,40,47,216,146,54,151
454720,966856,567,385,953,285,285297,867896,360,218,679,308,77,151
157715,54521,48,120,0,361,147633,70448,45,65,2,131,44,151
941446,279438,340,172,177,144,825286,336810,250,94,160,250,67,151
684037,83716,79,7,227,276,681182,107910,124,46,233,21,61,152
495723,106492,118,82,280,218,485820,138408,117,110,312,203,57,152
198741,40855,212,109,296,422,184454,53632,101,147,324,216,47,152
547418,68244,26,56,192,486,534407,87882,66,137,205,251,58,152
982470,131995,219,96,236,412,805281,132878,195,62,427,442,71,152
122910,29095,148,86,231,370,120015,40724,205,98,174,150,39,152
1094503,207314,169,121,382,536,932216,243533,156,136,312,320,71,153
1483720,2154011,690,528,736,849,914161,1964398,438,262,424,349,91,153
98700,34619,94,116,12,476,85183,48409,49,119,111,238,40,153
105398,30712,81,25,17,400,102929,40773,91,51,36,150,37,153
391816,140338,230,313,377,200,367338,171095,170,225,300,222,56,153
509111,124439,21,51,207,237,510504,160733,67,56,351,59,56,153
324067,606266,12,120,23,291,291745,783358,103,131,125,44,54,154
372502,84578,207,125,212,121,328019,105116,182,109,373,360,56,154
779825,44299,207,113,418,283,757818,55665,161,116,261,104,61,154
502116,55639,29,45,53,313,484213,69804,53,56,133,448,57,154
917806,175608,185,243,226,524,754266,194125,231,119,400,562,70,155
476854,79614,63,45,227,172,468218,100217,94,91,401,13,56,155
825358,54463,98,36,260,332,830006,72756,115,114,341,191,61,155
104315,28493,141,50,287,300,90576,35388,91,61,161,51,39,155
125941,55437,380,252,641,438,91540,64691,291,112,484,364,47,155
87592,26090,148,30,169,353,81118,33937,120,113,232,141,36,155
389683,37929,121,18,234,336,375310,47807,141,27,145,140,54,155
273299,77611,66,0,195,326,241119,90862,82,21,216,265,53,156
467560,110277,93,108,196,555,403280,137072,123,61,430,339,59,156
976612,161249,58,162,122,614,927627,195082,88,129,152,328,66,156
1480012,196946,248,138,463,199,1394947,239382,226,88,350,125,70,156
630413,650912,183,222,467,162,476470,684516,177,149,446,166,68,156
5072764,16777215,2193,1243,2299,175,2024150,11980249,942,515,1143,844,130,156
566346,90787,57,37,174,429,558754,119228,50,72,173,320,58,156
519128,52457,103,0,329,491,511371,65265,138,27,246,393,57,156
166568,73119,0,33,38,387,159905,97589,48,39,53,90,43,156
132513,41745,170,10,243,306,119831,54551,131,23,500,168,43,156
833954,61109,44,87,119,507,823106,77148,73,63,127,201,61,156
99374,307934,87,0,101,239,86765,382545,91,67,141,89,38,156
909420,481686,323,121,351,506,863432,603230,262,155,218,270,63,156
134908,70501,202,79,302,255,97339,76907,121,65,292,50,48,157
1004854,201947,101,89,343,295,949508,244060,100,74,485,409,65,157
1004248,73155,103,48,181,9,987996,92107,125,88,163,73,64,157
109647,58660,148,81,198,303,101021,79849,109,97,231,156,39,157
160715,45897,3,89,0,352,154670,61364,35,74,0,120,43,157
992042,178609,128,164,372,442,953121,218590,164,90,410,232,64,157
393392,56747,54,87,38,378,381038,73035,92,110,79,323,54,157
95378,26947,136,21,162,251,85127,37048,139,48,178,12,37,157
126918,41047,137,168,294,264,105876,54073,107,102,259,153,43,157
1750751,10008836,1264,568,1233,0,1087604,9313079,822,410,878,136,84,158
148505,68264,153,177,196,380,122386,83327,159,126,210,351,47,158
84949,13418,34,57,0,308,81129,16547,45,90,73,83,34,158
464005,89169,86,18,211,303,455865,119341,97,51,289,57,56,158
618406,58021,260,272,87,395,607651,73491,168,161,142,396,59,158
810835,511368,390,208,627,198,632528,506693,230,110,521,332,85,158
116224,16693,82,82,86,475,109100,18661,74,95,88,261,40,158
506619,47929,57,60,193,309,495055,62678,33,78,354,174,57,158
792928,321069,108,167,301,481,715149,385931,109,86,464,234,64,158
785019,870521,139,160,12,383,558194,959954,85,107,38,166,69,159
543556,324880,102,36,125,226,491549,398121,88,51,287,134,59,159
841158,124367,427,86,468,149,642265,123030,304,119,297,37,71,159
951614,213684,101,123,168,265,864585,255626,71,61,203,249,66,160
581510,104498,12,0,142,366,536542,124679,37,49,147,202,60,160
933829,311329,289,232,816,467,668666,341081,229,257,728,414,74,160
519395,116909,127,86,165,240,507910,149567,74,72,374,303,57,160
509362,73501,84,27,4,164,500211,94609,86,47,26,48,57,160
285801,110989,198,81,220,238,238238,131598,180,84,224,181,56,160
448332,405169,314,237,348,720,326280,398766,263,187,477,327,68,160
2626035,2060854,174,182,167,271,2181626,2294393,149,113,103,129,82,161
128223,33932,153,112,186,492,123464,47613,108,96,167,220,40,161
345155,50882,108,144,251,151,340446,65824,173,107,279,194,52,161
94266,23675,79,27,123,328,88304,29285,130,24,227,107,36,161
602750,140517,205,176,304,515,527917,167983,120,151,315,258,61,162
148971,51790,169,140,280,445,134993,65784,120,125,423,362,44,162
736595,233406,581,322,653,479,652260,278528,529,176,573,334,64,162
376604,51740,72,33,64,321,367353,66440,73,91,107,110,53,162
471349,324572,291,187,663,640,309387,351771,164,135,757,570,68,162
301041,57470,134,61,190,444,272481,71804,152,46,133,227,52,162
175391,40153,0,43,45,195,164080,50857,59,96,165,5,45,162
417839,64341,96,99,40,257,405911,83168,90,90,123,76,55,162
391953,51860,44,57,57,427,387278,69822,70,44,70,211,53,163
302790,87358,212,124,555,247,276351,113309,204,75,340,160,52,163
106745,20732,387,207,405,542,81541,23788,391,255,596,577,44,163
363062,185471,57,183,0,362,340028,236040,89,127,69,170,54,163
194289,49221,1315,904,2073,138,186921,62944,1145,698,1752,301,45,163
111705,18190,96,87,103,505,101573,24691,66,185,172,195,38,163
651087,191735,140,62,272,446,507571,217778,119,52,357,140,67,164
3027289,2149839,502,266,696,58,1938469,1960455,285,166,810,149,95,164
1303411,650626,421,303,633,753,834382,636510,219,153,490,559,85,164
772177,86286,19,46,148,227,754119,110115,31,96,123,32,62,164
515608,47954,124,45,273,356,500120,63523,192,60,453,177,57,164
1105392,1141955,118,140,116,330,812649,1286933,82,83,119,118,76,165
234622,74632,352,235,468,567,188971,91799,267,235,284,349,53,165
761184,1909074,318,184,503,395,616911,2282373,274,171,485,258,69,165
457977,88034,54,48,0,380,441484,113628,68,47,44,157,56,165
684700,400995,486,296,1028,1043,608651,377116,370,177,893,880,66,165
195784,108430,0,74,233,413,163525,129376,58,84,244,159,49,165
504592,340488,96,150,114,311,487262,448071,112,164,213,83,57,165
511012,54834,86,70,200,409,501189,71742,67,117,161,165,57,165
604397,247375,407,267,537,406,509973,272389,334,145,430,328,64,166
2783679,4771928,674,422,660,724,1303446,3053717,333,231,639,338,115,166
901681,304906,688,505,1600,76,690875,321477,597,378,1202,121,73,166
258862,88766,53,3,89,350,243544,114004,52,36,189,171,50,166
148262,26613,89,25,74,348,140321,35971,97,28,75,165,42,166
241009,80132,0,121,0,310,230800,103497,1,112,0,85,48,167
1362574,386572,208,176,562,176,1138401,467952,195,143,512,188,71,167
450376,79963,42,0,0,501,449114,105512,54,17,0,282,55,167
109184,44405,93,77,40,191,102631,59581,76,64,47,3,38,167
786716,96236,64,61,197,351,762530,122532,48,60,196,116,62,167
6155703,6656048,1646,1265,2372,502,2971735,5327460,931,622,1148,658,128,167
369724,72784,57,65,66,347,360515,91657,47,92,72,119,53,167
858496,2141206,415,217,537,407,499643,2034724,285,125,389,281,81,168
852678,68373,159,120,462,241,829966,88698,143,123,469,167,62,168
529478,98281,39,61,289,354,518489,127219,113,59,294,251,57,168
580527,36708,106,110,203,156,560537,47059,162,123,223,39,59,168
717775,1000665,335,179,916,625,437622,1051019,281,138,464,378,76,168
196858,68863,137,119,134,408,174627,82346,160,160,106,169,50,169
