"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
408780,255728,4445,2422,3120,543,343630,316461,3664,2083,2936,636,59,142
463003,128153,14,108,71,244,446849,164567,44,108,83,16,56,142
199977,37151,59,7,0,213,164130,39007,90,25,0,0,53,142
401886,148281,148,133,0,230,391489,188889,98,105,28,67,53,142
674796,99071,2220,1227,1678,444,662425,120919,2062,1109,1303,307,60,142
721917,212237,4733,2400,3561,77,664778,252903,4017,1949,3405,841,62,142
712510,79517,2146,1235,1045,611,693158,99603,1888,1112,1064,446,61,142
1656335,415340,7491,3747,5267,892,1377074,428769,5472,2619,3556,1170,79,142
210700,80646,579,182,305,232,189895,94164,400,192,534,63,50,143
488489,38617,2827,1544,2131,0,478315,46513,2584,1378,2163,364,57,145
916739,1015526,7846,3456,6132,1159,708525,1245479,6004,2397,5120,1079,72,145
94715,29024,304,227,230,360,89037,40465,265,207,152,122,36,145
530700,122114,1358,762,888,342,486444,156262,1147,603,1127,548,57,145
95229,26699,257,252,154,167,94403,37645,249,214,260,114,35,146
2495336,659530,29335,16781,18814,1023,1183779,460061,13257,7880,9543,1422,105,146
404355,141202,1122,492,544,79,400711,188531,984,416,429,203,54,146
106719,16348,120,103,229,393,98464,22103,131,98,254,336,39,147
293870,123984,3686,1736,2516,376,253392,149255,3048,1591,2410,315,54,147
850750,129056,2016,1219,985,629,797606,159135,1721,985,891,476,63,147
121172,74689,421,225,310,365,88740,85356,380,153,299,324,47,147
3501668,1026515,29436,15822,20136,3707,2334811,988241,21174,10804,13882,4323,89,147
365616,139865,618,323,472,375,312339,152245,493,226,432,103,58,147
158961,46296,304,151,144,326,135626,54656,292,101,135,175,47,147
505924,249773,3342,1917,1990,719,453858,302369,2985,1686,1593,745,61,147
415756,85182,2505,1126,1947,622,397227,110058,2102,943,2416,362,56,147
146650,63842,448,260,410,23,117427,73528,339,228,345,91,46,148
110051,62024,381,257,365,94,95762,65457,272,163,279,56,40,148
1053190,433922,5613,2832,3431,79,936588,533996,4702,2308,2941,388,67,148
126669,46334,292,209,304,574,116702,61432,311,201,349,354,40,148
729438,228338,2951,1420,2095,648,586557,266089,2436,1139,1752,820,68,148
5449583,1860120,21340,11919,14052,2918,2021349,1057503,7504,4052,4735,2263,137,148
162789,39872,18,59,55,288,124757,38420,25,46,199,29,51,148
5195170,6177046,36234,19156,26094,2750,1982180,3761910,12258,6530,9237,2371,134,148
1190961,331700,22,90,68,320,728500,248472,29,71,99,161,100,149
409569,38809,1115,609,565,291,381263,49115,940,609,569,280,55,149
190999,112665,619,464,691,384,159213,132367,539,369,501,272,51,149
125203,4992,4,69,87,282,80221,5477,16,67,80,109,49,150
1844302,260459,13291,6463,9779,1037,1655820,303369,10562,4972,8172,1329,73,150
479683,23360,866,378,633,77,472792,28374,889,353,576,312,57,150
1416567,152311,2640,1575,1682,1179,1299644,170561,2174,1258,1592,1093,69,150
2311946,1489159,22558,10537,15642,1990,1935805,1699424,16855,7602,12620,2445,82,151
385610,57707,1487,909,1177,588,341750,68723,1279,796,1075,707,56,151
508483,86101,1453,802,1343,132,477698,102172,1403,508,1103,208,58,153
491512,106098,951,489,799,199,439484,132436,726,366,909,471,59,153
762597,479408,3523,1861,2559,1052,549590,495826,2486,1090,1829,758,74,154
221107,116848,768,314,532,222,216119,153972,821,322,557,421,48,154
569039,265172,1871,894,1215,583,496557,312232,1317,624,670,429,65,154
99269,62076,489,332,402,57,82205,77074,492,259,396,249,40,154
133296,58000,470,233,715,162,85422,60108,424,178,673,219,51,154
205209,9665,87,80,0,332,191076,11885,105,96,25,105,47,155
240560,44002,603,390,530,750,210960,52997,607,327,353,862,53,155
