"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
103987,20069,111,90,149,427,96452,24610,109,62,130,272,38,144
349060,78844,208,123,378,314,305597,94725,203,204,470,105,56,144
361197,39409,308,79,141,424,323421,46548,208,63,144,104,56,144
409398,160066,681,338,533,179,335459,118183,444,211,344,356,65,144
100765,40566,460,227,388,595,80575,46029,504,138,553,203,42,144
134364,19838,47,55,250,205,120569,25383,46,119,172,27,43,144
220175,72085,166,145,222,357,180743,80119,104,128,204,205,52,144
511911,146638,586,390,475,258,407016,163191,427,287,392,182,65,145
233359,118230,334,145,226,235,169651,135929,272,127,170,62,56,146
292628,92620,357,272,383,367,223711,105762,295,239,282,209,58,148
128067,95189,183,192,114,542,91527,108438,121,137,269,377,48,148
387538,99385,415,306,159,429,355207,120560,309,253,181,359,56,148
100245,30215,167,218,143,368,80881,34942,118,184,197,122,41,148
210428,150671,179,79,206,418,179688,188962,200,84,155,347,51,148
91989,62778,179,64,210,199,82454,67535,159,42,298,57,35,149
131840,41607,317,96,174,622,103910,49552,325,91,183,548,46,149
210664,35972,208,96,225,329,172184,43788,207,114,319,324,52,150
763528,263604,682,436,507,678,571049,295300,506,343,350,489,69,150
285253,95646,400,199,340,209,217477,108299,353,189,440,138,57,150
131822,31937,169,94,270,382,103696,38528,108,81,299,227,46,150
517441,285527,735,399,630,293,360450,292112,565,255,656,96,69,150
269536,81045,219,169,268,292,214726,94497,269,111,181,257,56,150
206028,100161,174,60,405,435,177682,121186,165,73,458,193,51,150
115056,44306,169,95,219,266,82872,48174,167,80,272,26,46,150
112720,33722,185,130,253,447,92632,41672,193,106,421,303,41,150
104300,71411,324,231,219,381,80225,74604,307,162,286,204,41,151
199855,113082,450,213,508,565,154429,125627,326,165,306,300,54,151
229987,11757,262,202,74,327,210292,14531,185,145,110,111,50,151
335893,89909,685,398,453,502,301120,107347,589,353,503,252,56,151
181681,38577,245,94,212,247,159124,49067,197,87,282,156,47,151
357754,128924,480,412,678,346,285236,151241,564,306,448,242,59,152
135371,61466,243,55,479,408,111004,72500,245,58,464,94,44,152
170724,118733,401,261,279,100,127100,133895,387,128,479,87,51,152
164147,53197,156,116,170,428,145419,66902,107,131,125,159,46,153
291347,78739,500,276,290,258,237398,84240,371,245,323,150,58,153
109001,77098,142,82,240,285,95841,100530,102,48,280,26,40,153
106875,43781,250,194,391,276,88925,54378,207,85,282,197,41,154
680501,146023,481,344,145,147,608346,182064,392,223,192,141,63,154
568237,40670,347,178,627,78,539047,49112,219,99,554,41,61,155
3380940,999279,46,71,0,289,921809,570269,52,106,211,177,195,155
354237,71819,476,373,460,652,311952,89656,423,232,657,495,56,155
225857,166923,812,405,480,245,126719,128924,460,209,420,123,72,155
100018,48127,106,212,167,286,83023,62822,93,224,206,131,39,155
1384168,1154607,2751,1588,2751,705,785999,814047,1286,668,1352,1303,107,156
150381,17489,172,123,142,261,133276,19915,139,71,169,34,44,156
462934,285614,912,463,749,242,306557,248846,631,362,737,441,73,156
102752,42828,217,152,139,472,86049,53640,152,133,145,351,41,157
111183,69138,103,158,212,245,92021,86587,122,129,187,171,42,157
128848,50563,176,98,252,426,108057,63024,114,77,308,190,43,157
295762,41563,560,247,556,614,281072,51964,492,228,607,515,52,159
101795,24325,114,43,95,283,91926,31396,85,51,78,249,39,159
130380,51310,156,121,133,467,120009,65812,138,65,125,294,42,160
220469,35343,390,286,260,343,193484,42263,445,223,242,145,50,160
223856,82684,396,228,334,153,183368,95674,344,165,295,155,54,160
776636,324117,1864,1076,1400,486,651364,393534,1527,885,962,362,66,160
175188,28269,227,0,181,304,149894,34582,198,55,175,118,48,161
157299,81948,309,268,533,282,127820,92986,252,170,378,482,50,162
149619,33745,122,143,155,465,141095,44447,128,111,173,123,43,162
534691,405421,810,511,809,490,333326,424882,660,430,638,617,75,163
205420,81877,280,174,239,339,175527,101235,276,119,414,113,51,163
94429,19784,41,92,180,207,86159,24577,41,56,95,68,37,163
301487,83454,323,252,286,488,275028,101615,365,219,291,573,53,163
180509,50957,293,209,389,299,146046,62440,216,160,367,186,49,164
199945,83951,307,227,283,96,160382,99500,242,247,361,28,51,164
130590,87227,224,174,435,478,88904,100249,134,140,350,216,47,165
343923,79144,434,141,382,290,293274,97225,432,178,421,119,56,166
116824,21613,197,76,126,201,111064,28840,201,85,198,10,39,166
101974,38664,117,98,36,388,90617,52076,110,141,55,150,38,166
161870,95732,253,152,291,475,141494,125881,262,110,314,307,46,166
