"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
123062,19432,27,84,57,385,105282,23336,59,126,102,234,42,137
177975,217984,739,325,392,461,96700,168038,324,188,166,218,69,137
134271,126172,312,194,137,245,100411,127268,216,182,249,94,49,137
472960,313340,470,314,520,123,402188,350275,281,281,714,147,63,137
1029874,698767,2031,1020,1204,610,658486,574152,1129,518,1023,378,93,137
1211924,831682,2374,1322,1611,1494,625716,455089,965,557,782,815,128,137
466080,121332,414,226,326,131,402281,130900,299,175,322,133,59,137
113035,109676,234,105,422,510,87965,118976,186,143,353,342,43,137
268009,66918,252,81,195,262,216878,75486,201,56,295,101,56,137
170095,60017,119,147,83,434,136468,71308,116,141,126,178,50,137
484908,253388,728,318,672,0,338691,213505,521,239,603,169,70,137
174897,263748,562,191,259,100,102297,255977,360,220,378,181,59,137
184343,241767,364,204,437,552,99587,182773,206,116,274,426,69,137
168603,36626,377,210,325,281,146055,44839,316,243,260,219,47,137
1065533,994187,3201,1410,1711,741,489353,583615,1453,597,1065,582,121,138
218942,66232,280,133,147,329,174804,70563,199,141,218,99,53,138
107472,64918,228,64,342,361,94436,77621,163,86,284,133,40,138
204273,234510,359,314,350,167,117140,147780,266,179,436,170,72,138
265946,212883,984,342,161,399,151244,180593,523,258,253,313,72,138
236352,348819,895,555,803,174,95601,226903,435,239,545,560,93,138
222996,130821,127,68,145,263,183438,160146,93,149,230,100,53,138
397711,337544,989,495,396,296,212161,256236,469,277,266,304,81,138
391704,257461,562,367,404,179,294887,270054,451,189,242,94,67,138
683168,184077,656,295,401,462,590383,201382,581,266,578,431,64,138
129113,54966,145,179,292,346,110364,66543,118,180,162,251,44,138
161968,116137,417,227,234,520,122893,118531,302,175,214,277,51,138
146629,254578,217,170,451,337,98534,268867,242,153,291,287,52,138
133962,22123,128,186,226,318,111750,26768,187,103,131,193,45,138
1139575,242063,988,558,771,372,1018461,236303,583,266,360,215,74,138
93569,96932,207,68,148,410,82741,117557,135,120,212,145,38,138
99307,101845,183,77,100,243,92325,125099,152,54,139,96,37,138
110053,41391,312,174,461,327,83833,48261,251,171,569,391,43,138
339246,502681,953,471,797,280,204902,394391,562,316,514,183,76,138
733747,350699,961,469,494,292,553681,316646,660,238,284,230,74,138
266572,190654,417,238,305,0,188977,212352,325,217,289,42,57,138
518384,292696,649,377,709,304,407398,291580,452,214,616,442,68,138
108548,96373,338,194,200,305,87136,96722,235,162,148,207,39,138
415011,172163,286,283,290,377,335196,189121,264,204,303,259,61,138
129591,91292,209,50,156,46,106480,93436,236,122,207,61,44,138
117798,27082,202,68,253,284,104531,31957,205,54,262,43,42,139
533621,379967,807,399,734,170,392217,348854,572,212,610,237,74,139
258313,127856,422,71,312,364,163103,112260,326,159,302,231,55,139
136046,91127,166,75,340,413,107792,103158,107,135,202,235,47,139
624070,484390,1179,562,699,404,446598,387008,660,245,462,649,79,139
471582,369951,892,359,685,195,336396,361054,612,352,704,339,71,139
217884,117211,549,100,177,506,126978,111253,310,87,195,307,64,139
97515,40757,182,131,160,521,83358,48540,165,204,185,257,39,139
183823,98497,285,162,240,146,156910,102095,237,148,203,53,50,139
133070,76319,238,188,198,300,107803,88191,189,151,152,106,45,139
418386,298207,904,507,668,489,186915,231981,542,264,446,301,91,139
208455,130332,349,174,420,241,161509,136362,268,110,307,97,56,139
145342,60672,190,199,186,336,121006,64483,196,172,214,175,48,139
115218,41044,133,183,0,269,98225,50199,111,108,36,94,42,139
224482,120396,425,304,333,309,147920,115309,346,205,558,44,62,139
225182,56724,204,112,82,397,175561,67946,168,69,182,270,54,139
328986,66665,494,226,486,400,287346,71610,377,214,364,283,56,139
220565,226728,425,307,286,336,158021,207905,288,140,176,327,60,140
130723,221645,398,120,469,434,96636,235675,270,120,392,287,50,140
318615,47425,190,71,497,423,260331,38772,169,75,313,307,61,140
270629,98980,327,231,597,264,210721,112437,302,200,457,113,56,140
372269,199494,528,262,288,311,262820,171967,322,148,203,335,72,140
251715,98762,430,262,526,383,177686,99289,341,138,724,313,59,140
217936,128295,355,256,217,366,150048,128666,249,131,172,219,59,140
259045,142116,544,335,505,344,207529,147989,427,200,446,236,62,140
556851,584352,4773,2544,4281,1424,271958,318757,1583,1006,1484,1177,121,140
767223,847514,2434,1304,1658,410,267699,413978,714,398,595,213,155,140
414996,125567,340,212,364,131,337479,142877,270,192,306,312,61,140
414131,452217,1039,589,562,136,170496,198400,363,254,376,130,108,140
376728,448763,1288,616,969,316,230022,361140,702,294,495,367,74,140
533001,580863,1717,840,1105,502,276840,402477,993,374,972,539,88,140
382867,438526,915,505,704,256,160556,218551,324,208,416,529,104,140
423072,312133,593,407,494,538,297314,282854,393,254,465,479,70,140
3076883,6015861,3928,1902,2727,1198,2511714,6171546,2729,1337,2049,956,83,140
563846,574477,2716,1500,2673,0,279834,345417,1005,700,1441,219,97,140
156576,137343,360,294,149,723,99264,123576,240,200,264,736,60,140
136780,445081,345,163,262,408,102222,517801,324,137,197,169,48,141
148318,72593,133,77,181,495,118079,82732,125,116,157,395,48,141
437610,158936,422,272,275,334,387196,172560,285,201,261,195,60,141
113042,57614,232,152,246,461,88447,59866,269,122,353,318,45,141
155519,152594,562,370,433,321,100726,130042,362,192,478,154,50,141
279125,114468,467,209,250,281,215946,123455,348,144,280,295,59,141
122701,74924,311,224,0,471,104280,89624,279,170,28,278,43,141
