"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
159583,26233,194,69,207,328,154451,35509,168,58,139,161,43,139
308052,123620,492,173,472,150,224309,112505,385,211,548,242,65,139
142805,27477,188,168,306,287,132562,35966,160,114,343,50,42,139
130090,45932,128,84,86,379,122963,59348,94,54,165,113,40,140
351794,228210,720,327,332,499,287554,248612,550,195,312,357,58,140
119447,37232,74,134,213,390,105914,45155,60,109,413,235,41,140
193811,54029,226,233,241,313,166473,67851,170,164,360,85,49,140
386831,194327,647,315,695,0,261624,160883,315,182,738,101,73,140
104294,87021,156,108,233,289,88852,92682,117,108,232,97,38,140
94492,44532,66,96,119,308,87997,58607,49,73,133,147,36,140
318629,248014,926,445,736,264,240286,274762,794,357,603,300,64,140
146214,49034,232,77,127,682,131888,63109,154,108,249,475,43,140
177203,34962,147,173,105,320,166245,46369,140,85,193,101,44,141
135739,108477,294,115,434,210,107467,134808,269,81,522,55,46,141
392332,122905,291,217,105,90,366913,153012,242,140,131,57,56,141
154718,38441,218,65,93,387,142160,52133,157,123,191,198,45,141
277441,143686,312,183,349,183,229879,170754,250,176,310,44,54,141
1056137,911587,2403,1208,1719,643,455721,495199,964,456,685,601,123,141
96306,39266,171,109,115,360,81898,46783,172,110,210,115,39,142
183449,107905,308,174,356,323,157565,120731,288,134,310,199,50,142
100853,34152,122,142,234,232,90820,45138,136,96,201,76,38,143
96964,20600,64,116,15,294,85423,27472,78,111,0,63,38,143
275061,849586,2955,1213,1576,944,148812,674271,1659,493,751,1362,94,143
116373,13635,156,93,23,225,110049,18727,211,43,89,68,39,143
323801,357102,1068,397,737,210,181241,206425,470,217,519,171,65,143
637788,940538,2033,1013,1596,696,243714,588530,893,456,698,496,118,143
200889,66465,222,174,171,376,155302,66406,131,191,155,122,56,143
365836,131694,393,236,228,278,342357,160952,277,201,360,210,55,143
84533,27935,151,115,138,250,80835,35911,99,108,236,50,34,143
277413,54408,498,398,449,390,208632,46879,417,239,397,207,61,143
247770,194812,878,472,630,566,160150,207182,653,333,522,480,61,144
123111,50189,449,374,381,95,106886,52871,341,284,518,102,43,144
254944,165324,269,158,242,204,199686,190195,269,87,196,239,56,144
437131,184774,639,280,364,537,374271,188460,519,202,482,361,62,144
116090,38626,147,182,337,287,95801,47004,194,91,303,103,42,144
252661,205054,604,294,395,561,183961,206551,377,181,290,479,63,144
189348,50165,278,171,142,589,173935,67538,272,83,214,321,47,145
259709,144913,558,225,325,426,191188,156969,351,210,281,189,58,145
188471,2855458,1005,296,441,432,124775,2717221,564,124,532,274,68,145
421337,810721,1741,632,707,676,152999,361104,641,219,348,415,138,146
497060,158126,447,166,381,229,435770,174389,312,147,359,47,62,146
142782,117322,233,188,133,231,123438,137230,183,134,161,194,45,146
207087,32971,199,81,295,428,186669,40204,188,80,321,262,49,146
255178,110251,223,125,256,365,236695,107164,196,61,223,298,52,146
559035,207884,654,408,586,365,446772,217581,392,257,935,278,66,147
219506,123449,233,211,429,248,197695,134017,170,148,343,93,53,147
88022,24120,112,54,32,357,85292,34878,114,49,121,163,35,147
1848615,294654,2902,1407,1221,198,1658101,349577,2570,1059,1213,363,72,147
232985,130886,272,155,122,370,168147,118744,198,138,219,75,60,147
491544,239263,600,327,583,377,410911,263592,355,165,331,272,61,147
323644,3194209,2895,1066,1810,817,184725,2542412,1680,611,1200,543,75,148
228286,120630,241,236,333,297,205664,152339,274,171,268,210,50,148
101009,15835,107,54,69,281,95574,19714,106,64,108,98,37,148
739636,323621,961,475,528,165,319352,218146,418,221,331,242,116,148
480704,554402,918,613,447,489,253814,478160,482,410,319,337,78,148
136357,47825,213,118,162,293,92883,37472,153,76,160,188,38,149
921870,739370,1752,709,1397,98,652144,775232,1142,505,1146,449,72,149
162805,74505,166,115,119,337,143032,95694,190,103,101,280,46,149
521515,337215,1357,564,938,582,371465,272788,652,376,718,546,79,149
1109650,691084,3616,1516,2232,839,579851,479908,1482,625,1300,774,117,149
115547,61691,157,51,77,232,104148,72706,134,106,102,110,40,149
104552,42490,266,155,167,244,86086,53167,234,104,308,81,41,149
409527,494568,694,227,425,464,246457,432603,414,187,392,236,85,150
264028,89399,198,201,344,273,204719,101148,204,216,382,76,56,150
371313,128309,237,104,176,403,316196,158584,244,89,249,117,56,150
422732,270458,600,449,730,253,306756,244772,365,284,684,356,70,151
135234,43925,418,199,302,477,113405,53716,293,142,389,550,44,151
133100,221244,508,186,201,134,88437,222921,298,131,198,59,58,151
114743,76350,42,118,119,209,101903,97474,70,83,61,158,40,152
648134,398457,752,283,516,212,441887,416828,468,200,401,235,74,152
206471,90724,293,124,418,439,183762,113719,198,111,448,360,48,152
100776,31861,257,150,114,167,89727,41358,280,134,84,16,38,152
297383,114503,422,285,214,288,247336,140649,325,155,160,310,54,152
107109,63429,192,182,435,262,87241,80603,193,148,504,18,41,153
166821,61069,271,143,243,544,138266,71340,265,139,185,385,47,153
120395,83087,196,114,74,320,94665,90693,132,44,111,151,45,153
649142,352482,1170,569,661,164,382396,278141,600,374,334,98,85,153
143738,56787,338,54,278,234,116346,67700,252,63,219,258,47,154
125708,52668,204,133,89,387,111796,66988,214,72,182,305,42,154
160733,129009,302,90,190,400,109269,102449,105,95,130,324,51,154
129796,65520,159,130,117,173,121911,84278,147,122,207,22,42,154
240000,146877,286,242,395,404,184610,160431,258,127,376,239,56,154
679072,164209,1276,330,870,531,629259,171950,1074,394,1031,537,62,154
118074,33196,167,94,253,382,99660,39711,218,61,207,218,41,154
135731,86235,381,105,238,399,101842,97038,376,130,290,258,48,155
234178,116605,459,269,291,382,183650,116566,325,166,284,217,54,155
128733,58691,192,155,139,200,106549,70271,170,109,108,55,45,155
111247,101892,426,213,275,182,84838,109284,419,191,188,39,44,155
151183,136036,453,50,346,399,102240,115241,188,155,99,143,49,156
786288,237585,913,475,721,391,663964,254943,725,312,346,454,68,156
182180,126590,176,262,332,208,154644,161486,126,148,388,76,47,157
269648,70646,469,277,276,259,231174,80633,317,193,479,60,54,157
137605,29767,182,40,231,394,128721,40783,195,59,206,155,42,157
496702,313341,702,413,589,524,381387,344622,502,306,480,359,65,157
