"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
204189,404599,12,95,63,318,173904,503365,36,85,112,152,49,287
810702,556423,53,41,312,323,749507,674825,89,54,317,81,64,292
137883,15245,16,28,0,314,105281,15537,36,37,13,56,50,296
144393,22856,24,52,86,356,133769,32827,33,35,138,294,42,297
147167,73969,81,45,258,420,140928,100307,73,110,215,170,42,297
127687,24471,113,145,0,420,125926,32610,71,75,0,140,40,308
134344,52755,77,33,76,288,127016,70548,81,92,87,144,41,320
131753,12122,123,79,169,314,125856,16977,111,127,168,81,41,326
201345,37217,56,25,0,294,197022,48990,56,52,20,24,46,337
1275291,56520,0,47,171,401,329460,18721,36,98,198,201,199,347
160027,14601,31,81,0,252,153278,19938,37,44,27,43,43,349
123147,51584,106,88,64,359,118294,69123,83,76,66,213,39,371
1381198,237121,337,70,418,273,893780,255996,201,80,326,332,84,378
129800,21092,113,145,219,264,125563,28594,94,149,261,141,40,390
224522,55664,102,65,185,234,222336,74175,87,65,161,21,47,391
153359,17249,98,108,124,320,145901,23923,53,95,83,103,44,397
168663,78490,91,98,209,365,165111,107963,82,67,290,131,43,398
894348,102114,168,0,0,320,800633,123537,136,97,61,104,66,404
97078,13786,78,61,223,235,89117,17994,57,66,319,42,36,409
128166,27808,46,120,134,301,125900,37290,44,104,230,56,40,415
147166,6501,88,77,155,350,137540,8296,101,110,118,143,42,421
720759,63263,106,51,436,334,699948,80516,94,46,435,174,61,423
126889,191539,17,67,7,260,114991,244985,48,47,0,111,41,427
132574,15902,58,110,94,339,128222,19436,63,152,234,126,41,434
154549,27712,131,85,308,277,148342,37372,143,88,298,29,43,437
139668,32437,88,50,288,258,138317,44346,47,79,457,35,41,437
290647,31910,62,116,176,316,270807,38790,48,79,137,52,52,440
90484,68730,48,113,81,275,82511,91630,32,111,53,71,36,442
321075,146731,83,0,124,316,167357,78681,51,104,158,98,89,458
133798,22854,47,66,208,363,126675,30967,47,120,269,207,41,458
163261,6940,112,125,189,281,158983,8727,85,81,120,77,43,467
505929,135273,7,37,0,296,369381,125589,22,62,29,76,73,470
155483,32311,34,84,96,237,150243,42246,54,43,90,44,42,484
148828,26948,93,20,50,328,138908,34741,84,109,97,177,42,495
165540,8440,72,122,87,179,161067,10629,93,123,139,163,43,497
160088,20644,73,150,118,358,153803,26536,64,107,197,212,44,500
1319723,517951,901,566,2313,806,948579,485321,575,421,1591,463,83,503
153703,6712,106,134,194,410,146537,8138,108,190,243,117,43,519
148246,14598,91,52,4,277,139775,17503,117,77,34,56,42,542
164908,8596,94,88,226,262,160936,11185,110,85,163,103,43,544
205332,55275,608,465,760,602,170280,68371,465,388,780,720,51,544
114678,36325,101,7,53,262,110460,45068,112,20,69,4,38,552
163454,18067,88,47,182,275,156893,23811,106,125,269,55,44,575
99898,23664,81,167,228,376,96621,33009,81,113,283,198,37,591
151907,14352,98,0,207,219,144488,20994,74,13,349,66,43,594
137752,22356,111,32,79,434,131408,29422,94,47,127,333,41,600
215156,48605,79,84,186,296,209821,62726,75,51,71,52,47,615
285508,86759,73,22,366,306,239364,111789,73,57,279,69,53,618
144644,6633,104,57,221,291,136847,9449,81,79,205,100,43,623
735168,29006,108,0,260,203,633453,32804,104,49,247,26,64,631
148803,27714,68,113,166,289,142852,36572,53,73,230,80,43,641
94034,13222,6,56,64,325,89814,18317,16,37,93,37,35,642
227064,431177,0,56,74,232,120536,274635,26,67,115,14,67,645
158951,14692,81,85,87,113,153316,17997,91,108,276,16,43,646
505937,94133,226,123,605,502,478585,122854,240,116,499,369,58,651
125241,96422,2,81,241,422,114109,127328,18,46,192,86,42,664
161059,19715,102,67,36,271,157231,25818,107,85,14,18,43,666
254955,31560,41,49,4,358,251988,42906,30,98,13,153,49,673
127804,16150,86,86,125,109,122835,22162,64,153,70,64,40,677
95512,9962,7,0,153,232,83582,13953,20,1,132,29,38,685
218622,196515,226,245,399,71,168262,236191,162,118,346,122,55,702
144964,31266,42,0,64,247,139081,42218,50,11,208,7,42,712
213971,198381,117,104,347,268,198920,256080,121,67,394,415,48,713
156157,10319,66,127,162,293,151562,14025,38,115,208,46,42,716
138425,6213,107,125,159,395,131714,9116,101,86,277,237,42,720
