"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
181351,39013,247,103,173,260,177379,51973,217,73,208,57,45,138
227259,92862,615,306,421,7,172109,110209,493,213,347,78,54,138
102596,7419,167,130,119,294,95706,10007,151,126,120,87,37,138
103446,11944,121,67,104,207,84590,13175,99,79,49,20,41,138
129916,22744,103,70,136,196,107954,28364,70,122,172,42,43,138
242267,52442,230,238,249,145,187389,57302,128,108,309,70,55,139
126051,37832,291,153,235,22,84909,39109,201,159,287,220,49,139
161244,42408,161,139,137,139,125057,39527,94,59,150,39,43,139
298206,90302,527,338,319,249,217538,84650,311,243,356,168,60,139
216148,56542,192,77,30,387,126558,37274,173,57,89,192,74,139
148580,18100,169,70,33,209,131213,21577,182,107,157,43,45,139
187557,63999,428,376,280,249,141659,67580,402,212,178,159,54,139
194819,38865,251,135,43,300,163042,44190,227,113,29,39,50,139
147602,26025,0,29,0,330,124728,30662,20,55,6,62,46,139
437714,86453,465,254,340,414,368527,101768,383,261,284,479,60,139
147751,67029,307,119,103,390,119654,83772,260,62,69,247,47,139
223300,97394,622,244,310,163,133255,84029,335,167,320,146,66,140
219959,76046,351,319,515,278,167546,81172,225,244,426,84,53,140
158306,52048,357,180,307,252,118149,56559,286,117,366,104,51,140
171280,15020,256,164,343,257,146987,18332,202,95,245,84,48,140
357772,84566,716,335,248,249,299956,99868,514,256,323,236,57,140
120771,71023,575,298,351,267,97082,77440,484,204,347,124,45,140
6514438,4269949,42128,20181,20753,4423,1697112,1949613,8840,4377,4365,2550,221,140
224058,49905,198,138,194,220,195454,61409,140,153,272,95,50,140
2606376,732493,6971,3890,4478,634,1418553,442396,2719,1491,1882,561,134,140
1856430,203618,1379,683,987,690,1464812,189957,881,406,640,425,85,140
920991,254760,1518,642,966,677,367501,144178,533,205,380,696,126,141
719484,427612,3239,1633,1606,296,401742,378351,2058,1012,1449,269,97,141
277063,135198,763,560,530,302,169769,114339,399,325,416,260,72,141
138321,36876,500,328,371,151,101753,39946,423,234,346,235,48,141
105127,21024,125,120,219,436,91416,27098,106,98,177,483,39,141
323903,78143,236,186,0,566,278046,89382,190,124,67,422,56,141
148025,25826,144,60,153,414,126716,32842,138,67,173,322,45,141
160774,85696,392,166,207,380,117121,102195,282,167,310,243,51,141
126012,10202,192,192,66,191,111186,13188,151,173,124,59,43,142
158027,25022,149,109,212,207,140023,30263,120,96,136,239,45,142
137914,16890,137,111,154,271,131303,20976,125,93,198,95,42,142
244925,367811,491,280,282,225,191836,441123,342,223,270,256,57,142
755531,155469,904,393,504,167,648676,165022,708,338,462,367,69,142
195861,74474,305,193,443,324,158843,87278,252,182,376,96,51,142
154035,47534,189,206,79,380,130025,58075,142,207,191,143,46,142
260943,42037,232,149,226,279,186028,39052,198,161,208,59,59,142
158524,25576,288,241,291,222,128904,33178,230,257,342,113,47,142
194305,107969,485,264,297,103,144071,110764,361,185,225,286,60,142
