"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
120659,26535,206,162,140,133,109393,35082,217,159,154,45,40,157
1543600,438441,1890,1191,1333,615,1011900,432242,1155,768,1270,386,83,159
256726,615502,2047,805,1485,976,141150,418121,1002,396,1350,543,78,161
155907,26480,11,71,0,234,154419,35067,23,45,99,27,42,161
378848,121767,567,303,473,352,282509,131653,582,172,538,138,62,161
295742,83795,316,145,349,227,249638,93861,285,145,351,119,54,161
666030,282894,1326,706,978,776,436140,300595,987,469,934,350,75,164
2864884,1363969,9339,5085,5724,534,1202745,795621,3727,1889,2697,769,131,165
389957,142176,347,129,331,270,326308,176413,282,139,301,235,57,165
1327967,498798,1891,1285,1587,762,863783,396091,930,819,1005,690,99,166
112420,21408,136,98,340,295,98657,29278,155,95,196,292,40,168
3479750,897454,3937,2163,3063,556,2742295,913695,2448,1348,2169,472,88,168
1251981,788024,2893,1513,1841,209,613460,638884,1560,798,1094,430,97,169
129633,20686,123,80,176,376,122246,27817,160,110,110,406,41,169
410479,135273,1902,1030,1383,650,298983,101496,1247,647,1205,985,86,170
117095,21139,174,75,35,339,95024,22959,124,65,40,210,41,170
102619,20040,236,232,146,285,92524,27432,224,152,142,180,39,170
780157,237037,1803,992,1190,187,509502,214526,983,466,814,306,84,172
257870,49410,294,132,292,345,241543,65203,284,141,377,191,51,172
161846,109557,262,191,381,536,115833,120141,249,153,229,177,54,173
406770,43140,538,242,292,574,351219,48021,392,160,512,593,57,173
167338,10354,46,0,318,307,126705,9560,42,65,215,69,59,174
120376,35531,218,132,363,441,99482,43823,204,97,332,164,44,176
1811786,1034956,5064,2689,3385,830,805120,754535,2601,1239,2006,1498,112,177
164710,56706,104,106,63,176,149978,75491,89,104,169,128,44,177
483030,221223,760,347,599,131,360511,148534,548,301,338,27,60,177
2195152,858337,3689,1913,2862,222,1374030,813013,2071,1281,2106,405,93,177
159706,162494,634,304,489,440,125991,198027,426,277,426,313,52,178
833890,162882,790,503,600,309,748522,194449,598,385,628,261,65,178
157386,73243,254,172,282,599,98766,48626,166,94,192,356,65,178
727178,170941,1156,669,993,408,561301,188272,901,516,807,302,69,182
140211,48874,261,152,174,563,128101,57395,213,118,141,269,44,183
9062680,11784278,66097,33921,42435,5789,1865082,2764650,9504,4973,6975,2464,326,183
1260548,857525,5005,2853,2982,683,547177,506062,2273,1145,1620,448,109,183
132673,48132,358,227,248,332,103139,57662,296,155,199,246,46,183
1298500,816280,3355,1835,3108,465,689545,658824,1709,1010,2280,741,94,186
120481,16257,134,91,149,285,107832,20663,112,76,170,88,41,186
157726,26555,22,36,181,225,138940,31591,52,89,104,4,46,188
164601,52509,289,142,152,260,140670,63234,285,136,289,166,46,189
337694,175932,1075,562,919,0,234994,188016,726,456,858,137,68,190
502731,491144,1594,1003,1556,508,141301,199875,501,261,579,817,149,194
124927,29723,136,83,112,216,110042,36226,94,45,262,17,42,195
110871,32468,176,49,330,357,103751,45183,133,83,367,219,38,196
110042,36355,154,158,219,145,90174,44716,110,150,119,47,41,198
178242,75829,343,216,412,216,136981,84958,306,154,234,228,54,198
124978,19275,56,108,115,389,121324,26369,78,67,123,244,40,199
248290,79933,343,237,236,283,222690,101923,233,220,199,127,51,200
101159,43232,224,187,199,377,83628,55065,255,80,211,217,41,201
2232312,362229,4571,2158,2568,1179,863035,174668,1597,874,1401,752,135,204
203420,55677,416,169,320,279,154965,64464,474,152,320,131,53,205
154430,42976,146,83,19,308,139426,56770,150,71,77,126,45,205
1366333,376916,2179,1167,1866,0,846950,346294,1286,667,949,349,91,207
96714,34156,122,176,148,620,81117,42736,179,119,122,472,40,207
151226,18321,253,140,200,287,135831,23321,189,111,172,250,44,208
238735,119953,462,241,489,128,188610,139500,438,241,343,141,54,209
306164,46853,367,217,305,424,249256,56774,236,149,302,270,56,209
113184,26827,132,137,147,347,106982,27748,87,130,246,197,41,210
242591,6548,36,89,3,165,236269,8284,47,75,88,79,48,211
226208,35675,236,147,188,298,209254,46434,203,167,122,199,49,211
95198,18420,133,130,142,385,82054,21387,88,66,118,219,39,212
226136,140591,377,211,319,298,172431,156854,257,158,309,235,54,214
169725,50716,418,241,582,682,149432,59876,441,155,553,676,46,214
134703,89710,580,327,488,296,99207,100980,399,239,473,316,52,215
145335,207490,318,168,127,289,108824,240026,207,103,86,51,48,216
612404,88723,878,438,655,337,551769,107614,744,398,733,474,60,217
124518,30679,382,220,447,72,94877,33854,362,140,320,84,46,218
13147300,4289699,18990,10794,14021,2152,5852594,2373770,6861,3758,5235,1661,215,218
122509,40537,226,238,376,197,95280,50429,164,170,401,167,44,220
104126,20972,101,138,97,140,95092,27442,70,95,142,36,38,221
132029,22163,232,176,224,237,103270,27169,231,135,259,133,46,221
930508,266401,1144,660,912,116,708018,279831,786,497,710,112,72,222
173148,34321,41,0,126,239,165007,44300,94,58,164,0,45,223
123102,46955,242,0,182,316,104914,48518,174,17,386,43,44,224
747749,111128,555,323,361,147,652460,132891,502,333,548,36,64,224
612334,201614,819,548,907,401,476862,223570,596,291,644,354,66,226
775100,367923,2136,1300,1178,799,357564,235246,852,456,562,569,113,228
112632,51898,207,166,176,281,94501,67893,199,188,293,24,41,230
104822,13338,29,103,270,308,96442,16881,58,116,371,236,37,230
104688,45340,98,41,188,298,89419,57591,107,65,252,258,40,230
220352,164326,493,212,517,42,159711,187392,453,195,582,110,57,234
205895,5748,47,56,113,301,197122,7058,47,55,137,72,46,234
221950,70647,286,196,372,437,175143,83356,272,162,501,307,52,234
1306772,1521597,5405,2823,3714,782,550808,939028,2151,1001,1761,505,131,234
148391,61906,263,244,309,175,119998,73088,260,157,424,137,48,235
429517,16994,206,99,311,363,374513,16995,140,98,247,166,60,238
216559,761330,3685,1379,2847,332,94552,560766,1827,712,1313,410,83,239
172983,48706,494,203,357,310,125117,49931,354,176,310,198,54,240
933179,434631,2153,1164,1612,714,582546,361799,1077,639,1249,611,88,240
144899,60324,418,355,163,603,108183,68060,323,229,225,322,50,242
385762,194481,201,125,199,475,347970,252489,236,99,196,222,56,242
91077,22988,206,118,204,327,83582,31305,190,104,132,39,36,242
112918,23979,149,75,126,354,94689,29716,138,65,231,207,41,242
143260,14216,181,114,175,308,130983,19481,135,95,167,162,43,243
287496,235976,559,408,420,300,187340,243781,392,275,427,109,71,243
213964,137662,366,255,490,537,154955,164838,289,216,446,371,54,243
225903,29414,237,144,175,206,191337,37671,184,119,117,68,50,244
118933,13096,146,7,154,258,109056,18043,187,35,111,8,42,245
96078,16708,142,129,79,359,88283,21941,152,150,214,120,36,246
327304,63502,267,182,180,219,295807,78064,234,185,181,140,53,247
89562,13669,112,139,140,470,81175,17886,98,121,125,304,35,248
128042,84349,256,90,255,393,111451,107856,263,135,249,204,44,250
436431,87685,323,230,414,440,392592,101418,238,210,447,192,58,250
139010,113596,256,221,245,547,121045,146302,211,161,178,339,45,251
302116,12250,23,47,19,482,300139,16516,22,94,88,406,51,251
112164,12485,103,79,158,189,99937,16988,145,69,141,190,39,252
468909,336618,1106,641,665,474,248200,302201,575,348,383,319,85,253
169770,74769,613,334,397,407,107798,69140,498,177,396,289,66,253
449383,144600,610,274,404,191,336890,157501,369,309,303,117,65,254
123714,32936,152,56,165,328,114742,44493,145,91,117,116,41,254
1766058,951969,3955,1870,2293,806,1070694,867677,2401,1114,1540,844,90,257
1394519,1149121,4471,2422,3052,349,618593,875101,2251,1215,2107,401,104,257
122541,21834,178,99,172,408,99219,29535,170,174,280,228,45,257
268735,132401,2197,978,1449,823,181338,109240,1207,500,1143,735,69,257
99570,242665,366,158,305,251,80437,284907,233,96,215,27,43,258
457804,261691,847,637,673,357,339460,287268,597,451,575,249,65,259
2934932,1915475,6381,3598,3935,799,1354933,1076232,2480,1337,1894,1329,192,261
101937,40139,167,129,85,242,91561,53550,172,111,231,134,38,262
