"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
135090,5907,92,51,67,347,126018,8968,106,64,80,47,41,464
336792,336423,1,0,179,232,243257,320061,69,57,302,8,67,471
143109,125602,6,31,62,289,84098,106535,60,41,100,17,56,480
198041,108867,0,0,12,240,143561,103174,27,22,37,0,56,491
177452,7924,106,84,63,221,175591,8944,64,65,135,34,44,509
105556,12685,0,18,36,384,80043,13680,21,25,81,149,44,515
682414,54061,149,174,343,396,667899,69548,93,129,240,205,60,559
189122,10045,22,0,139,389,172609,12043,73,90,309,194,48,580
261980,61615,143,96,236,854,167741,52227,96,149,239,551,72,587
1372480,211440,1125,603,837,568,1186619,245240,968,483,568,245,71,611
898127,76602,113,71,99,659,862730,96961,175,61,97,243,64,617
664943,89139,640,675,1712,2415,626768,108751,516,641,1884,1454,61,618
174084,41330,212,196,529,670,158427,51597,164,150,630,318,46,625
207646,69459,63,0,132,365,196861,93653,74,90,150,257,47,634
192400,4651,44,55,100,237,184917,5934,40,120,102,223,46,638
180032,53529,192,91,331,365,127598,60236,114,83,363,131,53,684
131752,43124,37,66,128,323,112062,44892,40,54,150,404,43,685
270446,256661,714,532,1340,452,252052,324758,707,541,1100,340,51,698
186440,66140,106,70,146,135,184280,88042,77,108,149,71,45,705
380352,49937,52,36,133,240,173121,27262,51,36,73,8,96,708
160150,72923,297,285,944,813,136708,90585,270,244,848,502,45,713
252919,20197,8,75,80,397,249078,25834,9,82,47,161,49,713
214243,5910,106,27,99,309,202861,7882,60,48,148,42,47,731
536726,21025,82,155,141,409,537546,27342,88,153,111,331,57,768
107584,535,17,0,66,389,85959,1087,54,31,84,363,45,776
120912,20182,31,0,254,121,115608,28026,40,54,137,57,40,785
146602,5998,4,38,144,516,80313,5328,9,71,129,54,55,861
131203,0,34,104,17,265,107353,2527,28,78,60,25,45,862
409253,151462,351,291,427,0,373872,185986,286,155,345,158,57,890
