"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
98652,58111,80,51,146,245,96403,81512,106,75,156,0,36,140
360869,167285,224,173,411,206,302907,167587,141,91,391,152,65,140
260894,18365,38,108,167,305,256175,23555,77,77,276,58,50,140
330796,56861,249,124,316,478,330184,70647,167,148,186,304,51,141
119385,20241,19,27,191,181,119088,26993,49,63,110,0,38,141
397264,349501,4695,1695,1841,454,309674,410188,3600,1242,2104,299,60,141
102373,5171,4,55,60,503,91707,7949,14,111,119,213,38,142
134223,115266,108,117,132,258,104444,129614,128,122,166,77,48,142
621146,63626,96,25,206,169,624622,84885,85,60,192,77,58,142
110936,21819,28,58,190,264,108903,27582,67,63,258,91,38,142
94867,9609,150,49,94,229,91685,14129,126,47,56,14,35,142
104145,34665,70,22,55,352,92594,43877,109,31,132,223,38,143
113522,52106,92,147,378,245,99078,60933,119,203,428,17,40,143
191807,46209,886,499,366,491,173233,57883,834,433,294,466,47,143
105506,226622,35,28,115,442,103769,307701,55,29,183,157,37,143
506193,70269,28,66,278,428,498647,90642,35,34,178,206,56,143
206521,493793,29,71,54,425,196621,671096,39,125,82,116,47,143
285054,191908,11,37,126,320,273856,253774,42,46,186,76,50,143
236206,32848,92,48,27,266,232318,42037,125,72,82,18,48,143
263701,124179,935,669,1019,223,189327,128144,769,453,616,290,60,143
163944,21632,133,98,280,452,163055,28393,157,90,184,240,43,143
104093,8811,44,14,23,332,103714,14400,68,18,57,145,37,143
396279,46992,246,139,282,461,344332,51557,149,92,212,226,61,143
155188,12714,40,40,66,289,149723,15785,52,112,70,71,43,143
110233,32226,65,77,51,366,102457,42447,74,110,109,205,39,143
137235,62706,134,69,271,176,113226,78523,137,73,179,27,47,144
125313,147329,571,313,687,480,83406,166495,385,263,500,270,52,144
325833,38365,265,159,510,125,286441,44099,196,110,492,37,55,144
159122,55807,91,129,123,278,137027,69143,91,95,189,86,46,144
381034,149723,403,222,456,480,312825,171359,358,213,343,462,60,144
87053,40344,67,0,75,260,81521,54967,93,25,188,6,34,144
104772,18627,38,0,108,275,97241,25332,58,24,190,50,38,145
126199,6293,77,105,149,174,122723,8284,88,89,245,16,40,145
128729,17846,57,39,81,345,123737,23999,71,46,194,123,40,145
204465,82480,94,175,63,246,189354,108458,108,103,97,62,46,145
99056,17817,35,55,76,272,93693,25956,84,31,116,28,37,145
109265,52323,86,42,0,363,104230,70336,82,21,0,135,38,145
240725,359348,5481,2212,2639,1327,136088,323427,3081,1118,1784,616,77,145
99804,15325,27,68,149,299,98997,22559,62,124,127,37,36,145
567205,58317,162,121,235,378,567757,77427,94,90,152,283,58,146
180147,136030,196,69,230,417,133939,162768,145,138,156,102,54,146
160205,82468,25,38,84,308,155984,108689,69,53,68,149,43,146
161959,70855,436,270,793,581,139282,89121,370,236,676,462,47,146
120399,15037,0,49,11,260,108763,18297,5,98,52,7,41,147
122849,46406,162,122,235,361,117666,60748,189,80,256,240,40,148
126201,144736,29,61,191,239,116348,190360,74,114,122,6,40,148
256479,53312,114,16,132,362,256563,70762,111,75,100,134,49,148
394487,138458,175,113,55,272,389464,179761,158,69,66,163,53,149
138555,25246,62,19,75,330,131372,35389,59,39,45,133,42,149
87631,83178,62,107,169,292,82156,115806,42,98,166,42,35,149
101685,25994,251,186,379,414,88763,31450,237,167,265,408,39,149
453463,1636838,277,190,508,348,322051,2063553,216,150,515,82,66,150
1335916,520360,1361,777,1920,833,601919,368347,486,417,799,322,107,150
95887,35756,169,116,89,443,85116,46273,113,153,100,340,37,150
206691,32063,112,84,175,322,206722,42274,82,142,172,219,46,150
101370,131096,44,4,19,273,94621,179118,61,60,7,13,37,150
130331,95523,219,167,464,328,106054,114267,174,113,425,136,45,150
84897,35883,44,133,94,257,81382,47698,39,60,43,71,34,150
154151,77040,1081,581,1033,764,123040,68286,816,347,809,663,51,150
97016,34760,48,105,11,298,89166,46394,87,53,94,54,36,150
111308,142275,93,32,98,45,102078,196725,75,83,158,40,38,151
154969,42233,118,35,31,276,146038,55466,107,72,115,45,43,151
702164,176667,869,512,837,9,554037,176947,664,349,455,208,72,151
95597,17136,4,79,227,302,90602,21674,16,64,264,22,36,151
96776,20659,165,193,405,207,80228,22906,128,189,436,103,39,151
95367,5042,92,18,47,270,93472,6406,70,44,4,20,35,151
196153,103493,24,7,127,290,195171,138991,49,55,155,94,46,151
124059,7691,194,138,148,140,84015,9705,212,154,287,64,49,151
155636,58588,50,6,12,315,145547,77797,75,33,19,33,43,151
434106,201978,4897,1622,2481,574,298064,112595,1910,725,1220,478,99,151
291416,32999,91,59,180,214,287033,37395,60,55,211,189,50,152
160132,35605,57,148,142,223,153415,50344,41,123,260,29,43,152
110330,19889,41,13,203,377,102145,26383,35,94,172,140,38,152
92314,81077,74,0,156,257,88810,111952,74,0,285,25,34,152
1448310,709687,1975,1280,2320,0,914059,673856,1171,848,1376,258,86,153
136352,78088,7,23,2,224,125352,101740,42,43,27,28,43,153
231589,32719,51,79,89,412,228663,42149,91,74,177,96,48,153
88979,31663,59,101,174,291,81969,44146,69,63,119,66,35,153
203278,66897,0,103,119,213,144025,61180,35,94,251,32,59,153
212161,26134,98,16,133,378,154426,29555,55,23,202,317,59,153
178210,18615,46,0,331,330,161246,23729,51,19,403,50,46,153
121831,59534,266,168,229,431,108918,78078,252,120,201,447,41,154
1240027,893621,1592,983,2635,331,769861,766955,892,519,1636,683,88,154
131501,15649,90,112,81,323,110671,19625,64,158,119,62,44,154
136267,37287,37,118,197,197,126976,48145,48,163,232,59,42,154
135063,14351,49,58,117,243,129390,19544,64,107,182,129,41,154
401526,228118,54,50,0,463,366503,286586,76,87,0,244,56,154
809302,171409,273,45,274,290,808268,218066,267,84,248,37,62,154
220152,56259,1860,710,1124,656,194474,73115,1711,624,967,488,48,154
119970,40132,44,79,139,333,109874,51889,87,83,263,57,40,155
110257,42032,72,35,165,276,108090,57430,83,31,143,35,37,155
203625,9351,67,19,73,259,179655,12312,102,71,117,67,49,155
403878,106569,125,66,236,427,393582,136349,113,111,391,254,54,155
104278,20459,85,152,108,267,101469,28169,70,109,182,4,37,155
555061,218703,5873,2031,2143,372,431298,207380,3352,1167,1385,381,70,155
418208,107169,412,254,500,593,404936,140569,380,229,600,356,55,155
532628,285600,4089,2166,3048,223,339473,242208,2285,1262,2201,322,78,155
416282,67226,123,7,0,482,383652,77235,105,78,47,316,57,155
102415,24774,25,100,62,249,96103,32785,40,110,39,54,37,156
108631,54163,34,13,15,256,102115,72955,58,73,75,32,38,156
108010,24435,111,7,115,266,107089,34052,86,59,254,114,37,156
127949,28944,201,144,239,233,120145,36462,181,119,269,16,40,156
186289,97445,113,56,130,299,181969,129949,117,95,161,82,45,156
258364,175290,125,92,39,199,240760,235439,183,96,123,149,51,156
137050,22970,66,94,140,298,131739,31749,113,47,92,88,41,156
219096,26658,82,35,14,320,209269,35932,83,23,56,213,47,157
124737,19181,76,101,54,158,122226,25869,120,122,71,0,39,157
228179,65765,111,80,247,30,207078,86116,99,83,388,53,49,157
90809,169463,55,144,100,267,89178,236953,55,126,125,12,34,157
602719,302871,1428,988,1797,744,299935,155058,584,386,732,366,102,157
407032,68998,1132,760,1597,437,222673,27273,381,312,512,326,87,157
323120,69195,162,163,191,339,306470,88933,212,83,278,410,53,157
444436,69744,123,11,314,286,442677,91780,104,53,258,107,54,157
85085,40925,17,96,20,274,82681,57249,19,73,71,31,33,157
104594,20853,38,29,137,274,100915,28512,43,43,257,24,37,157
560532,123686,119,94,312,366,539767,148473,98,96,404,144,59,157
384897,115127,127,74,105,379,276509,96138,90,47,246,119,69,157
508753,76884,123,75,227,123,507065,99401,91,62,297,6,56,158
139410,8342,76,90,131,268,130425,11382,78,76,152,99,43,158
384538,172472,722,447,622,193,310709,192217,555,303,539,195,63,158
181267,64098,62,49,0,404,147339,72061,53,64,33,151,50,158
142858,11590,118,29,159,306,137046,16581,117,34,206,256,42,158
134743,164519,24,2,118,264,120367,219615,55,66,91,26,43,158
231400,69568,280,134,444,286,190700,87280,221,106,568,267,53,158
259897,33512,28,8,165,324,252943,43833,48,20,191,144,49,158
107952,24349,57,29,0,256,104847,35583,72,35,9,8,38,159
1093559,468174,1174,795,1381,468,887912,537890,886,586,1215,245,72,159
132935,71759,4,30,70,240,128382,97258,6,69,105,24,40,159
1118453,639404,2346,1260,2548,970,649323,394370,803,451,795,413,108,159
108963,33849,70,0,121,217,100104,46181,83,47,156,26,38,159
557064,145844,259,149,63,55,529762,190380,244,110,211,29,59,159
110984,5862,99,21,44,314,95343,6700,119,57,30,219,40,159
145746,92711,697,551,599,513,104879,96732,541,438,361,441,50,159
126417,74692,44,34,303,315,92344,78879,67,71,248,49,49,160
155393,43496,129,131,89,170,150791,59619,102,120,144,60,43,160
125744,10981,38,112,43,406,121666,16094,27,85,78,163,40,160
1103897,260622,376,221,459,400,920665,279849,322,185,303,391,70,160
177376,12051,192,102,316,314,165822,17676,124,78,407,120,44,160
93351,118129,2948,1003,1066,330,81551,142987,2195,759,927,429,40,160
348620,158480,98,113,66,142,300183,148865,138,68,160,59,58,161
115357,76322,524,358,821,352,88816,97024,491,295,766,172,44,161
87122,4433,117,73,157,456,82785,5939,120,39,263,291,35,161
92936,8600,57,14,68,307,83624,10394,35,44,82,36,33,161
189420,445481,4,0,259,287,179967,600514,76,31,336,72,46,161
329370,11543,27,75,110,279,320673,15294,19,49,137,103,52,161
461707,1838278,653,345,653,533,268567,1863550,409,186,379,334,85,162
228993,76281,115,116,142,464,202614,96994,94,101,159,240,50,162
113033,82397,75,35,123,232,108167,110789,76,30,165,0,39,162
175984,134324,82,59,250,59,132872,159827,67,92,132,290,52,162
205246,121721,352,201,242,426,179783,143816,289,119,197,308,51,162
213521,30763,651,461,491,778,172558,34368,406,353,547,700,52,162
741284,466669,990,514,1417,618,636017,579488,841,331,1603,521,64,162
214800,116350,27,24,92,274,179344,140684,42,67,228,130,51,163
303238,580541,72,1,86,177,285758,768527,84,25,168,51,51,163
