"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
626845,162123,245,59,148,287,618235,213711,259,57,222,151,58,93782
837134,65605,91,24,113,331,804665,82605,55,44,193,128,63,93783
95148,17233,34,157,50,301,86813,20234,39,108,108,31,37,93785
175924,5896,109,62,143,314,157776,7367,95,117,203,90,46,93789
178936,3227,0,79,25,241,171951,4240,26,73,35,151,45,93790
260105,20733,14,0,188,336,245955,27539,27,41,150,151,50,93791
767148,59649,77,42,217,296,750749,75199,92,44,321,217,60,93793
214012,17437,28,69,101,324,185396,19844,36,139,183,175,53,93793
111834,15904,39,0,11,371,95743,17158,48,66,24,92,41,93796
228901,27161,24,46,35,324,191153,26787,45,33,150,123,54,93796
142104,9289,58,32,39,272,124014,12092,54,34,127,42,44,93797
445521,62788,111,81,338,480,424414,79378,82,93,384,181,56,93797
475103,59658,226,79,970,328,418470,70294,203,96,898,332,58,93798
170239,4958,69,36,0,397,159992,7526,68,66,0,151,45,93798
188073,28460,2,23,260,288,168963,35235,36,9,285,65,47,93799
90932,17193,21,63,258,237,82483,22623,15,26,315,0,36,93799
513031,53736,45,0,62,533,508327,68570,57,43,78,297,56,93799
139382,10347,63,84,46,263,126803,12085,66,71,48,13,43,93800
134068,11267,19,83,0,204,119284,13043,41,84,3,8,43,93800
1178236,93359,183,78,251,385,1130286,116674,129,86,268,219,66,93800
125982,32398,33,38,165,339,110090,40889,63,71,200,116,43,93802
4317522,8492621,3360,1402,2517,2362,1912764,7864267,1602,705,1288,1740,116,93802
304735,13464,16,82,53,303,257866,18573,40,94,111,126,54,93808
208531,37563,39,62,70,330,165067,45692,69,105,106,165,53,93809
134458,7332,48,114,15,377,83664,6361,59,108,12,211,54,93811
389834,100778,159,14,22,279,314483,109020,94,37,68,82,63,93812
114301,9672,0,92,243,371,92094,12287,13,92,174,166,43,93812
112741,15433,36,109,0,303,104134,20941,64,75,0,74,39,93813
200162,47654,53,27,149,248,150404,54846,50,42,136,94,55,93813
114648,6477,57,8,60,311,106834,9457,36,19,21,69,39,93813
161992,6326,125,31,281,88,156351,8722,135,52,281,46,44,93814
200418,25194,9,108,0,198,146726,25483,23,79,90,0,55,93815
467425,48941,126,19,18,223,241074,40516,88,42,44,155,83,93816
1166214,70218,401,83,220,296,1094993,83306,267,115,199,104,67,93816
315946,25765,80,83,97,332,282692,31105,97,95,130,30,54,93816
145264,26427,23,0,15,113,130713,33286,14,55,25,56,44,93818
148601,24043,23,74,172,283,135755,31314,30,76,205,15,43,93819
99866,2640,16,86,62,307,91071,3724,10,69,63,90,37,93819
94738,3860,31,0,0,308,85173,4800,30,0,0,14,36,93819
135173,11770,42,0,42,408,118547,15563,63,49,51,195,44,93820
116454,6220,37,16,115,345,104742,8578,41,40,125,167,41,93822
164637,8139,52,4,142,404,152489,11484,105,24,165,170,44,93822
189508,46806,63,64,217,216,173595,57827,73,60,158,54,48,93823
138100,4078,74,92,50,246,135892,6752,76,91,50,0,40,93823
1375708,361828,250,116,128,300,1290361,453731,204,144,138,204,69,93826
451174,12429,88,96,85,335,432775,15882,120,72,201,39,57,93826
147944,57911,0,0,244,313,84252,55302,12,58,167,90,68,93828
