"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
129409,82234,195,98,173,316,99856,107602,197,96,183,311,45,150
104700,62226,30,85,52,347,99982,83581,50,89,77,103,37,150
1101647,512663,1076,608,777,111,989210,619725,720,428,410,186,71,151
513894,350722,564,1307,846,0,248538,250593,270,694,550,52,97,151
191488,41128,141,81,136,432,185661,53338,179,72,108,213,45,153
189872,64951,229,229,217,196,162005,76799,183,142,240,22,49,153
106617,115256,471,286,336,353,82300,140151,315,196,403,82,47,153
92748,44278,149,54,161,235,86602,58176,144,47,133,227,37,155
1298738,336142,785,595,684,308,1216243,408435,714,437,663,141,68,155
2274962,463139,2646,1716,619,270,1558767,440168,1590,1199,615,223,92,155
506404,573242,828,398,179,593,414010,726024,669,350,231,229,61,156
190111,5775,35,0,149,436,182257,7323,40,26,81,141,46,156
902176,1609335,906,509,295,394,783115,1890556,675,402,304,309,66,157
288965,70663,218,149,192,283,277169,94049,141,184,218,210,51,157
1555103,779926,1551,846,969,275,902627,753299,848,558,682,366,93,157
95623,31148,130,62,272,190,85827,40612,107,24,183,10,36,158
173610,115847,285,251,231,404,143901,123363,285,188,244,284,51,158
302032,58179,80,81,0,322,296330,76211,46,121,41,93,50,158
311165,46818,16,0,68,364,220439,41415,49,42,125,130,66,161
146288,9156,34,0,22,248,140034,10443,86,4,53,6,41,161
202244,40672,200,95,317,226,175797,49121,185,77,316,0,49,161
94495,11212,62,0,51,257,89026,12489,101,0,87,44,35,162
689217,87053,107,127,109,300,675894,107151,128,106,72,53,60,162
190162,34526,44,70,243,351,182222,46732,60,98,285,221,46,162
470248,272100,275,100,166,116,395596,328892,229,90,152,172,61,163
130598,21291,87,174,87,414,119135,27691,80,135,106,272,41,163
372932,256982,209,83,169,328,329151,323435,155,144,248,88,57,163
163968,32991,140,160,10,319,153732,43813,129,98,66,92,45,165
680576,297745,466,345,122,218,609186,321670,315,278,210,135,66,165
1133410,3096245,1171,632,572,225,716785,3312276,958,414,431,279,80,166
374606,104772,237,113,332,287,331594,127630,178,106,348,155,57,166
227510,30137,129,59,151,367,224150,37991,153,43,100,275,48,167
1016902,283467,479,380,291,528,909587,340255,413,277,502,372,66,167
255750,34873,119,1,0,227,247206,44234,92,69,80,25,50,167
301690,92788,156,151,249,256,281503,121783,185,109,304,62,52,167
396194,500543,511,228,264,379,387096,670104,564,163,220,289,54,168
228354,89692,225,156,281,522,178154,109331,194,220,319,257,54,168
711395,149015,83,102,112,318,692750,191874,117,93,151,85,62,169
175224,79158,295,155,91,174,139826,95693,265,144,133,65,49,170
183032,41067,392,286,54,251,159661,48903,371,235,80,216,48,170
1346750,825233,968,444,463,438,1093130,927667,670,387,346,174,73,170
118248,34716,177,154,146,264,102838,40180,173,156,218,226,41,170
165360,23915,84,67,38,258,162688,31637,80,43,68,4,43,171
824711,98704,57,127,173,312,816259,126305,72,74,144,112,61,172
195746,100989,173,117,73,0,175323,130290,137,86,108,79,47,172
664959,173433,730,493,627,328,324294,88741,171,126,256,352,146,172
317976,40049,279,143,145,103,308485,52673,242,136,118,62,51,174
150646,58887,322,187,405,344,133747,71430,285,121,270,295,46,175
1214252,455739,865,492,489,739,1041297,480108,620,481,560,465,71,175
507703,131128,67,133,112,350,490159,162173,97,163,161,120,57,176
235767,13778,33,62,42,286,237122,18177,41,53,80,21,47,176
401363,70883,158,59,96,353,388837,86231,164,127,112,250,54,176
258339,12028,19,77,144,287,257597,16520,31,72,178,129,48,177
491853,63740,215,64,86,269,475379,83290,155,50,118,58,57,178
