"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
136605,30436,12,58,51,426,100656,26448,19,87,135,283,49,394
603464,1943979,85,64,407,301,565636,2575486,80,72,566,261,60,401
139681,12482,60,88,101,301,132399,18136,41,118,93,52,42,410
465516,48592,73,59,27,543,462472,65429,52,54,139,377,55,419
169486,235517,1603,1185,1155,0,102120,229399,1072,874,835,174,58,423
379106,8353,2,98,249,594,263561,8771,33,94,297,94,72,423
175006,24771,85,56,121,351,175391,33316,105,56,133,94,43,428
182289,52440,90,115,270,313,179898,72384,62,111,250,84,44,440
283744,22446,810,355,652,390,281896,30221,825,357,542,338,50,446
147341,60456,71,57,0,270,98103,54754,60,68,78,37,52,478
452461,43521,55,63,442,96,447608,54959,99,75,629,32,55,483
137074,17469,80,91,191,389,132839,23599,80,64,365,240,41,500
173047,14152,69,24,121,380,171503,19205,73,48,143,128,44,500
3777247,2348719,379,377,1233,524,1893869,1293254,160,289,825,326,121,506
157179,11119,52,83,188,419,146872,15757,70,109,229,189,44,517
244997,421466,7,0,99,297,152806,360330,19,17,80,20,69,519
126137,28153,4,89,615,373,114620,37325,29,98,1034,153,41,531
205512,71203,17,102,70,316,137981,56562,30,120,32,94,62,548
166523,8467,114,38,67,288,162900,10753,88,33,114,166,43,555
148649,202938,23,0,73,282,106991,211090,40,66,144,20,53,556
427725,125650,43,28,92,231,426815,156773,50,71,111,23,55,567
2302509,4663166,44,0,0,360,1019529,3388770,55,67,162,179,178,569
86839,38430,4,39,71,291,80790,49498,26,105,84,39,34,599
183567,46833,115,32,165,308,179809,63538,78,52,161,95,45,616
2410392,2212486,0,58,60,181,819752,1018272,38,94,221,89,171,628
803602,393731,202,250,690,51,729799,473966,123,216,791,186,63,646
185646,13486,2,0,158,231,134606,13054,33,63,208,46,56,651
150250,24554,105,54,116,308,144361,33606,79,44,127,87,43,661
535605,123498,107,160,1587,515,491373,141021,106,113,1726,305,59,674
219328,33528,44,115,131,363,210350,41048,42,80,224,185,47,677
116991,82192,230,344,306,179,94235,97634,257,230,225,135,44,683
158368,62397,18,37,54,287,112800,57915,41,95,85,17,53,734
213413,30466,2,1,264,327,191402,37761,31,44,412,82,49,740
99623,1576,106,46,205,280,94737,2924,157,50,230,97,37,741
202617,11252,35,0,108,279,148144,10142,42,71,40,87,58,746
636050,86985,0,57,270,304,616751,107525,42,63,282,93,61,769
2604154,2219308,803,1368,15786,1205,1333154,1579293,384,672,7802,1204,113,782
584456,44660,100,122,217,274,568349,55900,117,79,263,95,59,805
147755,26356,85,78,317,525,136277,33818,81,56,351,609,43,807
128799,9707,124,61,259,329,122972,14084,175,47,175,137,41,824
162928,23386,69,113,12,385,156691,33030,74,114,82,483,44,833
