"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
103763,17296,55,36,132,358,101333,22700,65,83,132,69,36,140
153576,5627,70,78,103,288,149507,6886,114,105,287,35,42,140
136424,4382,65,65,94,260,132703,4770,72,80,160,19,41,140
121164,9800,123,32,60,323,121575,11885,81,50,65,70,38,141
165265,14907,59,58,210,246,163121,19859,50,54,259,92,43,141
849349,126532,160,67,1845,0,852138,165438,130,90,1816,243,60,142
147305,7629,53,85,369,286,147243,11980,86,90,508,149,41,142
178259,11630,105,165,190,126,180709,16332,124,167,267,108,44,142
150189,15928,50,31,80,430,146845,22986,39,54,90,286,42,142
153820,5752,79,21,172,403,148568,7842,96,54,142,211,42,142
167461,22974,79,127,82,233,165689,29646,76,86,74,46,43,142
134823,48731,18,92,543,337,128740,68262,25,74,448,564,41,143
117115,15981,97,63,182,378,113869,23197,64,69,114,169,38,143
149117,12352,64,130,99,266,149212,17863,84,82,165,109,41,143
267754,41831,3,98,1179,113,261968,54468,60,95,1481,398,49,143
170794,19504,36,68,0,390,171823,26404,63,73,73,194,43,143
267161,251098,62,48,969,164,257567,336130,53,63,828,90,49,143
146911,4376,72,93,44,394,144152,6193,124,107,94,219,42,144
146582,10899,55,87,37,331,144591,14573,53,101,48,121,41,144
182546,32926,47,20,290,394,169916,43009,61,26,222,210,45,144
94100,11718,83,17,80,513,93945,19076,108,53,46,188,35,144
147513,15704,106,68,378,357,146248,21425,103,107,320,74,41,144
592574,83695,97,177,841,580,588559,107486,114,179,764,199,58,144
202017,30236,23,71,100,202,189504,39709,48,79,175,52,46,144
239366,31553,75,66,145,482,222288,38417,66,115,141,238,49,145
801151,202899,181,205,3094,0,733373,239541,147,142,2696,401,64,145
186299,130174,99,56,300,286,186427,179274,79,69,184,85,44,145
135917,7774,77,113,145,301,134800,10178,84,78,286,124,40,145
92078,162836,29,72,75,453,92034,228257,46,130,100,223,35,145
124048,24602,147,51,10,510,125058,36513,122,54,39,320,38,145
123772,32156,115,50,49,52,118464,47401,108,76,76,169,39,145
133489,36318,120,68,323,263,131073,49382,169,77,412,38,39,146
177125,12569,52,91,213,348,173383,18360,52,97,362,137,44,146
124735,12421,34,108,525,160,115858,13356,25,87,342,178,40,147
126503,6376,58,106,87,304,123550,11808,74,115,149,186,39,147
154659,5071,98,191,272,317,154670,8000,126,180,413,180,42,147
300001,115860,17,75,242,309,284350,157393,30,99,211,287,51,147
129446,46664,82,132,132,403,127654,63962,63,95,194,220,40,147
157550,36836,104,115,243,213,155413,50270,117,102,209,73,42,147
151025,5830,18,70,255,158,146724,7526,43,71,306,60,42,147
145862,10879,72,85,146,209,145094,13826,97,107,143,65,41,147
169470,20506,109,68,182,214,167929,27322,118,103,167,22,43,147
159878,33602,59,36,241,428,154721,46861,33,13,368,196,43,148
148259,15122,72,83,142,253,146897,21542,84,71,134,85,41,148
121569,4860,84,33,185,270,119180,7419,95,26,182,61,39,148
153781,11739,63,46,160,412,150345,14804,70,53,286,241,42,148
152207,14621,33,62,217,342,149355,18516,63,59,183,203,42,148
129095,40225,54,52,52,287,125151,53834,59,60,205,74,39,149
144680,14059,70,31,285,229,142807,19144,56,9,412,60,41,149
151357,16367,87,100,85,252,152332,21415,122,77,134,312,42,149
404120,668522,509,1140,6676,0,369598,792067,389,886,5832,934,56,149
155044,18223,67,123,56,294,153338,24033,63,79,130,46,42,150
138271,9617,59,90,217,351,134809,12825,60,103,240,156,41,150
116702,15462,69,81,206,321,114303,22221,85,99,162,88,38,150
158974,64926,79,90,31,394,152792,86830,95,57,85,109,43,150
673858,334556,191,451,3364,778,498702,330493,177,312,2835,562,69,150
152256,5278,32,11,237,283,150275,7823,36,70,209,71,42,150
130195,22858,62,67,185,272,127103,31563,56,56,170,187,39,150
153038,67788,78,45,182,241,151743,93111,88,57,136,0,42,151
130570,12313,55,150,123,287,127608,16060,45,134,111,189,40,151
126663,3588,69,51,76,313,126302,4693,83,26,86,73,39,151
131909,10983,37,116,163,178,128659,15404,60,170,202,0,40,151
166103,11780,114,102,168,119,166524,16982,142,74,269,54,43,151
120201,40594,145,20,311,260,119911,57230,111,95,327,65,38,152
166299,125090,119,58,215,164,161721,171845,147,57,258,117,43,152
100355,12310,82,108,350,445,95962,16346,67,121,340,165,36,153
122292,12308,63,115,217,238,120936,19059,67,68,223,50,38,153
141089,14821,78,132,69,384,137992,22371,65,123,75,137,41,153
137412,13403,49,123,89,313,134457,18077,71,124,136,84,40,153
591414,16732,0,126,3,287,557229,19164,29,66,78,108,63,153
203611,30490,38,0,0,272,111341,21405,22,31,108,83,69,154
176953,17482,52,65,205,226,171810,23336,103,60,278,3,45,154
151943,23243,68,106,40,429,144146,33881,106,110,156,250,42,154
146980,18241,68,83,78,383,145278,24444,75,89,111,251,41,154
526416,50268,38,57,265,190,516722,65646,30,59,190,50,56,155
163534,17232,95,50,47,229,159646,24427,77,82,144,63,44,155
149293,13690,48,96,218,273,146865,18737,58,50,296,270,42,155
209305,55796,16,7,244,37,196421,74824,28,31,328,57,47,156
166656,14561,53,0,26,302,164678,19388,89,28,73,117,43,156
137551,7635,43,61,59,280,132671,11399,63,47,50,46,41,156
139605,22797,62,91,117,331,134046,30390,70,63,236,141,42,156
274708,7651,8,101,118,302,233103,8436,12,118,79,81,57,156
171260,127189,94,166,311,532,102682,105078,61,118,208,330,66,156
383178,197497,74,131,732,374,346487,247549,89,58,753,153,55,157
149106,13854,63,22,132,240,146177,20365,40,12,228,14,42,157
166406,18263,116,47,120,211,160454,25145,91,73,276,15,44,157
90142,3295,78,155,159,482,86110,6321,53,109,101,263,34,157
164733,21917,65,115,291,171,157983,28834,42,68,190,31,44,157
171957,13714,28,42,82,361,168857,17285,48,76,159,174,43,157
159025,17404,110,87,117,383,155744,22911,77,104,198,170,43,157
138951,8493,17,8,199,227,134067,10548,38,16,185,66,41,158
161103,10520,21,48,66,355,154102,13843,58,70,194,165,43,158
165236,5538,69,77,255,453,162611,8314,65,71,283,226,43,158
172900,52018,147,96,475,204,170332,71645,90,96,433,86,44,158
160647,29206,73,97,118,249,157727,38433,68,121,219,4,43,158
153304,72217,78,53,211,229,152422,101092,77,36,345,0,42,158
146909,27961,59,111,110,137,140869,38866,48,66,77,25,42,159
136318,13303,88,115,126,382,132310,19058,64,70,135,232,41,159
149533,13080,64,101,153,296,145465,17042,56,67,255,263,42,159
159803,10207,77,52,20,324,157188,11760,63,57,22,131,43,159
118405,33668,32,0,271,369,113479,44665,32,14,177,185,39,159
155767,14244,98,128,362,450,153022,19100,144,106,358,253,42,159
107425,2450,118,90,132,424,104391,5788,100,93,167,332,38,159
104984,31060,32,77,186,358,102031,44725,48,94,193,171,37,160
155483,19005,70,97,161,409,151112,25735,58,93,187,278,42,160
157618,10214,58,52,94,297,156582,13192,84,58,105,102,42,160
137666,10170,53,71,62,422,132192,14678,47,52,120,244,41,160
167982,35572,38,43,185,345,152552,46681,63,41,305,49,45,160
156457,72013,72,168,218,371,155342,97859,122,130,238,246,42,160
145392,10187,90,60,81,166,141666,13937,66,57,115,126,42,161
145413,16711,54,20,37,260,140818,23281,42,91,39,83,42,161
158396,47224,80,136,45,316,157375,64676,64,128,58,166,42,161
158209,9207,42,75,244,174,156093,12478,50,50,240,73,43,161
161445,25522,47,65,41,290,156256,32541,49,59,65,97,43,161
171624,42130,65,45,171,314,166961,56878,48,80,353,59,43,161
147616,51562,109,50,95,510,143741,68717,129,78,72,276,42,161
268402,69099,88,160,1268,683,196354,70427,75,107,963,614,60,161
214165,11149,68,75,121,349,206788,13235,55,108,113,114,47,162
155967,21122,53,111,191,240,153450,27659,85,79,403,30,43,162
483985,54146,106,35,385,313,464345,70150,119,87,423,263,56,162
100587,9879,64,137,170,293,95942,12872,61,159,281,352,36,163
152893,4802,46,13,120,159,149794,6362,72,16,84,19,42,163
160837,13054,90,77,246,374,157374,17209,65,75,180,171,43,163
608297,1835025,264,612,3693,955,520646,2164331,217,473,2761,1299,65,163
136122,7118,110,133,207,299,132956,13342,122,131,353,99,40,163
165731,5764,100,98,256,303,163563,10514,85,72,468,281,43,163
154339,50371,67,38,182,399,146006,66022,105,37,209,176,43,164
145091,10362,47,55,197,354,144879,13700,95,58,211,154,40,164
124515,13240,62,68,184,225,121068,20132,77,97,154,54,39,164
525663,121762,57,202,1256,144,492122,153325,46,141,1343,344,59,165
163148,11833,60,48,255,452,154847,16630,39,47,185,144,44,166
170268,52037,47,131,130,261,165847,69754,76,140,159,55,43,166
150318,15966,62,11,114,216,147147,20562,59,27,114,132,42,166
138984,36002,62,42,307,289,133863,49776,100,38,231,198,41,167
172138,29256,113,65,243,330,169095,36544,87,52,118,153,43,167
170094,25791,99,41,139,247,167174,35215,93,30,200,61,44,167
175321,47560,36,55,462,395,165722,62339,57,49,437,261,45,167
132034,5763,32,88,20,267,124118,7533,44,80,48,140,41,167
234197,54390,26,0,290,553,215490,71440,33,0,256,384,48,167
152081,37898,74,18,112,376,148711,51749,46,22,155,156,42,167
125354,14656,50,157,149,469,117325,20161,50,129,259,228,40,167
124429,33041,65,80,221,309,118969,45876,65,97,198,85,40,167
150665,6598,31,35,123,313,149201,8433,44,70,170,91,42,167
157729,22508,118,148,189,310,152652,31187,119,187,195,177,43,168
234582,307600,64,102,911,322,225825,405764,50,98,645,170,49,168
145637,14164,42,83,126,362,142184,19190,42,119,114,132,42,168
133825,8582,80,140,100,676,129249,13193,70,77,130,447,41,168
122316,85016,72,42,186,307,120333,118485,49,40,251,192,39,169
161021,17955,65,40,141,226,156290,23676,51,61,110,88,43,169
141231,11459,95,105,52,250,136759,17510,118,98,62,81,42,169
143023,16318,85,21,231,462,139930,21371,90,55,333,315,41,169
169697,19596,74,126,38,392,163068,26597,76,101,70,230,45,169
155051,30161,104,90,175,320,151823,40715,87,58,204,66,42,169
1493732,4508806,1782,2976,36515,3687,768864,3117667,824,1183,16343,3637,117,170
174716,34249,37,71,261,235,174335,46279,43,90,284,0,44,170
158838,15081,105,57,371,201,151407,20013,120,71,563,7,43,170
177627,30144,114,108,141,341,171079,39382,80,93,167,107,45,171
940008,197862,190,148,2752,911,848783,240448,120,187,1826,1131,65,171
174123,47419,0,133,81,229,155559,61671,16,80,146,50,46,171
173622,39282,43,167,745,184,160730,51990,50,157,694,95,45,171
173596,116212,60,88,179,200,170043,156526,60,96,191,31,44,171
169933,19225,111,107,127,233,165233,25926,110,65,143,0,44,171
173002,21866,48,48,111,342,171737,31306,44,109,167,180,43,172
151960,23927,73,103,97,144,150446,36043,70,123,82,170,42,172
150295,10876,64,75,208,358,142212,14283,144,40,241,205,42,172
156288,62303,105,148,184,382,151926,81095,77,110,170,141,43,172
176834,11025,70,68,121,263,169928,13776,71,65,121,59,45,173
154292,37559,95,42,100,390,150271,50157,74,27,257,210,43,173
164100,35320,72,130,189,218,158773,48528,72,128,140,160,44,173
161478,13458,83,97,186,238,155871,17875,44,77,199,78,43,173
164700,20575,80,91,246,236,159291,27570,66,68,257,124,44,173
146496,8404,17,52,185,114,135904,13278,32,111,288,101,42,174
154549,11202,75,40,143,289,147020,14020,92,66,137,97,43,174
168410,50536,120,30,121,232,166052,69609,104,88,130,206,44,174
102997,9247,90,166,280,302,99727,11434,79,119,438,141,36,174
621420,74661,130,173,1701,1016,604008,95446,100,158,1850,729,59,175
133823,1977,92,81,358,350,130643,3450,85,106,281,218,40,175
159107,12486,54,57,228,281,155522,17801,66,107,313,112,43,175
1057032,503058,42,242,1387,801,962173,596038,67,146,1357,396,66,175
177393,40113,88,15,88,334,169214,54392,93,42,99,257,45,175
