"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
119663,26854,119,83,125,266,115919,36595,93,44,133,10,39,201
82667,3651,0,55,246,266,84633,5259,6,69,230,19,33,202
183175,6371,23,0,216,191,167581,6882,42,100,146,134,48,202
135841,5820,3,81,0,350,129625,6272,15,56,111,168,42,203
306173,9564,16,17,19,247,287935,12437,28,104,47,19,54,203
105340,6228,22,20,34,261,102918,8933,50,29,63,2,38,204
340548,9482,44,142,202,232,305223,11269,42,71,375,25,59,204
118990,6329,4,45,97,287,101611,7199,51,48,55,75,45,213
149193,29027,67,116,91,301,148202,38327,85,94,174,177,42,216
272222,7013,49,13,72,254,239927,10412,29,39,78,11,55,219
182118,16867,60,153,72,283,177977,22193,69,145,71,167,45,222
105974,4370,0,23,117,345,92036,5171,5,38,55,150,37,223
152733,14056,53,78,0,277,146868,18033,48,110,0,113,42,228
122079,5193,3,57,98,411,112737,6793,47,68,110,295,40,230
381967,12142,12,0,90,307,314174,13406,25,37,57,110,65,232
139459,6874,3,0,69,260,83209,5892,40,55,62,57,54,232
281764,7344,65,36,183,313,96657,3091,57,70,116,102,97,234
821211,18020,0,98,0,294,638068,18676,38,87,106,157,79,239
1542581,24295,156,76,0,599,354472,8774,106,83,220,205,240,240
130336,11470,69,63,97,166,126765,16518,94,59,170,126,41,240
552077,9566,75,27,59,307,218525,5740,50,73,128,168,114,241
2192291,642960,569,397,570,330,1861499,591481,427,284,350,121,85,241
181420,32479,119,135,183,267,180287,45745,103,187,223,35,44,244
351892,9660,18,13,0,294,274210,9886,33,38,52,149,65,252
123874,12372,109,83,68,359,118110,16402,114,62,115,370,39,259
113628,6355,39,18,9,251,97082,8452,64,6,147,0,41,262
163584,15069,83,77,199,324,154922,20147,83,145,197,100,44,265
155746,11456,68,8,128,342,147279,14290,82,92,124,110,44,269
141031,6867,51,115,162,259,136560,7931,95,108,130,82,42,272
142158,7452,120,73,197,233,135192,9907,100,92,203,28,42,278
340305,97055,13,122,252,298,312020,126592,12,98,331,279,54,281
182198,49693,99,3,205,319,180150,67704,64,43,183,97,44,284
149833,25478,72,0,226,157,145804,34303,77,73,303,31,42,284
156036,25138,85,118,121,332,150300,34319,50,121,125,118,43,285
150785,13323,70,60,38,299,147430,17752,82,55,67,181,42,287
92340,12300,79,65,144,205,84819,17606,55,74,106,107,35,289
262108,40718,73,92,87,212,239694,51003,134,82,106,118,51,296
148568,11712,62,103,106,338,147191,14907,74,136,77,62,41,296
139246,11785,62,93,141,361,134157,16141,42,58,175,172,41,298
138472,12841,104,45,163,207,132461,16116,89,102,117,97,41,300
117082,5666,103,66,99,429,110810,8138,76,46,44,152,39,302
178026,39042,126,85,104,317,168548,50864,91,116,147,83,45,306
190571,12317,22,0,0,249,147360,15310,25,0,106,8,53,313
1082619,1673041,69,110,53,106,967659,1991047,42,63,154,0,69,315
199828,21915,90,33,221,354,193840,29473,114,22,178,249,46,319
156115,21792,114,60,8,462,148792,27791,115,74,74,243,44,320
180155,4652,0,0,260,341,116283,3538,31,33,301,134,56,320
105606,24150,160,70,293,533,92662,30069,162,71,267,709,40,321
167714,6453,42,38,39,445,161794,9824,106,27,89,181,44,324
260259,58966,44,22,379,641,239805,76724,43,54,245,491,51,324
145754,58496,102,122,185,460,140837,78200,82,98,195,229,42,328
160011,79278,95,35,233,253,154768,106004,92,44,156,34,43,329
135162,25472,77,140,262,91,129977,32455,87,146,201,0,41,330
153685,17847,53,53,188,357,145954,22179,50,92,163,175,43,330
147967,50244,100,72,195,283,141611,67624,64,41,345,36,42,331
4379381,1008398,141,287,2136,783,3483991,971862,135,200,1241,766,87,334
200492,20328,100,107,158,98,197215,25880,99,77,227,6,45,334
2476260,110518,0,0,0,145,1038067,58041,36,45,119,44,145,337
133388,4804,17,11,95,251,110006,6762,27,74,159,15,44,339
121019,23553,129,57,95,271,115133,33897,92,43,164,46,40,343
229615,119815,267,211,687,923,166002,136528,171,167,667,561,55,345
129538,8454,95,53,60,234,122654,12808,91,35,66,40,40,346
153022,68554,98,8,221,179,148518,95143,88,5,457,43,43,347
171213,23074,19,36,53,335,166101,31157,52,56,146,132,44,347
152493,22787,100,71,255,216,149160,30927,113,100,291,115,43,356
117912,4622,72,105,161,373,113839,5642,67,96,104,217,38,359
135112,28808,37,22,51,367,128333,39298,33,46,54,145,42,361
