"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
771123,17402,28,46,205,332,605648,17697,30,108,226,170,77,465
132290,25342,16,29,231,430,117169,32086,37,99,231,193,43,467
174249,11027,79,136,177,302,170765,15210,78,171,275,97,45,487
133201,21618,34,4,288,425,123679,27765,40,72,217,189,42,489
326135,82775,33,136,82,300,281104,94432,80,124,110,119,56,505
383765,217456,129,129,1232,20,357049,280223,78,85,1370,160,55,514
4428974,8841287,215396,160134,467639,121166,2341409,6895694,119983,85502,257022,69399,110,520
519405,42271,65,66,263,334,502329,52899,69,66,270,94,57,561
139067,101177,268,197,315,363,129351,133461,303,141,427,170,41,562
2111205,905265,5361,3226,6279,1940,1539391,940734,3699,2432,5927,1389,81,570
97137,23669,111,170,265,463,93051,31075,75,109,208,194,36,587
369551,9172,0,0,0,232,96568,3993,22,55,114,161,127,587
299577,248581,0,0,63,230,197012,180245,30,22,89,83,71,588
166026,19421,55,136,497,391,159206,25806,33,70,697,207,44,604
824106,75504,355,298,914,1106,785167,94469,270,313,740,936,63,619
89581,3647,21,44,170,327,83023,6073,28,11,220,54,33,631
167381,12522,90,83,163,213,160024,17504,83,125,186,145,43,645
154084,8631,60,97,243,194,146398,13357,53,92,223,193,43,650
131261,14663,110,71,151,254,127182,17406,108,91,287,23,40,659
484417,177519,403,363,976,744,356539,187208,344,276,787,782,66,697
434954,23238,119,76,5,409,423935,30571,89,55,38,288,55,697
506939,39246,9,159,214,307,496184,48071,28,104,212,191,57,713
102876,15055,75,23,106,292,95932,19925,63,47,85,37,38,723
1086405,1400811,1071,806,1861,1970,720228,1506039,706,683,1565,1291,79,740
424238,2434369,5108,6831,25767,0,353026,2983357,4218,5489,20483,5929,58,752
485526,367909,294,207,609,445,379036,429869,238,120,395,338,64,766
133138,276236,383,288,1315,311,113331,330735,286,247,1391,215,43,767
177265,5049,76,57,12,171,171186,7350,96,118,117,106,45,786
503595,54909,83,131,268,187,485513,69069,101,76,254,69,57,790
272067,7394,48,0,0,229,165589,6643,30,27,132,9,67,816
133812,39342,76,21,20,324,121473,49345,43,123,61,98,43,821
391352,612005,4,37,72,339,320867,749055,52,40,81,102,59,842
237744,6494,27,19,0,176,98130,3901,23,37,87,17,78,853
1995264,682452,1696,901,2376,1091,1133356,604640,756,349,1401,540,104,859
219725,7472,48,92,84,219,161435,6689,32,87,73,6,59,861
307935,138325,129,146,320,509,288016,171234,145,98,426,619,52,876
2511169,822057,983,1294,5868,926,2146302,910715,842,1040,4488,799,78,880
