"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
221627,57911,21,91,119,288,221184,78512,28,56,158,97,47,101695
430989,143527,372,199,525,638,418742,185946,321,225,295,710,54,101695
105503,4730,34,0,61,353,102261,6276,85,18,72,146,36,101695
137203,27745,11,34,81,348,131943,36764,29,96,101,125,41,101695
221736,33502,543,223,549,319,200731,38723,500,242,674,138,50,101695
127077,19325,47,7,0,263,113375,23904,64,37,0,46,41,101695
556919,75606,233,213,401,232,562785,99611,283,216,488,188,57,101695
231348,53168,70,84,30,221,205600,65564,79,70,21,40,50,101695
833830,176182,260,171,201,278,833334,230151,226,119,205,125,61,101696
556802,58509,73,66,195,258,556597,73297,62,79,177,37,58,101696
385126,283906,205,92,339,259,275890,238179,101,142,492,80,75,101696
365777,32373,126,114,358,276,349266,40420,127,47,320,123,53,101696
117355,15922,201,102,121,381,115877,21773,161,130,130,148,38,101696
589651,120743,126,186,266,233,587932,158153,61,206,378,48,58,101696
94771,95995,52,24,119,271,90747,137067,47,68,136,32,36,101696
147806,28552,82,132,157,259,140467,35476,46,138,122,22,43,101696
739667,91257,326,92,279,81,726232,112962,300,102,377,153,60,101697
248226,22399,0,96,12,267,218398,25576,43,59,121,8,54,101697
252308,22829,0,59,67,232,242271,29040,20,82,140,4,49,101697
119777,52408,214,98,155,385,104909,66245,135,58,177,126,43,101697
111721,8859,100,73,119,376,104290,11412,88,49,83,324,39,101698
212381,84211,82,11,170,388,197258,112698,83,34,237,199,48,101698
140984,24830,79,0,90,267,135594,33746,90,56,157,7,42,101698
95911,8197,42,68,67,232,80576,10114,32,62,72,0,39,101698
344806,16042,74,37,11,121,274180,15686,69,66,107,40,61,101698
106363,856244,73,107,97,175,94815,1174404,51,83,127,0,39,101698
166525,42083,64,86,3,229,157406,54567,85,115,51,7,44,101698
213393,131399,135,198,201,370,204143,172179,128,125,195,143,47,101698
454269,210733,633,520,673,243,355038,256841,622,488,638,578,62,101698
166957,6979,82,82,283,274,161050,10419,81,64,403,145,43,101699
135674,21699,123,98,355,334,115058,25924,119,95,383,81,43,101699
440666,77108,221,193,289,38,440471,103887,162,91,558,76,55,101699
151144,5154,41,43,188,396,148481,5930,44,109,184,209,42,101699
938866,146696,745,555,566,588,921209,181316,626,558,468,469,64,101699
158139,49880,593,356,515,391,135235,59673,565,299,383,236,47,101699
252231,97743,255,152,340,455,225950,121333,172,118,302,198,50,101699
705365,18546,23,0,178,292,624611,18948,43,50,214,60,70,101699
199862,10774,165,87,306,595,186905,14527,145,86,403,305,47,101699
100606,4859,8,2,0,336,92822,6041,40,38,105,124,38,101700
