"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
149460,9906,42,71,58,274,148986,13154,80,86,84,127,42,393
158737,17080,58,129,134,224,158172,23357,75,105,134,69,42,393
131110,13840,127,167,160,395,126244,17972,148,88,188,159,41,393
142619,6055,45,127,125,296,143269,8305,61,79,181,51,40,393
700537,139231,91,152,1265,422,643933,163558,131,97,1379,222,62,393
179845,15026,99,107,0,304,178414,19841,130,115,0,141,44,393
169370,21784,132,91,190,263,166875,29047,127,130,313,14,44,393
165388,17998,70,66,98,359,163721,23210,39,59,125,112,42,393
212233,18723,65,92,263,267,210198,26545,48,131,196,25,46,393
125469,5299,64,97,189,253,123358,8588,55,121,192,4,39,393
135999,5245,76,16,27,275,136956,7961,136,40,73,46,40,393
129186,14433,50,135,138,198,129125,21313,43,86,252,43,40,393
156523,31454,55,81,10,195,155849,42491,83,79,68,113,42,393
471280,81815,204,678,2541,719,430780,96418,192,542,2237,1466,57,393
151318,6424,101,104,138,290,151051,8813,95,109,227,50,42,393
150062,18334,111,0,76,311,150443,25859,98,24,129,140,41,393
181036,26540,29,150,84,353,183927,35140,51,105,78,203,43,393
145984,30830,19,61,144,254,147087,40681,62,91,111,137,41,393
226970,97474,52,49,1017,74,203873,128981,48,77,973,236,49,393
2163235,1564595,1172,1716,17607,303,983851,1108090,516,749,7871,757,109,393
149099,10448,68,71,95,252,149101,13227,60,51,98,7,41,393
136222,48266,58,29,873,465,122935,61016,62,56,932,330,42,393
151882,16633,88,92,195,248,147509,21803,82,74,393,49,43,393
168626,16965,4,83,166,363,163938,23474,27,92,233,115,43,393
814859,167055,147,281,2475,0,666731,176451,158,207,1764,99,70,393
120879,46204,65,0,0,322,120694,65901,58,52,17,144,38,393
164843,6377,50,154,125,309,166013,8415,64,110,151,235,42,393
148988,52782,58,123,165,360,151440,76298,75,82,252,195,41,393
153395,12854,55,100,219,258,152338,17178,54,114,204,148,42,393
165392,13923,14,76,114,380,161118,17273,15,81,176,459,43,393
143292,322645,63,81,837,666,119898,382579,94,59,636,335,46,393
162533,49413,70,66,237,262,164026,69091,50,81,205,128,42,393
134822,8973,58,64,27,283,135287,12856,84,30,53,81,40,393
158080,11215,73,0,157,202,155840,13522,100,53,186,105,42,393
150611,13436,104,78,103,370,145043,17890,94,81,114,210,42,393
169131,36681,34,8,363,336,168651,52567,55,66,355,140,43,393
158783,8162,53,56,173,230,154359,10931,63,50,241,16,43,393
153420,9108,43,107,181,330,152172,13241,80,75,203,73,42,393
174772,33081,37,170,838,70,154134,39568,38,132,913,122,47,393
158257,18365,86,18,232,267,159788,26286,70,36,351,9,42,393
165104,33673,86,0,8,315,162862,45730,104,7,0,127,43,393
155552,21787,70,69,196,461,153848,29459,70,134,163,156,43,393
161765,26472,34,46,213,326,156700,35527,40,84,219,120,44,393
148358,16273,52,114,108,316,143936,21448,81,68,182,112,42,393
744023,114171,197,125,1007,144,727557,148637,139,151,692,211,61,394
154237,12968,33,153,131,223,150835,17247,74,87,261,11,42,394
147403,90199,49,42,310,326,133291,106012,39,84,234,122,44,394
144383,3678,93,64,203,260,145291,6186,100,36,257,174,41,394
164044,48402,109,48,219,293,160967,65303,94,119,213,124,43,394
