"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
148728,5375,39,48,54,184,134853,8120,54,38,126,18,45,94206
100798,2240,84,62,107,263,95364,3191,66,53,73,8,37,94207
117991,16668,72,91,0,275,107894,21928,62,58,0,7,39,94208
116133,6051,53,122,158,291,102526,7388,60,132,250,14,40,94208
173423,23449,13,17,67,260,138783,28328,22,75,96,36,52,94210
118048,77566,325,89,438,135,89834,93874,269,77,434,37,45,94210
115931,6450,105,107,116,183,110737,8007,111,157,115,162,38,94211
848209,187804,487,277,461,268,828132,246203,371,191,389,297,62,94211
3763873,4952429,68767,48022,153638,9081,1852834,3705680,38076,27093,77664,21179,115,94213
134023,5568,16,81,61,334,126999,8209,20,135,89,199,41,94214
99022,40235,28,29,111,289,87816,52621,78,28,219,99,38,94215
419148,58774,101,119,30,213,317835,58584,78,98,163,96,66,94217
93593,8461,59,41,41,176,86082,11851,48,58,20,31,36,94217
101028,44195,19,58,0,374,85666,55237,24,50,0,151,40,94217
137956,25607,45,33,78,337,115684,28966,27,96,120,311,44,94218
92967,5825,19,0,37,306,89575,8692,61,37,4,126,35,94218
679349,48733,98,32,121,333,537216,51295,107,112,188,135,72,94218
99108,4390,106,114,167,260,92922,8862,107,85,116,136,37,94219
153439,76694,63,69,27,312,136159,97841,62,62,90,74,46,94221
140233,18417,32,92,135,258,127781,23844,32,37,138,41,43,94221
204854,48904,49,83,76,118,180927,56513,43,91,95,43,51,94221
147359,8217,121,63,141,239,127326,11068,141,43,114,106,45,94222
142814,7902,60,93,0,283,122212,10035,58,64,52,49,45,94223
149959,11096,29,58,87,262,127596,12763,37,108,102,41,46,94223
168192,7804,65,36,71,358,157891,10625,56,43,121,100,44,94224
655531,111413,0,0,124,401,510959,107177,25,50,226,202,72,94225
202354,11481,27,67,113,235,201793,14771,28,30,157,0,46,94226
491169,59513,106,1,91,284,454660,71634,138,45,83,76,60,94226
939063,93090,150,104,215,281,909727,116225,125,82,166,95,64,94226
225712,22667,70,37,15,353,192578,26566,51,40,25,209,54,94227
357937,26019,80,255,15,339,307933,30722,81,213,34,151,58,94227
156523,7462,1,0,94,419,136694,7298,42,71,109,128,45,94228
173897,10822,48,17,11,233,162837,13982,87,93,23,0,45,94230
392120,11946,95,17,92,454,224492,8561,66,55,204,165,81,94230
227732,10045,103,82,331,154,205618,12345,116,84,309,79,50,94232
94999,12676,110,57,165,344,90013,19706,103,93,205,249,36,94233
518146,69361,300,93,341,262,514562,89890,179,86,277,148,57,94234
183784,9192,24,21,71,481,179921,12633,35,31,203,281,45,94235
322091,37128,156,162,121,237,261738,41591,127,97,282,54,59,94236
135420,20568,126,74,132,64,96627,21139,103,103,293,38,50,94236
237412,79000,96,126,99,205,198450,95377,56,123,160,0,55,94238
554644,15104,105,43,289,311,520860,18663,87,47,369,138,59,94240
109626,17467,849,535,1097,197,83553,16869,676,388,909,118,45,94240
105382,7513,49,39,63,366,96203,10493,71,39,99,145,38,94240
124370,13063,86,16,0,235,112441,16766,48,22,57,0,42,94242
126009,10299,147,0,49,383,102099,11712,120,0,100,174,44,94243
98726,48027,40,8,142,349,84672,56872,67,82,105,129,40,94244
178217,9058,84,19,237,135,174656,11275,94,43,266,174,44,94244
154185,339160,4,49,125,482,146479,447627,30,49,140,294,44,94245
153585,7664,17,73,50,224,151884,9842,45,46,69,5,42,94245
114081,7708,129,68,159,318,88359,12610,97,44,185,67,44,94248
100758,6747,29,49,108,197,98889,11404,20,85,108,8,37,94248
330116,28070,121,136,53,234,174417,18403,84,145,249,89,83,94248
192761,6558,0,13,10,255,106762,4686,25,44,17,32,63,94248
194477,27993,59,51,53,281,147871,29658,49,59,71,189,55,94250
122229,13175,81,117,211,372,102054,16062,97,73,197,115,44,94253
176546,38817,59,122,118,202,127420,36044,62,73,51,2,52,94253
125332,39503,84,74,150,267,109399,51808,86,31,99,26,44,94254
180239,42075,17,92,288,230,81668,40424,37,128,481,7,82,94255
159985,12723,140,79,108,270,148380,17407,102,85,155,139,43,94256
315339,17382,28,48,137,307,273067,20403,35,47,207,125,56,94257
656007,83124,204,202,174,297,372415,66334,146,226,231,110,88,94257
193330,31320,28,76,215,330,176699,40183,44,67,135,183,46,94259
283498,80370,69,121,492,330,246930,99534,71,156,516,266,53,94260
98637,5843,0,63,104,242,92017,7379,0,66,155,0,36,94261
130031,10110,17,0,87,334,119327,13094,19,20,124,79,41,94264
523594,76048,214,84,76,179,510871,96213,190,109,106,319,57,94264
315113,28188,0,94,189,355,309382,36701,44,123,199,71,51,94265
126426,9544,40,58,4,268,119484,13372,49,46,36,66,40,94265
332487,20185,55,108,127,276,301847,24865,102,80,166,86,54,94265
167247,28620,254,168,435,506,131171,29970,186,92,414,224,52,94266
112179,8670,89,103,135,234,100859,10673,101,103,75,0,40,94266
94153,62365,37,1,97,233,88884,84745,36,50,163,0,36,94266
97964,147645,39,23,232,295,81491,192825,62,33,122,84,39,94267
129174,12034,18,0,57,298,119076,14140,47,26,69,49,42,94269
628063,125161,126,107,341,248,445059,124997,144,100,287,161,80,94269
107216,8779,23,2,46,320,100156,10804,29,6,66,125,38,94269
151891,7116,44,14,87,258,141950,10522,96,34,69,89,44,94269
237701,32300,33,104,268,218,216571,40599,26,86,255,0,49,94270
153466,9389,80,91,64,237,128628,10712,82,44,96,10,47,94270
110944,15365,11,108,56,233,104534,19853,11,131,142,29,38,94271
160513,9880,125,28,115,135,141326,12746,143,48,236,66,47,94272
160525,5710,129,27,16,317,153981,7531,90,42,21,75,43,94272
726506,186827,57,68,83,367,490422,154910,51,94,87,76,85,94272
97514,10141,0,48,49,287,95015,13314,7,54,30,56,36,94273
156222,16119,67,98,0,358,136290,19891,50,143,0,133,45,94273
100886,13918,7,0,113,227,94580,19078,20,41,79,22,37,94274
742554,101627,84,42,281,364,730666,130579,119,46,162,211,60,94274
330727,36437,91,118,74,249,313302,47533,112,70,155,55,54,94275
126060,24527,64,44,86,323,112790,27707,56,75,110,123,41,94276
287708,8840,43,23,76,237,150519,7862,48,126,32,18,77,94276
108426,16565,53,33,0,287,96855,24534,131,62,37,29,39,94277
90857,5989,9,0,48,251,84318,7587,0,38,64,3,35,94278
161015,9936,33,14,171,195,144361,12328,50,43,136,0,45,94280
620560,397443,2471,1784,5223,1502,542159,485055,1872,1401,4970,1362,63,94281
218575,65751,173,184,420,269,178134,76097,103,232,378,36,52,94282
154016,5437,79,104,106,290,139626,7674,58,96,168,65,44,94283
117913,14490,42,32,0,205,100636,19226,53,42,61,14,42,94286
146946,5232,37,58,10,385,141329,7297,47,99,15,131,43,94286
147104,31087,36,2,81,335,131844,39322,43,15,157,114,44,94286
177615,38777,178,33,71,322,156844,45051,148,81,135,116,46,94289
237809,33040,55,64,116,303,194514,35125,63,83,150,54,55,94290
115551,8079,114,102,121,353,88176,11481,82,89,242,171,46,94290
112670,15316,18,68,108,241,100638,20419,40,67,187,23,41,94290
186361,35900,55,12,101,245,145195,36390,47,72,102,22,55,94291
115175,12971,70,4,92,393,108342,17627,50,29,169,149,38,94291
119644,5689,69,28,8,460,99470,6540,75,123,49,123,43,94291
152488,15338,33,64,0,284,138669,19647,57,64,38,55,44,94292
234371,18983,54,56,100,258,222205,24056,41,40,120,8,49,94293
266745,27338,105,44,136,316,256944,35445,106,56,156,82,49,94293
200168,17564,42,112,228,287,170984,22547,24,60,229,61,51,94295
665579,238130,8,103,122,299,474078,211035,20,103,72,115,79,94297
121136,9852,18,24,111,311,101988,12835,45,54,246,65,42,94298
939844,102428,172,59,48,360,890543,128206,117,55,63,81,65,94298
184171,29198,78,58,66,322,165193,38272,65,103,83,222,46,94299
203875,56078,99,93,18,239,165575,66920,61,92,96,75,50,94301
162063,30102,38,79,4,317,146122,40103,56,57,31,99,45,94302
553394,102464,245,330,279,475,533416,130394,201,185,475,167,58,94302
217541,53226,26,52,180,273,181199,67887,45,70,156,183,50,94303
112263,20463,65,24,0,253,80850,24780,82,50,21,23,45,94303
1700051,223685,185,214,200,350,896213,146372,106,127,129,235,112,94304
570729,33627,11,87,45,272,549981,42520,67,62,78,138,58,94307
113172,6961,19,22,100,279,110416,9876,52,85,195,32,38,94308
252955,42001,54,58,0,249,236138,55448,74,38,0,5,50,94308
766064,59318,122,74,42,230,729220,73103,104,115,110,104,61,94308
258737,20371,52,13,178,302,249092,26117,61,65,140,63,49,94309
168133,21218,63,78,177,263,150845,23501,66,80,150,6,47,94310
265050,49816,69,118,0,240,207773,51509,66,85,34,15,59,94313
164962,39864,0,0,152,247,148331,48892,21,5,135,0,46,94315
