"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
1041963,1285325,912,623,317,269,859416,1485697,646,540,330,128,69,149
126884,540325,153,74,45,256,101807,604931,134,124,128,22,45,150
168729,81875,113,67,301,240,156341,107205,65,88,207,95,45,150
557142,173725,123,75,25,262,556881,229566,130,66,52,84,57,151
112096,35310,127,160,86,562,98344,43668,158,144,186,239,40,153
113528,55337,260,155,134,18,94429,70971,166,123,166,52,41,153
545988,114669,152,151,125,179,535631,147197,109,102,197,18,57,153
208527,25693,97,118,168,338,208871,33742,81,50,152,272,46,154
241338,62419,230,143,101,29,220873,73786,261,88,103,67,50,154
378822,82228,119,46,21,253,368899,108225,116,85,78,9,53,155
497606,121667,191,127,86,381,476705,155453,137,137,162,274,57,155
1264307,827249,868,357,285,327,1042875,995683,826,296,400,144,70,155
543192,307988,183,166,211,319,519758,394526,123,108,143,219,58,156
665392,264289,718,384,701,0,483307,231808,442,279,715,13,73,156
315232,20152,4972,2482,688,760,245903,20780,3887,1945,627,303,61,157
562108,67642,115,0,22,314,379731,48386,124,60,251,236,92,158
2026469,1125708,2807,1604,578,82,997483,778283,1098,624,540,194,111,158
570439,289346,630,337,569,267,466187,343623,462,215,443,95,65,158
99182,39486,54,120,0,264,93980,54666,68,102,0,34,36,160
370007,42928,107,49,109,308,355985,52039,141,63,73,75,53,160
177925,79260,264,207,80,249,143406,94156,274,166,115,93,49,161
260999,127932,215,193,367,262,233155,162278,174,154,271,52,52,161
104950,139706,268,160,294,254,90197,167173,200,94,351,17,42,161
122358,3445,30,27,81,240,109838,6578,56,21,85,70,41,161
545265,116241,273,323,181,576,479132,140531,306,191,272,279,60,162
233277,93699,235,128,321,349,204687,108965,154,114,320,211,51,162
171878,34988,151,40,219,300,155483,42807,135,30,228,87,46,162
407355,107386,435,234,414,424,353913,130122,478,196,740,235,58,163
1606865,1687257,831,430,325,181,1139089,1546986,512,254,338,158,89,164
2263894,1506937,1447,773,425,713,1316902,1030203,616,349,294,241,107,165
363875,286928,1362,759,700,593,291093,331594,1023,525,735,595,59,165
340062,103627,119,92,30,222,338634,138483,100,102,36,0,52,166
375488,75476,193,82,215,410,353620,94536,147,126,360,195,54,169
616618,232738,194,62,45,168,589359,292103,226,114,120,251,59,170
129018,61600,251,143,294,506,119379,79249,184,133,355,307,43,171
349918,76024,514,155,301,387,334030,92571,507,191,410,341,55,171
424300,90655,249,115,212,169,394490,108981,216,133,292,116,56,171
138373,42115,120,164,46,185,128329,54025,109,116,77,67,42,171
858217,287744,285,266,111,381,766420,339835,182,198,263,204,66,172
520097,144754,108,114,107,223,485845,177842,124,118,164,3,58,172
596068,163509,326,291,236,338,509244,194554,273,226,183,186,63,172
140218,82748,60,92,232,255,122564,107966,55,67,315,6,44,173
424232,166879,578,289,495,269,361673,194251,434,237,359,163,59,174
164383,21395,97,127,152,299,160887,27715,79,102,175,44,43,174
565124,320248,602,411,337,362,489192,344917,472,274,316,319,63,175
451111,25489,773,506,544,600,431039,32341,552,406,295,204,56,178
447259,98062,264,139,70,283,349950,100501,240,115,107,93,65,178
187844,35103,45,25,29,247,186425,47772,37,37,43,9,45,179
100784,28627,121,124,192,285,88262,35648,110,99,169,37,40,180
407150,93684,195,213,252,323,378313,115231,123,105,293,203,56,180
826203,1109621,871,594,377,579,608796,1323880,735,483,351,304,71,181
1638498,560024,3837,3418,1154,480,1122665,484790,3118,2837,1309,514,88,182
110338,47977,274,175,272,283,94641,59706,226,150,200,59,42,182
100590,38864,100,114,88,219,83285,47652,101,83,111,40,40,182
751428,409174,823,553,263,284,615656,486758,639,503,402,409,66,183
147711,39299,239,127,237,263,142524,50949,239,139,289,125,42,184
818102,339929,842,489,401,205,634709,310955,693,304,479,125,73,184
180889,21407,73,62,226,317,170392,28068,74,49,262,210,45,184
404713,109259,41,75,0,297,387477,140073,48,114,69,81,55,184
281498,49843,97,0,25,207,259695,60868,67,42,50,47,52,185
489087,139772,75,0,200,319,456760,174506,61,41,325,83,58,185
476918,93966,452,293,151,414,445202,121939,430,281,135,146,57,186
886243,131240,287,198,189,665,819001,155495,184,134,283,577,66,187
431004,89946,232,155,0,335,391761,107613,183,113,35,100,57,188
525251,225731,337,222,203,181,496560,281479,345,278,175,85,58,189
519164,902154,201,143,0,318,496643,1175003,125,135,25,88,57,189
465870,86088,227,98,47,286,451114,108723,258,97,139,44,56,189
619241,162444,142,54,23,363,593452,203487,117,53,61,72,60,190
153631,53181,235,66,167,333,140170,65333,278,44,156,270,44,190
1242136,1304878,318,201,320,45,1181558,1639956,199,209,393,47,68,190
329318,295032,137,43,146,264,315528,392653,145,79,186,115,53,190
102973,19200,56,46,164,325,101678,27840,73,60,180,57,36,191
167357,10843,98,45,153,276,165957,12872,104,91,139,218,43,192
149024,44277,187,101,203,407,127078,53668,166,129,206,303,45,193
149710,8944,76,71,68,234,141754,11272,69,74,87,34,42,194
177607,57569,24,32,73,230,172138,73520,15,86,131,10,44,194
227641,63443,419,300,368,573,211843,80651,410,192,518,256,49,194
192374,46950,253,118,194,384,166007,55773,226,90,280,428,49,195
134957,32016,44,99,163,247,125349,41974,75,96,106,56,41,195
936505,875919,534,302,326,236,755492,1097917,440,245,334,300,69,195
332748,103861,1597,715,264,305,280022,132094,1247,585,456,151,57,195
311815,51862,27,55,26,219,289330,65387,50,78,27,0,53,195
235928,38059,195,223,186,219,214371,45715,269,125,136,90,50,195
196918,46362,644,356,289,279,181214,60890,656,386,342,81,47,196
747096,239666,285,212,236,312,694113,309428,237,155,261,194,62,196
476933,349606,456,284,260,102,362868,375007,444,199,175,38,66,196
151426,123320,205,113,234,132,137119,161526,239,84,229,218,44,196
127837,43974,305,167,77,371,102270,50705,291,103,126,163,45,197
157870,35666,31,53,51,281,145380,47072,63,77,43,19,44,197
87597,54690,116,43,35,282,80058,68726,111,16,49,89,35,199
184410,89960,641,419,302,395,130195,91219,384,293,311,224,58,199
121611,23148,329,181,107,376,101323,27549,291,127,114,122,42,199
95403,4319,13,8,0,329,88156,6896,39,30,8,169,36,200
473382,407173,722,345,448,249,360626,447169,615,243,658,276,64,201
136251,94105,303,283,311,219,99233,88343,245,244,259,363,51,201
174225,28553,209,122,188,185,159795,37128,201,143,337,92,46,201
151945,48568,198,120,125,145,136099,59507,180,157,114,27,44,203
117484,30904,143,166,160,321,104728,41333,108,120,271,188,41,203
129231,42320,39,18,39,321,119280,56914,28,13,60,179,41,203
272736,51563,173,139,273,289,241116,61444,184,129,187,114,53,203
92860,29978,95,48,102,316,83053,40929,86,90,157,46,37,203
101759,28902,93,71,70,333,92163,38278,147,60,75,169,38,204
170185,25962,104,175,86,340,163797,33452,68,120,127,184,44,204
108797,45074,89,82,51,240,98088,61189,133,104,175,0,39,205
338037,173428,279,167,365,361,286010,201422,222,113,202,275,58,205
132211,141619,360,279,348,74,100642,150308,359,209,394,126,48,205
1120066,505891,1194,666,890,715,780403,498495,696,357,618,800,81,207
1234710,573685,601,410,419,467,817256,442224,433,264,391,367,87,208
658660,412758,161,167,126,430,579934,520671,218,108,112,335,63,208
115962,64597,41,76,28,464,114678,87513,51,71,86,190,39,209
244250,287242,1026,598,743,152,164850,235412,562,326,417,621,64,210
2082449,692893,1198,838,621,555,1512306,723521,777,607,608,283,85,210
434733,31999,127,129,68,371,431622,41358,114,149,214,142,55,211
430071,126909,146,64,110,269,413203,161551,163,61,123,120,57,211
458195,260602,211,181,205,389,413723,322130,205,198,327,154,60,211
199018,78985,183,149,179,387,182943,99353,151,84,210,180,47,212
208288,53858,430,256,119,402,198693,70917,444,218,125,138,47,212
527422,122637,711,488,265,402,510983,146398,648,445,401,249,58,212
507681,203071,300,191,143,359,385087,229892,227,180,159,134,66,213
128610,26459,41,19,345,223,124106,35942,69,62,476,0,40,214
553076,154360,306,218,163,271,524149,191724,237,179,217,21,60,214
250987,84865,559,303,380,300,220299,108833,544,209,461,132,51,214
417145,113330,77,12,34,300,266164,91294,77,51,152,142,78,215
115715,39761,233,162,230,360,88965,47498,229,144,369,153,45,215
201957,94197,251,191,262,302,184340,120313,243,152,403,214,48,215
249311,195855,461,239,325,157,193667,222277,369,150,246,102,57,216
258850,91793,344,260,181,306,239727,111961,317,136,103,205,51,217
568232,150414,125,45,36,214,537895,185872,149,63,147,18,60,217
354344,97862,709,436,734,38,331661,122171,524,319,564,63,54,220
111780,23053,3,41,9,277,102606,31435,32,39,39,27,39,221
881945,464216,553,333,300,145,685140,529895,367,315,421,323,70,222
165739,21981,163,80,84,283,154867,28669,136,94,193,59,44,222
134184,40667,153,92,230,279,125940,50206,141,63,221,128,42,223
261315,115265,45,0,81,196,236072,148813,46,18,78,0,52,224
193190,35784,118,173,23,215,182974,48725,90,123,83,60,47,224
177334,81652,354,225,189,381,119094,84776,231,136,122,256,57,226
1137009,1376577,942,608,1168,212,921598,1576022,671,375,616,284,77,227
242714,130797,215,136,207,282,223541,168954,224,136,342,57,50,227
173873,65390,481,281,326,177,148417,83334,508,249,347,192,48,230
150415,29250,225,150,211,233,133610,33763,222,123,198,12,44,231
127900,32760,46,48,118,263,118076,42563,66,48,76,39,40,231
282445,79784,313,171,154,379,248352,95380,249,90,168,109,53,231
215484,31963,180,48,120,394,206243,46189,141,65,102,157,47,231
115823,74362,203,161,102,276,111060,103735,217,124,39,36,39,231
163042,88443,270,170,86,424,139099,110205,187,128,78,210,47,232
123228,33275,103,176,221,314,113336,43401,82,150,334,115,40,232
453347,136018,232,108,265,314,431411,169612,202,75,252,110,56,233
2517144,1278474,1129,508,615,51,1601882,1022713,629,294,422,126,98,234
231211,56848,318,187,185,319,187218,63125,247,133,211,475,54,234
121547,66363,247,129,127,333,96190,86504,189,86,108,136,44,234
85208,14216,59,144,95,317,81198,18228,46,96,54,166,35,234
692102,657137,249,209,193,558,509798,694824,145,171,309,200,73,234
