"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
4169558,8505364,3514,4145,32736,2864,1589132,3907226,1739,2077,11735,2736,140,184
163776,41315,66,49,187,303,160046,55854,82,60,130,194,44,185
176308,77531,111,37,43,334,174719,104648,114,59,65,133,44,185
165643,60946,76,8,251,276,166562,85259,80,79,221,28,42,189
134123,9283,115,110,127,405,132285,13328,100,122,105,152,40,199
183105,30541,42,53,140,240,182470,40004,45,61,167,7,44,202
464559,58856,219,220,436,217,442129,72223,190,111,394,29,56,202
182670,28733,101,92,210,275,177446,38458,113,44,183,48,44,203
152803,9591,95,42,141,471,152590,12996,116,29,128,242,42,203
140590,10796,84,58,74,327,138308,14159,99,43,106,220,40,205
127925,6656,43,84,96,333,123002,8899,57,96,107,110,39,207
125049,9243,83,103,40,416,122337,13099,97,90,36,238,39,207
147688,8317,95,123,36,264,145692,12139,125,88,84,24,41,208
137469,26753,39,32,222,233,127548,34852,45,79,318,29,41,208
127933,9362,44,33,51,251,126262,14607,62,77,88,64,39,209
161656,15262,81,173,315,326,157327,20696,89,118,290,88,43,211
180296,12965,92,97,218,304,175386,17771,71,54,265,51,45,214
178837,18583,125,52,125,291,176093,26826,119,35,170,41,45,215
170331,91608,63,11,252,372,150771,122636,67,10,276,163,46,220
130961,7270,52,74,152,361,127299,10167,40,88,210,171,40,220
207146,55449,111,0,156,426,192655,73777,75,7,297,237,47,220
164353,6640,86,97,132,202,159770,9293,85,69,91,11,43,221
162628,22126,137,44,624,357,152291,27436,127,64,600,216,44,221
98866,13840,73,87,138,327,96209,18136,62,68,124,248,36,222
142415,17975,53,83,132,318,137542,23672,58,102,174,124,42,223
160827,11420,49,37,33,365,158001,14567,54,56,68,91,43,224
133674,5427,66,146,293,316,128700,7180,77,96,321,72,40,224
176359,22068,73,41,148,230,172667,31722,90,39,85,37,44,225
106123,8224,102,94,180,273,101377,10960,148,81,242,48,37,229
162700,36700,55,88,314,353,159561,47816,39,118,523,196,43,229
193477,509683,387,211,580,264,135403,487247,217,206,419,114,59,230
143182,36754,122,100,180,284,138450,50420,135,73,213,78,42,230
124453,4986,33,34,76,192,118595,6541,32,84,87,33,40,232
165801,12612,111,82,160,394,162789,16776,109,71,187,241,43,233
163236,5558,85,48,78,396,142081,7579,43,50,103,315,46,234
160547,48045,74,80,124,511,157265,66648,64,81,124,312,43,234
130840,5477,122,92,210,202,126032,7019,107,77,180,87,40,236
151422,9054,54,31,276,159,145926,11784,72,77,411,70,42,238
1012364,262147,244,149,645,116,930437,308840,151,123,790,95,67,241
160710,46753,55,75,152,257,155717,65174,97,93,169,120,43,242
151169,63873,0,22,180,273,146558,86514,0,37,172,52,42,245
145918,8266,104,6,155,368,139855,9965,96,54,228,188,42,246
138266,66079,110,257,523,1131,128129,86836,137,162,499,989,42,250
153529,11242,91,36,191,365,151578,15868,97,38,209,142,42,252
163656,4787,157,82,272,269,156533,5508,148,125,206,29,44,254
135120,58216,73,110,41,277,131938,79796,81,79,93,45,40,257
