"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
148832,8108,37,28,0,434,142653,12033,65,74,26,109,42,142
218502,74296,334,434,1791,2653,174161,86117,210,252,1518,1949,52,143
319030,39944,138,172,2207,7996,302887,47296,108,130,2115,7252,54,143
613046,202772,559,477,4171,5007,565132,240517,476,405,4094,3868,60,143
474728,49580,122,179,1588,8191,480336,65176,130,156,1603,8529,55,143
377111,80194,433,432,4064,4896,359957,106718,510,314,3901,11123,53,143
110660,93433,129,30,493,619,104379,126358,127,38,448,426,39,143
300428,142471,316,226,1286,1556,281400,185935,275,171,1285,1183,53,144
120988,72455,141,177,373,361,118699,101432,134,103,283,253,39,144
112790,36334,6,31,207,425,84754,39366,13,63,216,227,45,144
201191,182598,78,101,514,2121,153577,191574,65,119,362,1272,63,145
435331,50273,58,176,1736,7368,432111,65632,106,119,1392,5558,54,145
327099,667643,58,5,208,180,134688,388376,62,66,221,33,99,145
158684,142812,407,359,2304,4237,93971,127660,299,252,1640,2661,57,145
418227,78431,466,452,2987,3622,349093,95918,365,413,2995,2896,59,146
784867,1059541,3588,3456,26613,18044,236098,559413,889,839,7922,6309,168,146
1001045,590818,450,553,9092,26467,877517,762822,444,441,8354,25017,66,146
452746,96659,516,518,2724,2661,413273,110477,369,280,2671,1860,58,147
761105,949010,628,408,2073,1359,623438,837139,475,275,1321,1387,78,147
183822,108209,249,261,1862,2850,140975,99291,142,144,934,1608,50,147
143894,2976,160,159,112,446,143399,7049,188,146,161,208,41,147
122076,70775,149,176,870,1024,104093,87590,102,150,600,852,43,147
522680,71162,80,185,3263,5104,486936,88270,71,180,3917,9263,58,147
463203,141464,385,253,1139,815,441422,183518,367,162,1048,926,56,147
169425,147931,168,51,523,697,153264,191387,104,107,459,381,46,148
293365,65220,107,37,2322,5343,290098,86036,50,39,2527,10364,50,148
1911451,849079,2267,2231,16593,22116,1083919,354515,686,713,5601,6831,164,149
124693,79008,88,40,719,3008,98633,81847,65,70,524,1992,46,149
197194,138381,490,433,3084,2123,113593,108602,257,268,1568,1251,76,150
713270,189867,596,484,1774,1872,650646,232076,486,485,1707,1623,61,150
352395,50147,191,259,1985,5105,321348,59210,202,203,1577,3537,54,150
766634,655016,1556,1401,11512,9492,519450,594468,1109,734,9076,9623,81,151
210791,27585,26,63,247,442,190237,32739,39,79,145,194,51,151
312794,511773,11,61,0,221,151121,260796,36,47,91,75,82,151
145511,166798,260,260,1675,1392,118710,202344,200,185,1054,784,49,151
960243,217950,749,779,5247,7722,684691,135758,378,425,2617,4594,92,151
529335,52727,251,221,2075,7895,523310,68714,198,237,1951,7943,57,152
977071,84952,307,384,1441,1185,719007,67583,235,221,1270,606,87,152
165582,84029,89,215,926,1168,120130,70324,104,237,810,1164,49,152
645841,120228,486,389,2822,3497,576308,148345,368,326,2741,2907,61,153
246594,2667741,260,177,1930,1977,220658,3460356,218,138,1607,2344,50,153
540850,67402,79,106,1020,4061,523919,87639,104,101,974,4496,59,153
431590,50289,93,117,1545,6308,429397,66873,110,116,1362,5126,54,153
386151,230044,625,711,5043,5967,205858,127457,275,247,2463,2150,88,153
115856,14121,117,47,368,360,116394,18976,113,58,467,180,38,153
280102,220326,847,960,7565,9019,135915,120354,413,309,2811,3874,85,154
414117,76977,141,238,2645,8686,333082,89614,123,232,2416,8160,60,154
141052,29142,94,83,339,784,119517,34940,91,74,286,747,44,154
1376129,1219410,2094,1403,5869,4135,1105097,1369979,1678,1155,5096,3107,74,155
439446,63737,32,284,1301,584,395701,76299,60,222,1436,447,59,155
346026,26767,38,51,295,190,347957,36901,21,50,405,18,52,155
103651,94242,151,157,709,2100,80133,111118,118,122,550,1482,45,156
178334,35936,61,251,797,1240,164182,42738,92,238,854,658,46,156
101323,18919,58,182,586,700,91829,24955,108,140,563,747,37,156
355534,280140,740,597,3778,4600,242868,194264,326,270,2385,2058,75,157
373693,47370,129,197,2936,10793,359927,57226,92,144,2427,8735,54,157
121062,23194,49,2,310,614,102670,29069,61,36,199,503,42,158
132401,47091,80,130,123,1798,113377,62771,79,86,317,1401,43,158
122866,77618,146,202,757,762,116553,104619,136,191,539,666,40,158
676172,346962,1207,762,5042,4784,470416,285938,788,460,3502,3041,83,159
222909,31301,141,146,755,1054,211753,39963,148,126,751,1178,48,159
706479,325171,48,144,806,2062,569522,384860,38,93,994,1537,65,159
499820,526355,552,409,1262,1210,471617,683850,608,328,916,966,57,159
87001,13196,174,139,592,274,86157,18001,202,86,564,150,33,159
173700,139090,585,379,2916,2734,116740,123452,303,196,1241,2050,51,160
507652,241933,4944,3125,6487,2002,432275,284690,4169,2576,4958,941,64,160
356594,96195,226,131,2039,5760,355742,123624,140,78,1646,5076,53,161
141726,63634,160,268,1494,1221,116058,70701,127,222,1309,647,45,161
457992,250152,887,815,7014,9283,322375,209146,466,446,4459,6069,75,161
317156,95156,291,378,2183,1810,283627,121009,249,281,1475,1741,55,161
497524,40788,124,76,1336,5090,486469,48124,116,61,1547,3900,56,162
325494,33659,109,110,1559,6494,316986,42796,84,110,1115,5004,51,162
114375,65972,94,134,502,500,110581,89102,147,123,634,203,39,162
189578,36611,33,66,144,336,148434,40398,43,77,130,322,50,162
231073,161924,354,144,598,740,200205,207169,284,163,764,499,50,162
100882,17830,94,58,257,399,94339,23301,101,53,259,231,36,162
293361,784202,464,450,1620,1954,249261,1039143,325,369,1949,1225,54,162
145307,163480,255,14157,89042,0,121135,177784,174,9996,63259,339,48,162
174672,42045,98,56,169,429,158376,53591,82,43,216,356,45,162
859678,132557,449,385,1521,902,824518,159246,379,194,1226,799,63,163
323388,63148,377,303,3733,9853,291666,78179,328,246,3508,8946,54,163
138828,54171,97,2173,13467,0,118751,68914,64,1685,11563,822,44,163
146124,24802,56,92,578,508,128703,29665,65,67,598,690,44,163
307391,336474,382,504,1347,791,276850,430736,270,405,1123,579,53,163
497444,155782,498,419,2441,3470,446271,185456,427,386,1834,3214,59,163
169306,173667,277,284,2311,1739,137227,200225,210,206,1915,1212,49,163
122954,26706,139,78,207,520,106275,33867,107,52,189,339,42,164
645999,59406,95,176,1289,4519,638394,78853,128,76,1115,4087,58,164
109902,6714,73,62,336,682,102596,8797,86,74,293,421,39,164
401028,124010,688,650,4515,6941,301694,131761,467,412,3261,5589,65,164
105219,9870,46,3,274,338,95679,12858,84,26,293,133,39,164
136385,30151,160,174,1508,1190,122209,38040,136,162,1450,1118,43,164
191945,15584,100,367,1835,249,183036,19287,71,308,1874,550,46,165
227864,43874,326,331,1767,3145,190600,50876,374,316,1579,2591,52,165
133596,41316,322,295,1507,1825,102992,49781,320,298,1346,966,47,165
994245,239984,938,809,7120,10625,897869,291796,660,650,6051,9292,67,165
158577,198875,346,236,995,371,135895,249826,288,190,1020,465,46,165
116603,39934,115,155,400,203,107175,51013,102,102,385,348,39,166
90291,32845,134,157,985,1081,81994,45355,161,175,768,786,36,167
761113,1606351,1176,845,3553,955,621340,1811959,944,688,2311,988,67,167
465528,238165,1034,970,5267,3265,146380,145659,374,363,1900,2026,129,167
115720,35016,133,172,949,1397,107993,46805,84,182,895,1592,39,168
882172,591478,1352,1154,9056,9753,614666,652484,1120,937,6460,8073,73,168
234090,65169,212,305,943,437,205403,80727,191,174,785,432,51,168
444125,31259,139,1565,10092,3793,430144,41045,101,1346,9554,2526,56,168
