"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
2372248,1937328,2414,2576,16796,1942,1676712,2154121,1586,1477,9511,2407,91,144
449443,39287,61,85,600,591,444494,49396,74,47,509,176,55,144
252810,114096,115,195,1228,627,230296,141574,116,251,939,384,51,145
315556,138921,1479,1513,4557,848,315048,182886,1429,1174,4143,1265,51,145
1998829,954197,1270,1807,14922,2164,1426278,785473,671,1026,9297,1851,94,145
253617,13178,168,229,931,615,250071,16645,118,162,911,494,48,145
304563,78327,65,84,631,557,305459,101739,70,49,698,241,50,146
301276,21496,142,52,413,341,295956,28040,184,113,472,586,51,146
593830,346234,310,313,2744,376,464888,401646,268,231,2173,600,66,147
148113,107858,205,183,1409,0,113915,138036,167,127,1045,434,48,147
118301,28633,125,88,646,189,112269,39783,114,66,802,241,40,147
275569,19166,15,134,827,314,279926,25446,45,112,1079,204,49,147
119256,58659,90,128,511,420,109873,77737,140,81,675,251,39,147
100181,21622,125,178,854,425,80717,24916,124,121,609,451,40,148
158358,42850,26,79,596,44,149394,57188,17,72,502,30,43,148
546208,1350003,11157,7180,20568,2269,471272,1706398,9389,5924,16470,1477,61,148
187649,55900,120,238,653,366,156502,67545,113,212,639,184,50,148
1375350,1077396,1140,1489,10856,2215,539885,657940,487,560,4979,1044,114,149
1010245,504915,586,528,3599,639,908997,629236,540,398,3707,308,65,150
368003,35345,51,146,1140,393,372652,47182,95,188,1281,281,52,150
108181,21971,52,114,613,481,97881,27478,92,61,658,261,39,150
531581,44084,181,162,749,285,521525,56531,163,129,521,298,57,150
1033030,90661,273,425,2560,1139,948471,107836,260,436,2538,481,65,151
93935,41346,112,172,668,432,83135,54468,81,124,979,249,38,151
233525,76962,2149,1429,3575,556,233458,100555,2214,1352,3932,912,48,151
508528,113072,190,171,922,210,506190,150354,165,216,873,62,56,152
953680,588047,570,755,3419,344,867894,722647,666,553,2746,696,66,152
303390,26222,118,88,376,119,294989,32414,73,63,281,69,51,153
128302,127152,30,98,835,170,103988,161126,23,87,809,157,44,154
1756641,394057,1143,1051,3121,1099,1632566,453153,980,1015,2537,1884,69,154
