"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
99951,12922,47,95,511,128,88208,18790,38,114,450,3,37,141
728559,68141,170,205,677,0,711070,89398,94,250,555,45,61,141
1261094,112292,3247,634,683,516,1182457,138747,2938,524,520,389,66,141
1084207,1888873,1804,3437,12420,656,988182,2320196,1582,2946,9567,1720,66,141
385806,18911,124,51,423,254,377892,24277,89,54,296,88,53,141
600172,62213,57,127,383,390,599713,83854,79,108,246,177,57,142
505008,57450,33,92,229,337,512016,75705,26,55,168,171,55,142
252503,44578,205,222,893,94,236665,58048,189,171,993,80,50,142
965688,84379,187,98,686,0,937616,110845,163,92,768,213,65,143
373060,93041,179,160,1208,132,356907,116073,119,138,1081,91,54,143
790360,79913,125,155,350,512,788218,103461,107,126,335,178,60,143
647122,80812,75,141,779,481,654665,107760,83,111,553,345,58,143
137752,19786,299,231,1101,210,121669,25846,255,166,862,262,43,143
396896,32536,110,0,458,136,377697,42244,102,52,434,31,54,144
768192,703213,2403,2458,11437,268,465280,638005,1313,1443,6397,664,89,144
311469,127157,2322,1435,3272,611,301928,168061,2056,1355,3593,340,51,144
178864,77317,365,329,1665,596,125656,87334,257,218,1068,1107,55,144
150434,97622,19,65,325,285,116907,94999,17,38,183,64,49,145
233539,20936,114,56,551,358,218622,26808,94,78,619,104,48,145
627644,44200,75,72,653,115,627059,58073,38,49,525,148,58,145
737673,100786,87,98,348,519,742253,131452,92,85,371,180,59,146
197415,29048,129,83,243,418,189979,36268,132,103,183,126,46,146
700980,60964,89,121,466,95,712416,78594,78,95,515,119,58,146
284598,46663,65168,11702,5401,0,277431,61032,61706,10428,4469,712,50,146
507056,60896,151,106,497,510,500963,82557,206,111,538,409,56,146
278322,247729,1147,875,2153,304,263449,316531,1058,877,2186,304,50,146
499640,45689,114,195,1008,230,479453,58865,80,168,687,83,57,147
313912,28132,69,75,198,358,310436,36796,59,65,270,134,50,147
748124,93104,126,83,504,574,698789,114304,86,87,475,404,62,147
118127,5632,28,66,0,279,82038,5873,65,111,21,39,48,147
130535,81705,241,310,1245,565,92193,90746,240,167,962,461,48,147
183567,151431,173,229,901,577,168564,176797,129,253,956,365,47,147
463317,59373,285,297,1424,425,355542,66840,263,188,1248,652,61,147
122817,195365,614,465,1045,209,115812,266673,568,578,717,288,39,147
525049,40867,118,68,262,352,506129,51286,87,69,241,170,58,147
88469,28176,90,122,812,281,82665,35662,149,116,776,225,37,148
331296,463340,713,1408,5233,0,260762,508077,564,994,4913,48,59,148
873862,12854279,1087,1245,5231,684,703255,15559566,817,936,4067,747,69,148
167494,195066,409,461,1769,194,142241,255637,368,398,1724,312,47,148
297654,23144,38,128,552,1723,290703,30006,61,114,621,899,50,148
189198,117060,308,405,1688,619,106281,107248,195,237,1168,694,66,148
358414,68676,0,0,67,262,269000,65187,14,32,119,48,66,148
1442922,1004095,1506,2790,41439,3170,742782,767524,948,1394,20854,1939,103,149
458060,1693540,540,694,3331,638,365343,1817360,418,514,2349,812,65,149
493780,30060,57,73,287,348,494032,38281,64,63,394,340,56,149
108894,33942,62,70,1103,237,97157,46041,82,58,1163,232,39,149
102347,40068,73,224,498,168,98990,56268,46,211,518,98,37,149
548028,47956,138,93,475,217,544277,55688,83,52,328,51,58,149
515670,47113,80,111,509,281,514014,60893,80,69,365,129,57,150
466258,40767,155,80,250,85,458009,53654,167,56,215,67,55,150
688865,34632,74,156,600,0,698243,46442,77,89,752,48,58,150
486836,61161,136,132,980,397,477083,75913,127,111,773,202,56,150
510762,48697,79,0,154,257,525145,63031,56,37,180,129,55,151
592675,56896,128,47,368,150,589629,74599,116,59,432,256,57,151
235437,253868,474,509,1653,925,125886,154145,155,185,682,405,71,151
242412,26731,52,107,210,248,242367,35983,122,94,288,307,48,151
92766,61869,196,330,1061,555,81819,71249,116,297,843,394,36,151
97613,50133,110,235,552,172,87266,61411,99,222,568,216,38,151
109424,10931,24,36,112,289,95417,14216,27,29,146,85,40,151
342805,42126,119,161,472,312,336899,56685,181,152,507,201,53,152
331054,538679,344,441,2055,544,253718,622922,293,299,1539,566,60,152
717987,1686895,3626,4743,11337,1026,568926,2023081,2955,3867,9809,1087,67,152
140340,83359,301,310,1160,161,100099,103464,267,303,1079,141,48,152
165956,53740,270,237,584,801,130857,66199,308,190,453,894,48,153
151759,26947,171,136,518,518,136631,33248,173,132,428,354,44,153
144862,182247,133,191,1003,377,105088,187619,102,87,624,176,55,153
753047,61788,94,117,329,449,757149,78754,86,87,477,364,60,153
614750,385228,2051,1529,3797,789,566736,485700,1645,1394,3594,1263,61,153
336895,147061,288,375,1510,171,249146,150136,237,250,1329,274,63,153
189758,259436,328,518,2079,130,147072,259393,245,318,1306,646,54,153
348959,330749,777,628,3353,389,150040,180086,323,218,1217,569,112,153
323046,35507,74,61,106,283,323033,47372,107,65,107,132,51,153
624523,672732,29,3,203,338,466403,664767,29,23,345,113,75,153
561486,46587,80,0,687,314,564193,59038,55,28,556,268,57,153
602150,348700,85,216,1152,322,594014,440986,86,182,1070,509,60,154
604618,61635,37,158,380,0,601454,79519,58,119,370,23,58,154
663488,37133,53,155,708,269,662406,47213,66,80,884,71,59,154
296425,235200,654,751,3588,1532,244096,274858,518,518,2430,1015,63,154
641164,66641,94,35,634,139,640609,88853,110,112,481,280,59,154
571479,31584,112,123,552,227,574527,42163,69,106,476,68,57,154
484026,1590313,520,882,3515,624,421613,2056283,434,687,3203,808,66,154
144812,23897,176,184,430,341,143115,32570,129,175,469,312,41,154
451020,19007,102,92,473,458,441185,25703,95,80,372,216,55,154
554560,536823,769,778,3992,0,242641,429120,345,408,1878,301,100,155
573312,37615,100,110,309,167,571236,48499,67,99,394,24,58,155
92468,27554,51,97,163,185,87219,38438,56,67,188,6,35,155
645592,71075,141,72,286,190,629854,90897,121,90,340,178,59,155
273162,1549747,260,320,653,390,147027,1429131,119,162,311,130,76,155
129025,129018,354,279,794,0,106266,142217,301,211,747,0,46,155
668977,53005,75,118,224,157,674180,69082,87,124,382,168,59,155
147881,9500,41,0,113,355,136894,14140,39,0,195,110,42,155
806310,1091462,2582,3129,15432,2758,623854,1098909,1929,2113,10092,2221,74,156
98234,19772,51,72,238,304,93887,28938,57,59,267,192,36,156
452249,26827,9,76,106,323,434235,10014,13,74,6,114,55,156
95913,552961,139,245,510,484,83374,737996,113,175,540,354,38,156
501386,77742,108,137,370,470,503454,102419,78,157,427,370,56,156
681301,170372,150,153,740,381,574578,192657,163,92,586,217,70,156
139353,65968,123,75,750,429,116990,83529,95,71,765,365,44,157
208523,93803,163,151,1034,234,167570,103039,119,203,856,304,53,157
293406,19237,70,120,304,212,281551,26553,58,98,450,57,51,157
393436,255096,16,0,109,415,392353,328817,44,21,189,273,54,157
162684,19272,82,128,165,331,155127,26054,91,136,163,274,44,157
93873,21318,118,140,248,412,88105,27979,99,78,154,312,36,157
718030,42061,87,103,694,0,720178,53980,66,116,586,176,61,157
335953,25988,70,80,150,189,333582,32756,79,62,148,99,52,157
156032,45781,43,219,784,295,143157,57707,56,176,820,140,45,158
89447,53442,109,90,1096,479,82639,62709,133,45,966,370,39,158
115983,16557,85,101,159,118,115346,22771,78,108,183,37,38,158
228369,120990,419,344,870,617,182088,109885,377,286,647,385,53,158
89447,78082,116,103,487,142,82902,106383,98,67,388,145,35,158
453080,38829,138,137,712,463,442219,49863,141,117,610,287,55,158
138262,6564,33,16,84,334,91495,5045,30,29,42,130,49,159
240256,99145,314,552,1867,724,208716,125579,241,511,1525,883,52,159
227284,91710,419,463,2019,561,180682,110038,339,361,1502,457,52,159
100141,17652,98,147,452,252,89274,24261,89,118,583,197,39,159
100127,114680,153,214,547,590,83640,152520,106,188,600,434,38,159
125020,56070,236,279,1124,419,93696,66378,179,206,729,355,47,160
346846,19443,115,65,530,571,336489,24440,126,76,640,408,53,160
122321,11569,8,81,0,219,120338,19646,21,129,59,0,39,160
197532,203594,0,11,75,234,145436,200599,24,35,124,13,57,160
322863,191985,140,276,716,628,326073,250708,126,301,662,476,51,160
722612,100731,207,180,1111,375,649397,124117,237,104,791,228,63,160
504811,152862,440,527,1541,58,488775,200288,395,352,1426,416,57,160
357824,21438,19,53,54,304,361088,28864,26,72,155,176,52,160
259396,122413,339,384,1247,921,203635,142921,246,243,978,667,55,161
432113,27476,187,161,477,365,405257,35746,165,147,542,255,55,161
385546,1732898,643,649,4217,1002,328388,2082014,471,539,3527,1321,60,161
86238,3964,56,76,270,458,82832,5579,88,88,333,243,34,161
153233,60045,169,255,989,429,130223,70538,158,204,846,300,48,161
109367,38069,65,179,284,444,98608,46402,46,192,320,200,39,162
780791,78389,112,36,317,441,771978,101571,91,53,368,392,62,162
248768,87488,591,661,2087,825,190447,99688,427,390,2298,358,57,162
123506,44016,268,264,767,370,100022,51309,332,188,792,328,43,162
257737,60356,164,125,322,448,240442,78438,145,107,277,216,49,162
459818,377134,1362,1320,7142,2300,265881,257822,640,641,3745,1063,92,163
426567,379575,12,77,152,394,411173,477237,57,78,123,249,55,163
471681,175714,1738,1125,2447,623,465948,227677,1630,964,1990,572,56,163
1154493,84800,339,314,868,348,1087356,104405,301,185,760,309,67,163
386188,778783,1222,1497,6904,1043,189478,287823,642,769,4206,1131,95,163
168882,15520,51,46,53,332,165557,22404,42,66,72,52,43,164
217643,31514,65,56,541,432,205937,41149,107,93,369,171,47,164
443150,803068,781,1193,3873,414,352522,863820,540,886,3239,1086,63,164
323130,184037,512,394,1989,745,211947,177857,385,253,1732,888,68,164
302572,192751,557,343,2180,0,258483,216067,353,235,2106,544,55,164
111493,47060,338,239,697,709,98869,46957,203,125,722,394,41,164
350980,26920,92,78,474,479,340711,36156,99,90,567,636,53,164
210515,242150,238,295,1531,578,107694,168932,241,170,785,718,75,165
130917,327555,85,118,702,378,125387,442955,86,71,864,176,40,165
88830,60310,33,67,333,518,81349,81667,91,44,197,298,35,165
198330,46180,280,363,1088,305,165305,50378,193,332,1075,210,51,165
679034,49269,34,128,41,455,675797,63452,41,90,81,112,59,165
143044,50232,180,127,784,145,127581,66786,206,132,750,113,43,165
114978,63892,67,65,600,511,98724,80308,60,70,416,494,41,165
729175,80455,82,71,246,328,736689,105837,138,60,221,242,60,165
178405,103675,138,164,840,577,168499,141177,138,197,609,472,45,166
99294,29767,104,33,1927,566,91166,38467,88,35,2201,500,38,166
323748,101321,350,615,2732,815,230530,100031,294,424,1739,491,65,166
647178,56922,120,18,757,403,642726,74824,145,78,827,260,58,166
119619,31144,120,264,760,307,104462,39370,129,170,681,146,41,166
200898,250383,333,231,1462,531,163871,237349,208,236,1258,366,53,166
157455,42328,88,147,209,405,152179,56769,64,98,225,147,43,167
491711,186837,500,476,2918,77,430457,152852,233,220,1927,772,63,167
918677,927171,982,990,4501,1103,832302,1059429,900,807,3874,1181,66,167
115882,40185,13,56,313,104,110477,57503,57,46,273,128,38,167
98108,13751,83,60,622,177,92548,18492,48,85,785,153,36,167
106584,63202,118,250,707,55,96760,81107,107,253,603,51,39,167
123591,37429,174,128,804,564,107318,46637,123,103,610,273,42,167
1250148,1049572,1822,1897,8993,968,635954,490380,556,590,2889,973,128,167
453335,453408,1600,1645,6861,1180,254612,394949,1022,1048,4372,1437,82,168
527858,64063,118,26,519,274,519996,84224,179,25,473,190,58,168
990591,104779,161,131,374,365,920255,128132,131,121,239,161,65,168
86396,22773,27,60,393,314,81827,30487,31,74,385,24,34,168
557782,390401,622,562,2667,1469,457152,415625,368,404,1838,784,68,168
157352,68443,402,275,1700,408,107544,72209,247,154,1391,358,53,168
302382,180773,3297,1975,4359,674,295929,240330,3134,1732,4179,948,51,169
708842,556042,1387,1582,6790,1378,471115,536563,835,951,4314,1878,88,169
419918,411206,56,46,172,237,354039,453096,47,71,100,23,63,169
1040384,84114,212,158,284,936,1014023,107055,235,171,208,430,66,169
231373,39678,97,115,538,237,232696,53425,141,95,518,181,47,169
185132,81119,477,285,1545,669,143695,90710,422,183,1236,662,53,169
361723,1715503,553,852,3376,416,294404,1982237,445,550,3100,689,64,170
100204,23041,116,166,781,443,88533,28025,149,156,669,344,38,170
964987,1314231,1670,2438,7910,708,814489,1504674,1480,2111,7598,1834,67,170
85159,27758,120,95,286,90,80036,37216,137,76,397,42,34,170
1331905,876476,906,1518,5599,955,1015075,1016353,761,1031,4561,529,74,170
422524,352540,970,1106,4615,916,275330,374480,669,577,3055,472,80,170
121343,12054,79,36,161,198,109105,15333,130,59,225,32,40,170
214159,49118,168,271,1083,489,188845,62286,168,146,759,665,49,170
433961,32651,98,156,443,314,420860,42558,110,111,419,292,55,170
276165,15149,51,28,173,242,262991,18670,68,86,285,12,50,170
1167511,89895,93,132,551,32,1136791,109364,110,116,557,45,66,170
525644,455449,1443,1393,8466,1565,219022,251802,573,465,2986,963,116,171
186674,213215,898,1002,3286,511,106007,173792,626,713,1655,720,68,171
453351,344894,575,510,2646,131,374145,410484,430,479,1818,490,63,171
613371,27979,116,108,361,112,601423,35763,129,104,386,210,59,171
144973,57578,105,230,444,343,130636,74208,118,223,519,216,44,171
306117,85332,120,150,547,677,264594,98388,100,110,426,378,56,171
101323,15848,133,274,727,402,88535,22689,105,191,446,357,39,172
523414,28316,51,38,3,196,527097,36688,42,52,58,5,56,172
225925,27694,46,95,516,536,215533,35165,104,82,486,279,48,172
178010,36242,189,257,802,392,168489,48427,175,256,776,384,44,172
103257,69521,49,55,469,396,93415,88163,59,91,663,371,39,172
272045,330248,9,38,10,254,216187,386771,29,56,21,82,57,172
131960,91836,324,324,1444,466,99503,107474,306,178,1294,424,47,173
155781,92388,136,179,1530,198,134948,120465,110,99,1312,488,46,174
1193156,1539669,1433,2543,9124,441,995129,1841548,1148,1874,8107,996,71,174
217087,224937,399,426,2326,746,163051,234103,306,239,2064,982,62,174
136573,63882,177,201,741,381,116650,80894,123,102,963,304,44,174
1102736,1499927,863,1168,5056,671,964134,1907303,698,969,4365,731,67,174
135412,59308,248,130,394,150,99358,59115,144,68,349,104,51,174
