"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
819701,243204,167,248,2056,1399,591559,273555,163,139,1458,1098,82,157
699189,136217,225,307,1936,477,482330,81131,138,174,1252,597,83,159
96535,25848,7,30,301,363,92345,36725,29,24,202,132,36,159
583831,162104,139,264,2269,272,463200,141851,134,146,1722,479,72,160
348752,44918,79,0,84,189,121483,22754,76,61,122,68,113,160
527603,96210,58,53,353,1227,535588,131435,80,59,415,978,56,161
1040078,477749,336,1015,6470,0,975643,611137,308,774,6109,490,65,161
153286,68337,57,111,704,442,141990,86692,40,105,841,335,44,162
440210,36748,84,90,908,2213,444889,48921,91,49,548,1389,54,163
397649,19061,48,127,0,137,103584,6336,54,119,140,50,139,164
241425,79546,13,186,1086,861,209087,94771,21,177,754,1010,53,165
307466,23703,97,99,654,1521,306885,31251,80,40,521,1301,50,167
128434,44738,66,71,145,276,115306,59930,52,87,271,81,41,167
957582,102334,284,1091,7963,1032,812596,112112,211,753,6673,1252,69,168
187646,117898,23,94,309,427,169067,162104,41,93,350,357,46,168
549786,256463,301,373,2032,798,485234,316231,238,307,1476,612,60,169
532678,58163,119,135,411,558,522292,73013,83,191,541,385,57,170
391247,131463,307,636,4656,1001,279656,133299,195,481,3611,1003,65,170
381115,35098,71,97,508,328,363942,44273,42,63,306,238,54,170
201798,74102,38,181,823,624,157773,91798,93,120,696,447,52,171
106667,10937,14,71,283,189,93254,13614,45,33,264,50,40,171
747237,171498,182,174,2079,747,512982,180126,134,82,1523,447,78,172
1214900,237476,189,356,2459,1097,941835,272425,102,320,1574,457,76,175
426543,61823,0,0,943,2298,412410,79380,39,53,1007,1723,55,175
581569,119829,154,243,1108,648,523457,138175,182,199,1406,482,60,175
147115,10180,113,112,1239,998,129528,11570,82,96,1248,403,45,177
704964,54793,248,331,1199,852,677500,66844,222,221,855,580,62,177
368735,256693,291,466,3178,264,201752,163682,179,238,1534,688,88,177
114539,30341,67,32,438,99,100991,39315,80,64,559,0,40,177
978622,277528,307,480,3420,1024,553745,229743,165,254,1964,831,85,178
109905,8156,67,77,243,320,98592,10926,87,110,271,286,39,179
660516,199376,214,195,1617,658,592680,230534,209,125,1528,317,63,180
353137,193197,108,112,936,648,310405,244536,136,77,851,566,55,180
398109,26539,88,75,602,372,383505,35331,94,132,842,407,55,180
1173656,281854,288,382,3341,1253,1083695,297466,211,282,3075,1059,68,180
128010,68668,281,240,513,340,124464,92724,251,144,433,537,40,180
185461,70312,96,136,469,216,165150,92313,43,88,500,221,47,181
93952,6988,36,151,100,224,89440,10275,56,80,46,169,36,182
180406,32275,33,52,808,762,170461,41080,65,83,902,660,46,183
147396,98375,201,131,89,414,143021,132918,272,100,95,456,42,184
405577,26466,128,132,1178,612,389151,33489,90,158,1140,640,55,185
291218,46837,129,173,1086,434,251844,53439,133,128,846,336,54,185
209487,56772,72,105,449,318,193368,72153,42,66,421,71,48,185
85021,9154,61,58,170,335,83850,13594,47,69,109,162,34,186
610433,79128,38,67,661,1037,613736,107269,40,82,663,690,58,186
189531,87682,64,91,478,322,164850,93207,54,92,430,286,48,187
334783,660487,165,181,1216,418,187489,646967,128,123,614,177,93,187
390599,48717,83,97,284,398,379839,61654,86,85,397,793,54,188
135873,23502,77,99,215,132,115528,30143,51,49,338,86,44,189
191456,78388,49,15,694,73,169862,95092,43,87,725,157,50,190
143973,47431,89,166,543,190,122076,62011,64,168,592,175,45,193
227896,28632,61,85,309,581,208108,36644,81,79,404,425,48,195
138839,22864,98,42,382,290,133736,29207,78,38,411,164,42,195
91351,7546,78,87,215,346,88046,11080,85,82,252,120,35,195
506395,126381,84,57,940,2233,505229,168383,70,79,740,2312,56,195
1247133,474877,457,731,5115,868,661822,418644,256,252,2648,753,118,195
1447713,635601,694,799,5715,1162,963753,475850,611,393,3064,1583,108,196
96440,42251,11,97,270,280,85486,52891,20,55,311,95,39,196
198893,39991,72,63,586,101,147606,45919,104,82,474,135,53,197
90411,10204,0,25,464,442,86446,13246,6,70,460,337,35,198
242219,319272,134,188,1477,1023,103002,274558,62,143,674,434,99,200
196107,48391,124,181,1309,542,151528,57667,112,128,1354,518,53,200
2158331,148492,552,573,3557,2048,1884672,143941,370,401,2975,2768,79,201
492515,219690,216,200,1393,661,373633,271853,129,191,1148,546,61,202
163989,56292,41,178,866,545,128018,63643,57,118,553,309,52,203
362588,142396,152,273,1320,259,262406,145145,99,200,1117,266,66,203
258618,83286,72,18,387,636,247258,99715,108,66,476,486,51,203
270014,44516,99,102,590,3502,262798,57411,107,104,486,2581,50,204
152157,19811,23,55,302,553,142892,25494,11,26,314,337,43,204
131938,1308,0,63,0,293,124353,2249,15,72,17,54,41,205
1108584,321569,297,646,5070,2998,782978,300674,255,353,3641,1979,82,205
99363,11509,33,140,306,551,93299,15355,42,140,257,388,36,206
218604,24232,105,67,553,443,189306,28581,70,90,538,350,51,207
97379,30550,92,155,646,490,92827,33257,103,120,543,226,36,207
162608,37371,24,97,465,282,148888,50276,39,61,465,297,44,207
547657,139507,98,220,483,337,501141,179056,134,108,425,180,58,208
167728,17404,53,23,224,344,150905,21363,69,27,256,255,45,208
89188,16498,34,81,170,268,80025,21448,45,65,180,227,36,209
221347,41643,46,138,365,209,191112,52575,102,72,236,5,50,209
534330,241480,241,514,3521,3043,401925,263397,182,340,2705,1895,69,210
770968,229649,448,416,3107,1046,570203,225871,273,268,2795,691,89,212
691241,117755,230,294,1493,600,637423,149413,181,234,1495,756,61,212
317607,361281,307,250,1695,932,144785,226608,112,129,609,427,121,213
156599,46073,73,51,311,475,126666,55695,92,100,284,317,47,214
403125,17944,57,16,266,175,346891,19613,88,61,213,42,60,214
271125,207067,483,308,1519,334,264131,271129,404,261,1742,317,50,215
129940,252727,114,159,530,915,115289,317743,67,151,362,674,44,215
424546,77318,54,120,695,1318,411310,97515,42,62,542,1114,56,217
207098,61805,143,66,569,481,162559,70613,90,107,689,312,55,218
1195655,131638,387,309,2694,482,1060638,153295,235,299,1865,1002,70,218
312346,14599,63,18,93,331,304353,18886,67,109,223,273,51,220
699348,633488,170,248,2732,981,374186,509222,149,158,1943,660,101,220
123671,21074,47,105,546,132,109543,27229,75,128,512,284,41,221
2187489,491195,746,854,7135,1761,1836384,531937,526,699,6417,1368,78,221
935562,624042,1415,919,3840,438,821985,767808,1326,875,3585,768,66,221
510093,582739,556,464,1821,768,457291,718433,413,351,1364,967,60,221
284263,74414,0,117,774,233,242892,85652,10,134,644,217,56,223
136774,6865,57,56,456,294,125769,8855,69,20,691,83,42,224
207201,91364,82,91,687,419,188162,112854,50,87,636,259,49,224
295924,25683,59,141,879,870,274228,31698,70,82,646,542,52,224
299407,42866,39,74,591,590,274838,55861,54,113,621,345,53,228
200690,31203,18,31,288,247,192426,39119,38,81,207,4,46,229
213269,191056,71,111,927,735,170274,203105,80,113,683,524,55,231
248977,32297,118,33,658,441,214035,37593,134,81,830,198,53,232
499105,60933,199,184,940,542,452607,74365,148,210,1001,367,59,232
440606,87027,109,164,1499,3550,420168,110194,123,118,1519,3604,56,233
92953,7829,46,38,318,279,90667,11710,34,85,265,27,35,233
1389588,686323,789,981,6343,5004,883790,670837,448,582,4121,2930,88,233
384099,109189,62,85,525,1760,366883,143726,56,58,379,1340,54,234
118664,64898,110,126,1288,379,85825,65130,53,102,1275,300,50,234
312705,326737,87,126,786,419,232997,407356,56,84,492,233,60,235
444482,32375,77,43,577,2204,427191,40728,109,10,723,1718,56,236
114956,34203,48,119,362,390,106123,46899,59,85,219,160,40,237
674084,34690,8,61,668,0,652498,44587,51,99,709,0,59,239
273614,35210,19,80,730,431,255537,45102,19,147,906,279,51,239
202921,82762,83,16,359,552,178436,83249,49,53,325,224,49,239
243287,292774,1365,1012,2815,319,185184,356028,1055,836,2694,398,58,240
1006400,1181002,265,1053,8008,282,682229,1300415,183,707,6486,1242,83,240
420191,90107,198,244,1366,651,339685,102820,145,212,1244,354,60,241
309725,35941,16,56,572,1955,300561,46437,27,52,768,1177,52,242
1021834,139391,118,309,2045,421,901033,157009,87,259,1612,286,70,242
304985,37315,53,79,729,1801,296713,47641,83,72,521,1898,52,242
293298,721459,244,294,1813,294,256748,923797,215,333,1305,342,53,242
104345,17008,66,33,288,500,93461,24203,82,67,373,462,39,242
285096,67890,86,119,922,686,168600,66037,44,99,994,349,66,243
85188,7678,7,52,338,354,80177,9518,36,42,396,78,35,243
326924,240938,59,125,976,514,311667,313137,85,178,1020,363,53,245
1139337,103664,218,110,796,1199,1103667,131598,177,202,706,705,65,246
