"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
544376,54407,89,78,186,462,539396,70700,69,77,375,274,57,162
156273,226068,23,32,77,227,115114,218765,53,42,68,5,52,162
367829,382154,717,452,1843,651,323304,481524,566,338,1753,895,56,162
276379,65347,455,407,1396,118,237981,82639,376,312,985,365,53,164
100020,95921,323,254,1219,420,86340,126168,292,216,985,451,41,165
479505,56011,129,76,224,546,467449,72734,144,57,433,389,56,167
149734,115364,73,170,666,129,138278,149125,51,177,797,598,43,167
520419,57828,95,66,327,548,503652,74734,116,98,180,446,58,169
239553,96561,0,93,88,292,123746,74468,36,145,112,81,72,170
93805,14208,139,77,536,287,83679,19376,108,115,485,138,37,170
296317,184427,554,329,1138,810,264546,223955,329,337,1013,465,52,171
378883,47370,61,72,246,233,371600,63250,86,118,381,53,54,173
214908,74285,33,87,181,301,107512,50532,27,62,183,75,76,174
237697,281958,948,736,3242,1331,126797,50650,239,236,706,341,50,179
362794,204679,493,498,1469,938,325806,223782,407,367,1174,934,56,179
120686,235742,0,90,119,242,81961,211794,28,27,114,0,47,180
347262,152078,819,895,2857,1784,223854,100014,348,399,1430,1137,92,182
284868,8708,0,80,145,281,196932,9778,20,40,187,192,67,182
223478,167684,573,526,1533,802,139967,70291,229,281,605,324,56,182
337788,132387,356,408,1942,265,290890,148200,325,351,1717,321,56,183
217786,176623,501,473,2020,426,116341,112320,211,171,883,424,93,183
146762,111141,310,215,652,286,129640,145388,369,210,814,127,43,185
376264,58962,87,150,261,227,368394,77371,104,199,230,119,54,186
179346,55581,156,147,853,481,160857,71908,135,175,563,276,46,187
480475,26432,123,70,160,343,472582,34597,115,119,207,152,56,187
559734,66497,89,16,377,235,555386,87356,119,51,336,439,58,188
121461,23190,150,174,270,212,110167,28995,130,135,331,30,41,190
170172,179302,531,620,2080,898,99959,159565,309,371,2058,638,64,190
358100,37558,3,72,186,285,353292,50587,43,104,190,203,53,191
152564,85426,252,244,1275,525,125856,91489,191,208,1330,544,46,192
501244,18411,72,33,188,369,478253,23798,124,92,140,383,57,195
459748,45998,68,112,276,526,458631,62363,60,123,240,293,56,198
2288858,5784009,7023,5062,19436,4153,1370219,4732832,3991,2641,9976,4277,97,200
206618,134191,656,465,1485,1093,109749,87052,335,201,638,595,69,201
123903,58090,424,346,1302,404,92369,62961,330,290,1467,624,48,203
272060,188986,890,789,2885,1057,172002,137824,603,507,2057,865,59,204
179457,94410,292,447,958,672,143982,104884,204,314,828,252,50,207
91183,18924,98,117,121,455,80669,22456,72,68,193,230,37,209
97593,18496,13,35,52,293,90371,23657,10,25,32,39,39,210
279069,28273,63,2,173,245,269890,36949,49,44,252,35,50,212
87032,46258,153,134,515,372,81336,58117,147,115,528,233,36,212
398756,115130,580,621,1951,329,329757,140012,390,523,1273,479,57,213
578587,52070,83,28,165,605,564772,67569,80,61,133,343,58,215
184661,60519,343,311,1047,776,152824,69941,352,270,729,474,51,215
150564,173399,307,238,978,1,123518,211515,254,223,1033,105,49,217
205223,207754,941,752,3094,98,134320,90666,251,155,903,204,46,217
107846,164357,169,137,352,425,99118,222602,177,195,421,395,39,218
88125,62525,79,58,300,187,85806,86596,80,36,477,171,35,218
225397,191605,0,25,0,300,165514,189273,21,24,15,129,58,219
148499,31797,53,120,125,462,101848,33337,51,104,129,208,52,221
119492,73929,306,119,806,232,98044,86540,280,134,727,271,44,225
103012,160250,224,253,794,620,89928,205921,156,186,643,398,39,226
255713,123314,549,494,1912,347,201118,143423,379,303,1938,444,55,227
118682,8895,13,13,62,334,92526,11373,52,59,80,229,45,227
100331,110972,226,91,567,215,93088,146041,201,112,538,142,38,227
147810,182928,675,545,2470,560,93434,123096,329,277,1096,340,48,229
191008,19670,135,28,205,382,180377,25800,152,77,319,220,46,230
364579,104567,356,340,1281,132,295591,120381,288,237,1275,466,59,231
353886,242779,579,385,1206,252,264216,264804,415,365,985,327,64,232
361068,515947,580,466,1488,792,293039,603548,484,312,1211,369,60,232
191687,46933,163,169,594,468,170319,58274,133,160,682,281,47,234
164674,99496,513,461,1541,493,118343,112682,358,296,1307,259,52,235
1136287,125281,166,166,1114,586,1089279,157008,241,130,838,668,66,236
378603,129612,444,473,1627,221,263475,139980,264,406,1406,553,63,236
246520,119923,523,416,1796,658,139692,91596,309,254,969,351,71,236
83366,20763,143,106,469,504,80000,27483,155,141,480,333,33,237
115972,14375,296,187,265,562,87064,14873,229,108,215,191,47,240
390364,46760,114,151,371,215,365388,61343,143,97,319,126,55,241
131325,3205,44,12,103,360,95373,2537,57,32,113,125,45,243
1047720,1471541,2488,1424,4390,1234,548244,1230697,1471,827,2649,622,98,244
104927,10890,23,37,0,316,94487,15748,21,60,22,35,40,249
84537,12940,80,126,105,317,81122,19015,80,157,143,177,34,250
134105,80827,529,426,1509,970,82622,76270,302,314,912,592,51,251
560689,109140,135,81,356,286,547024,137965,114,55,355,57,58,252
355608,146382,596,557,2187,809,250877,139547,395,293,1206,563,72,252
524934,40513,175,117,270,378,520312,50769,132,125,243,298,57,253
245038,31402,115,55,223,418,229737,40001,120,84,147,206,49,254
162073,121186,351,184,840,353,143551,148305,291,166,634,163,46,255
479249,48863,127,190,288,207,468706,64656,100,191,441,167,56,256
249448,175120,827,812,3052,760,161919,130920,495,434,1878,500,56,256
552328,84319,57,71,470,121,538089,108259,78,66,374,169,58,256
152445,86815,237,185,548,195,138390,112907,212,135,725,11,44,257
403871,659267,148,119,246,343,188853,554075,106,118,210,236,90,257
198791,56540,211,249,882,596,158376,66296,185,206,704,514,51,258
335348,234452,303,224,771,1053,322610,311847,313,258,656,859,53,258
4585735,75617,0,126,220,344,1571787,35739,69,93,207,172,210,258
104771,43410,386,365,597,0,81566,54088,244,231,620,275,42,258
392747,510762,508,323,1027,346,349618,645117,417,286,752,241,56,259
361584,696856,376,464,1443,491,95739,546543,199,219,896,361,143,261
268563,76577,145,134,769,501,244474,98013,128,110,545,179,51,266
425510,347958,1689,1373,4858,2105,304508,301034,1063,774,2964,1714,76,266
2436969,13525579,6453,4664,18779,7356,1510704,13900918,3905,2625,12251,5622,94,268
930950,718830,1449,1189,4517,1969,394064,390939,630,446,2413,1156,106,268
254005,38870,103,51,67,386,237409,48784,101,95,134,219,50,268
584419,64333,159,0,348,658,582888,80675,231,70,312,438,58,270
116221,37384,295,245,1606,279,101714,45469,228,198,1377,301,41,274
355332,248885,563,511,1537,622,213764,219938,407,328,1150,692,71,274
274122,334924,341,325,1909,222,186293,209187,305,202,1339,205,58,274
329692,57988,215,147,519,376,292672,68743,164,120,428,322,55,275
139208,41390,31,110,53,224,92241,24183,45,80,113,13,51,278
246666,84323,123,85,203,490,235142,111771,180,85,177,287,49,279
382412,35953,363,151,143,324,369130,43615,295,146,215,258,54,280
425280,173248,681,546,1241,651,397318,205667,476,326,1137,567,57,280
317301,404501,1588,1239,4748,1219,225687,448207,971,924,3055,1180,68,281
114894,20641,166,154,330,520,107233,26943,186,104,350,345,39,283
314865,529146,531,303,833,267,242096,634429,328,249,731,176,61,286
433041,41670,75,0,235,218,431678,55869,77,0,374,113,55,286
180359,106858,114,151,227,549,143689,134217,105,181,310,233,49,286
135553,33722,77,146,213,347,105047,33713,67,121,340,155,49,288
200355,100671,190,137,489,417,163728,108649,166,108,624,272,51,291
703489,410551,1317,857,3662,1050,565864,485591,930,623,3798,683,65,291
183271,134509,9,33,22,343,133201,149812,36,42,43,90,53,293
168660,98560,283,155,753,496,114998,97320,216,118,453,595,60,294
94026,42730,127,161,538,139,84933,56892,113,103,430,121,37,297
1232191,102158,155,132,691,776,1143303,120519,116,100,664,487,68,297
382459,49455,54,22,13,346,270141,46289,81,41,79,200,71,299
1527266,3203875,2492,1635,8235,961,1278476,3746712,1894,1343,6717,1233,73,299
176777,53694,188,213,560,321,164232,68575,150,118,546,217,45,301
675212,522833,354,320,928,193,361734,385524,151,139,851,182,152,301
122349,22153,11,53,85,345,80397,19844,42,83,233,138,50,301
130968,125083,342,307,1651,940,96731,141138,229,224,977,623,48,302
540589,171464,624,378,1532,100,497133,205693,605,496,1626,493,59,303
707746,186784,1032,687,2539,1035,384209,129830,518,407,1229,530,87,304
773243,61818,105,17,136,517,753402,77505,84,71,74,264,61,306
689323,583653,833,754,3288,956,194317,313789,243,217,904,622,166,306
482307,32135,138,122,356,390,465458,39578,100,156,316,189,57,308
91312,10154,154,127,308,198,83531,13031,126,77,286,236,35,308
216199,51104,259,260,291,226,181871,62115,151,179,311,69,50,309
733168,87741,72,0,397,317,546563,96221,59,51,287,83,74,311
623179,78903,57,96,44,533,614934,105431,51,74,151,404,58,313
125374,28601,261,200,670,752,113538,38558,201,212,521,654,41,316
117201,140906,285,152,432,449,94702,179769,205,88,541,274,42,316
243041,105243,155,167,369,136,195894,127191,173,107,352,19,54,316
122744,122038,270,303,1291,15,89637,141608,257,195,1091,149,49,316
540160,764821,840,784,2231,0,406349,897893,573,539,1382,360,67,317
250213,52497,277,154,524,273,238649,70301,146,147,353,246,50,317
100648,16725,49,142,167,379,88037,21002,57,113,293,221,39,318
221360,54586,2,0,78,237,153985,49292,47,63,93,10,61,326
162906,890982,244,249,878,0,145277,1179373,152,155,953,204,45,329
284203,17991,95,149,299,365,267205,22269,107,113,381,152,50,330
607606,428196,1410,1319,5604,1381,171036,198360,387,374,1914,1394,161,330
453695,54462,92,176,642,496,439758,67954,98,133,552,312,56,331
200964,194701,383,273,858,345,170528,239888,329,286,976,430,49,331
579067,2471890,2496,1140,1283,665,245780,1670104,1146,450,808,370,110,335
438943,356702,553,482,1269,347,364374,444245,438,303,957,329,62,338
376528,40175,118,33,210,401,355249,49372,104,46,130,122,55,340
345682,103235,500,437,1590,524,284528,121917,327,299,1580,745,58,342
557576,82633,124,131,0,329,541700,105371,78,118,40,134,58,344
185664,49275,240,280,1012,177,162405,57044,227,184,876,367,48,344
722478,56450,85,113,259,162,703235,72447,87,81,298,166,60,345
129368,58828,232,190,585,451,118937,77463,229,138,898,351,41,345
751465,117146,197,144,506,239,742505,149132,152,118,336,31,60,346
187147,61366,410,375,1222,267,144658,62014,404,200,795,401,53,346
158437,43391,255,241,1138,396,144907,54166,257,247,909,186,45,346
161615,444843,448,306,985,902,140900,587038,351,269,795,963,46,347
533028,505223,885,942,2542,321,435742,619372,697,691,2157,538,61,347
179200,73066,165,130,868,521,168728,97415,213,99,948,614,45,348
682784,65379,82,37,289,723,668077,85103,71,72,409,484,59,353
141786,43367,226,184,982,762,110560,48749,154,125,832,452,49,355
772367,61679,52,22,519,41,753819,78112,52,64,418,207,62,356
282227,108335,288,429,1745,488,245700,137313,256,296,1524,413,54,356
89710,6126,133,176,258,512,84090,9109,106,152,197,230,35,357
198675,42703,107,152,105,373,177559,53848,82,108,181,166,48,358
563268,51966,104,169,236,316,536194,63055,55,91,172,270,58,358
101357,13631,141,35,367,418,93529,19308,141,57,349,316,37,359
624796,95524,115,122,540,394,577736,116841,61,94,580,284,64,359
215421,126789,209,139,188,291,182398,151452,211,114,118,330,50,364
221470,238158,957,672,2693,981,92558,145183,389,241,1364,672,94,364
196992,88087,444,317,714,1063,177113,103131,272,179,533,541,49,366
154915,61485,296,256,924,469,137636,75319,213,216,969,430,47,367
749852,81671,75,121,300,498,736144,103300,64,223,278,279,61,369
549091,38361,87,141,489,378,539356,49077,70,97,417,270,57,369
2778690,2072060,4756,4443,16957,1221,773389,928810,940,828,3656,1266,204,371
410809,46671,103,80,412,502,392688,59177,146,88,331,311,56,374
753936,93412,102,112,386,294,743216,121497,112,64,169,143,61,375
99994,47579,149,150,394,358,92926,63679,150,98,505,211,38,375
263683,42897,287,313,594,541,230340,53944,293,235,524,470,52,379
781323,1083914,46,0,0,365,272694,1020882,43,80,71,113,165,380
203241,187275,615,578,2667,758,85478,101121,231,228,1226,556,78,385
708849,108344,135,58,342,434,690072,139483,111,80,489,214,61,385
408800,380054,18,100,44,212,224075,327764,41,90,81,29,83,386
192624,62345,237,120,963,656,166012,76314,264,97,764,887,48,386
163385,138654,377,304,1247,660,111674,109401,260,197,989,366,59,386
688741,48676,138,134,471,730,672388,61089,101,99,321,563,60,386
110467,38720,190,179,376,495,97294,46571,176,138,405,361,40,387
449906,39817,102,208,229,838,423097,50020,99,150,202,708,57,388
810436,1473904,1716,1258,4329,806,559257,1624223,1203,726,3078,760,76,390
234126,68022,379,448,1309,182,200500,79796,264,321,1185,252,52,391
236957,21087,69,32,48,212,190010,27678,86,42,166,25,53,392
268507,132045,103,13,125,340,257742,170727,83,38,110,129,50,394
1859705,1956998,0,0,109,365,629595,809510,34,49,291,169,180,394
124054,736,24,38,191,415,97931,2319,29,61,114,209,45,398
459754,640308,1305,1144,4308,1491,186459,320781,400,411,1526,731,121,398
305350,96092,667,488,1859,1026,265164,122999,491,285,1365,641,53,398
357872,28662,89,151,187,338,348395,36073,73,115,223,134,53,401
220711,174437,292,159,513,309,204837,226210,316,100,466,209,48,402
219474,112689,409,413,1924,660,155418,116116,356,343,1356,1364,58,405
368923,1524914,49,42,132,198,101628,606445,35,115,237,184,109,405
213276,203276,559,280,1032,530,169351,226195,363,235,843,325,60,406
118716,73379,297,342,915,771,102265,52004,189,155,675,436,38,409
607141,63736,135,150,342,263,599846,84685,133,79,374,146,58,409
115692,23056,112,175,634,312,101189,27116,107,148,605,308,40,410
117885,53017,160,117,440,252,104376,67589,106,83,284,88,41,411
652172,380774,3046,1751,4063,1415,524828,443158,2473,1387,2965,935,67,411
300086,260280,848,651,2421,909,232040,298137,579,548,2044,715,60,415
317346,33084,87,132,1224,1387,294780,41197,133,99,1128,849,53,417
576740,46088,77,15,96,406,568526,59105,78,41,80,193,59,417
202194,136088,315,181,624,408,127311,155601,196,268,505,260,59,425
939949,1673927,974,687,2369,383,810671,2007859,701,498,1806,189,68,425
282955,30388,97,13,235,285,266875,38741,119,42,142,271,51,425
651879,37127,185,195,594,258,638738,47469,151,116,390,250,59,428
92690,44260,269,223,817,516,83760,56603,210,182,742,577,37,429
593158,58071,43,106,336,215,583002,75257,57,98,316,92,58,430
565069,38539,119,110,248,183,551462,50157,134,72,451,33,58,431
943066,167155,211,160,460,599,899349,211742,209,128,356,544,65,435
1461194,375769,236,63,464,585,1402793,453693,147,147,353,502,69,436
250683,138059,308,192,1369,371,193385,155723,275,215,1013,207,55,439
