"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
290637,340414,849,863,3398,1686,114926,238185,390,348,1481,1105,111,138
457051,171393,0,0,0,286,445126,223523,9,48,0,22,56,138
256016,43016,96,56,468,2993,253628,57147,73,58,419,2173,49,138
105915,28253,77,67,95,498,100694,37657,84,55,45,275,38,138
718793,60120,106,122,624,976,724017,78256,79,92,702,708,59,138
173989,65763,0,50,63,243,171221,87068,18,62,65,7,44,138
94055,6283,105,112,441,402,92280,8859,98,95,554,287,35,138
615362,63532,63,76,523,1132,618487,83780,94,55,664,555,58,139
116191,34346,41,0,117,286,94463,44077,55,49,62,48,42,139
262268,268182,504,425,1335,771,241693,334201,369,303,1071,825,51,139
126849,30026,228,256,992,1027,114614,38320,167,225,1258,1075,42,139
500112,56195,74,93,2488,5651,502692,72541,85,68,2688,11607,56,139
245178,20337,75,137,750,2122,237467,26448,82,140,786,2040,48,140
443912,1520305,762,667,2323,324,374109,1829570,642,557,1717,588,60,140
126452,55923,98,81,170,439,112367,71015,147,113,180,148,42,140
296433,170996,734,740,2860,3963,248310,154520,417,400,2151,2690,57,140
531221,370582,1985,1396,8045,10607,303072,312215,999,660,3959,7214,85,140
733508,55891,111,182,1101,762,733660,71175,157,94,1305,456,59,140
144585,82863,395,242,1155,2305,118385,98350,348,130,1035,1404,45,140
117856,46324,114,86,572,631,108398,61852,73,85,574,438,40,140
115730,154071,181,196,983,1241,96634,204346,131,146,663,685,42,140
247649,209342,441,330,1165,788,200796,249922,405,241,1235,397,54,140
127332,76448,226,268,1638,6016,98197,80928,175,151,1401,4130,48,140
629382,65481,47,113,1642,5254,631981,84941,60,147,1568,4997,58,140
879900,90640,142,2,917,3995,870265,116059,121,24,815,3001,61,140
344425,37390,84,16,90,339,325297,48434,77,40,113,138,53,141
195245,205163,395,245,1023,717,180242,277260,302,263,962,538,47,141
154340,184445,355,302,1013,854,112528,207741,315,201,809,991,52,141
138198,54066,227,291,741,480,117024,67824,174,258,766,379,45,141
609365,657123,1235,851,5740,10651,422434,506456,968,550,4106,6535,73,141
683196,235938,91,115,601,680,348660,178195,78,101,370,350,96,141
209984,155733,457,262,1133,690,204072,201810,431,210,987,1065,48,141
324581,223296,431,327,794,442,305749,295828,400,332,776,490,53,141
344976,289043,50,12,1202,3923,202944,281836,53,86,896,1607,85,142
91213,47933,207,217,448,258,81887,63435,193,177,276,339,37,142
1914146,3336805,5299,3872,17904,11565,1345080,3404658,3487,2699,11083,7066,85,142
337694,256969,285,248,581,135,302477,319669,254,167,470,165,54,142
215532,113633,678,681,2424,2137,146909,95541,355,417,2073,1827,66,142
300150,37403,67,87,743,2310,295307,48801,71,66,525,2461,50,142
301162,205993,898,880,5647,10330,237558,222324,697,587,4987,6070,59,142
556732,41161,108,78,817,2624,542535,53382,115,81,897,2299,58,143
512536,643468,968,802,2356,1570,431512,783518,798,665,2319,1450,61,143
1381011,2565900,3611,2416,8376,578,966581,2487142,2246,1729,5408,1204,85,143
152528,185199,394,385,2152,3952,96607,94847,137,176,932,1341,45,143
149851,121678,226,197,1105,466,129384,155230,178,158,1082,308,45,144
520329,556584,1040,737,3331,1798,434333,665904,826,639,2893,1786,62,144
397351,34774,83,32,402,2010,381422,45746,89,118,420,1582,54,144
89247,23300,165,116,209,432,88244,33438,154,117,359,228,34,144
231039,268144,592,463,2605,8511,104233,123893,242,168,1168,3245,69,144
220643,124902,330,290,1143,1489,177791,159846,377,209,910,950,52,144
177648,105955,404,238,1326,698,169879,140760,331,235,1836,477,45,144
145046,21255,70,123,168,393,144396,28614,60,101,207,80,41,144
547851,56442,136,81,274,445,545151,73333,138,78,382,351,57,145
169553,178313,294,205,887,1003,148630,211067,273,206,790,919,50,145
172216,123361,195,196,278,493,157407,154374,183,167,275,167,46,145
151446,77334,32,42,0,265,122587,58242,50,65,5,46,47,145
636834,212979,1453,1096,9464,23660,472338,200140,1072,727,7794,15048,71,145
115748,20142,220,166,598,880,105867,25288,204,119,431,424,41,146
292477,104945,716,631,2192,3014,222767,119239,633,577,2095,2156,59,146
242102,352395,834,641,4245,8866,113142,94188,216,149,843,2013,46,146
131898,33182,36,90,206,696,128286,44506,41,44,192,816,40,146
135739,82964,266,177,433,1068,127680,112438,295,210,475,779,41,146
182442,7544,31,55,0,290,170210,7867,50,99,79,74,49,146
104775,8513,52,67,201,346,96771,13451,51,41,345,244,38,146
316209,32189,118,123,733,3492,303004,41990,82,118,691,2689,52,147
234290,135630,514,562,1579,1791,154030,139098,360,376,1289,1089,60,147
258475,71358,179,165,401,305,204965,83773,171,101,226,122,54,147
261039,237365,309,227,949,1812,236665,303421,294,208,773,1381,52,147
240492,89422,48,40,121,203,174357,88924,42,82,142,30,61,147
236605,135159,410,332,1351,1893,223988,101278,362,278,978,1210,51,147
166559,78415,280,242,1237,1100,133871,78624,205,171,954,995,48,147
106452,105585,278,233,1308,2140,89544,135795,250,305,1060,2515,40,147
696910,534879,1583,1423,6393,4888,444110,498030,1069,733,4030,2745,81,147
1758046,2215867,2773,1831,7505,2861,1377597,2363508,1894,1263,6105,1561,78,147
98065,43323,146,117,919,984,80432,49892,125,89,703,955,40,148
101928,37893,110,181,151,530,94635,51292,133,99,129,497,38,148
142658,50360,161,191,1580,2542,121591,65497,148,116,1490,2021,44,148
157905,134694,520,421,2680,3781,90433,71943,264,145,1040,1085,54,148
111565,55179,313,332,2984,7786,87664,64851,174,258,2584,6828,44,149
180570,273202,579,638,2789,998,96561,88630,166,188,735,501,43,149
105495,9628,118,56,149,596,98723,15873,80,70,104,319,38,149
572941,67373,21,110,1168,4069,568581,88465,34,100,1345,3555,58,150
191293,42534,241,171,501,519,175197,53764,245,128,516,215,47,150
459939,166869,584,523,1953,1425,336743,188516,426,415,2013,1545,64,150
1144746,122553,169,230,997,1607,1122274,153578,162,244,783,1478,66,150
