"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
156452,52788,202,195,823,375,136945,63098,119,153,698,484,46,143
396718,38239,93,204,1917,3658,382108,50063,118,180,1834,2638,55,143
484768,97243,97,107,1072,2440,478599,125025,119,83,794,2173,55,145
92920,51238,181,166,1134,2104,81192,65034,169,137,1347,2204,38,145
124748,10195,125,22,345,429,123456,13157,82,62,370,230,40,145
1072188,478177,2110,105097,716841,0,730234,383404,1343,59255,413564,17641,88,146
262185,648189,777,570,2487,305,209212,797317,719,479,1904,1075,55,146
268890,21771,148,77,2914,3278,251342,27644,122,173,3347,11031,51,147
838825,541809,1920,141757,932963,0,464086,445932,1055,76022,524507,3882,92,147
330398,37370,84,85,538,291,335700,51262,86,96,442,176,52,147
324801,74687,329,395,2208,1818,282364,83335,280,251,2421,2013,56,147
209733,17096,46,448,2893,778,194697,21501,58,314,2098,918,47,147
394174,121583,403,309,2044,1645,346139,154242,329,275,1488,1071,56,148
763073,96815,200,95,2108,9183,739759,122206,169,132,1869,7940,61,148
634332,115829,272,326,1438,0,631610,144120,241,300,1092,225,60,148
99785,80143,109,122,988,783,90610,109582,127,185,1014,774,38,148
271334,33838,194,300,2060,6051,256215,42682,156,327,2154,6820,51,149
217484,226616,502,605,3238,4665,161045,179820,356,259,1423,1769,50,149
565067,49694,75,316,2550,8111,525959,59157,81,291,2447,7654,60,150
460930,54603,316,259,2519,9327,439195,66453,359,210,1953,7562,57,150
838212,2269046,964,866,4107,2612,536152,2311492,585,474,2973,2336,79,150
188094,155354,353,450,1679,657,130036,167893,234,300,1183,634,56,150
268944,44437,56,272,2455,7850,252065,57650,67,147,2554,5886,50,151
356833,8100,67,146,1914,446,340143,10798,69,139,2141,473,53,151
672486,3517300,0,98,0,257,192256,1388521,58,70,467,387,166,151
119828,3045,0,22,40,457,115665,4271,9,81,136,255,39,151
89506,35048,138,153,1083,1377,80207,44713,185,118,844,825,35,151
1923824,1800655,2083,1983,11407,12853,1396199,1668745,1376,1389,9464,14979,87,151
122873,53842,146,189,1168,1117,97101,65130,142,234,785,762,46,151
258245,121278,884,64022,426817,0,175924,101216,540,39144,268862,2202,76,152
140669,38616,181,227,2330,2396,127607,51690,172,196,2334,1748,42,152
317801,110358,399,406,2518,2232,265771,129713,275,224,2127,1898,56,152
154147,32355,150,495,2451,876,141930,43702,181,466,2242,867,44,152
1286847,944817,2505,1890,19305,31404,350875,238466,482,309,3554,6427,249,152
167166,45051,211,166,2053,3370,140300,52604,193,136,1639,2715,47,153
135238,20834,212,123,667,521,129870,28536,215,137,732,521,41,153
564880,74428,220,261,1401,4296,560037,90732,239,198,1070,3045,58,153
