"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
156110,34720,57,78,630,396,147518,39416,61,75,755,314,44,163
257956,76784,46,188,484,142,239820,101773,122,144,515,86,50,165
139845,34829,41,160,883,270,127040,38568,37,129,800,322,43,167
204021,91298,41,175,1242,1770,158361,87515,36,174,804,2026,55,169
145936,52416,178,352,2319,686,114547,64886,155,196,2510,799,47,170
186599,82569,82,244,1051,656,151450,92665,73,148,1054,432,53,170
382768,126235,36,253,2090,969,255253,94503,33,147,1304,749,82,171
459494,73382,88,66,644,1123,452743,95700,89,87,840,1337,54,173
99973,15751,0,25,117,150,91492,19181,4,45,139,16,37,177
193994,112268,32,91,531,307,179879,128767,37,132,632,217,48,177
130800,72950,56,151,516,86,106066,89557,44,81,410,274,44,178
126756,68891,53,269,595,288,97516,88478,74,181,439,174,46,178
89586,24161,48,78,456,474,80911,33399,37,61,390,247,35,178
384477,15618,12,140,61,314,360335,21140,13,122,251,131,55,180
136844,24734,90,173,744,317,122387,31299,74,145,580,289,42,180
1734434,35429,14,76,59,209,1182288,29649,60,78,232,70,98,180
171178,144490,173,199,1626,178,143683,164538,154,163,1413,274,57,180
270979,71356,72,89,840,3888,261085,93546,71,73,1045,3434,50,181
259566,88773,143,191,1281,809,176227,87213,185,145,963,639,63,184
97989,9512,36,86,483,488,89358,14112,52,71,571,226,38,185
1130529,2108509,398,233,209,551,697649,1295676,267,105,311,585,131,187
177240,58667,28,107,461,392,109056,39325,34,68,279,45,54,188
274229,120800,26,72,364,413,255915,146078,60,59,303,266,53,189
356355,52584,74,731,3836,737,299251,63621,73,568,3302,1124,56,189
373591,199030,115,353,1732,348,189465,168290,67,214,1049,549,76,189
568010,73956,135,129,441,1554,544290,90322,115,113,491,1225,59,189
216701,393824,87,180,431,540,198522,504569,57,162,508,242,49,191
86561,53704,9,66,384,284,83361,74415,46,79,232,123,35,192
122496,30063,61,170,883,471,111060,35906,55,88,609,249,43,193
720672,145729,78,273,1707,940,573767,150147,62,190,1575,1158,73,195
142384,53668,43,45,385,695,115738,62228,67,52,448,408,45,198
95767,61261,41,146,934,335,82325,74665,37,95,794,91,37,198
312185,55203,84,149,1034,948,289339,65653,110,139,1016,658,53,200
157273,153063,34,137,941,274,121000,130231,46,87,606,295,49,200
290388,44405,83,150,563,1750,271607,54934,71,181,749,1346,51,200
562334,113865,161,149,2212,1776,473320,112045,152,190,1345,1224,69,201
129188,119890,29,99,1494,409,113580,152006,45,99,997,544,44,203
696851,3188428,200,188,746,572,271662,2020367,92,101,489,331,110,203
257925,41565,44,73,595,1783,250305,51693,98,54,335,1137,49,205
105575,33615,0,125,170,258,89927,39705,16,134,122,134,38,205
1575420,330317,626,6373,38561,180,1205336,360461,396,4178,26585,4765,77,209
214114,29890,72,173,1551,82,178255,35670,57,203,1573,131,51,209
124885,18406,43,85,563,135,118986,22423,31,51,588,95,39,210
188678,115809,71,166,629,265,165124,143025,133,80,605,169,48,211
210670,37893,68,160,614,256,193952,45484,97,170,504,157,48,211
108824,17785,42,58,0,389,91926,20731,62,69,72,144,42,212
189140,65346,115,193,1246,184,146529,58505,58,164,1074,191,51,213
388126,35603,59,156,911,724,372478,44624,73,123,1084,332,54,213
392484,158236,211,299,2100,975,259298,140448,123,228,1746,384,78,213
272037,65312,259,144,226,204,231906,79469,181,169,268,121,56,215
205570,61887,26,218,1475,1442,181669,75454,25,183,1968,906,51,215
131284,46517,58,165,467,445,81432,48978,29,124,250,340,53,215
328891,50532,56,51,345,151,312076,64374,73,64,394,92,53,216
148386,5031,90,6,0,301,121679,5816,107,62,0,177,47,217
87694,8603,1,81,66,388,85487,10984,6,87,115,139,34,217
90176,40292,114,48,129,347,80364,53544,149,44,131,461,35,218
748158,163583,342,473,2990,2018,676235,201107,273,403,2218,2107,64,220
303461,219972,108,275,1756,160,245129,203177,109,184,963,241,55,221
108870,34272,118,8,269,146,102055,46561,66,43,185,31,38,221
174611,35855,13,139,1069,0,161622,47017,45,206,1231,255,46,221
1184739,52780,0,15,285,274,880774,49604,17,69,353,148,80,223
110423,19897,11,199,408,484,96768,24897,37,130,342,449,39,224
1071913,295776,271,581,4503,206,740490,294528,211,406,2494,690,83,225
402023,99722,115,274,1457,849,315747,113686,67,229,1633,693,60,225
304715,43765,36,208,1572,230,284510,54312,44,226,1282,527,53,225
149575,29745,9,105,315,529,116137,35089,25,89,373,310,50,226
136559,21518,52,115,666,372,127567,29325,60,105,522,111,42,226
