"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
328300,29176,133,62,159,518,302958,35753,96,31,189,248,52,164
201577,973422,53,17,0,306,133252,882143,44,63,97,19,61,166
553198,57645,112,58,104,294,525954,73462,80,61,132,67,58,166
164142,137659,0,41,0,265,112191,123114,25,109,56,56,56,167
108718,62079,103,6,71,439,95902,80043,107,34,40,256,39,168
1698985,1272648,3234,2263,5848,2691,1072680,1237264,1586,1290,3713,1505,106,169
576853,1132193,631,385,2518,1062,509755,1364858,476,289,2083,1209,61,169
408499,25692,78,86,126,286,273435,21541,70,86,185,69,74,169
268787,249189,521,419,1513,451,217471,260870,446,433,1240,661,55,169
299795,204735,571,487,2024,629,190723,209048,441,260,1507,702,69,171
111222,44860,137,110,208,305,103075,59209,117,98,341,77,38,173
116465,287265,26,40,0,161,83428,277140,32,62,0,2,45,173
196050,87754,305,231,1179,585,169256,110126,278,137,1078,406,49,174
516048,63985,63,31,440,411,502433,83383,53,31,559,296,57,177
489621,52859,67,43,129,376,475444,69120,89,35,155,180,57,177
451287,161553,366,394,1172,235,353217,85753,191,142,466,188,65,178
254905,160998,279,284,1780,752,171342,112018,187,128,1102,705,64,179
284413,439468,814,599,2255,564,216746,455604,718,462,1669,801,63,181
127164,12859,221,184,507,314,107693,15943,178,149,421,95,43,181
628350,68478,104,146,547,654,618217,86831,121,83,414,444,59,185
346461,473651,26,0,0,158,233062,439828,34,43,75,16,70,185
588260,152759,41,57,27,292,405613,127959,51,52,34,51,77,186
342505,267791,1002,798,3988,1103,149168,189418,490,386,2047,1344,91,187
98723,33955,153,3,528,188,89853,38038,136,26,544,58,36,189
205043,205475,470,551,1748,574,145592,165706,341,285,1447,753,71,189
842925,45679,87,116,564,583,838918,57564,97,163,607,536,62,189
344251,189495,785,817,2214,1135,251894,121364,445,330,1011,1013,58,190
607431,75803,63,122,365,456,608599,102126,83,106,273,278,59,191
146819,106274,174,210,527,378,133177,136599,134,160,415,103,43,191
621430,54819,19,75,153,364,607599,71988,50,74,180,143,60,192
285855,82965,619,377,1338,627,250302,99666,553,339,840,462,53,192
116870,58799,330,355,1203,331,89313,66408,236,331,855,233,47,194
309868,129948,1255,1053,4180,763,173658,112845,851,663,3340,684,75,194
215605,58167,302,278,615,325,193661,74228,241,254,703,96,49,195
592168,55379,123,115,125,566,585595,72874,78,84,126,246,58,195
244637,43438,341,233,469,299,208171,52984,309,186,552,229,52,197
734023,76527,87,107,203,254,734037,99554,94,109,314,31,59,202
336966,72917,46,0,26,339,304268,78913,41,50,36,198,58,203
1591661,2322698,3388,2565,10140,2891,743001,1400954,1624,1086,5693,2664,106,204
837863,311622,98,0,0,257,261769,151661,60,28,119,49,159,204
484437,59795,73,189,355,145,480089,79868,67,105,618,111,55,206
230449,23780,141,91,61,318,220990,30664,134,61,225,65,48,207
224684,226605,612,731,2585,714,122462,144398,252,319,1447,548,69,211
227086,88812,422,439,1596,607,179319,101305,317,281,1445,551,53,212
299279,247502,364,334,1467,296,187302,139104,176,164,612,200,95,214
94089,26115,343,251,87,237,81019,34764,287,169,89,27,37,215
109995,30706,302,213,785,81,89414,39213,289,179,787,58,40,217
434655,3952428,1801,911,2471,369,288870,4366644,1131,708,2140,773,69,219
151201,105284,19,100,0,272,91114,81351,88,105,95,144,54,219
154987,102449,409,377,1147,388,120630,110770,321,310,868,317,50,223
165610,80053,33,51,143,319,114054,73596,66,52,248,182,55,224
153235,69347,194,167,827,557,143247,92161,184,155,830,601,43,225
512344,423524,489,380,936,956,475942,541757,412,263,778,867,58,227
381401,368953,300,215,670,746,258350,339801,182,118,384,583,81,227
303588,415258,354,352,1345,260,287153,523782,318,281,1298,837,52,232
401964,127011,374,230,192,739,307248,149207,360,283,292,422,62,233
306415,26075,163,45,29,449,292053,34524,246,128,59,359,52,234
240269,235120,260,146,750,544,211471,303882,200,116,553,452,51,234
116284,97233,325,171,352,467,103463,127938,311,147,295,499,40,235
145595,24578,9,61,156,397,108676,23143,47,80,198,183,52,238
199104,20582,68,76,329,281,178676,23322,64,55,337,298,49,239
99457,30498,72,25,242,422,93000,37696,86,40,230,145,37,240
183412,93390,381,352,1338,746,146403,103962,320,234,1245,843,51,240
264310,161043,0,96,66,255,186682,152170,14,127,116,30,64,240
2456876,1911967,4192,3428,12508,3679,1394611,1117481,1539,1344,4709,2367,112,242
96532,37057,0,21,101,263,90209,50451,22,43,135,44,35,243
189601,22405,19,99,12,222,159306,18908,47,62,71,0,49,243
149811,130476,460,347,1623,694,125598,149037,314,228,1691,819,49,244
152774,31889,104,116,475,326,139091,40775,101,74,497,346,44,244
809353,1283990,1838,1310,4121,1981,537319,1033773,1080,773,2677,1976,82,244
1648595,155525,369,211,539,1047,1452435,184394,411,232,429,764,72,246
256943,182494,43,25,64,231,181175,169491,53,42,169,3,64,249
302591,30780,201,129,118,380,281578,39067,220,131,113,127,51,250
1026153,235523,290,270,1297,126,780258,255979,181,201,1011,533,75,251
141226,275277,383,358,1289,507,95550,317290,223,281,719,346,59,252
95307,84186,82,132,382,474,81993,105143,85,96,300,362,37,253
100826,59455,215,258,468,66,86344,76866,163,206,458,34,39,256
111981,15947,112,41,267,297,102443,20455,107,37,215,131,39,256
178260,48200,199,145,205,504,164662,61352,105,100,129,282,45,258
324671,22447,168,112,405,567,306778,30100,150,83,356,310,52,261
295775,34580,104,47,299,805,275413,47134,74,49,275,694,52,261
270006,37102,143,48,172,605,262379,49024,123,80,298,452,50,263
105520,220030,364,344,1036,1338,86882,276348,294,226,1056,1080,42,263
89068,20397,245,199,683,567,80995,25152,194,189,709,596,37,264
277686,111739,611,436,765,371,251220,138597,461,397,571,359,52,264
700381,84375,149,72,568,333,690986,111512,113,81,432,194,60,265
639026,92225,93,101,599,411,632859,119465,83,112,866,217,59,265
141309,35087,59,57,158,968,134398,46291,87,56,148,634,42,267
171893,142567,266,248,680,68,117025,132740,190,141,346,74,57,268
607653,268492,1271,1007,4897,496,494828,308855,958,745,4278,809,63,270
141716,21657,26,31,85,247,107495,21372,35,47,100,65,49,272
112531,17878,102,83,373,548,105052,22921,149,183,340,697,39,274
244479,70387,467,374,1203,682,201813,81952,369,218,1122,634,53,274
110261,43798,185,358,615,459,96803,56675,170,296,644,238,41,274
439740,545110,437,309,1069,0,200016,345743,254,137,668,123,89,276
356638,697318,853,611,1895,687,251761,811756,663,530,1562,678,62,276
85167,7525,16,15,114,239,80888,12505,30,51,218,10,35,277
686095,57608,74,43,90,188,675294,71893,101,52,140,197,60,278
1440428,914217,3618,3119,12126,2335,854458,438954,1410,1136,3728,1366,148,279
590566,77070,125,114,489,263,577740,98925,75,102,455,197,59,284
88394,51861,178,144,389,395,81998,71891,171,196,362,230,35,286
482028,129551,38,92,0,301,258357,83925,43,42,19,228,93,286
109653,50516,189,145,230,193,88994,63797,126,103,273,114,41,288
151588,36861,134,129,355,388,138019,48215,127,115,316,181,43,292
135221,47719,104,42,115,444,114661,52752,143,63,104,195,45,293
718210,31583,115,142,442,369,701294,39573,78,205,329,261,60,293
224116,38884,51,0,81,413,213183,50237,69,29,152,303,48,294
86410,33481,189,58,406,656,81965,41053,169,84,336,479,35,297
151496,135258,287,294,1359,421,107524,116879,223,151,849,327,51,299
95943,46630,148,124,246,752,86336,63691,139,112,186,418,37,299
315858,102831,2461,1167,2344,961,305764,131230,2125,974,2347,1168,52,300
89784,29396,46,16,100,283,87163,38866,79,37,76,17,35,302
677150,71995,73,119,280,313,652012,89663,56,146,377,175,61,308
307732,52313,138,115,295,411,299553,69041,132,116,299,209,51,309
651412,55934,54,120,598,58,628745,69877,94,144,366,82,60,310
148019,54844,346,378,978,1040,122283,63127,266,299,606,846,47,310
136727,66839,352,234,465,725,112612,82756,261,301,585,570,44,314
88521,24885,37,22,0,397,81133,35034,40,11,57,243,35,315
496095,39321,47,109,243,554,479611,48828,77,96,320,518,57,315
430620,71567,317,198,950,712,423126,88990,335,200,719,426,55,315
124534,54768,249,162,807,588,94765,62999,158,116,785,477,45,321
