"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
439993,364916,209,271,950,23,411487,477271,186,205,891,58,55,142
357429,178132,701,697,4182,1896,207773,99839,356,246,1505,894,104,142
148088,69569,290,344,1279,629,108026,74445,216,210,1251,783,50,142
365686,374673,583,686,2270,0,271436,321258,359,430,1374,259,71,143
144399,169006,46,0,0,309,104307,169500,62,0,0,157,51,143
300660,125164,211,58,1038,432,255679,158596,174,157,796,617,53,143
115148,20775,145,160,748,195,100893,25684,96,139,791,97,42,143
82719,6088,82,107,317,328,83573,8339,45,93,174,91,32,143
467083,276859,356,417,1893,421,420538,352302,288,394,1755,720,57,143
331050,33741,82,11,53,334,325987,45805,65,42,158,113,52,144
223699,4928,110,224,420,335,223278,8695,118,173,514,154,46,144
86677,4904,4,35,122,268,83145,6938,32,11,224,99,34,144
261384,581466,374,553,2350,409,201505,730940,252,404,1962,418,56,145
130954,30088,83,139,342,409,120646,40840,82,133,259,246,42,145
260520,26020,138,117,462,475,247270,34409,104,125,492,235,49,145
195593,20509,159,296,1159,53,182053,24871,142,243,1381,91,47,145
281863,23085,65,72,386,279,277145,29458,78,87,242,165,50,145
109338,72199,230,229,782,224,86945,88973,139,191,619,234,44,145
145924,73091,194,192,946,748,112088,74749,115,121,647,662,49,145
169332,128697,240,413,2087,775,113003,123177,163,211,1298,522,60,145
285118,166919,383,360,1418,0,254555,213161,325,302,1233,208,51,146
259881,62096,210,244,1034,170,238632,78353,217,244,768,234,50,146
98136,14946,16,12,58,302,95265,19593,27,31,109,86,36,146
162773,27120,156,181,458,280,149798,34803,138,139,452,138,45,147
849096,939081,1225,1243,4567,1009,696497,1069274,1104,970,4565,718,66,147
453640,88910,174,106,2911,619,429346,113513,143,108,2709,709,56,147
226987,533450,749,1088,5239,753,135342,497597,486,693,3354,618,66,147
85256,43144,104,135,282,199,81786,59232,122,140,203,111,34,147
212598,16629,72,108,474,447,206736,22094,73,77,550,152,46,148
226631,19447,97,97,765,670,218819,24110,75,112,796,482,47,148
139439,19689,4,85,88,307,88555,19581,17,74,190,63,55,148
622934,46270,59,102,281,290,629247,60253,73,107,261,209,58,148
319600,84267,200,210,409,508,259803,70610,130,114,388,497,65,149
207470,59368,19,26,0,293,142488,55905,70,107,108,87,61,149
208326,204038,168,326,963,220,173651,259898,175,255,884,477,49,149
413278,32633,166,77,242,326,411040,42204,114,74,307,99,54,149
122978,37583,138,194,995,477,109960,45677,151,175,809,487,41,149
588897,83766,65,106,692,530,582536,100985,70,106,679,334,58,149
531359,65307,65,72,339,394,540267,86354,78,59,300,430,56,149
325839,70987,73,70,249,339,295451,90553,83,53,181,197,54,149
265686,175473,300,281,810,186,225727,229149,298,280,540,207,52,149
113217,38233,156,88,441,351,103645,51292,138,58,373,184,40,149
530588,62101,79,45,242,658,520513,81107,122,27,253,319,56,151
141908,66630,302,268,1210,568,99223,52133,164,119,532,230,46,151
175769,29064,141,151,339,248,165879,36956,102,75,382,212,44,151
520530,33071,65,91,500,369,514620,42776,61,88,371,146,56,151
187037,5379,1028,670,1401,149,183164,8680,1035,645,1549,349,45,151
