"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
391362,635925,4,121,63,353,356322,790306,58,80,138,93,56,187
83199,22673,829,424,739,651,80820,31266,672,350,894,893,33,198
198148,210249,23,84,81,418,124342,119266,20,70,159,181,78,203
280601,64085,74,85,251,469,213863,70487,47,41,325,455,58,203
130659,40523,0,17,119,292,115572,51434,1,28,128,50,42,205
203373,345388,53,113,0,353,85656,172357,40,51,129,112,76,206
146896,25838,361,196,427,387,145410,33580,321,116,437,333,42,207
3508260,58365,113,0,325,283,841417,19219,76,85,181,182,272,209
117814,166594,212,197,340,234,110013,220706,142,153,308,93,40,210
268887,13240,6,69,124,251,204500,14424,40,62,139,17,59,211
144739,72775,12,19,125,245,105923,70777,38,55,103,56,51,211
200185,7576,0,7,234,321,141826,5526,8,43,105,109,56,211
149271,105500,686,376,984,68,144851,141703,675,241,793,128,42,212
128170,72978,47,116,0,451,91219,61431,45,102,47,222,48,214
2665571,1446296,22006,12784,24865,7210,1764046,1496898,15136,8619,17795,8310,90,215
1272561,27467,48,79,24,182,876637,24519,42,117,131,75,95,219
476841,312485,3,7,26,275,291845,155558,41,93,29,115,83,220
123889,47932,0,62,0,325,114659,64497,10,46,0,90,41,220
3116226,16777215,7140,8973,29674,8167,1951378,16103973,4395,5232,16907,5393,99,221
167317,13144,24,145,1,293,150822,16670,51,98,83,25,45,225
122534,40504,16,60,98,285,106480,50777,39,63,234,73,41,227
125917,25347,308,272,1064,591,116900,35016,256,226,783,502,40,227
1160219,56649,30,77,5,147,903843,57102,43,39,70,72,79,228
109409,15901,9,59,0,235,102605,21153,18,29,0,0,38,231
229352,105103,32,85,83,214,158769,70361,25,56,167,54,58,233
490889,763834,5890,3586,7002,1641,399482,896586,4284,2934,6585,2536,62,237
148532,126662,0,44,1,276,115578,155956,17,40,13,23,47,241
697216,130305,64,130,131,151,636834,143853,110,101,192,42,64,242
191304,188053,29,74,42,317,134469,189545,38,57,98,130,58,242
804364,1641550,64,14,168,352,497112,538846,57,60,161,42,144,244
536693,111273,138,55,171,476,418350,112986,129,92,223,240,68,246
2784194,2795462,137,247,628,711,1779157,1955881,67,170,344,452,144,249
372339,9142,0,83,152,320,298598,8739,38,107,218,120,66,252
197246,280992,0,41,96,259,105162,179637,57,59,178,47,73,253
360277,15140,16,68,100,253,321201,19508,19,119,52,51,56,253
315376,26790,61,120,97,375,304602,33627,104,134,225,230,52,258
189420,185548,0,118,0,398,105668,118008,27,85,78,106,62,259
113771,6139,54,0,103,381,106692,9648,88,42,67,102,39,260
208876,135680,0,0,16,444,95542,70392,81,84,213,285,76,267
140453,23015,35,0,136,307,117646,24637,29,40,100,59,46,272
