"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
156924,27174,761,841,2724,158,148506,34153,695,819,2577,561,43,158
326263,206455,898,479,1410,71,319897,267060,861,457,1344,492,52,159
314983,130489,2848,1737,3569,741,316083,169868,2588,1376,3205,672,52,159
118152,152246,35,105,97,625,96742,192014,58,85,204,685,43,162
147376,162874,2677,1223,3015,949,143705,226625,2407,1146,3406,465,42,163
193970,53932,84,159,128,265,179698,70966,116,155,217,26,47,164
818053,54234,256,220,415,338,770189,67842,240,107,340,270,63,165
124829,78657,623,538,1004,210,121202,107096,582,409,1088,250,39,165
404922,14377,36654,6631,1849,778,406011,18673,34375,5957,1400,1796,53,167
413850,288451,6,34,141,252,396708,384041,29,49,217,14,55,167
979838,43132,5749,923,505,302,949130,57358,4992,950,506,324,65,169
11313779,4007397,147113,67314,113843,52132,3464858,2017647,45530,21292,38149,20752,169,169
591791,40263,110,95,536,272,569384,51129,100,99,605,151,59,170
511052,169833,3727,2424,5111,2481,505146,222859,3302,2033,4750,2411,57,171
221313,30662,142,121,428,489,210975,38280,154,93,388,254,48,172
132033,6829,0,22,31,359,95499,8264,28,45,131,205,49,172
983094,292657,7985,5688,9490,1572,925860,356091,6756,4901,8925,1556,64,174
4444132,2616093,147,252,204,476,1186090,1321989,127,127,188,534,266,175
367186,127906,333,322,1332,815,346200,163797,308,315,1029,1074,54,175
166781,73208,1713,1318,1864,658,159499,97230,1477,1199,1728,827,44,176
1096337,992086,10325,5770,9218,2352,800271,1149178,6793,3853,7149,2337,78,176
284509,11616,55,88,0,305,246255,13078,42,68,64,66,55,177
3097870,3999837,89787,44837,95750,0,1969534,3877863,54694,28362,57736,4247,101,178
215723,40900,314,389,530,535,201711,51912,217,246,474,426,48,178
422803,446061,13,0,110,267,415629,579021,23,23,90,81,54,178
1740396,5085255,49693,29982,71050,0,1309409,5516413,37179,23019,56646,3211,79,178
180259,99294,258,248,334,509,169192,136180,219,182,365,308,45,179
89770,19613,39,0,19,260,83682,25263,34,66,20,6,35,180
