"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
310401,74462,59,22,107,368,275249,94617,43,50,128,137,54,162
117607,8071,22,43,131,394,102092,9266,61,69,175,188,42,163
120568,117168,0,95,85,286,85433,71256,25,109,110,83,44,164
557673,87909,7,94,30,328,526350,113856,19,102,66,109,58,164
189129,130661,62,94,118,301,168211,168501,71,89,125,106,47,167
109495,24341,4,59,146,251,107167,29705,31,75,127,0,38,169
1061932,118090,55,30,141,333,935859,136730,59,54,207,190,68,169
475563,64493,264,219,570,1018,463317,79038,265,178,673,801,56,169
323713,32418,40,75,93,364,317612,41997,42,39,124,102,51,169
136827,12170,7,18,172,245,86400,11821,13,70,152,8,54,170
118966,12346,40,123,19,302,108046,15690,27,75,30,116,40,171
211055,125949,277,159,98,692,187257,117933,256,159,85,393,49,171
95414,16746,35,14,2,248,86504,20778,23,44,84,0,38,171
335221,123448,13,23,241,291,278131,142409,37,49,152,122,58,171
296934,26285,4,0,22,283,270041,32730,16,12,35,103,53,172
164151,82292,22,0,11,313,142943,104310,20,16,55,80,47,173
756562,410683,78,27,222,610,507275,404024,101,64,335,411,74,176
138007,23790,25,75,54,388,128955,31333,25,127,18,136,42,176
697655,1430602,0,0,93,664,188362,294896,58,51,189,460,200,178
411112,294477,0,0,153,316,397448,386143,5,20,197,93,56,179
130715,30236,33,49,356,265,110346,35880,24,87,246,18,44,182
810371,1744583,75,70,0,281,598049,2016057,40,92,17,63,71,183
490819,82336,1,12,82,423,398014,82097,53,48,83,172,66,184
165176,32464,55,60,34,213,155808,41577,36,37,79,0,44,186
105366,21014,20,0,184,248,97993,27761,54,13,294,98,39,186
184694,24679,683,264,445,474,178816,29684,579,242,488,440,45,187
185707,404774,259,113,525,447,89093,269459,135,113,395,449,61,187
1932502,8718054,72,113,169,293,916721,9516514,89,87,134,43,99,187
115465,64051,9,24,104,375,98464,39839,19,60,137,143,41,188
638688,268248,71,129,58,353,420739,276599,62,117,114,392,73,188
529833,132575,40,0,209,361,473389,150561,54,63,169,203,62,189
594706,87987,61,43,144,316,448195,85772,65,70,111,199,70,189
195032,47389,24,89,125,228,171146,49922,15,60,194,5,49,190
220159,186980,41,0,114,222,131259,161821,41,96,96,12,64,192
154293,244456,17,6,60,416,97087,179620,28,32,63,58,51,193
113951,6643,37,0,145,408,104277,8578,61,15,169,139,40,194
330714,217250,0,19,64,285,326966,280625,18,69,78,89,52,197
1398123,1117073,610,262,904,1053,914847,1044186,389,209,569,510,90,197
218935,24561,0,95,0,346,164937,21417,14,64,83,178,58,197
436493,951609,102,110,337,548,106931,233714,66,145,286,205,170,197
344386,587098,9,19,0,245,299337,770354,25,42,18,13,56,200
169137,180462,99,0,213,303,138506,231846,78,31,232,106,48,203
146883,45427,9,87,157,338,133606,60833,7,76,231,109,43,204
144334,253108,360,160,362,195,94442,252230,264,130,209,16,53,205
116357,79017,46,44,188,278,104094,89241,55,39,113,29,40,206
314715,298913,18,11,108,288,240870,277022,38,111,114,21,63,207
517653,417640,99,241,412,753,264124,298221,54,133,250,596,105,208
295287,582173,16,42,190,380,256241,737929,24,47,169,175,54,209
399048,197500,35,0,114,279,339243,222735,28,24,158,156,60,216
377146,31657,46,42,26,277,345046,39242,48,56,32,64,56,217
354553,207648,30,21,112,280,345537,263925,47,78,213,67,54,218
438737,92785,51,0,187,345,235490,65853,91,59,305,212,85,219
478079,762311,415,460,1003,1314,216280,470082,200,171,396,719,121,221
98509,10081,17,0,120,287,95709,13482,19,51,104,121,36,223
178742,53111,14,58,0,365,173802,73340,23,54,18,186,45,227
401923,306374,34,113,28,232,393816,397062,23,120,48,6,54,228
973560,111918,25,14,42,224,906721,139534,60,62,121,47,66,228
391129,32484,59,56,170,346,359690,42533,50,85,215,144,55,230
104358,28298,50,71,273,337,98919,36867,46,48,319,126,38,231
879782,60995,35,22,33,321,824155,66830,36,79,76,122,66,234
206983,203445,53,0,131,228,154720,172739,42,20,130,0,55,236
103710,210250,517,460,509,378,98530,280543,501,324,410,522,37,237
244871,24434,87,100,0,206,231740,32025,72,59,0,50,49,237
172190,20113,37,55,81,369,159680,26640,57,53,107,100,45,238
210570,706566,608,256,181,466,98613,698171,501,225,351,255,88,239
372164,25491,6,23,106,397,329137,31084,25,87,68,257,56,240
168173,21051,25,7,34,285,141235,26114,24,36,128,22,48,241
363663,32041,62,65,229,346,333971,38941,72,103,343,159,55,241
144089,197330,49,64,35,389,113262,230629,34,117,47,250,49,242
136013,187319,0,70,97,251,124049,239317,3,90,53,11,42,242
