"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
103765,8790,35,38,0,302,101944,11327,44,15,0,79,37,168
104679,6365,29,7,34,320,100741,9449,50,27,0,115,37,169
277038,173474,719,431,1380,844,260298,222408,620,379,1468,802,50,171
577526,805714,743,540,2297,642,489918,971125,566,434,1612,517,63,171
210847,26041,52,29,109,370,200901,33173,57,57,114,104,47,172
175925,174441,296,307,451,31,144433,220941,247,307,436,13,48,175
190239,26847,46,37,0,420,182280,33880,54,48,17,225,46,179
99355,137214,0,0,114,305,91727,186069,13,28,270,90,37,182
242097,534610,321,255,1059,189,220796,703543,304,172,974,477,50,183
264148,14313,0,82,0,225,204869,15060,30,41,85,28,60,183
296138,585406,666,600,998,938,136329,311605,284,350,503,528,98,185
102195,16990,11,22,114,189,85764,13811,24,70,282,31,39,185
87573,50627,502,367,945,216,84649,68757,492,305,876,85,34,186
670078,68440,103,39,477,1,662016,86666,95,78,467,191,60,187
169968,233172,722,316,1521,1859,127274,223246,570,192,975,1155,56,188
726401,666748,3057,1957,3704,428,702408,793484,2621,1692,3200,1005,62,188
341077,273959,83,0,418,306,197897,168622,72,107,280,171,84,190
159514,13608,14,71,39,277,153072,17569,61,34,83,105,43,194
96088,45817,121,48,186,177,85018,56716,100,45,272,125,39,194
320053,200880,810,471,834,264,316538,270143,678,539,810,245,52,195
82642,4528,13,0,0,280,80768,6665,24,0,3,29,33,196
236588,31894,36,112,57,220,175630,29352,49,69,78,16,60,197
100296,27675,196,178,598,343,83959,36217,148,119,597,134,39,197
365929,97637,481,530,1477,637,289677,103914,396,392,1553,587,60,200
164287,136622,38,29,57,298,150558,108923,35,32,80,34,47,200
191376,904618,111,53,0,389,86453,485275,50,92,132,130,52,200
560959,63776,61,46,413,73,546773,80929,55,88,426,107,58,202
84584,34418,1514,942,1502,777,80874,44804,1401,940,1814,871,33,204
127251,240382,237,131,531,262,121806,324805,222,116,525,81,40,205
154222,6876,94,96,221,183,149086,8429,115,78,193,117,43,208
99334,9545,50,74,86,279,92314,13364,59,91,229,57,37,208
156934,11228,31,67,17,223,144833,14187,31,113,28,15,44,209
298445,778696,5108,3226,5285,1017,247470,954789,4309,2494,4971,921,56,212
419890,299501,34,136,61,299,403036,398535,52,94,66,65,55,213
371926,113007,521,335,656,237,359978,143595,435,265,580,171,54,215
341834,150670,1518,1127,2032,206,317248,193566,1329,1008,1755,279,53,216
807351,2117987,95,104,123,294,563446,2591092,72,130,195,83,70,217
412436,401198,1108,1008,2998,672,280760,349689,728,563,1755,622,80,220
16777215,16777215,185538,94227,196553,82654,4840659,10069578,34247,17511,39444,18752,257,224
146548,39044,3515,1925,3599,751,140604,51691,3269,1731,3137,1230,43,230
592033,65303,92,87,486,187,578444,81863,69,62,701,175,59,231
269396,772167,66,22,320,343,184580,162092,37,70,61,40,48,231
420970,201003,575,579,1838,250,286977,186643,362,348,1389,341,78,232
1310791,42141,0,0,0,327,840821,35635,21,29,13,76,91,235
1430016,221651,387,226,504,552,1254966,274702,301,183,414,738,71,238
779944,126421,49,87,178,295,193240,43252,63,120,240,121,183,239
235720,730907,124,151,457,375,214950,942079,110,130,352,306,49,240
377754,660001,7579,5000,10682,558,337870,844291,6811,4335,10030,2123,56,241
88189,7415,19,49,50,248,82603,9890,18,35,57,0,35,248
845194,83993,51,11,309,231,827160,107707,96,31,360,7,62,248
159760,17643,78,104,210,482,152682,21930,113,103,126,408,44,250
3531209,2254211,15256,11608,32810,0,2590558,2269266,11767,8455,24371,4682,85,251
84131,3109,241,77,39,206,80064,3820,250,87,1,0,33,251
91029,3149,50,0,52,277,84829,6547,47,0,36,0,35,251
354474,141555,1385,635,1982,671,339603,180804,1250,562,1251,565,53,255
311265,27291,1,7,56,247,309615,36696,19,30,72,3,52,256
174289,5119,34,9,0,219,83537,4313,64,75,36,32,66,256
208767,242066,267,259,1405,373,195865,320133,241,177,1175,199,47,256
592582,238319,6250,1108,705,533,461742,265293,5225,933,523,311,68,256
394272,385891,34,7,50,323,367691,498869,33,39,55,90,56,257
211080,279351,54,57,68,327,91524,156865,51,61,26,99,57,258
634130,63364,82,88,382,330,626241,80303,96,71,235,122,60,262
121912,12917,9,57,17,342,117530,19333,7,68,50,215,40,264
553642,166253,161,111,253,254,510453,208332,211,94,306,62,59,264
226181,201490,474,284,462,312,220387,265572,357,211,648,99,48,265
106073,7016,107,122,1768,150,94739,9159,170,134,1304,130,39,265
171541,22147,9,23,0,250,133936,23219,61,63,0,13,51,265
