"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
394907,168127,177,137,245,267,284736,157655,97,131,332,89,70,163
190763,19623,93,24,92,351,139335,16984,96,39,183,159,57,163
324552,258570,767,387,1453,554,299013,317249,673,412,1385,422,54,166
112963,16097,331,251,907,388,106992,21281,224,179,1048,219,38,167
470399,79945,3371,2077,4657,954,462331,94307,2683,1876,4024,1241,56,168
126873,9707,151,95,220,314,121594,12572,120,95,222,115,40,171
763110,602071,6398,4082,9782,452,652327,720984,5249,3424,8718,1407,65,171
172231,58863,1303,906,979,183,170399,78070,1068,840,977,113,44,173
114955,26561,1400,1093,3341,0,104260,35282,1258,882,3182,602,40,175
150531,115912,0,0,118,191,107001,111633,17,20,173,32,54,175
133496,30519,0,11,110,324,124118,38305,0,35,63,123,41,176
243935,46707,8,71,127,339,211072,54879,24,83,150,180,52,178
190420,33080,716,476,578,310,184524,43355,620,423,452,294,46,179
569540,108080,72,0,214,260,398439,91067,60,45,256,38,73,179
144970,145700,54,0,88,251,84688,118552,61,52,115,12,69,179
436525,133526,9,0,140,326,369127,156396,32,22,153,267,62,180
16777215,16777215,28644,46026,54082,34536,2116059,6131019,2103,2259,3610,4131,937,181
121317,16929,110,14,257,355,115057,23769,121,35,369,291,39,181
483328,109293,379,318,9612,1169,433829,123784,311,240,8781,1261,60,184
128691,40100,12,45,92,188,107776,49756,34,63,97,160,43,185
2269905,339966,4246,2351,5067,1910,1848818,362362,2930,1632,3722,1786,82,185
579871,84229,61,67,105,491,567481,109671,83,104,115,322,58,185
162327,21898,8,75,36,276,141751,27097,36,61,92,133,46,185
562045,510346,30,0,92,260,402009,459519,65,53,113,69,75,186
153620,156889,22,122,101,308,100438,153659,31,84,214,26,59,188
157104,14909,38,92,19,290,141927,17699,79,68,65,30,44,190
244432,27610,264,214,635,392,229419,33836,284,164,870,213,50,190
591094,778723,182,85,107,163,175423,247027,68,75,180,164,150,190
109694,42336,1,4,79,283,100497,54650,13,27,97,29,39,193
765859,710672,4698,2597,8056,1415,507879,814449,3595,1815,6556,1406,73,194
269735,213002,1016,683,1482,0,268239,278498,963,564,1386,466,50,195
788712,736776,13014,8909,17391,2063,626766,816871,9772,6833,12960,2586,73,196
601462,1476484,55,159,93,328,246781,921915,51,122,124,124,114,200
284369,10648,72,0,165,218,266045,13715,59,12,248,7,51,204
116271,10263,18,45,33,317,110405,13878,24,37,52,34,39,204
336715,87840,0,48,140,264,257266,89016,16,75,201,152,67,206
130891,157799,57,60,286,328,96269,83376,8,79,82,80,29,209
163244,41815,804,532,927,158,157199,53902,772,347,970,182,43,210
90367,6091,34,62,76,348,85686,9024,41,161,71,114,35,211
1149195,922168,141,114,211,443,584917,816823,96,66,258,255,118,212
604978,249079,7539,4398,8500,853,570946,308412,6391,3720,7523,1020,61,212
929079,212738,1248,530,13189,2433,814471,265728,891,358,10215,3534,66,213
144442,28188,35,24,198,241,128655,37832,41,34,174,0,44,214
266216,265074,121,201,50,388,188863,293633,73,131,133,178,62,215
194525,123844,0,0,161,322,160706,144501,41,61,179,88,51,216
419038,1027055,4112,2314,4724,810,364585,1278911,3539,2073,4216,937,59,218
767499,1990938,35180,21336,46841,0,663887,2251649,30216,17102,41525,4315,65,218
288268,399235,3318,2233,4365,1309,245420,515312,2918,1908,3602,997,54,219
103664,9198,0,34,50,275,97353,11072,15,74,70,27,38,221
209680,84687,35,12,3,437,193166,106468,41,31,64,199,48,221
536547,84180,30,27,124,273,490081,97827,66,75,121,87,62,222
177334,97557,12,75,198,338,152829,125063,35,52,313,121,47,224
492508,328154,312,230,1617,898,336810,177441,238,164,627,595,103,226
4886576,2943623,93,45,326,376,2754233,2288757,71,64,246,151,131,228
306806,51893,0,0,100,301,240891,53425,19,52,96,173,61,228
190019,34841,48,2,10,290,164241,44789,48,86,96,92,49,235
1076826,2089434,91,70,136,387,932107,2533095,86,112,131,266,71,237
775631,369636,41,0,64,318,357398,192323,56,95,80,96,115,239
90752,8551,8,3,54,222,83541,10850,37,47,17,0,35,240
180590,56829,502,266,1474,7,173502,74315,407,245,1183,357,45,241
329638,118972,2375,738,5985,1349,200072,79564,1585,349,3254,1055,81,243
151376,25441,50,53,93,242,130042,31861,57,45,96,0,46,243
1129684,1914301,86,77,286,406,404190,1050621,57,93,216,137,171,244
168156,34367,1391,1009,1902,666,162301,41733,1274,800,1837,619,45,244
381453,341745,1437,933,1404,722,366980,431329,1276,789,1398,886,54,244
247098,457562,1091,650,1510,882,227018,590153,757,488,1769,1053,50,244
178949,42956,43,37,95,171,149302,47701,104,13,193,2,51,246
427981,103432,33,34,0,260,322887,66779,67,75,0,77,83,246
564404,54331,64,75,269,311,559187,71412,46,86,275,231,58,248
250386,19333,0,0,0,299,193414,17796,8,0,16,157,59,249
376998,41909,75,100,125,200,369166,55501,98,47,152,73,54,249
201731,8624,91,92,0,235,153508,8693,37,75,23,13,55,251
5803430,1468525,98,46,291,348,3424813,1064562,83,119,243,215,177,251
155644,7499,97,81,184,239,149637,12271,103,57,355,20,43,252
258495,13963,1923,1456,3831,1394,249853,17811,1793,1213,3287,1542,50,254
180348,87651,67,23,60,320,140799,91330,41,19,89,96,54,254
288092,48467,72,55,202,225,250568,51328,39,92,133,8,56,254
195972,21830,55,0,30,236,181937,28042,54,58,26,0,46,254
107473,91360,103,193,147,230,90268,115287,160,89,96,79,40,257
272309,12650,8,1,14,208,156496,14112,59,71,82,7,67,259
358737,121354,0,127,151,335,325818,143142,36,115,208,128,55,260
104006,45036,33,138,89,250,93230,58627,56,117,159,29,38,260
185215,19998,0,13,126,283,128505,19405,34,72,126,115,56,261
157856,46840,32,53,36,165,120646,36056,48,86,28,0,47,261
248129,17990,824,587,1158,696,239205,24600,846,540,1153,515,49,263
132247,11350,2,54,2,220,119194,13890,20,60,22,23,42,264
577296,832569,4716,2711,5716,1265,571141,1082519,4122,2317,5479,943,58,269
1020367,107646,117,145,103,686,989201,134137,100,150,120,403,66,270
290843,141917,1263,935,1683,384,283233,185886,1083,864,1750,256,51,270
601049,231805,71,0,88,428,504222,205699,87,70,115,166,77,272
234107,58382,825,540,821,392,222892,77748,865,474,623,1009,48,279
165464,13072,46,114,91,244,129707,15876,55,87,80,58,49,280
