"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
478464,871703,8312,4818,12260,1588,440011,1141961,6879,4320,10716,1453,58,143
258279,18335,873,483,1152,68,261239,22585,895,394,1221,229,48,143
100933,9543,46,116,20,295,95769,12712,62,97,6,129,37,144
84814,7979,882,556,1110,708,81231,11697,807,495,1220,437,33,144
181320,88035,1000,528,1211,246,182380,116608,924,455,1376,557,44,145
118834,31321,973,609,862,808,120045,44650,894,528,1143,901,38,145
251551,17811,270,196,324,407,252014,20455,307,221,353,316,48,145
400975,12243,3026,810,1279,312,398357,14785,2635,678,934,308,54,145
369503,136652,1191,535,1745,583,361425,175390,1115,521,1476,749,53,145
361628,43314,5863,5668,10992,1601,350114,50513,5308,5049,11109,1707,53,146
309120,34767,1844,1472,3181,0,305301,47699,1616,1128,3225,368,50,146
290445,90774,3154,1633,4312,168,289200,117944,2924,1401,3888,710,51,147
727244,94892,87,71,98,234,729992,123756,88,132,165,6,59,147
102711,84545,176,205,563,341,93984,111335,127,169,578,237,37,147
281133,83541,1207,205,142,332,277136,111443,1099,289,232,216,49,147
357186,94158,1887,884,2116,428,359175,125357,1601,742,2220,562,53,147
305463,189749,1313,821,1892,480,299936,252534,1162,769,1604,341,50,147
87736,334841,96,58,234,209,83528,470170,117,36,253,13,35,147
198879,49717,1680,929,1665,361,189963,67867,1435,790,1539,929,46,145
664614,113279,0,58,0,271,356771,80617,50,60,126,49,96,145
221268,6436,213,180,250,337,190187,7554,247,155,242,161,50,145
256639,11775,471,87,97,387,251616,14423,331,102,202,150,49,145
473544,26639,80,66,307,343,464722,32842,83,111,479,197,55,145
146363,32071,1413,967,1827,784,142802,40740,1089,826,2007,855,42,146
324835,44392,112,45,252,617,319341,58803,101,82,153,353,51,146
651772,110165,16064,2875,1018,0,541123,124426,13434,2320,955,104,64,147
187296,55519,54,86,169,275,183641,73421,37,46,182,16,45,147
503629,87914,7,54,240,144,315739,70359,56,126,188,40,81,147
110073,6569,1675,454,859,311,108912,8476,1593,452,811,118,38,148
182289,67971,476,278,563,581,175704,90405,425,278,330,369,44,148
597307,654649,5726,3635,9337,338,535534,807077,4791,2780,8076,639,61,148
88728,51749,408,185,650,557,86284,70482,399,165,911,523,35,148
156721,62062,283,268,278,339,151352,83161,238,208,411,145,42,149
116465,54640,1719,909,1554,910,112223,73821,1523,888,1619,652,39,150
134478,37886,112,129,953,436,126145,50824,101,137,1082,391,41,150
126155,96246,1271,654,1017,401,126696,134925,1169,548,972,470,39,150
413983,269482,1169,576,1622,108,399491,351074,874,491,1548,561,55,150
318555,58388,0,81,0,284,115091,31489,45,80,37,166,106,151
339715,14039,86,132,328,232,327247,18712,65,76,194,122,53,151
255055,40501,1542,841,1256,0,235004,49542,1531,770,1283,0,51,152
394188,660022,1141,851,3516,523,321382,750863,920,753,2674,782,60,152
295751,96878,251,215,531,511,289757,126367,222,202,755,459,50,152
545001,1072792,4768,2739,8012,1978,495780,1371856,4400,2481,6337,2339,59,152
132609,62904,94,50,259,496,125316,86085,77,44,322,364,41,152
701923,80366,119,227,584,544,692549,104368,119,106,442,220,59,153
119287,26167,329,277,621,450,110353,35381,309,280,537,204,40,153
169298,28625,377,230,929,317,161066,36875,347,236,624,177,44,153
238447,42941,2230,1336,2741,153,226833,52084,2206,1169,3040,90,49,154
816311,4806368,108629,56027,99860,809,586235,5376159,84570,44366,80107,4896,74,154
580160,65547,39,117,188,417,572302,84617,49,107,174,396,57,154
607765,61295,128,101,399,290,601269,78582,100,71,398,176,59,155
1088361,2124045,8660,4876,10715,1505,940522,2553551,7135,4067,7740,1114,69,155
372550,340194,6659,3977,9417,527,337482,434346,5777,3476,8234,739,55,156
224213,69512,1651,884,1676,434,220922,93621,1436,673,1406,633,47,156
139561,28258,34,69,423,116,127434,33186,28,169,344,12,43,156
113655,45398,645,428,1340,224,108459,63940,585,376,1135,183,38,157
109033,115728,463,289,539,520,106703,160938,537,213,472,454,38,157
193307,75725,1880,2149,5700,509,190784,100919,1734,1754,5497,1040,45,157
413850,622317,3124,1837,4863,876,360468,762072,2502,1544,4151,1771,58,158
188199,43053,1331,965,1680,219,185643,55635,1380,861,1673,346,45,158
133577,27074,593,399,888,690,128968,35084,579,462,474,690,40,158
117184,74190,61,64,148,315,110898,100274,58,75,171,29,40,158
200714,31254,377,682,2793,43,193501,41276,298,741,2745,398,46,158
200649,423190,1719,996,2315,499,191500,557275,1730,791,2248,350,46,160
284500,47263,44,45,119,190,247121,49992,58,52,174,15,56,160
221831,56963,13,29,27,189,188695,67996,31,35,41,0,53,161
570285,122709,1544,1106,3510,779,548077,151192,1330,851,3458,800,58,161
209454,516669,4312,2593,5027,68,181381,665660,4063,2133,4650,1143,49,161
785796,68120,86,92,131,203,765367,86669,92,64,152,68,62,161
295001,133678,552,362,738,460,287013,171894,423,255,451,377,51,161
101293,17492,833,653,1076,539,94534,23475,792,601,1029,353,37,161
95102,3357,93,76,1333,13,85529,5993,141,81,992,216,38,161
93828,27606,134,91,483,91,87698,35685,112,107,366,24,35,162
106942,33406,613,463,537,753,102948,43080,592,393,395,795,37,162
347565,25245,764,180,68,556,323073,30768,614,228,138,414,54,162
385297,64535,29,59,183,430,336455,69516,40,108,222,316,60,162
90890,74458,866,452,943,270,85316,98017,770,470,1059,254,36,163
426610,294979,3536,1853,3265,780,411448,373317,3251,1471,2905,861,55,163
193798,50096,1220,671,1383,356,188691,67103,1238,529,1229,674,46,163
619711,538741,11693,6662,12383,2645,521202,629091,9221,5111,11218,2587,64,163
264254,16235,187,149,386,348,251968,22923,197,157,488,94,50,163
673150,143436,1207,821,1702,533,663437,186011,1032,689,1436,301,59,163
213741,7459,546,434,1421,117,204613,8235,552,450,1459,265,47,164
150846,231496,6155,4130,7384,1551,130661,301836,5362,3745,6357,2754,45,164
1438553,3437640,50159,31868,62597,1938,1086660,3601362,38921,26524,49486,6012,80,164
769646,1057294,1653,1139,4138,913,646857,1201164,1331,881,3457,1238,67,165
89759,15036,672,360,1054,374,84446,20448,786,405,826,150,35,166
1223330,190530,634026,121059,41250,0,1157450,239376,556253,106659,39836,1426,67,166
1267093,147031,34989,6539,5033,238,1073836,100539,28410,4992,3272,384,73,167
184628,190885,782,482,877,458,168156,248908,734,371,761,400,47,168
298418,127444,1400,1083,2019,781,286720,163715,1280,951,1930,722,51,169
182192,14197,373,253,339,198,175708,18783,269,202,307,92,46,169
592859,44436,55,120,155,360,582094,57867,48,57,190,203,58,169
141500,14592,101,49,158,214,132913,17872,109,59,44,39,42,169
454375,118266,495,405,906,29,388557,116943,281,253,823,322,67,169
117809,39866,112,106,542,357,113943,52048,90,94,529,374,38,169
159619,23742,740,311,1703,643,118036,26793,575,173,1539,486,53,169
308391,126161,1643,923,2160,376,293487,159493,1464,725,2128,379,52,170
502084,47057,4775,2908,5051,1320,496436,58962,4125,2393,3926,1848,57,170
504198,188528,1313,857,1854,723,467386,231310,1054,740,1741,624,59,170
746550,250828,6919,6025,14390,656,644026,160849,5625,4506,10619,1078,81,170
433894,595088,35063,19881,36372,0,375827,737887,30772,16787,30838,7042,58,171
216157,44673,2651,1382,2478,268,213641,57599,2422,1274,2449,320,47,172
218917,10643,152,56,388,273,211383,14307,141,71,408,92,47,172
628048,51442,119,117,407,202,607973,63653,65,119,460,24,59,172
459302,237864,803,413,1385,0,445751,308465,752,347,1140,45,56,173
280912,71965,1861,1025,1394,784,273233,93694,1573,907,1378,1255,51,173
152431,32768,362,284,1502,1123,143530,41426,313,207,1441,722,43,173
108447,420940,106,106,98,455,99392,565354,88,60,82,207,39,174
2262277,3820267,2812,2251,8752,1329,1415950,3785620,1429,1344,4156,652,154,174
88682,21112,303,128,429,468,82317,28353,277,104,464,283,35,174
201439,28563,610,446,969,379,199350,36125,565,403,776,534,46,175
460254,330113,2018,1488,3028,1433,410297,422450,1735,1185,2419,1231,59,175
204343,111600,567,407,817,648,197513,144321,538,372,1135,699,46,175
784308,1154259,38752,21729,37546,0,674555,1361862,31784,17787,31914,3009,66,175
161293,16285,822,540,1277,703,155369,20111,746,435,1442,1017,43,176
