"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
503318,491525,117,168,107,233,388192,577151,108,135,193,141,66,137
202064,35005,43,44,211,282,198171,46402,48,30,330,75,45,137
2493447,6487483,1105,486,1367,30,1412172,5907004,644,285,1126,135,95,137
181128,73553,365,204,446,347,147222,85881,249,104,377,178,50,137
401967,76386,49,56,359,361,405198,101051,52,60,387,180,53,137
120677,112514,79,91,18,341,108357,152693,59,92,14,129,41,137
1333475,836184,153,0,31,277,1202990,974277,109,38,90,94,70,137
174928,30194,218,194,376,431,161909,41527,224,175,288,193,45,137
301766,134031,57,53,85,395,292108,176075,107,100,213,175,51,137
90058,50903,32,14,187,128,85035,70667,45,13,246,55,35,137
248556,85210,484,265,430,514,208032,100502,356,180,496,213,53,137
1365856,1161910,258,69,229,292,1077153,1156292,225,72,245,132,78,138
1448454,2287499,968,463,968,814,1222104,2651068,776,454,832,717,75,138
517741,57391,116,22,93,451,512778,72144,114,58,244,299,57,138
1651296,476460,1980,1105,2604,347,1054211,366169,1121,580,1786,399,96,138
1261879,515539,397,249,727,623,1104209,591515,408,216,1114,584,71,138
314364,92842,245,190,232,206,302340,122466,214,122,437,85,51,138
485706,150362,730,414,542,281,384418,166914,602,283,483,417,63,138
446577,361212,855,409,805,136,301179,344792,593,263,627,508,73,138
131697,16267,22,0,27,318,128446,21927,38,86,60,142,40,138
936040,409293,1364,652,1934,416,626186,432899,903,366,1880,525,76,138
1500411,312775,809,346,354,532,1240040,335557,676,211,385,259,75,138
640087,78571,0,122,281,190,644885,105103,51,83,175,44,59,138
199768,64719,68,3,105,328,181399,83192,57,43,160,74,47,138
2961006,1698492,536,274,827,405,2480863,1930253,489,232,876,279,80,138
135702,91854,218,184,209,87,99541,111843,153,83,234,21,49,138
183466,59924,48,81,16,470,176804,77598,94,73,91,321,45,139
776753,298334,131,139,101,275,673717,355683,118,126,87,122,63,139
124092,104882,310,142,370,146,91077,127577,267,121,382,249,47,139
484219,226681,574,480,466,616,385029,259848,439,344,778,406,63,139
177816,61240,178,63,192,748,159369,76862,173,78,220,446,47,139
821028,429367,151,72,10,312,740109,508871,116,111,104,204,64,139
433290,122438,76,58,16,467,423800,156962,87,85,149,297,54,139
1014506,753918,101,153,470,198,927765,941820,161,127,467,33,65,139
94501,31913,36,0,6,260,85827,41426,53,0,95,116,36,139
184469,22695,212,190,114,373,175009,29644,188,209,221,351,45,139
131676,156383,27,49,168,276,116473,193640,62,36,132,64,43,139
700917,155501,75,72,208,313,652614,196920,98,58,212,408,62,139
224785,41415,0,107,85,269,214256,53136,36,113,84,176,47,139
646736,108690,582,413,571,188,552607,126588,511,261,659,56,64,139
1931864,1704002,7291,3635,7452,2613,1022656,1276619,3374,1709,4237,2576,108,139
395991,198486,49,96,166,356,347459,237498,70,80,270,99,58,139
1155127,974811,49,132,81,271,811546,989930,100,102,215,80,80,139
602864,545013,72,61,119,146,506769,660390,89,103,143,40,62,139
616495,347243,63,42,175,341,574328,424956,82,59,190,170,61,139
227994,215579,45,111,255,276,210661,279190,60,129,215,76,48,139
159862,97052,366,227,407,643,131858,115799,277,172,466,293,48,140
206056,76725,101,169,185,321,177115,95398,118,136,195,210,51,140
324431,152610,745,290,1009,277,275228,179414,490,228,759,217,57,140
