"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
213152,27589,24,27,0,383,158032,25367,47,68,49,239,58,298
438681,19138,0,42,80,198,314100,17343,23,78,90,35,72,299
141394,164304,0,0,145,264,135989,219105,0,12,121,10,41,301
205826,9648,68,76,179,397,201550,12112,87,97,246,134,46,313
181331,10505,112,89,108,232,173709,13877,94,69,89,131,45,317
473083,56194,214,376,780,794,463449,70715,186,297,471,1096,56,326
127649,135958,98,46,479,1036,107062,177790,101,90,289,1028,43,329
187952,112486,63,115,158,638,174263,147890,49,75,332,453,46,339
110498,45428,103,220,405,613,108508,62056,76,158,445,264,38,346
648178,648283,624,1181,2607,2967,384297,597221,353,662,1592,1766,79,347
2188146,2024533,1511,935,3049,1653,963718,1067849,573,508,1645,888,132,355
291035,55682,22,35,0,315,184590,49937,55,72,19,58,70,360
166987,269178,28,0,105,376,159191,349425,50,27,61,301,44,362
160485,99642,67,71,32,265,148221,130319,65,117,61,61,44,373
179062,49873,0,60,106,244,109401,38965,23,71,215,21,61,379
175037,143832,104,233,548,391,167904,190505,84,261,613,340,44,385
657059,36677,21,127,247,239,615862,44411,47,100,207,70,61,388
109059,22808,39,115,336,421,88100,28398,46,107,181,256,42,399
145145,32364,59,64,58,327,139668,41346,55,58,27,115,42,400
112712,41319,173,106,167,440,105171,52736,108,101,134,244,39,407
106685,150629,162,348,564,833,91669,191080,121,231,467,484,40,418
124725,122534,34,174,282,368,94158,136113,41,106,353,90,46,421
114156,7776,2,30,22,259,85919,7359,28,56,59,0,45,427
915790,65261,613,545,3942,4036,875852,79164,590,407,3461,3214,65,434
3026383,475211,608,392,896,724,1755088,370732,397,313,686,487,94,447
106036,199295,259,384,914,883,86119,222564,244,353,861,429,41,452
259678,52004,154,134,419,858,248793,65285,150,126,311,658,50,456
90544,24576,113,153,237,441,86959,32285,83,100,204,188,34,457
157977,76059,131,70,759,1007,127322,67311,118,112,616,346,46,466
155203,399206,459,788,1705,1185,98780,396028,257,463,1330,1021,54,468
314308,295124,18,67,80,426,227790,280971,33,149,109,143,66,479
136238,107329,71,71,523,472,119706,136633,92,87,626,448,43,486
104774,42460,6,30,221,421,98164,57092,34,79,309,224,39,495
155443,60519,46,75,319,464,144168,78477,58,99,211,473,44,502
6564001,855852,9956,10926,42447,37066,3591257,598371,5089,5634,22086,22960,116,504
808567,8204,47,46,16,371,799476,11037,57,66,49,135,62,511
362308,406893,143,284,429,856,345568,530826,103,145,448,670,53,513
393636,21477,74,44,137,206,363081,25478,77,56,173,161,55,515
144331,92402,69,144,140,424,122584,109309,128,98,130,186,45,520
187869,108384,79,57,111,209,163828,134523,110,147,213,173,48,529
700084,620716,333,257,804,578,601841,626027,272,139,865,298,67,535
132039,202042,269,496,924,1792,82341,202928,220,308,767,1394,53,545
253923,13232,29,70,5,219,249204,15651,54,110,62,9,49,560
239905,427559,527,954,1949,1448,161781,413458,345,556,1684,871,63,570
216417,19817,34,56,228,295,201213,25004,52,69,111,99,48,584
747908,185421,695,606,2425,868,589264,195402,527,427,1891,634,75,584
496549,4534,32,42,108,203,403087,5318,40,65,149,27,62,595
140905,114311,131,192,573,1076,93943,101727,66,152,594,652,59,596
139944,6060,19,62,24,259,122543,7031,30,52,167,9,44,608
674455,863000,339,216,473,546,554326,1091779,307,178,495,281,68,610
902318,55555,86,70,338,203,879006,71186,76,120,351,8,62,613
1468211,68910,154,54,152,402,1266362,82438,158,92,198,201,70,614
959561,173377,1289,964,2728,1170,677878,169867,893,608,1759,881,77,620
150745,107728,89,203,169,258,122916,134882,91,108,115,121,47,630
181580,6434,39,36,66,242,176076,8328,45,82,60,58,45,638
588877,992142,114,245,301,869,499700,1254526,110,183,208,479,61,639
437048,75051,169,255,824,932,429217,97876,217,231,805,668,55,650
369043,330336,249,262,711,1138,327087,398997,224,207,599,976,57,653
254893,230971,268,276,1710,1093,183252,261853,185,242,1727,1025,59,655
161416,55326,42,228,657,1018,150497,75302,48,176,602,733,44,671
135350,36677,96,221,525,341,127026,47041,80,196,474,319,42,698
97493,39215,48,69,194,235,86634,52498,72,83,245,0,37,699
102848,73404,44,56,137,495,97819,98708,85,43,208,307,37,721
