"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
601864,506313,2618,1269,2109,360,471390,558797,1930,947,1748,572,67,144
319740,597164,6872,3481,5418,1292,289777,803198,6251,3361,5201,1711,54,144
213804,55054,370,169,252,442,216448,76457,408,193,373,201,46,144
285251,31938,509,440,313,349,286285,39299,545,378,313,220,50,144
159386,31084,21,87,123,290,127827,32033,79,111,156,57,49,144
681399,504068,2431,1252,1845,502,581943,629104,2087,987,1498,680,64,145
283512,32312,618,282,524,443,275100,42135,564,218,548,236,50,146
95876,14910,106,75,89,326,91203,21627,81,51,108,98,37,146
177031,43414,620,379,418,492,177791,60503,528,297,238,659,44,147
575083,330200,2511,1029,2157,6,457435,362224,1723,730,1493,311,68,147
121902,137230,432,236,312,318,89814,155635,254,198,496,219,48,147
535161,203488,2130,968,1777,375,539808,275604,2084,772,1876,331,56,149
336343,72965,1304,683,854,229,285674,79262,1173,467,662,157,59,149
1634585,529681,5818,3269,3463,27,1235740,475393,3997,2154,2813,626,82,149
409751,75518,1003,547,834,732,393287,92205,762,441,992,501,55,149
380758,72539,8,32,0,236,223502,57237,58,84,62,56,80,149
220228,40282,909,448,478,222,184854,41455,703,305,370,402,53,150
813539,257704,6651,3972,5414,1557,626165,253873,4738,2660,4308,1662,73,150
657578,100692,4207,2095,2708,416,620686,119954,3734,1586,2743,864,63,150
205329,50301,478,378,560,223,203468,66538,344,359,417,213,46,150
2686832,1577562,17681,8655,11442,2453,1822758,1134716,8922,4374,5450,1417,107,151
483391,101585,0,0,133,204,437716,116964,57,79,118,0,62,151
374180,251502,1656,874,845,467,247345,230877,895,386,620,358,75,151
558142,109343,2277,1237,1708,424,513289,122823,1701,937,1255,315,62,151
465609,96610,1599,826,1215,940,458988,125113,1306,762,1044,1025,56,151
157794,74835,430,263,292,113,149975,97938,315,193,302,137,44,152
164208,25355,658,414,582,317,161890,34507,635,366,426,224,43,152
1808262,1657714,21268,11046,14745,1653,1410035,1823621,14280,7479,10236,2082,82,152
611788,156999,2664,1288,1824,28,522696,173467,1981,854,1156,256,64,152
94763,64504,472,287,565,57,90385,75313,443,239,515,122,37,152
367898,220341,3426,1664,2418,773,290325,248749,2702,1298,1916,687,60,152
434016,168873,1936,862,1227,223,411111,209259,1852,668,877,290,57,153
305120,67073,919,517,814,734,293860,87356,809,407,749,450,52,153
674680,168600,1630,845,915,502,643602,196656,1526,762,594,603,63,153
1759436,621354,10275,4399,7027,1280,1579586,676036,8108,3412,5841,534,73,153
457568,56835,1353,765,975,670,449669,71855,1192,588,924,521,55,153
273792,194826,1119,587,967,160,169919,162388,842,359,1293,277,65,153
613419,76647,1852,1034,1169,487,589609,95184,1476,971,940,454,59,153
210357,51665,926,472,1035,730,182126,60706,656,273,863,666,50,153
286269,62819,540,384,248,209,257688,79083,426,367,173,70,52,154
89277,37060,140,80,156,302,80661,49262,119,103,264,98,36,154
129481,12566,158,109,231,407,127707,17164,249,145,277,183,40,154
90936,15740,223,148,103,311,86969,20478,188,167,207,127,34,155
255414,63235,610,314,409,213,249143,84346,534,353,407,349,48,155
297444,291874,1117,799,811,72,166141,188534,505,362,454,93,88,155
2073917,2441088,24538,11740,16132,2405,1302418,2464603,14837,7543,11502,2669,90,156
318558,29644,826,413,507,575,319208,37835,722,374,615,671,51,156
1015144,118119,132,97,0,302,1005892,148397,97,61,67,129,63,156
1744015,596233,14401,8007,9992,1784,944835,474086,8898,4920,6175,1561,94,156
120305,50249,468,77,223,302,98550,58712,361,105,266,91,44,156
128066,9002,368,261,136,490,123639,11566,328,159,252,242,40,157
1197976,615820,5436,2519,3742,716,916111,698544,4156,1902,2570,1051,73,157
503826,55645,1886,1019,1235,211,506695,69369,1653,847,994,674,57,157
310416,37833,514,313,520,312,304211,48092,448,237,679,189,51,157
658358,122080,2158,1005,1778,48,663469,155361,1840,892,1928,138,58,157
908789,1606023,70,41,35,179,828422,2008633,101,52,146,57,64,158
422479,53103,1734,940,1213,736,401567,69943,1554,850,1168,813,56,158
219554,31887,610,343,325,306,198204,39401,569,314,190,466,50,159
369854,62663,0,68,56,269,291663,61897,8,78,96,202,63,159
