"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
306600,111431,319,212,195,521,271286,125551,235,99,448,331,53,142
163006,69700,431,204,278,375,137753,81314,375,170,363,175,49,142
130727,32047,158,182,135,435,121877,39780,188,102,180,235,42,143
929280,437893,831,605,651,577,689016,493465,646,384,411,426,73,143
98973,37979,171,37,112,289,90481,53126,154,54,186,113,37,143
141072,26401,185,294,90,302,125804,32970,212,205,124,59,43,144
112040,87371,203,188,278,446,102264,112955,142,194,291,258,39,144
87494,25009,184,16,215,262,80591,33030,156,28,452,18,36,144
103591,59870,195,168,58,312,95376,81916,170,96,173,227,38,145
685012,46677,122,56,343,214,653095,55168,96,67,419,280,61,145
119998,29676,74,141,51,285,111231,37759,68,111,71,51,40,145
326240,75003,7,54,128,315,194003,57654,43,57,138,131,87,145
128409,111154,328,158,149,370,106218,126588,298,146,235,129,48,145
287197,129115,515,237,501,220,252724,156677,437,153,388,3,53,146
280947,80863,546,270,327,451,204024,94746,399,213,375,356,57,146
176234,52385,111,79,51,382,170806,70932,125,83,55,132,44,147
130742,20538,263,159,325,295,127226,26171,268,135,313,178,40,147
144968,26315,102,91,83,396,137248,35637,145,85,153,156,43,147
88873,50708,108,79,46,285,84179,70424,95,121,97,81,35,147
112702,50214,219,82,334,339,88711,63341,152,61,246,152,42,147
864786,376740,1291,637,868,0,746898,449685,974,590,785,283,66,147
105013,16099,27,43,70,330,81217,14586,34,37,18,128,42,148
236819,251513,910,541,594,642,138926,232220,577,362,465,208,67,148
213688,121771,264,178,464,138,181579,155200,280,132,496,0,49,148
407808,37641,69,46,206,444,405361,47119,79,79,191,315,53,148
134953,37134,188,193,195,363,130095,51114,209,129,320,128,41,148
193041,12205,363,253,474,444,191993,16411,367,195,512,249,45,150
120702,35294,207,116,146,212,109098,46215,228,153,188,182,41,150
851610,22602,28,65,83,498,289450,11945,41,100,107,332,141,150
100562,19148,143,91,115,578,91829,26005,124,113,116,309,38,150
282506,161452,435,272,217,282,195965,131104,310,172,137,177,69,150
998066,187490,1306,640,946,647,867377,204499,1039,467,1043,417,67,150
121887,43211,139,118,125,67,111762,58110,132,55,184,66,40,151
1318288,42187,27,0,109,277,482029,19956,46,58,268,132,140,151
316325,175491,536,324,674,377,280433,223165,558,380,571,160,53,151
198665,71904,298,149,313,295,174162,78422,254,84,200,130,50,151
102114,35298,156,72,297,250,97927,50006,106,119,300,5,37,151
769283,436185,721,444,357,463,659938,526796,525,232,269,354,64,152
211932,71228,269,154,123,448,193729,78782,182,103,261,265,49,152
258544,145238,569,314,350,128,184834,161444,447,249,390,78,59,152
118768,27540,149,108,157,443,82187,27135,118,63,239,149,35,152
187181,88313,343,281,357,439,163815,112104,289,223,235,310,48,152
213231,86493,388,194,312,336,177904,102671,369,97,410,138,52,153
202841,186132,567,346,449,362,175637,245885,467,253,368,304,49,153
226643,136069,178,165,197,80,157295,162181,152,86,188,136,63,153
183622,103137,812,545,722,415,172378,141099,598,587,588,417,45,153
253087,106233,0,0,92,292,119658,31327,54,42,182,29,70,153
189769,101473,297,129,258,434,164535,125095,198,106,375,280,49,153
411145,135863,743,505,840,821,335411,155220,692,312,865,484,60,153
118678,222212,881,447,806,204,82070,236052,640,242,844,400,54,153
270986,109238,677,283,615,330,258364,143587,679,196,532,242,50,154
85666,11468,49,85,109,311,82146,14671,66,27,134,96,34,154
240217,546391,13,90,161,165,84245,340430,74,98,231,0,96,155
98645,82218,358,311,461,711,80713,72943,207,190,312,248,37,155
415927,186345,1244,691,1577,146,347612,155593,623,288,827,230,60,155
171018,35541,818,511,1312,475,98674,21055,290,204,414,676,53,155
148791,126822,227,168,136,448,126023,151926,191,157,84,203,46,156
187055,93022,666,353,549,214,133518,103687,540,248,453,359,58,156
425972,77713,510,314,548,241,421180,101026,489,283,360,212,55,158
157257,93601,268,165,283,403,128960,105574,224,141,245,147,51,158
167668,49527,342,160,112,358,136924,62158,238,124,152,114,48,158
243608,238842,1235,511,998,331,180681,260737,885,419,607,395,60,158
172420,64590,345,350,492,567,139386,75892,298,193,315,289,49,158
87006,19722,94,30,171,311,84332,24981,100,60,155,74,34,159
289115,52003,243,136,349,204,264256,65676,278,93,349,105,50,159
