"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
116802,43828,129,122,17,289,88700,51622,109,155,27,70,46,138
312773,39054,434,238,215,516,260709,48245,312,149,215,326,56,138
169781,51243,323,238,237,292,132662,58312,337,127,268,156,53,138
140915,47539,326,126,254,219,117462,59168,379,128,363,87,46,138
208882,14054,109,107,143,278,195404,19259,91,107,246,64,47,139
128030,21543,138,68,162,284,115107,24905,93,86,124,215,41,139
146698,54279,418,227,387,27,123712,66597,372,173,224,159,46,139
1012985,198991,1344,714,669,665,815219,220304,893,469,468,628,70,139
3177734,809169,4301,1875,2281,203,2476463,849349,2917,1400,2240,165,86,140
364587,257654,321,246,308,331,250122,244544,209,153,261,252,66,140
118984,41060,224,138,383,180,85344,46306,229,109,266,82,46,140
155612,16956,192,97,328,373,136433,18558,178,83,525,121,45,140
148890,23568,218,100,79,306,119721,29593,170,73,89,61,45,140
902551,287750,2402,973,1173,1134,565137,262126,1522,667,858,594,82,140
567360,179561,1090,417,731,246,394692,152785,663,207,624,128,77,140
94995,14389,77,24,109,369,86366,16992,73,96,183,115,37,141
185356,44123,413,166,333,349,134934,49246,431,213,243,288,53,141
318180,75194,627,369,437,513,251466,75728,448,267,576,246,61,141
109972,25328,113,70,47,209,92588,30491,71,79,78,47,42,141
217668,15394,139,74,84,264,191761,18376,113,95,172,131,50,141
452746,219991,917,398,470,302,290930,220759,596,270,324,123,70,141
347509,45573,183,208,22,293,303427,55181,160,140,96,221,56,141
415935,75763,529,241,352,52,320319,78834,324,222,495,21,64,141
512709,82949,653,251,394,691,438590,99286,427,192,432,582,62,141
225154,15206,382,155,303,264,213277,20890,259,169,363,127,49,141
323485,66510,718,340,542,525,210150,49763,408,305,520,445,78,141
223014,65573,276,116,372,396,179437,79549,290,153,335,461,53,141
340332,77006,462,326,69,132,323651,100089,309,276,75,40,54,141
1262332,542096,1540,792,731,244,872468,594108,1088,431,475,267,83,142
2021534,1493388,7342,3650,3793,670,1158144,1124676,2879,1725,1693,1021,120,142
625595,76665,527,450,440,252,500759,84754,475,372,678,167,66,142
355419,79646,737,378,392,377,265410,79875,441,319,304,479,67,142
134707,47744,300,92,128,353,109205,57458,213,84,157,268,46,142
253105,59083,257,226,110,406,202525,66881,243,173,184,179,55,142
167402,21402,166,227,342,172,158248,27349,157,197,399,126,45,142
94824,8910,75,112,77,323,82483,12881,95,57,114,235,38,142
1216263,459122,3573,1445,1774,719,903371,429268,2259,849,1268,954,83,142
104906,12463,62,63,75,381,92850,16362,103,91,61,147,39,142
255350,85164,194,183,115,183,172139,93589,187,119,102,55,60,142
129947,23408,202,98,143,246,108820,28952,173,110,155,26,44,142
206147,48791,189,48,147,190,181299,61223,174,39,142,119,49,142
784067,455429,4456,2423,2104,510,535894,328945,2224,1180,1001,584,106,143
268478,37281,245,278,114,271,251874,46742,239,157,142,121,51,143
259963,73556,372,243,276,459,193756,81902,383,220,329,332,58,143
166889,57757,473,236,513,300,135367,71877,437,185,511,250,50,143
170272,30551,254,246,221,260,143872,35351,164,172,349,91,48,143
178168,36195,178,119,125,119,129827,40003,216,82,260,47,53,143
16777215,16777215,61798,26352,29674,6353,6444054,9149768,23426,10007,11350,3621,178,143
572204,221710,933,508,759,302,412960,228259,549,341,572,103,75,144
1212908,115476,1024,417,483,165,1092323,131972,847,389,307,196,69,144
274136,50891,653,264,431,332,226336,61174,444,233,518,303,55,144
432942,76084,593,346,311,315,386258,88305,527,271,471,197,58,144
144973,39017,182,176,53,426,120734,49022,147,166,170,262,46,144
113325,28986,78,40,38,210,96309,38102,61,83,57,47,42,144
94279,33084,184,50,5,462,81991,42941,127,55,27,173,38,144
2759885,1838274,7972,3466,3975,1786,1471452,1518661,4199,1927,2239,1293,101,144
274764,125355,501,331,305,237,202613,138746,342,271,267,407,58,144
417639,254880,1302,664,745,257,238557,229767,808,425,608,571,76,144
3854979,2620025,7296,3485,3321,555,2565043,2702774,4521,2128,2212,1014,94,144
103170,39549,114,77,149,550,84783,49344,133,56,158,284,42,144
854396,140387,577,262,459,186,745211,163005,466,249,442,212,67,144
276484,39537,387,283,142,211,193140,41488,363,298,136,201,59,145
160132,30906,344,54,221,360,114005,29757,230,61,173,358,49,145
688640,311926,1707,727,993,675,419520,309074,1067,406,487,411,78,145
128425,76921,372,222,181,417,94470,86454,330,171,214,269,51,146
334309,59605,474,320,324,217,253275,61927,298,235,287,213,61,146
8818830,4071841,17076,7921,9287,2781,5597063,3235067,9042,3916,4701,1791,126,146
544807,56843,113,34,188,224,512211,73264,125,69,322,263,60,146
292882,65236,525,312,288,270,206629,66336,287,158,207,251,61,146
