"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
120465,30347,124,43,93,317,115232,40494,86,61,59,66,40,157
129601,16541,127,1,0,393,93739,11461,102,73,0,60,41,159
148625,21029,190,147,268,374,141668,29238,149,86,292,128,43,161
1753835,451614,2049,1181,1551,537,1426523,425708,1421,677,1531,586,87,161
106764,18686,100,77,151,266,102178,27689,127,89,345,127,39,161
8805281,7228107,23427,12614,17338,783,2363761,2745400,5788,3338,4136,1471,230,162
1034805,284945,1799,860,1423,373,803529,294471,1138,596,1046,230,81,163
120563,15941,188,72,219,168,103638,18952,198,53,241,13,41,163
304835,58372,279,157,111,0,280365,72839,252,135,109,264,53,164
885408,223401,816,441,860,452,798145,260086,648,337,715,393,67,164
118261,40367,236,204,197,311,102439,48808,224,141,149,88,41,165
285592,37440,221,71,177,324,258884,47705,168,73,300,51,52,165
227250,59782,355,376,470,304,153369,66264,314,279,383,217,62,166
107072,46139,250,171,255,223,91318,59880,205,85,208,24,40,166
340935,96442,510,342,454,320,286881,116901,439,269,567,214,57,166
321956,88859,241,185,89,566,286875,95048,148,193,274,316,51,167
122490,35514,168,159,276,298,87052,39724,136,130,240,116,48,167
141160,58579,331,199,413,303,106772,64967,228,110,365,83,47,169
180040,8617,32,0,159,330,163451,10704,38,42,238,134,45,170
559077,31759,24,75,86,284,416520,27658,56,76,81,70,71,170
223028,103687,980,472,411,307,136847,91067,588,375,230,469,72,170
1760746,163824,1110,695,589,542,1696932,201962,1017,495,618,485,69,171
348797,236415,733,501,902,0,218004,206566,435,367,557,394,72,172
215775,190122,429,196,482,420,134162,209768,245,147,228,160,54,173
161983,46179,181,43,106,389,136892,56105,240,42,55,158,47,173
95687,17508,85,78,80,287,89827,20848,85,87,100,24,36,174
2049818,570092,2741,1316,2150,824,1532729,528533,1744,882,1399,633,93,174
253012,264987,1905,904,1138,726,101083,168338,779,378,812,371,98,175
259693,37391,236,89,259,185,240779,48331,190,124,284,38,50,176
1178823,317195,1425,794,896,266,977136,355985,985,615,794,442,71,178
608640,108561,493,274,164,118,540166,131887,340,173,250,168,61,181
276726,104094,611,273,588,3,172221,103438,391,169,440,90,68,184
1265634,432861,2262,1172,1210,230,784415,323684,1193,546,654,149,96,186
498915,418786,2235,1317,1855,728,232972,258072,896,598,1189,417,125,188
351266,45480,235,119,116,296,320739,56558,277,93,191,23,54,188
5260190,2672766,10161,5059,6650,944,2334644,1887153,4548,2196,2783,849,132,189
438315,359713,1694,984,1449,702,205329,208217,795,466,1125,448,100,190
160982,233417,1236,569,953,510,107472,212047,670,312,722,349,60,190
495807,232704,1037,571,802,255,341989,246729,700,433,603,340,70,190
7137962,8317571,26585,13451,17079,2077,1561601,3034288,5225,2799,3658,1256,259,190
108306,8212,100,27,6,369,93962,9518,96,44,89,115,39,191
166548,30549,107,122,136,251,141415,36330,126,127,243,35,46,191
162416,280565,1049,359,912,259,96787,256830,702,239,696,128,59,191
357040,122050,482,381,517,380,303976,150241,425,267,532,505,56,193
97108,16092,132,171,121,153,86034,20855,192,124,104,0,38,193
262140,122807,350,184,290,222,200435,136304,248,179,249,77,56,194
209149,28928,84,67,129,394,195108,37599,76,78,100,195,47,195
838017,135437,1021,561,592,701,654046,121502,588,363,375,345,79,197
173273,85406,412,161,244,346,126398,91217,363,143,147,186,52,198
169253,64642,165,139,166,386,137454,80181,157,175,127,238,49,199
5240570,1904142,6807,3436,4376,620,2742363,1489701,3212,1508,2556,1890,112,200
325222,134662,871,304,526,320,239805,141396,749,215,327,224,62,201
338594,87707,404,220,313,503,278627,81983,299,119,243,227,59,202
606089,139252,380,179,437,375,477873,134286,243,168,457,142,85,204
96099,18484,157,82,94,474,82435,22901,140,92,99,329,39,204
1113009,245821,1147,436,813,480,792083,243368,792,356,609,390,83,206
2459409,706211,3398,1825,2331,967,1384942,598127,1940,1044,1479,1005,98,206
561270,95262,493,195,482,36,496070,109581,358,145,393,75,62,206
496537,56908,588,332,409,187,447967,71607,494,244,373,235,57,207
3027733,2467731,8556,4136,5343,1710,1108655,1380906,3469,1849,2238,1700,129,208
147114,78380,426,230,291,412,97317,79731,326,153,248,168,50,209
170321,62197,338,80,198,153,144473,75695,346,64,324,87,47,211
476613,148905,190,102,214,322,414625,172165,172,74,109,204,60,212
98516,38159,200,151,206,415,83447,51726,184,142,249,321,38,214
140355,81315,657,379,509,73,88723,82359,402,368,446,91,52,215
605516,94666,407,292,380,367,522031,101626,310,179,272,182,64,216
204368,1588185,2064,875,1505,0,85153,1059465,788,371,1130,261,100,216
192634,56606,171,81,106,389,174714,73818,128,38,186,298,46,217
700549,166706,589,489,567,639,547846,202776,487,264,535,250,66,217
112985,24206,107,137,71,121,101212,31747,154,155,147,48,40,217
91093,10415,166,41,134,435,81620,14494,154,53,85,227,36,218
90992,25590,114,160,59,333,82383,33034,80,148,108,83,36,219
270684,11974,0,114,0,428,121313,8248,24,87,0,191,86,220
522600,127649,1009,603,384,420,387266,136950,712,347,468,149,66,220
102819,55795,159,111,23,381,81341,71399,113,76,54,284,41,221
1146394,993417,2780,1453,1910,1029,492430,626201,1372,603,938,591,128,221
222916,415826,1019,611,521,308,145139,475205,671,384,372,327,65,222
107996,40658,166,38,58,251,95216,51516,171,55,111,83,39,222
204452,55041,225,169,150,290,177099,67754,164,130,151,108,48,223
149256,51144,165,35,157,313,134447,66461,126,66,158,109,44,223
139771,43920,341,186,176,328,120025,46280,245,173,200,148,45,224
267815,141718,319,229,332,264,183953,107686,172,123,213,194,62,225
16777215,16777215,160415,79727,100318,17326,6690617,14031139,22101,10045,13775,4764,354,225
517395,160606,796,521,715,230,336816,169013,425,290,567,265,72,225
118811,12321,139,127,336,205,100563,14883,132,63,200,58,42,226
110580,37496,174,75,167,368,96745,47869,183,37,126,188,41,228
266380,100553,519,299,430,315,210552,110528,413,230,301,169,56,229
90054,10625,114,63,136,266,83823,15822,102,39,153,17,35,229
3673630,1072777,3747,1902,2689,94,2779485,1013829,2492,1306,1947,323,98,230
110917,25528,196,72,118,313,102597,35307,171,41,113,142,38,231
339644,19860,251,165,142,199,313232,24733,279,119,136,14,53,231
199868,50825,218,223,249,295,175364,63163,201,177,285,98,49,231
2360769,850249,4712,2166,2674,238,1086288,549804,2104,972,1577,462,111,231
1497271,752888,3425,1650,1866,572,965747,744730,1910,1072,986,1003,88,232
683946,222427,1173,638,785,236,483299,193081,636,340,321,322,82,235
1509123,274323,1315,628,702,191,1295906,291711,967,363,501,241,76,237
223129,92197,376,274,524,14,189161,112281,329,160,310,81,52,238
100725,45632,117,111,8,184,83511,55931,106,68,99,9,41,238
151303,77237,266,92,111,347,113389,91588,205,162,187,118,51,239
197182,63612,93,37,0,361,188724,83343,67,40,24,135,46,239
116579,28676,176,145,192,407,98945,35980,227,128,141,264,42,240
2536865,822044,4792,2351,2297,892,1432133,741331,2693,1276,1555,654,95,240
95745,41305,221,87,353,288,91663,54842,205,130,460,46,36,240
1598804,2197056,11077,4865,6192,1868,785148,993948,3441,1413,2529,725,154,241
1143412,1110741,2669,1406,1819,724,553849,861171,1348,607,789,470,109,242
173056,74564,370,145,341,523,144714,92678,371,122,383,321,47,242
128157,9418,184,121,144,346,116896,11868,159,116,153,157,41,242
2189407,1387389,3555,1794,2424,476,1295913,923437,1611,778,1151,725,111,243
142655,18942,178,147,184,338,133970,27492,174,126,255,95,42,245
625503,302570,1223,680,658,175,339376,273367,729,330,509,256,82,246
143749,77601,189,94,0,314,107647,87040,162,85,50,210,51,246
145164,76833,321,188,165,196,121377,96731,233,147,163,23,45,249
291403,81063,37,63,24,232,288710,104943,41,74,148,14,51,249
585556,192637,866,410,359,868,367366,189137,531,273,304,685,75,249
5616985,3541342,14326,7143,9904,737,1401635,1246434,2912,1542,2691,937,227,249
726926,94138,589,323,486,615,640923,118803,506,206,390,470,63,250
354257,186436,1312,515,986,381,181797,176178,789,297,700,209,80,250
316299,262773,1076,616,754,263,168157,234260,613,336,385,241,76,251
164208,34875,289,95,216,324,134120,44743,200,98,179,197,47,251
565391,370092,129,81,0,275,528562,468232,106,44,0,61,59,252
463720,67370,436,228,490,305,422172,82221,378,175,440,133,58,254
120954,33020,160,226,137,344,97948,40496,167,206,123,114,44,256
1333516,743095,4381,2101,2996,14,753769,503887,2155,1154,1526,192,108,256
103283,18384,94,75,131,209,97494,25838,92,58,139,0,38,256
140279,93422,1047,547,790,392,86562,73981,565,280,498,393,60,257
397670,116303,466,300,325,0,296093,132415,335,171,299,116,64,258
112469,13422,85,28,74,282,103200,18551,114,61,81,26,39,261
89150,19405,32,73,30,200,80951,25106,66,60,47,35,36,262
932439,332424,892,481,614,543,699607,260188,570,332,311,400,88,262
2006962,952628,3076,1586,2148,0,1221502,821689,1581,734,1218,456,100,262
6833718,7072519,21957,10486,13285,1762,2321828,3589988,7179,3485,4526,1965,165,262
473110,106405,472,223,411,283,393105,121145,398,171,368,320,61,262
1167781,689387,2866,1618,1996,93,682295,431116,1257,680,862,653,112,262
177444,87676,358,132,186,337,133657,98170,284,101,219,91,52,263
1435302,205317,1278,704,1006,830,1059062,207841,859,519,745,549,80,264
133350,26312,120,134,193,265,110637,33173,131,96,150,115,44,264
186771,44301,249,89,245,129,172703,55577,187,66,331,74,46,267
634801,147147,833,526,638,437,502067,161397,535,380,641,302,68,267
91960,12564,134,140,191,203,82585,17793,126,166,264,104,37,269
688190,356502,1654,822,982,328,466307,306630,839,334,815,315,98,269
322596,72165,574,216,481,165,302659,89148,454,210,404,131,52,269
942398,1466057,4600,2198,2957,467,410164,1157882,2263,943,1803,479,107,272
381516,183801,554,327,308,485,253722,176059,445,274,208,185,77,272
95034,24790,84,82,69,301,80587,31591,110,62,66,137,38,272
542785,637719,2454,1295,1621,1399,205355,334489,737,401,913,853,139,272
121974,14613,130,52,215,451,111701,18922,155,37,320,304,41,273
416632,270518,989,425,575,641,341263,317664,751,322,423,422,63,273
198440,29865,120,99,17,148,192219,38848,110,127,47,54,46,274
543089,131928,645,322,174,0,420843,139871,526,193,263,19,69,274
163440,30565,224,127,206,385,145891,38575,235,147,289,155,45,274
686788,99736,461,339,300,653,625203,124143,428,249,403,416,60,274
1117103,325178,1050,512,551,418,938824,381752,662,458,517,189,71,275
165383,81386,307,186,205,217,121241,95693,268,142,132,190,51,275
568658,253345,1536,754,1703,942,332155,227864,825,345,1039,797,83,275
118900,15171,148,122,291,323,110544,19333,218,122,413,143,41,276
87009,7338,93,139,285,206,83242,10253,111,87,360,25,34,276
9421285,12135914,33275,15717,21683,3235,2636864,5356856,10028,4741,8031,2580,165,276
3039307,710918,2767,1527,1762,407,2376353,670074,1579,953,1318,649,93,277
309834,60770,395,191,234,457,261628,72472,404,111,110,428,55,277
96699,27341,378,55,308,641,82227,34776,299,62,491,447,37,279
122297,24030,138,67,67,191,106269,27899,165,91,112,21,42,280
2345008,2611649,14507,7218,9538,165,791827,1277997,4893,2143,3432,823,179,280
584941,206840,1570,724,855,246,445853,178129,1002,453,709,274,86,280
106195,9619,174,90,187,174,101867,12085,156,52,134,0,38,281
317204,67879,295,146,157,127,280193,83315,243,185,187,95,54,282
138722,60104,241,168,310,160,87943,64698,246,157,240,124,54,283
134915,48740,259,173,391,313,106077,55016,229,105,498,139,48,283
155550,98786,174,157,315,226,127036,114715,138,102,436,85,47,284
606715,190619,534,116,582,732,345595,154200,296,78,323,311,98,284
214094,95294,210,144,174,335,176698,107769,155,79,148,141,51,284
146824,55145,199,163,245,314,114781,60508,131,110,198,157,50,286
103207,31266,18,117,146,268,91807,38932,65,73,102,9,37,286
188218,194242,1386,826,1236,491,104896,150250,952,560,714,445,71,287
880499,101244,859,468,416,303,827050,120219,557,338,324,119,63,287
1145787,278801,1190,773,1124,598,627840,236637,732,406,781,826,86,288
2339267,703597,2564,1369,1876,1063,1295291,591309,1466,714,780,842,104,288
403964,3306779,2048,1033,1411,376,209878,3038708,986,507,995,287,90,288
123758,33512,234,36,125,364,114116,43607,209,40,137,233,41,290
101299,51262,171,86,370,105,80132,65559,166,53,239,49,41,291
150370,61090,482,297,382,242,100739,47233,299,197,344,67,52,291
199527,112396,395,101,484,509,83258,95072,193,152,449,374,86,293
269842,57136,169,135,190,329,240245,67083,162,118,110,96,52,293
119740,41993,71,7,54,323,80333,53739,64,56,99,3,46,293
131755,79148,323,303,558,279,102410,83790,274,171,435,250,51,293
116305,23429,208,150,138,361,106693,32587,187,136,133,92,39,293
191271,67150,236,252,273,435,149964,80988,177,132,158,328,52,294
150342,142612,944,487,581,290,97009,135958,652,417,741,215,59,294
326119,233656,583,346,368,201,207890,258719,398,245,352,113,64,294
4199415,5248444,10520,5208,6501,1915,1631709,1908837,2493,1362,1973,1141,190,296
195555,133538,490,357,468,334,121469,133784,347,256,294,150,63,298
116134,34749,174,126,258,408,88804,37684,194,76,132,338,45,298
897007,1160281,7222,3986,2950,1562,296299,689435,2604,1338,1126,970,132,300
245293,58552,274,220,411,431,198161,66384,219,209,355,258,57,300
234545,23813,360,120,297,425,219605,29749,248,106,215,175,49,300
593055,140580,771,527,697,565,425956,140986,672,371,740,333,70,300
1208087,31083,157,188,159,301,1082422,31065,152,138,204,150,69,301
692300,536221,1860,862,1108,185,333240,378634,923,415,705,201,101,301
383074,120119,782,338,425,426,255051,76595,366,228,302,216,83,301
243049,98812,538,376,482,290,158484,101452,340,204,298,220,69,303
344682,56520,49,55,6,383,311357,70010,62,61,19,186,56,304
1028118,247157,1277,569,782,499,719738,211956,691,386,844,299,82,305
125843,51442,127,151,187,204,93565,53716,111,117,115,22,45,305
103966,27966,134,102,201,331,92010,35781,159,119,324,89,39,305
4971416,2761122,12234,6497,7724,1026,2331138,1413530,4222,2088,2974,992,146,309
133216,363156,954,388,410,137,86375,341480,585,234,278,97,62,309
456585,100114,396,303,59,29,318510,81702,197,151,109,138,92,310
240754,141277,628,328,670,336,178309,159959,432,298,550,233,59,312
411528,59422,575,204,459,377,356681,66780,450,183,380,286,59,312
2573149,3990040,19027,9520,11500,2074,966475,1692799,4942,2598,3557,1518,176,313
110905,11821,154,155,245,181,102776,14879,133,150,217,0,40,314
362249,72302,326,190,241,122,330106,91669,252,162,281,215,54,314
281623,44879,306,99,389,329,252052,51340,314,125,328,91,53,315
141538,29578,214,91,96,351,123009,35971,241,99,137,411,43,315
114083,92239,368,292,224,227,86315,103831,332,228,228,104,46,316
203526,130501,487,298,498,63,146070,159490,319,217,522,24,56,318
619495,441163,1361,968,1008,806,376420,304297,647,461,605,634,86,319
100480,17822,163,85,258,349,88216,21866,163,81,410,83,39,319
93820,37118,130,104,157,425,89548,50200,187,80,220,507,35,321
631413,174869,1018,489,851,230,446515,163764,726,289,686,222,72,321
632748,257373,763,433,754,653,501610,296902,667,254,570,800,66,323
153375,6699,63,17,229,283,142792,9158,57,32,188,58,44,323
229554,57649,220,141,325,240,191296,55113,132,119,237,36,51,324
2062801,656940,2356,1386,1262,538,1218061,469654,1222,596,831,808,111,325
268502,464002,1218,640,868,597,166032,393125,784,334,629,776,72,325
573398,143197,692,391,473,133,434159,156462,514,317,576,295,66,326
534116,143569,543,341,308,403,493362,177774,500,212,414,104,58,326
120126,25995,160,63,215,327,112375,34500,158,71,365,175,40,329
214035,60868,502,234,380,139,169198,67476,407,161,199,112,53,330
95994,13110,94,62,79,342,88203,16628,110,100,149,118,36,333
1807527,706147,2387,1119,768,12,1156056,629662,1370,587,749,201,93,333
2005653,1372848,6807,3312,4457,232,898993,882522,3222,1395,1945,437,120,336
