"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
557560,38184,46,77,118,304,555418,48652,83,65,119,214,57,138
384465,345872,3828,2292,4743,1358,259205,300628,2034,1114,2954,993,69,138
587187,52476,67,138,322,403,592594,69469,120,135,183,169,57,138
1328574,186038,307,143,564,191,1222083,220768,234,116,334,52,68,138
1835257,351862,1373,980,2613,959,1684053,427196,1062,919,2319,504,71,138
199715,79996,1062,647,1554,458,153523,90099,680,436,1113,130,53,138
849246,203871,1353,806,1830,437,769025,250375,1168,631,1495,308,64,138
256787,32886,86,181,350,343,239583,41757,117,99,185,291,50,138
1082065,111862,271,134,587,307,919229,127135,253,191,393,180,69,138
1891511,215446,1581,928,2553,412,1703350,257528,1474,859,2067,1401,72,138
1841377,391921,536,297,659,232,1484122,456194,366,228,536,293,75,139
1883334,635591,2751,1840,3766,1738,1311411,372018,1223,938,2328,693,128,139
533670,63839,82,57,361,150,543159,86082,85,57,402,34,57,139
169540,82527,264,131,693,242,143093,101882,280,103,860,157,47,139
439191,85788,360,275,1226,508,427221,104040,374,175,1109,504,55,139
408137,84540,137,26,412,513,403263,111156,143,68,731,257,54,139
434610,49021,85,26,328,396,430842,63308,84,70,224,354,55,139
453887,52463,188,76,74,343,455126,68996,138,69,233,260,55,139
589981,79082,154,55,424,193,583665,102667,171,63,514,130,58,139
532649,61656,161,29,288,153,532871,80281,140,80,201,146,56,139
477805,38347,131,45,447,267,482894,50220,118,54,387,92,55,139
543099,49553,93,100,335,386,538561,61615,90,82,210,271,57,139
366136,76191,167,139,306,122,342461,91320,175,99,181,195,53,139
90231,25161,269,234,663,168,81331,33298,271,235,777,81,36,139
1256493,373900,389,268,824,548,1147658,458044,319,177,884,325,68,139
1531095,286696,273,175,485,363,1284521,337612,180,116,569,302,71,139
153104,36573,589,304,592,664,135827,44819,400,191,460,420,45,139
471775,480551,193,102,320,440,424873,597354,266,120,385,305,58,139
616157,96763,248,82,96,554,623573,127957,220,94,241,323,58,139
612914,49423,71,121,135,85,608975,63903,60,155,262,49,58,139
478412,72423,64,183,174,203,477393,94271,167,156,120,177,56,139
285477,177133,238,164,592,351,253117,224907,158,169,783,277,52,139
1519062,408649,1043,697,2438,451,919510,315088,526,307,1742,624,91,139
386992,96064,113,77,198,338,385227,125268,116,48,156,300,53,139
2016922,1043991,629,364,1177,674,1837239,1302325,502,410,908,1056,72,139
314094,56864,151,33,191,356,295742,74333,132,112,389,235,52,139
375576,69269,592,257,422,395,370700,92146,579,256,374,425,52,139
537148,82020,147,101,130,435,533418,108555,168,80,185,449,57,139
142707,19490,398,266,716,347,129916,25189,384,318,472,158,43,139
163982,18806,86,93,451,318,163065,24581,79,72,618,170,43,139
161361,15008,72,88,244,576,161808,21041,57,55,361,271,42,139
1791733,673743,439,290,945,354,1149040,678992,268,305,1074,349,84,139
153862,7808,69,107,176,346,151418,9749,84,77,217,194,42,139
454943,318764,987,584,1652,1111,304364,298409,626,400,1281,500,73,139
443848,25686,71,96,358,328,440477,32953,99,86,384,141,55,139
200398,94871,1501,880,1920,936,129508,95163,718,411,1375,902,62,140
1778836,982806,10957,5929,12627,2908,994862,702868,4505,2430,5863,1358,121,140
1123531,262885,448,322,841,123,1078201,335176,361,275,879,365,66,140
212596,70462,83,94,288,207,196353,92769,63,103,295,49,48,140
227390,57710,657,376,1160,0,149986,62473,501,232,1015,513,59,140
1316693,1498879,4688,2804,7908,679,685854,958377,2271,1176,4350,1336,99,140
514203,60896,205,111,264,243,511591,75958,126,81,369,340,57,140
168438,77615,510,434,1007,802,119347,79070,346,246,922,372,43,140
877652,539760,470,269,972,1011,769834,673590,285,217,829,951,65,140
186448,179875,226,212,171,480,103818,125264,158,104,166,220,68,140
620715,76310,120,90,63,386,622340,100712,127,143,96,240,58,140
1283138,360649,830,518,1937,91,1149273,429908,661,504,1500,145,68,140
143903,66147,476,387,916,428,123209,79369,373,417,810,418,45,140
115618,43863,651,476,809,358,93790,43331,423,292,659,393,40,140
132441,17142,58,11,148,292,114200,22547,82,29,194,146,44,140
374204,92844,329,180,835,291,353032,119362,345,151,537,271,54,140
127034,25244,100,61,70,263,119187,33540,91,111,256,179,41,140
131134,25615,164,58,81,602,128444,34922,162,94,141,343,40,140
525015,64051,122,78,198,26,525135,81650,130,50,192,146,56,140
207082,148479,11,56,48,214,163430,178086,80,72,86,73,54,140
158352,51788,893,501,422,463,132675,62156,759,342,286,277,47,140
301879,51039,282,196,726,132,307019,68470,265,174,700,62,50,140
525877,63420,79,84,336,264,528630,85279,115,82,400,168,56,140
300629,83576,1362,692,1272,485,251216,98615,1161,495,1008,414,54,140
532074,63851,148,47,300,303,530303,83622,156,74,196,99,57,140
487483,48391,60,19,262,393,488439,63851,66,56,460,370,55,140
253810,85024,63,128,222,267,234774,107283,62,132,276,105,50,140
389642,59189,98,114,128,160,344543,74997,81,107,137,25,55,140
