"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
295201,60264,54,43,55,167,213309,48997,51,74,170,10,65,545
687228,199242,370,407,423,376,636492,252655,318,445,446,155,61,568
164052,22948,104,64,552,71,153255,31653,120,91,420,142,44,572
932143,19926,13,14,0,285,521181,15333,55,77,73,101,109,582
127310,7155,0,3,45,279,92236,6356,56,70,57,31,48,586
532787,54529,217,335,547,506,493269,66850,211,257,357,442,58,629
639470,45696,79,18,55,277,637173,57153,106,110,129,100,59,656
1349846,602129,1055,1248,4958,1036,868402,500962,603,803,3083,762,89,671
92150,24958,57,138,128,363,82330,33236,57,81,165,179,36,674
169298,29267,130,130,345,99,153130,39832,100,60,340,12,46,685
262606,133303,269,95,348,318,117010,76807,179,86,308,165,87,686
4446033,1505273,533,401,745,623,2754977,1607486,293,275,486,425,99,703
466733,397461,238,155,175,443,391761,444830,177,153,372,150,61,709
280024,84211,225,235,814,280,227874,91685,169,223,597,454,58,712
404843,14563,48,2,137,210,178611,9937,40,116,103,11,99,720
132658,66238,34,112,133,334,119600,88574,51,131,176,129,41,733
102336,12258,69,103,235,376,94567,14886,73,56,334,319,38,756
1165341,228900,421,698,1692,1312,1024166,257152,345,572,1316,794,72,791
117748,34442,60,103,253,63,103815,44011,59,103,251,83,40,831
265173,36903,86,113,529,343,248377,47068,102,89,357,203,51,850
140418,12615,62,98,376,286,129107,14741,106,76,467,177,42,862
419891,114056,219,135,603,419,295963,120528,184,116,296,356,69,870
129316,132870,124,138,178,483,89394,125489,105,74,134,243,50,905
111202,57959,31,9,41,251,107473,78039,28,31,24,21,38,919
675413,159148,55,0,141,456,396624,87186,63,53,162,285,113,939
170265,22469,128,138,222,336,151540,29171,97,122,198,211,46,952
89455,13125,47,99,331,276,83575,16307,60,109,198,124,35,954
711565,15726,8,95,42,246,406849,10929,32,65,226,71,99,967
551868,218929,346,485,1535,361,410487,245565,229,388,1021,918,65,972
136206,268159,18,12,40,334,91675,245272,24,73,110,27,51,980
517944,1065199,37,51,11,365,226319,933901,68,97,120,192,109,988
116640,63534,38,3,163,217,99023,59956,17,80,159,0,37,993
134114,10498,104,151,400,415,126859,12837,120,125,442,181,41,1018
287341,135816,276,189,1161,470,225147,158374,176,168,887,208,57,1019
195762,34638,0,85,47,326,189332,44522,30,90,42,99,46,1023
177647,30001,47,84,144,298,165245,40575,67,86,295,50,46,1027
242709,365041,138,166,415,426,212498,477085,131,152,379,519,51,1038
216027,27388,66,144,397,325,204631,36764,82,94,419,258,47,1060
193011,6535,63,56,176,280,161695,6406,79,73,234,205,51,1075
319251,8993,6,22,61,344,109992,3928,33,51,99,223,103,1091
180147,5878,0,61,241,290,141613,6368,47,55,228,12,51,1097
262718,8735,66,27,166,168,169568,7017,65,61,140,0,65,1160
148741,78084,3,61,108,301,108691,72446,31,91,226,126,51,1173
224426,20698,48,43,664,607,181420,24676,79,109,533,830,53,1174
3727383,1407127,15474,12082,18496,2926,2257861,1374982,10441,7744,12452,2454,94,1184
92539,23286,58,89,302,429,82466,31401,53,65,237,331,37,1186
146569,408732,74,79,33,408,145413,556651,94,90,93,199,41,1195
129934,43153,146,195,236,251,122037,57776,128,137,149,135,42,1209
129938,107372,160,304,827,822,91286,125557,126,258,579,564,50,1217
1022305,577807,354,643,2357,69,729841,639567,284,468,1871,489,82,1218
106935,17336,13,46,145,311,101573,22918,17,23,125,65,37,1218
159098,54924,39,130,346,355,150131,67683,15,172,400,217,44,1225
3013204,41587,59,173,264,237,919268,16943,46,125,325,60,236,1227
786454,354873,544,433,2066,1287,619358,374510,383,260,1357,756,73,1238
538983,132650,245,286,934,596,497500,167245,188,243,716,661,59,1239
209480,43121,70,52,413,379,194474,57166,91,78,528,173,47,1242
509794,425936,69,78,90,339,458341,519994,85,56,152,99,59,1256
158215,42039,48,170,425,669,137192,56417,91,97,360,366,45,1262
97884,7019,93,57,103,425,94289,8762,126,59,209,295,36,1265
122544,120576,172,87,214,311,118443,160201,164,95,232,266,39,1274
184144,41536,11,122,92,391,137684,42204,34,76,94,223,55,1276
488935,161241,2718,1912,3904,1538,470258,198897,2252,1618,3210,1621,57,1294
173990,438020,934,718,683,807,157044,556229,841,702,736,448,46,1295
475028,142805,614,502,1641,804,392894,160430,444,435,1186,809,61,1309
793770,533655,410,664,1712,510,555792,616605,351,456,1370,650,71,1312
306721,9336,12,33,16,343,179659,9649,45,22,47,197,74,1369
10551542,13660697,8995,9511,38788,0,5975105,11675714,4482,4608,20470,2467,125,1386
96895,6909,24,7,33,312,84030,8598,24,40,107,226,38,1403
123123,16294,40,13,239,313,116295,22434,48,10,271,101,40,1411
201929,69377,303,259,682,155,192509,92442,387,253,595,118,47,1418
1084229,21825,57,0,0,213,321398,9927,75,86,130,120,175,1431
1305546,20560,23,0,83,355,391669,7845,49,95,226,103,195,1433
