"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
1043094,52967,139,110,137,275,1036322,65936,143,100,147,61,65,149
118035,60455,77,63,21,296,95831,75627,87,62,43,77,43,149
116228,10196,3,61,91,204,110178,13209,22,109,104,5,39,149
329904,75618,120,0,49,296,263396,86110,77,37,132,84,62,149
134053,25210,56,78,37,328,105092,23281,83,66,117,187,44,150
684363,87966,33,51,146,290,687883,115654,69,60,124,108,59,151
699533,227160,219,83,177,325,544252,249701,144,80,146,115,67,151
381831,34774,44,113,10,279,278933,26582,48,100,92,46,69,152
423856,68647,87,72,12,244,429393,91838,65,65,53,96,54,153
978370,395686,674,296,519,406,613568,375268,437,203,420,261,81,153
908043,110415,87,65,0,249,898544,144109,90,84,51,156,63,153
211649,19373,0,0,70,221,191479,26165,20,23,81,12,49,154
186236,12753,33,12,6,248,175705,17075,49,39,65,0,45,154
261302,13119,208,93,192,400,253377,16913,217,70,295,198,49,155
218147,39795,0,34,12,251,161695,37251,9,79,97,54,59,155
170473,31017,33,0,87,238,126756,34978,43,0,79,6,54,155
602400,37782,73,61,179,229,559528,48067,99,68,174,118,59,155
92108,5645,45,22,14,251,85090,7416,60,32,41,24,35,156
90738,2242,51,13,0,321,85937,5616,56,44,11,84,35,156
905847,121609,116,181,39,528,904340,158494,84,156,60,359,63,157
138510,26032,98,110,160,290,100499,29656,94,155,159,133,52,157
96603,10375,22,1,67,248,94224,13213,8,63,64,12,35,158
111608,38137,122,4,48,427,91423,47151,101,39,81,170,42,158
96635,7194,46,73,0,371,91678,10768,75,59,0,218,37,159
138638,25011,41,84,28,330,130009,34015,38,42,66,109,42,159
104048,5791,34,135,76,240,99064,8292,32,101,82,0,37,160
214362,32378,29,22,72,217,191308,39554,21,46,125,48,50,161
428946,46866,76,116,175,292,424809,62094,107,84,92,74,55,162
141553,52779,41,0,110,221,134820,71386,43,34,55,8,41,163
195791,8895,40,79,153,307,186690,11210,32,70,69,191,46,165
173346,30015,107,119,66,258,173737,42645,73,159,166,4,43,165
123628,15361,65,87,80,402,102474,19202,97,74,25,173,46,165
114257,15903,69,54,3,253,95942,19488,66,56,54,47,42,166
127640,16803,67,11,70,235,121170,22536,98,28,89,0,40,168
192609,21979,77,45,0,343,174520,25831,108,56,0,153,48,168
585368,15310,83,86,176,254,585198,20799,50,109,142,174,59,169
404806,42045,96,6,126,216,396996,54275,88,42,114,89,54,170
135847,9325,55,19,75,234,125944,12056,74,29,102,143,42,171
162040,9512,52,25,55,202,144743,11120,53,43,70,11,46,171
131995,4886,8,1,36,216,125430,7671,33,31,107,16,40,172
241471,560343,0,49,89,217,109046,353940,37,106,167,43,83,172
129798,9188,0,7,205,252,125730,12434,0,0,160,48,40,173
100971,11355,6,1,172,204,88989,13888,6,18,273,70,39,175
138326,11180,40,0,15,304,127729,15058,100,22,24,170,43,175
458209,88038,92,68,66,280,447132,113636,82,85,107,160,56,176
101779,35857,26,45,161,235,93534,46642,15,78,192,15,38,176
134243,84735,0,18,81,245,100515,81597,23,37,139,10,49,177
156969,52588,98,89,144,309,140874,66433,79,72,198,102,45,178
921944,66858,79,90,116,215,885787,82510,72,85,116,32,64,179
87377,31291,18,78,97,446,82797,41110,16,80,56,176,34,180
111200,7655,0,15,181,203,100259,9844,21,34,157,78,39,180
437312,59693,117,98,2,251,433311,79189,105,103,64,65,55,181
1099703,124440,109,55,206,194,1076554,157391,89,77,318,5,65,181
200629,283827,361,251,414,295,170068,341254,275,156,354,119,51,183
