"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
159237,20784,86,54,39,258,154841,26664,83,112,48,67,43,141
144194,10131,116,120,184,323,143016,12977,80,107,148,124,41,141
126779,11690,60,89,125,104,121172,16443,51,154,111,47,39,141
153822,22146,84,24,136,200,154181,30730,85,34,260,18,42,142
136437,4815,79,74,193,376,135492,7301,47,91,176,206,40,142
149125,17789,71,92,299,292,146868,24719,114,74,302,48,42,142
144349,68310,54,83,230,289,142425,93935,49,77,293,59,41,142
609464,160111,74,136,247,106,591455,205486,59,116,357,55,58,142
161933,10238,86,31,131,257,158973,13956,61,38,157,87,43,142
248851,37637,63,0,227,169,234579,49820,54,35,271,79,49,142
1031921,3260491,2076,1442,6554,1794,795767,2636288,972,747,3962,1216,92,142
2408976,1871683,287,219,941,481,1522931,1750682,198,167,553,390,84,143
135537,4776,84,57,50,191,132069,6502,49,82,94,6,41,143
156117,11545,84,7,129,401,154868,15185,129,0,82,271,42,143
162539,11613,50,54,21,318,161966,16320,74,82,83,84,42,143
101068,4464,19,19,97,567,98094,6003,54,8,10,448,36,144
927865,573701,453,497,1370,411,695016,675462,372,351,1014,524,70,144
197194,36815,89,144,356,377,196019,50397,73,87,341,108,46,144
170159,10874,84,14,134,310,167536,14875,48,36,132,57,43,144
139784,22055,114,134,139,319,137742,31027,100,151,106,84,41,144
141478,14306,49,62,91,320,140368,20987,89,71,152,115,41,145
741258,227427,190,94,818,342,711511,297753,148,93,726,266,60,145
153917,71289,63,68,99,316,153422,100364,66,59,68,191,42,145
143617,32836,58,119,33,323,143040,43773,73,70,29,161,41,145
151469,4976,60,23,255,235,148303,7474,71,22,328,119,42,146
144167,21658,44,134,227,186,139689,28922,35,109,273,41,42,146
180853,21101,52,63,0,299,179014,26192,69,51,50,122,45,146
128268,8295,61,115,139,250,122570,12651,75,131,149,4,40,146
268540,118088,57,116,278,468,245240,160166,61,113,162,205,51,147
153780,5340,117,53,97,331,151709,6757,86,59,71,103,42,147
145689,22687,81,34,282,371,142351,31168,109,59,265,231,41,147
120185,42700,64,79,25,302,117583,60483,73,119,95,102,38,148
141790,5460,45,128,167,472,136776,7729,72,83,133,270,41,148
147435,13260,158,104,42,312,145941,16199,132,55,68,182,41,148
171298,35963,126,195,115,289,166796,46139,122,147,131,110,44,149
220578,81611,95,133,660,504,191578,103340,139,93,678,200,50,150
153616,45678,60,108,56,277,147701,62402,116,110,71,107,42,150
150399,6440,97,150,187,262,144105,9647,137,135,192,41,42,150
144073,6422,97,60,163,163,143686,8721,80,67,207,32,41,150
169892,87744,75,48,0,276,118325,82062,73,42,91,0,56,150
158925,8846,49,94,307,209,158244,13790,60,159,250,0,42,150
154107,17034,87,78,194,133,150992,22384,87,54,202,8,42,151
122977,14708,114,109,161,292,119735,18665,141,85,164,64,38,151
200157,11670,105,105,169,86,198998,16767,86,69,134,82,45,151
151193,11163,125,140,137,370,148191,14639,101,102,150,163,42,151
171155,25077,48,56,144,309,172362,35648,55,52,216,142,43,152
154722,18080,104,99,189,343,154237,23702,75,92,165,114,41,152
154171,7450,70,11,117,275,150938,12116,87,51,121,44,42,152
