"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
376891,89805,96,61,95,428,373581,116951,83,53,99,198,52,153
469926,64136,149,108,105,285,439604,73804,109,112,113,123,57,154
838543,841231,1814,1240,663,373,580429,860713,1502,952,629,285,72,154
137508,26606,248,158,108,610,125960,34232,185,123,232,232,43,156
172445,40691,293,225,270,450,164390,53203,244,241,222,144,45,156
104002,27069,57,61,94,236,96849,36473,56,76,59,9,38,158
142184,30944,9,55,77,311,138740,41589,30,67,97,83,42,158
1248829,316207,897,485,660,125,1077700,365622,799,430,918,113,70,158
416356,161380,84,88,0,288,413333,213780,57,79,19,147,54,158
121150,108523,367,296,462,269,101240,126901,305,218,293,131,43,159
90919,17934,76,100,165,270,87640,24603,78,121,115,7,35,159
312698,64664,135,151,71,163,298052,82790,146,121,133,3,53,160
251344,53097,225,141,209,140,219907,63350,183,116,203,41,51,162
247857,24874,109,81,154,186,242403,32013,100,88,177,60,48,162
840837,616878,375,232,178,420,804007,770659,330,244,178,278,62,162
796134,230704,331,206,403,443,689818,272750,238,146,312,363,66,162
234477,97232,519,255,212,291,172878,89769,329,196,312,321,55,163
295723,193382,258,145,86,489,239143,242455,220,68,192,309,56,165
150913,48649,24,37,0,280,149197,64774,32,61,0,97,42,165
574943,68997,254,177,273,262,567144,85106,195,197,369,77,58,166
111484,29701,158,98,257,200,101730,37965,104,115,183,215,39,168
476169,109864,133,102,146,302,484933,145145,145,76,351,89,55,168
105862,41605,123,93,88,257,98480,57301,111,45,112,59,38,168
303924,93153,105,53,61,287,302080,121772,105,60,111,85,50,169
149308,67895,8802,4587,1465,103,147513,89222,7721,4160,1651,750,42,169
434155,95696,211,149,116,292,408223,109706,112,94,84,133,58,169
212253,137694,272,181,356,174,184036,160624,277,167,270,224,51,170
476229,124543,205,102,140,181,385005,141062,156,106,154,282,62,170
165679,76797,45,41,86,260,164474,106267,39,60,218,26,43,170
