"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
137973,9548,65,80,24,123,136850,12077,85,78,64,0,40,502
134651,21644,25,43,55,250,128526,29162,38,60,120,6,41,527
1384217,57026,122,105,158,222,1218439,58075,77,96,345,242,70,538
762374,49257,34,92,88,330,766171,65719,93,83,148,111,61,548
455073,58163,50,120,195,202,439725,74107,63,92,203,48,56,560
331227,43697,87,78,124,265,323989,59720,119,98,134,189,53,584
177502,55790,95,71,48,273,172985,73334,55,77,134,26,45,592
329219,1069,27,126,0,350,271991,2174,75,141,93,282,56,594
178288,7503,92,102,0,172,169895,9240,90,90,0,70,45,603
158267,752,25,30,173,304,123530,2145,28,66,130,72,53,616
5447717,3665390,8534,5390,11457,2996,907567,874892,1105,759,1882,1883,548,624
162457,13021,95,63,108,365,160065,15297,119,118,165,248,43,630
142205,11912,55,119,333,277,135979,15788,70,144,474,138,41,631
496281,64814,51,131,193,36,486146,83826,44,117,237,56,56,648
169779,4878,71,42,183,339,164335,9021,70,98,113,168,44,653
160731,9517,117,43,243,424,157385,12225,86,92,261,249,43,654
178680,40754,60,66,188,280,170649,53672,52,53,281,14,45,666
141563,5192,63,64,360,220,137279,8453,72,47,262,19,41,675
128488,25895,87,79,50,405,123309,34288,94,85,150,242,40,712
157915,39171,67,80,131,247,150740,51113,67,99,172,30,43,715
156939,11664,101,49,30,324,148172,14228,92,73,74,144,43,739
249748,237486,51,24,128,320,238390,305984,55,61,156,236,49,768
164080,21151,76,81,245,337,160698,27094,92,83,191,138,44,776
179002,25765,84,54,188,268,174903,33940,78,67,206,155,44,780
509722,48644,19,91,196,284,490426,61342,44,86,218,68,57,810
1135057,15678,0,85,0,309,662435,12615,44,96,91,170,94,818
447138,60121,0,66,194,291,435469,75461,26,78,210,131,55,822
163301,33996,66,53,255,156,157135,44134,106,99,323,56,44,827
141716,17186,63,18,133,377,135109,23472,66,46,143,151,42,828
151988,11337,72,75,98,227,145862,15633,79,133,70,56,42,834
167209,78723,96,145,301,289,163216,106174,75,86,350,77,43,838
207849,20508,92,141,215,122,205471,24993,66,125,280,19,46,848
154088,10933,97,117,65,298,147946,14270,96,78,122,181,43,860
650014,103763,286,213,80,368,168310,32971,104,82,127,281,167,864
151149,15481,46,6,30,345,144258,23029,55,39,75,287,42,894
152465,25282,60,91,40,330,149958,35549,50,74,88,86,43,908
176293,42458,58,43,86,339,171594,55758,76,64,213,141,45,918
237242,990,0,84,73,241,173616,2694,23,93,106,5,57,945
347936,1333465,228,153,387,528,293323,1525940,152,170,527,301,58,956
123171,6699,112,24,331,12,120645,8653,86,23,301,2,39,961
174497,51426,59,23,233,340,172664,68889,70,75,173,161,43,970
131318,35659,0,0,21,273,102122,31559,26,48,45,10,49,981
151619,9431,164,114,87,261,146837,12749,146,88,203,74,42,992
191638,44305,46,4,38,407,187186,58743,55,34,116,264,45,995
132364,8882,54,23,87,202,130298,14376,63,53,104,52,40,1011
143496,6600,60,28,130,173,139476,7588,98,71,253,23,42,1013
173960,13217,108,119,65,353,169678,16765,95,124,100,151,44,1024
137189,195690,56,42,59,363,133393,265517,80,74,56,220,41,1035
149945,34378,43,94,154,293,145473,48057,92,57,224,37,43,1070
524953,87510,50,57,335,42,511168,111647,68,61,427,55,58,1103
119619,68713,91,85,566,437,107726,88539,78,90,535,186,41,1173
212377,28984,27,42,201,206,200116,38031,71,81,240,260,47,1192
94460,185172,34,23,81,216,91071,247382,35,103,208,16,36,1200
123007,10439,113,69,223,247,118068,13809,102,76,197,62,39,1245
146918,20610,71,33,301,218,139533,26757,61,66,283,0,42,1284
155568,226646,44,0,3,276,141750,293778,41,16,106,45,44,1299
155663,28967,59,133,274,438,147738,38811,83,86,387,306,43,1324
165875,11046,102,53,180,345,163353,15833,101,64,149,122,43,1340
154389,6851,114,233,225,167,147683,12386,140,135,351,104,43,1353
