"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
289621,293484,251,359,1064,78,257121,377710,294,340,798,419,52,156
333574,27781,110,91,830,459,305497,34787,104,80,491,449,53,156
922395,618313,1440,1672,8050,2205,713574,693972,994,1247,5353,2314,73,158
132959,703114,26,51,148,276,94488,689249,67,27,212,19,51,159
377388,58276,6,6,267,261,246922,60667,27,69,220,68,67,160
159053,48842,48,55,148,285,133332,64037,95,92,139,34,47,160
240561,115044,343,314,1561,314,154762,71929,181,171,944,265,68,161
490521,934838,31283,20107,33783,0,446988,1211421,28432,16939,29535,3122,58,161
739375,1295533,1114,1690,8238,2722,512694,1204906,799,1124,6710,3257,74,163
168406,244666,77,7,52,293,142490,318219,77,63,39,71,46,163
166966,133592,28,110,127,314,112259,106305,35,108,129,202,60,164
349162,204957,39,2,23,253,349240,266582,70,0,25,4,53,164
146674,19610,7,38,146,301,139419,27469,20,25,207,123,42,164
193071,77269,19,53,178,465,149550,92259,66,59,197,337,52,164
140239,67060,49,56,243,280,108479,82485,32,26,221,145,47,164
610000,55837,88,45,1087,4570,588642,70769,104,88,1003,4459,60,165
201681,52484,8,148,12,190,190760,57592,57,155,47,37,48,166
648025,36941,43,38,403,563,643970,48569,79,53,376,299,60,168
92004,6522,3,55,194,290,85323,7819,10,50,317,189,36,169
748281,658499,573,460,1075,944,527780,684528,500,318,694,577,76,170
426720,32983,36,93,403,352,422873,43888,61,145,399,248,55,170
397400,174949,235,405,1231,559,331301,208331,162,367,1056,405,58,170
309831,209669,82,100,131,579,190632,207231,64,84,97,276,69,171
727938,517238,691,675,3422,664,642704,604368,517,501,3076,971,63,171
393529,315834,31,46,197,301,354454,377745,63,78,249,73,57,173
532159,18837,0,82,180,253,521688,23058,20,130,172,0,57,174
327341,30509,77,46,609,1369,313751,39896,82,64,909,1141,52,174
137471,43108,170,161,348,481,130965,58516,120,156,257,469,41,174
355814,229952,913,740,3640,1355,240638,201918,559,506,1943,970,77,174
475043,1003166,671,1318,2767,276,436418,1276744,566,1259,2263,486,58,176
173119,250062,518,535,1638,977,100635,198050,293,305,1128,855,61,176
185221,257547,269,171,755,203,180527,341929,260,119,666,34,45,177
187339,200215,67,27,65,256,184542,263937,67,79,108,58,46,179
176590,180487,0,60,133,317,175437,245280,12,87,79,96,45,179
94921,14915,24,72,0,384,80535,16532,31,27,27,155,38,180
193189,617537,52,55,158,279,130048,584669,63,45,302,91,59,180
241378,31860,0,95,70,249,150231,26006,23,86,59,22,67,181
165322,74238,194,269,857,742,141774,91253,159,175,830,412,47,181
380030,679622,57,131,161,478,181135,276925,73,76,163,49,84,182
336616,527339,452,812,3198,1316,292902,666984,399,678,2951,1014,55,183
171781,32651,27,37,0,334,154588,39585,44,68,27,84,46,183
253044,46718,212,198,843,594,232965,61288,208,124,778,544,50,184
135267,30673,176,88,246,387,124047,40731,186,96,159,237,42,184
2984221,4248674,5928,7487,31198,2548,1158564,2259012,1989,2884,12041,4173,143,185
171386,190268,17,60,34,466,152030,243597,56,50,0,468,46,186
347641,35194,79,103,110,406,342510,47858,95,115,165,367,53,186
461729,124907,482,492,2936,1008,384570,149435,425,387,2565,1544,60,186
180175,207913,41,36,135,210,109815,154244,53,83,144,0,62,187
276772,668698,755,868,3443,1284,169256,551641,359,500,1892,1014,77,187
130905,7474,6,0,40,247,128011,9607,22,10,76,153,40,189
195575,229407,32,0,69,236,187943,286950,50,49,170,14,47,190
475630,1524273,144,128,170,355,112293,304192,62,93,103,71,120,192
1072944,775430,817,1249,4070,553,934598,973014,590,985,2777,643,67,192
149706,318036,185,456,851,184,128810,423575,206,290,880,107,45,193
397417,49996,94,117,804,204,384315,64307,71,116,871,109,54,193
491699,141669,452,467,2613,1420,369063,128908,303,303,1875,941,71,193
742735,653446,11258,7666,19252,5031,694422,822377,10002,6595,15413,3508,63,193
170236,105436,0,0,112,301,126128,103739,61,77,23,44,54,193
311534,454855,447,454,2852,2291,209103,483418,226,259,1347,1418,80,194
344345,39219,138,138,441,435,323581,49342,187,100,439,217,53,194
249550,693741,9,33,23,240,155540,560295,30,51,114,29,64,195
104681,5268,43,58,120,285,97617,7447,47,138,130,31,38,196
215609,348022,2187,943,2048,257,197110,455725,1838,839,1769,208,48,196
110944,21696,41,62,62,416,100495,28472,48,41,35,194,39,196
357526,207888,497,253,1053,306,272887,200274,360,134,1045,382,64,196
1046863,114452,4572,2602,5472,607,1027332,142891,3994,2253,4169,616,65,196
96813,155467,48,46,108,307,85795,206336,34,36,70,17,38,197
171363,128561,0,27,51,301,127433,127260,5,40,54,12,55,197
161520,52034,205,77,808,662,141341,71317,169,64,904,713,46,199
176566,101331,194,147,417,772,164841,132698,183,188,229,422,45,199
152766,57082,1,38,22,379,126075,72130,36,63,77,100,46,201
118539,39651,32,42,0,221,94376,46296,41,73,19,36,44,201
467421,32252,82,93,519,436,447464,42707,91,86,590,347,56,201
165875,60576,24,31,167,304,101773,49764,29,27,158,75,59,202
628586,71272,99,81,306,364,616274,91789,153,97,218,351,59,202
175844,188332,19,12,81,227,169981,253873,42,68,117,0,45,204
287763,206093,0,105,134,326,160894,147970,11,56,177,40,80,205
396350,185650,32,0,115,333,342665,231017,48,69,184,145,58,205
671358,36638,869,486,527,200,658855,47206,816,374,462,294,60,206
714973,70202,94,42,591,643,708864,93059,108,63,676,655,61,207
339327,35053,80,60,213,92,314204,46047,58,46,223,150,53,208
328073,303066,58,36,131,299,308077,334245,58,70,82,53,56,208
2434546,604244,344,346,1230,810,850429,265082,205,175,691,250,144,209
113732,134415,160,141,590,700,104184,180537,169,172,570,543,39,209
446989,146389,2,102,0,280,122519,62189,64,136,128,55,141,209
736620,92510,64,66,486,2125,730992,120456,54,88,379,1704,61,211
142607,78261,329,354,1689,308,108446,84683,246,191,1198,389,52,211
965298,351178,194,201,316,548,346456,129806,95,113,200,327,148,212
674076,259272,29,52,42,526,593368,308474,42,76,164,249,65,213
156434,124597,581,376,2901,745,91272,109029,349,324,1861,657,62,213
185488,33753,23,56,314,379,114430,29159,34,107,422,86,62,214
164661,175268,181,294,863,431,147383,225751,186,225,582,323,46,215
279082,76702,16,63,196,278,236465,68857,44,87,260,94,55,216
381759,36299,97,85,168,300,352686,42189,57,70,223,31,58,216
262714,151563,497,563,2904,93,182249,127847,259,370,1756,487,65,216
207203,39799,120,85,390,305,200720,52008,118,106,256,88,47,217
188303,142892,271,395,2118,352,143954,171665,172,257,2205,305,52,218
975464,348174,53,71,95,542,721520,368882,38,103,83,189,78,220
612138,139028,0,100,239,177,402436,117695,38,98,134,14,81,220
151774,15019,38,100,439,324,136981,17938,21,104,351,139,44,221
274201,28430,74,68,160,342,258710,38455,94,63,164,157,51,221
178641,56479,204,107,914,328,147182,62010,182,104,653,213,51,222
905824,110739,99,102,712,401,893132,142100,99,65,579,267,63,222
