"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
9929537,11933571,14272,15694,114509,2069,2825784,4993377,4037,4334,30008,4141,284,143
412108,247779,386,390,3285,119,325949,273089,242,301,2908,558,61,143
2126549,945649,3434,3002,12292,3026,1619581,1000440,2799,2211,9839,2611,92,143
501629,71688,105,36,706,74,502354,93152,87,32,576,48,56,144
519245,112956,403,418,1649,813,483237,141320,359,309,1453,626,59,144
136726,18864,142,219,348,314,122582,24376,141,119,276,180,43,144
259188,62708,80,85,786,458,256878,84878,79,115,860,707,49,144
643531,148028,283,457,2528,202,610070,155162,250,256,2028,212,65,144
2035824,1312559,1174,1361,12131,1781,1451686,1356538,723,1164,9184,1830,81,145
202702,57208,182,182,1651,113,164661,67934,150,151,1399,59,51,146
1130636,167892,644,474,3477,348,1071303,192492,660,401,3092,589,67,146
452824,22621,0,21,48,367,225260,16471,24,67,90,177,93,146
90509,17000,81,52,497,654,84984,24008,86,135,370,295,36,146
575656,33628,168,45,632,245,568227,42415,203,80,604,52,58,146
300471,78603,56,131,1639,776,290798,103809,50,85,1576,671,50,147
140472,56964,161,137,1418,537,110989,68926,194,136,1121,599,46,147
1206863,457643,739,957,6220,1196,884686,505125,440,620,4297,1264,76,147
137243,21463,17,51,747,264,129812,28258,25,59,869,122,41,147
332628,124824,158,112,504,294,332848,168496,92,148,507,135,51,148
2475406,6642618,3624,3915,22694,4244,1153031,5478639,1767,1663,10611,2511,166,148
1228407,272728,725,890,6648,1108,961303,260774,592,713,5139,987,72,148
283888,27945,77,65,355,199,280332,39114,46,78,277,174,50,149
138101,48602,96,108,960,391,130497,65995,73,112,653,242,41,149
147593,37926,40,177,1019,460,130066,50237,47,127,697,178,44,149
352218,75522,90,133,869,319,322462,98916,74,114,1134,254,54,149
731930,113094,192,221,1331,382,618692,144092,166,125,1144,247,68,150
378178,46029,140,89,447,465,371627,61913,144,45,343,329,54,150
380358,109155,261,283,1689,449,338408,137649,260,270,1792,585,55,152
285748,28383,145,107,581,344,281176,35803,124,145,577,181,50,152
350061,26492,112,157,785,198,338417,33215,112,123,747,142,52,152
671765,69414,152,152,403,283,667652,89599,120,133,358,150,59,153
425495,220317,213,371,2723,907,369488,281562,147,207,2906,756,57,153
8393197,16777215,232025,199108,610417,44346,1767619,12599053,85392,70888,209493,24249,418,153
365804,174756,216,214,2034,38,306340,212120,221,220,1434,609,58,153
188541,4895,45,10,104,303,169008,6423,27,18,152,67,47,154
959570,320879,1709,1548,7046,1490,791209,378382,1341,1181,6086,1485,78,154
4871872,634412,1721,1041,2397,1305,1618694,156632,365,192,776,606,277,154
277699,49428,32,133,606,142,235884,57280,55,99,818,67,56,154
596873,60599,61,123,110,526,589722,78864,72,98,76,235,58,155
820805,44051,107,122,275,529,819616,55730,86,84,572,344,61,156
356270,150833,138,204,698,0,253221,139992,102,111,405,104,62,156
126540,29142,38,88,819,485,119201,39344,43,90,697,346,41,156
626561,59701,138,158,542,246,628005,77160,78,80,540,134,58,156
573785,99275,110,40,540,642,574253,132359,79,110,498,351,57,156
583005,317710,120,147,663,439,563108,423622,147,146,833,282,58,156
256251,30879,37,85,171,336,208237,32186,33,53,155,207,56,157
187408,6401,60,57,154,435,149367,6283,48,51,93,241,53,157
83054,12223,77,22,237,289,80530,16711,72,41,236,220,32,157
303167,66443,131,64,1093,459,292468,89540,181,87,1511,408,51,157
128562,19628,42,123,318,598,123875,26101,35,78,550,401,40,158
1544737,3744201,1739,2916,18609,2043,1082854,4175935,1299,2274,13736,1604,80,158
154790,90847,147,287,2362,474,147134,122482,202,237,2509,333,43,158
94649,17764,47,64,650,154,91488,25947,74,52,561,52,35,158
288031,60549,218,259,940,613,263254,78893,241,145,1012,440,51,158
223482,141971,231,256,1903,210,135950,124264,142,147,1155,395,76,158
233597,73732,1962,1329,3417,1213,230883,97130,1760,1126,3423,1165,47,158
1185407,369662,489,438,3835,773,1060654,452616,457,373,3008,494,68,158
449179,22423,173,115,662,409,451625,29401,148,151,1055,434,55,158
649257,321260,819,1055,7822,1947,400351,298023,426,706,5142,1246,85,159
127640,64139,182,162,744,506,100811,79850,155,76,764,375,44,159
1239398,250187,395,377,2027,440,1079009,293822,287,251,1766,379,69,159
209709,51217,181,192,979,210,179017,61407,165,135,626,138,50,160
131775,70174,268,206,581,473,104297,68538,184,145,714,294,45,160
466763,91423,141,71,606,141,465501,115792,118,181,410,171,55,160
117267,43228,61,46,238,320,110010,57655,72,52,220,226,39,161
97240,10319,47,75,0,303,95176,14147,48,49,0,92,35,161
287070,31710,57,251,2329,336,262510,41662,60,227,1960,615,51,161
2786207,2087122,2443,3058,18181,3575,2109119,2316930,1748,2135,13033,1907,85,162
241268,36050,237,103,623,503,227776,46095,164,113,423,228,50,162
540102,62659,140,131,97,392,536538,82254,127,131,167,508,56,162
557940,56574,48,173,925,0,557448,72715,26,174,978,138,57,162
499018,121982,180,185,1631,907,453889,146710,209,96,1296,894,59,162
185357,27028,85,411,1403,94,180922,33220,54,302,1025,468,45,162
2868216,202857,202,386,2181,600,2472420,232733,281,265,1774,446,79,162
213173,23696,153,167,1186,677,197758,29929,172,141,1167,612,48,162
121752,143236,273,220,1607,843,82117,137068,161,145,920,539,54,163
640891,220814,672,628,4723,1232,461055,189032,351,534,2466,916,81,163
473661,76878,156,134,631,546,468273,101367,156,110,494,322,56,163
141062,73281,333,377,2127,907,89766,71650,306,248,1442,418,57,163
83521,11207,43,204,549,197,81930,14261,40,175,890,92,34,164
1969361,823816,1375,1773,10878,1625,1400536,879631,942,1248,8036,1589,82,165
108708,77981,819,483,1734,502,103723,105310,784,357,1624,574,38,165
574836,159885,337,546,2328,937,498492,165108,220,382,2305,627,64,166
389014,383263,118,185,1316,434,371261,498579,103,165,1139,318,54,166
263195,271501,362,225,1424,802,222345,331113,216,183,1163,641,53,167
997404,257455,511,957,6877,143,844168,277644,361,733,6089,713,72,167
495586,160809,121,148,902,388,459296,184729,104,187,681,169,61,168
1033169,651983,649,928,5524,0,888410,754340,489,807,4414,466,68,168
775922,113235,262,210,1660,855,737270,138142,276,258,1295,1047,62,168
462266,33790,117,22,533,604,449653,43296,63,99,652,410,56,168
153842,7490,16,54,218,373,151726,10397,23,50,349,129,42,169
658313,47455,175,269,1909,602,643624,59846,232,247,1488,413,59,170
276599,48385,172,158,866,887,265681,64241,182,108,767,489,50,170
628364,64614,121,134,813,306,614701,82486,113,109,750,261,59,171
3492849,2822829,3864,4155,29178,4306,1440229,2400046,2002,1843,14659,2265,116,172
410873,36654,58,217,1675,718,370134,46047,61,225,2264,688,55,172
10507392,10265731,13011,13977,117534,5317,4426769,4652408,3415,3952,40262,3896,306,172
332256,71475,251,326,2300,380,291438,86720,172,255,2035,340,56,172
93545,11553,127,264,927,431,90569,15299,124,185,717,193,36,172
907746,108154,197,534,2663,8,610212,121278,116,350,1926,172,80,173
122002,15818,43,42,306,254,121018,21350,37,100,249,65,39,174
109403,68906,261,254,1626,502,94802,87938,220,211,1098,278,42,174
554166,120823,80,118,1570,704,503415,140629,77,118,1061,549,60,175
184498,23791,41,104,273,261,180292,32655,78,162,370,226,45,175
422030,120922,170,104,725,351,406619,151925,148,98,786,382,55,175
188626,32992,160,68,796,239,175571,44803,120,113,685,89,46,175
126014,45383,65,51,665,136,114885,58502,90,36,450,128,41,176
9861314,16062278,23830,26655,181780,3360,2350881,5839520,4686,5328,37104,4190,397,176
288148,84405,155,153,702,400,279517,109547,113,109,573,477,51,176
222472,119412,278,239,1098,266,200477,152019,260,221,1263,502,49,176
5419064,2831837,2762,3872,28092,5196,4198726,3301687,1964,2742,21136,4479,90,176
106834,6269,16,65,190,197,101123,9689,47,29,156,8,38,177
180555,104189,378,181,1887,1047,123570,118155,215,160,1623,797,54,177
261977,43251,118,382,2010,236,233265,53513,128,349,2245,159,52,178
559439,380079,252,425,2998,1056,384058,440639,200,333,2274,1083,72,178
1164661,154146,355,461,2234,579,1118904,195694,288,399,1857,685,67,179
781815,77800,350,498,2679,716,685269,90364,211,440,2229,684,66,179
184206,200960,147,171,978,526,161555,260411,146,170,682,402,47,180
95182,25800,55,76,379,252,88835,35548,33,103,382,81,38,180
610463,45613,138,239,1619,562,590052,58416,161,219,1041,395,59,181
576956,47164,97,147,632,235,562056,60179,77,157,580,138,59,181
139776,24664,42,83,676,405,129066,32027,85,102,390,234,43,181
93612,47863,87,102,551,727,83683,62440,56,153,315,522,37,182
141342,147368,111,172,764,185,106713,174806,96,108,511,258,51,182
129621,25517,65,159,544,246,113763,32688,78,124,455,136,42,182
432888,17433,45,91,4,308,422952,20650,64,93,72,167,56,182
212109,58260,128,149,1129,226,175260,65866,144,134,793,94,52,183
6097568,1837472,3848,3875,26908,1250,3344379,1398302,2073,2236,16095,1164,132,183
156602,57388,117,73,1148,247,131328,68032,86,128,1040,94,47,183
1488737,222273,524,614,3327,750,1410728,274644,467,539,3227,859,69,185
337215,53251,56,161,759,130,328374,68084,59,163,694,205,53,186
531360,268258,451,537,3431,991,417831,307574,360,429,3068,1874,65,186
296887,50344,81,80,531,94,270095,37387,66,16,348,73,52,187
93714,41500,86,112,892,273,83232,55411,74,155,783,28,37,188
505113,371777,211,399,2559,169,381547,443075,138,232,1762,520,66,188
258449,25706,38,187,682,550,238057,34205,103,158,769,407,50,188
120766,27753,636,485,1433,712,116725,37234,516,476,1368,711,39,189
212200,53677,133,177,1919,114,186429,67332,122,203,1435,293,49,190
903862,656445,2415,1992,10085,3033,706294,743841,1524,1549,8010,2886,75,190
1006792,475621,841,983,6634,1563,591059,320640,396,390,3568,1101,102,191
138811,49849,63,17,262,220,119906,63978,93,30,236,195,44,191
439523,84170,176,317,1454,491,401806,95101,153,273,1135,520,57,191
167761,54849,92,74,955,707,159605,72302,133,93,1316,546,44,192
343565,24063,113,146,1595,669,315706,26854,138,121,1750,637,54,193
2009559,2112291,2675,3343,23348,3476,1117131,1631716,1348,1680,11256,2902,119,194
354458,51336,131,74,470,434,343551,65487,98,100,591,300,54,194
117552,24024,78,99,588,344,105307,30585,77,87,650,428,39,194
119688,10730,56,54,223,215,116559,13763,47,61,137,133,39,196
159556,65837,595,464,1588,529,145901,85774,538,396,1339,473,44,196
131521,72363,93,205,1293,459,97323,69773,88,186,887,188,50,197
794782,140844,396,340,1905,161,703294,167924,249,269,1432,256,66,197
4894010,2325626,5200,6670,41016,4923,2444108,1031046,1981,2644,18258,2780,144,197
2779847,1729154,3403,3400,19982,2452,1246049,1073789,1303,1340,5781,1814,194,197
257572,21098,41,57,460,160,241067,23668,45,53,354,100,52,197
225311,10012,42,40,27,273,195968,12256,58,94,69,29,51,198
191622,54916,56,149,767,516,156195,67214,66,114,691,582,50,198
807536,215715,282,511,3391,826,756998,261759,238,490,2992,1163,64,199
197226,74521,61,159,797,366,167852,89942,61,116,858,151,50,199
1198056,2465365,1544,2193,12272,3549,713091,2505375,1099,1388,6484,2284,105,199
319324,172725,378,599,2493,443,265764,191571,351,473,1823,209,59,200
1049031,176834,110,249,2345,813,865434,192617,89,154,1821,535,74,200
471283,30982,115,142,365,411,456839,40140,145,114,556,193,57,201
449204,80976,137,301,1981,735,373367,94190,125,164,2346,471,61,201
118366,76692,0,25,262,224,106045,40496,0,67,191,198,36,203
208261,67401,0,0,224,398,182040,64971,33,18,251,342,49,203
476069,59147,256,343,2548,291,387354,68636,245,325,1847,603,62,203
1659791,3466008,2945,3626,25865,2995,783756,2311276,1450,1677,14185,2855,107,204
100047,21153,231,187,414,517,92934,29583,259,123,380,288,37,204
899650,186816,256,336,2842,692,782967,233155,256,317,2181,782,68,204
329386,51746,243,287,1393,617,295543,59986,216,304,1202,443,54,204
486530,84545,252,282,1376,289,359952,85861,197,172,940,394,68,204
467653,173727,177,55,305,192,454672,226923,110,76,331,112,56,204
184250,242936,277,192,1640,622,124397,252820,162,115,1015,544,52,205
6305784,16777215,800223,516986,1281422,158247,1960121,16454943,236083,150297,373865,51672,223,205
263297,32054,140,364,2233,0,251577,42403,95,405,1916,458,50,205
334630,21240,82,292,1925,1038,311467,26078,110,199,1460,1127,53,206
123917,55347,260,219,988,473,106015,60178,184,171,710,433,46,206
132739,5353,20,0,95,196,121976,7229,56,8,159,0,42,207
1152663,382318,596,728,3319,410,938126,440695,421,478,3075,767,77,207
145674,61910,107,221,905,697,117149,78014,120,230,709,658,47,207
1608577,201064,504,845,5292,772,1356655,213521,382,591,3880,1239,76,207
683771,70416,43,108,759,540,661409,87781,81,53,743,490,60,208
313362,71267,311,365,2975,351,202169,65735,266,260,1914,277,67,208
1909135,835110,1430,1533,10256,1591,882731,543077,705,632,5065,1356,158,208
592151,68161,75,25,544,276,564649,85101,117,78,462,62,60,210
570827,58318,95,85,371,287,546279,75225,58,101,514,164,59,210
546636,46101,72,139,1037,289,524735,58247,149,101,779,106,59,212
149879,16954,126,110,1019,330,132103,20562,120,165,866,320,45,212
350415,116242,236,280,1471,482,299080,137928,222,274,1498,584,56,213
185075,47132,58,114,544,656,147362,51393,95,77,459,437,56,214
808627,105514,167,219,1179,418,762788,133664,217,199,954,339,64,214
224506,68531,106,156,778,581,195040,82006,48,107,625,340,51,214
224336,40560,40,62,205,197,176951,43891,62,66,193,93,53,214
2910976,929402,4138,4305,25509,6269,1365226,635970,2173,1740,10294,2111,151,214
145887,141764,26,76,333,437,137659,188181,61,59,315,132,43,215
610099,117897,296,511,3512,892,510821,117832,263,375,2359,717,70,215
174945,22772,257,318,1027,174,167359,30123,318,307,922,206,45,217
106096,20523,98,52,570,429,102184,26622,73,25,678,187,38,217
