"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
494848,423532,362,423,2463,531,415678,525217,254,313,2212,653,60,271
87972,77977,105,142,784,437,82224,62388,98,131,496,163,29,277
149673,7321,0,6,134,213,86364,6729,43,52,286,0,57,278
289736,11629,17,82,60,473,252176,14567,34,93,96,349,55,315
1290570,1292905,0,41,0,243,823515,1159053,33,62,82,49,97,320
527789,129540,29,56,162,224,389702,124561,52,84,125,23,73,326
302045,47113,184,173,626,389,279093,61279,174,137,405,399,51,334
303208,208277,252,164,179,196,191871,168370,169,97,237,33,71,337
116855,12353,17,81,0,301,106702,18433,47,60,17,23,40,340
332026,870386,63,22,102,249,216623,710026,65,53,175,37,71,343
195085,740386,1389,878,1162,372,149296,868161,1141,728,1055,236,55,351
1714527,1829595,1907,1084,1444,835,1496223,2254741,1552,779,1100,483,73,357
124048,62167,4,0,92,262,110365,80145,33,44,167,15,42,357
149600,65806,33,65,138,154,105266,36443,32,58,198,94,43,366
118936,62686,61,53,584,317,110242,82637,63,61,673,135,39,366
261415,12645,52,0,46,431,94232,8598,55,55,201,255,94,372
840954,261465,3318,2344,3322,0,803417,318650,2967,2076,3144,664,64,372
152570,69471,67,13,0,346,138000,57959,57,93,18,174,45,375
257834,265405,19,46,0,446,97610,188645,33,101,61,460,89,378
374404,448395,58,190,198,506,121602,284536,42,172,332,363,132,380
1075234,65429,39,56,93,263,375702,26525,50,62,127,141,154,381
118127,54968,195,175,664,333,91023,67844,169,140,719,364,44,382
765583,58217,41,66,297,325,753200,75107,66,48,243,114,61,393
205467,61078,7,66,109,340,145463,50194,39,74,121,139,60,397
314440,299647,29,76,0,348,221080,278809,53,57,47,108,67,401
241839,48587,119,185,692,308,207228,59499,76,122,598,321,51,405
605778,67182,88,71,313,341,591526,85917,158,94,135,191,59,408
335049,133099,80,178,171,661,318315,169776,106,151,191,242,53,413
221222,1593126,11239,6753,15037,2222,179870,2036535,9309,5729,12228,1988,51,414
180659,18139,88,52,52,236,119963,13982,66,133,130,3,58,415
583777,412165,51,112,66,407,526790,430114,44,92,156,335,72,417
559203,756136,8550,3186,5932,459,438223,905605,7057,2437,4884,799,65,421
188540,331841,37,0,26,257,92284,207199,42,85,34,17,64,428
506063,32708,56,106,367,251,501410,42376,72,80,319,63,56,431
113800,15783,3,12,0,331,80665,15352,14,33,48,124,47,431
423036,57988,13,111,110,63,245835,29602,40,88,174,41,92,431
125561,20489,32,40,199,287,106046,25739,22,27,229,44,43,435
337820,440638,9,16,107,248,303406,567775,17,75,139,0,54,448
121579,7483,14,37,0,349,107209,8708,42,41,34,118,41,450
559207,63857,54,96,670,278,535688,80737,53,92,631,200,59,452
191851,109818,11,63,0,313,159086,98657,39,60,0,50,53,462
479994,14778,34,0,116,244,336477,13501,56,58,175,36,73,476
677248,92314,98,127,874,246,656820,115732,91,96,772,227,60,508
331299,255391,320,420,2143,1376,290062,314854,281,301,1592,1244,56,517
836695,121283,104,105,325,409,830154,159744,86,95,259,266,61,520
272447,63686,220,243,910,24,232762,64140,149,132,743,167,57,520
125598,56273,100,129,606,415,109269,71991,92,131,499,359,42,524
198078,423300,7,164,282,485,185873,570665,22,87,178,332,47,528
103321,8338,14,130,128,297,95109,9926,25,81,196,23,38,529
415850,102094,62,15,60,263,408967,132061,48,28,137,30,54,532
138393,73435,226,235,1116,87,85535,75129,161,131,727,125,55,532
272716,326079,17,23,25,229,149447,232714,55,80,141,9,89,565
141336,29759,52,129,87,399,111255,24564,32,154,139,194,48,568
130378,21456,0,70,33,263,121102,27629,12,87,46,3,41,569
256954,15637,0,105,245,414,236477,19289,38,89,197,333,51,569
363225,100170,79,89,145,463,256204,113380,68,62,79,347,68,573
204548,15043,0,48,184,353,197281,19723,24,59,210,220,47,594
1854704,2141435,127,196,1227,263,1150137,1666705,79,116,676,159,107,601
602235,935390,33,136,163,216,308666,618110,31,91,177,41,136,606
512371,288198,74,86,60,233,397574,256316,53,93,127,32,68,609
16777215,16777215,20283,19475,49243,11696,4695530,11337165,2084,2179,6276,3112,524,609
360587,80320,316,120,580,457,343590,102323,207,166,478,380,53,618
494991,65961,29,55,271,320,472543,83807,25,69,232,93,57,619
908355,98568,140,68,525,470,890447,124684,135,56,421,556,63,628
146521,18533,24,0,81,107,95096,16503,38,50,78,37,54,629
445795,108102,16,0,100,471,315371,102179,58,12,180,191,72,636
474962,15023,14,137,5,190,158483,6942,81,103,117,7,126,671
631507,281308,34,95,50,192,447683,227336,38,113,65,31,79,672
610282,741555,1138,1354,4830,486,542985,930104,1018,1073,3608,577,61,680
160644,86910,7,5,19,516,96299,63262,44,63,75,311,59,680
137693,120492,356,308,1001,892,102458,132799,347,228,778,692,48,681
104859,4370,47,57,107,317,81860,6311,39,68,0,54,39,681
224199,325168,57,22,0,347,150334,211769,42,83,92,199,65,686
442520,354254,108,86,278,188,213416,182543,60,45,212,69,83,687
205190,386728,23,96,127,140,92517,312455,23,82,181,25,89,688
153824,49856,54,21,34,269,117287,50188,53,30,134,76,51,689
278857,229851,38,25,131,342,162563,197381,38,69,175,142,73,692
119666,21167,39,36,0,302,96016,25167,28,62,12,71,43,694
163446,76009,22,111,259,274,141970,97630,39,108,150,76,46,694
195469,138325,326,284,2035,1159,102989,118727,248,134,1200,573,69,708
1119924,438134,76,183,0,271,689454,449484,60,141,62,57,84,708
97666,137390,1,0,102,285,92218,193286,18,2,99,12,37,712
107823,24049,27,27,4,289,92446,31886,44,80,57,16,39,714
1854251,341818,252,224,476,134,1411579,352570,246,151,305,141,83,717
