"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
131816,49291,508,455,1650,918,98954,49396,350,370,1597,1041,47,139
95018,25097,33,82,34,293,83261,31977,22,126,99,138,38,139
636381,829369,3305,2741,10659,4458,439790,789975,1834,1465,6227,2045,86,139
96365,43937,171,280,980,1001,85712,53392,133,197,903,738,38,139
533517,53315,146,68,532,1667,532573,69069,109,53,465,1342,57,139
508998,434980,1473,1119,5893,3295,227929,184518,345,332,1946,1772,147,139
593439,46843,119,90,243,443,596358,64445,70,63,199,163,58,139
798728,63586,114,130,224,514,798813,82239,105,98,221,231,61,139
358557,236268,59,92,877,491,334972,304858,67,78,820,418,53,139
212878,156774,517,457,1958,224,117529,153982,320,243,1035,362,70,139
369948,63216,155,198,334,397,286014,74530,105,158,393,315,59,139
116920,65270,480,457,1502,1089,83963,76671,370,298,1249,857,46,139
624415,51473,79,142,477,500,623052,67147,94,138,375,525,59,140
175359,140748,463,455,1656,722,124457,139669,413,258,1257,391,56,140
328361,150837,528,300,1456,1170,305231,188518,463,313,974,916,54,140
111553,61015,383,197,1273,587,89877,78567,253,147,1061,233,42,140
234709,168017,304,122,356,292,224598,221151,276,72,440,222,48,141
840259,98199,80,48,183,845,829921,126157,63,54,171,749,62,141
258171,116264,481,396,2269,2156,194082,111504,300,183,1708,1181,62,141
145511,12640,0,127,196,317,137627,17088,19,92,209,148,42,141
336614,174912,1062,649,1467,1367,268218,183172,805,462,1026,1033,61,141
615865,884112,1616,1156,3748,3177,509000,941498,1104,748,2763,1888,70,141
198362,37185,159,122,488,414,187396,47663,222,110,435,254,46,141
1360478,216687,170,162,174,750,1309925,273763,179,127,216,834,67,142
102201,51316,195,298,1081,1545,83690,56578,160,217,721,783,39,142
94955,30349,141,118,679,338,81615,42028,137,152,671,283,38,142
654662,65208,108,56,429,436,663127,85071,112,47,332,342,58,142
404377,822348,1304,737,3038,717,309055,1006216,1168,494,2412,951,66,142
434207,477528,972,730,2297,1226,326402,252715,394,326,1386,966,81,142
497489,41026,43,146,348,263,498289,52642,62,180,333,87,56,142
115115,41574,90,78,225,268,106558,55931,93,118,257,195,39,142
302185,96896,613,636,3058,4446,216368,96633,468,363,2307,2373,66,142
527773,277247,1599,1376,4060,2793,372619,311910,1283,886,2724,2161,67,143
834502,421492,2611,2148,8558,2814,507514,270958,1168,1000,4169,1711,94,143
815152,691124,1419,751,2315,1115,594410,731461,1183,556,1985,1202,76,144
146536,198478,330,237,1115,661,119271,161757,229,151,808,291,44,144
254343,167264,722,613,2610,507,128563,122656,409,276,1660,725,78,144
804580,116499,324,275,1038,745,768747,117512,266,215,892,405,71,144
88223,7487,78,42,269,229,86984,9974,135,27,327,54,35,145
746942,84245,38,120,152,584,755301,111829,78,125,292,386,59,145
302708,51897,475,341,2599,6196,270326,59342,377,220,2575,5531,55,145
928773,802725,1993,1209,3716,0,773381,936456,1673,1121,3340,624,67,145
88290,12287,140,88,168,348,82254,16911,130,85,168,283,35,145
371206,39870,73,53,189,688,359312,51639,96,21,317,499,53,145
176959,180624,273,188,936,225,158196,235792,313,206,759,133,46,145
586820,302317,1236,949,5718,9330,429236,299780,828,613,3928,6640,74,146
157702,73801,223,138,867,391,123326,82154,145,124,835,230,50,146
108809,194617,264,183,734,887,89814,163162,196,127,486,330,40,146
214446,119011,344,352,1347,1464,98609,55430,154,154,461,309,72,146
1229262,1556626,1942,1616,6281,1695,1032264,1902522,1285,1223,4061,2001,75,146
198516,140536,325,262,710,578,170091,180834,224,317,640,425,50,146
816822,55018,149,82,343,545,822206,71210,125,89,234,389,61,146
202003,81461,439,360,1254,519,164467,72897,304,245,1180,380,49,147
550081,63855,65,116,559,314,550606,86320,82,79,629,93,56,147
237115,233486,1466,1162,4869,1470,93425,124876,481,407,2127,962,107,147
