"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
1351752,963007,1751,1183,5061,4006,952647,892495,1245,765,2895,3705,89,142
184281,115307,78,102,272,580,171055,151402,125,118,488,234,46,142
506588,67633,169,239,287,372,497557,84676,192,190,272,208,57,142
174597,44663,220,85,1003,1551,152608,55540,147,85,934,1000,47,142
195099,526680,130,175,747,381,186571,700043,141,156,604,423,46,142
994592,154547,271,269,7247,22094,902450,183304,269,316,5479,19637,65,143
925782,138417,301,235,2737,6541,896765,174385,207,179,3360,8870,62,143
293426,167318,501,439,2810,2363,245781,198165,369,504,2114,2102,55,143
1083406,2884251,2212,1480,6285,5557,862845,3648306,1837,1065,5350,3512,70,143
251281,170817,273,234,673,97,231778,221699,258,166,581,251,50,145
84220,4364,70,45,313,426,84234,5094,66,72,161,231,33,145
113138,67168,256,288,1855,2297,87674,78583,220,241,1650,1966,44,145
1237253,665847,1588,1365,8266,9191,841073,622141,1080,792,5323,7237,79,145
449648,1694258,75,41,110,295,278223,1664648,54,54,159,122,76,146
89233,52010,61,113,101,448,82068,67697,87,89,157,311,35,146
142118,10291,16,62,26,429,137101,13046,48,60,105,377,42,146
420248,59373,490,266,914,1091,378175,68536,492,184,850,820,58,146
122699,9348,138,66,205,287,115321,12277,152,55,348,225,40,146
122574,12626,21,72,18,199,109331,15923,42,57,57,36,42,146
110827,21386,36,116,353,253,107353,27983,35,66,279,64,37,147
190791,47693,166,137,924,1004,175061,61230,171,99,879,710,47,147
479474,42301,112,141,711,1736,474247,56439,96,107,848,1307,55,147
133041,137671,275,174,1504,956,109646,175251,195,153,1123,979,46,148
1063976,9943254,2139,1584,6719,4281,783825,12099000,1405,981,4993,2674,77,148
2666764,6441598,8961,6655,29451,9236,1378390,6252506,5146,3999,17917,9042,101,148
207052,30323,61,113,476,1394,194908,39786,70,80,457,1598,47,148
153862,38314,434,329,4115,7941,127925,44149,357,251,3216,6642,49,148
125473,52763,128,116,430,500,105843,68009,97,75,454,297,43,148
123145,14607,110,107,271,652,118251,19618,71,84,393,360,39,149
2396186,9889834,11527,7940,32753,7549,1602713,8070768,6974,4582,20665,6979,95,149
270198,227544,317,255,712,922,255693,297413,350,245,830,700,50,149
191548,205999,12,0,72,175,149048,212425,19,30,107,1,54,150
300145,12543,164,149,1107,2244,283568,15807,156,142,743,2422,52,151
914784,416279,1924,1683,11455,13102,442779,290992,1128,950,6202,6592,135,151
499150,28603,104,201,1223,2829,494017,35925,78,92,1022,2900,56,152
317125,220884,1009,762,5630,7092,159894,154605,467,258,2696,3034,102,152
1037800,3951592,987,622,3011,1299,839584,4435657,693,552,3042,964,70,152
265092,87830,260,424,1558,1778,190175,104122,303,294,2054,991,59,153
200854,166567,578,583,3108,2609,132276,114407,320,349,1717,1019,57,153
277277,96260,36,0,192,2075,258332,126986,55,6,233,1407,51,153
568677,41818,95,72,874,3796,567075,54147,72,82,996,3252,57,153
