"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
289223,13952,43,171,737,471,283399,18590,44,117,683,364,51,154
605559,128304,233,228,1352,2226,494587,146540,145,181,1055,1423,64,156
1026216,187201,206,214,1743,2293,997970,232205,176,199,1599,2302,64,156
502346,75586,99,50,541,294,500184,99587,112,82,434,220,56,156
106648,33697,64,84,586,250,102522,44508,41,57,612,294,38,156
91951,8356,39,55,12,345,87385,11795,45,50,160,164,35,157
227119,161486,130,183,791,255,143102,140880,123,133,601,245,62,159
224601,10633,9,28,43,365,184286,12600,18,73,153,116,52,159
327789,118681,91,242,1470,244,243325,132142,104,198,1108,188,63,159
462567,103497,71,317,1904,688,335305,109754,107,205,1440,569,67,160
94322,31568,57,27,250,515,86350,42633,41,58,347,221,36,160
495571,73709,67,53,806,856,495381,97781,77,60,857,275,56,161
432721,96619,58,138,1281,276,404146,117917,67,133,1013,281,57,162
517602,62281,129,122,320,333,513789,82607,105,69,449,159,56,163
155458,54000,143,115,845,579,134916,70247,147,123,810,404,46,166
1773373,1352416,819,1053,8441,5335,841587,1142244,340,493,3645,2772,113,168
413927,140820,524,380,2275,967,233660,74812,197,142,1014,504,117,168
2232454,1215824,1235,1352,13191,12675,1022239,864848,473,449,5542,7172,135,168
135043,9808,104,125,656,364,129436,13406,149,95,599,222,41,168
1041709,201239,382,480,4050,841,805698,227923,356,364,3577,1014,72,169
2205477,922444,408,590,4311,1713,1965263,1023376,421,341,3237,1061,78,170
170780,13752,54,116,526,264,162194,17847,61,100,467,223,44,170
99250,43178,94,79,410,267,86637,56333,74,83,447,85,39,171
285490,39664,63,38,750,2266,270139,50797,51,44,953,1814,50,171
130455,103307,71,69,243,238,121947,127916,98,22,318,81,42,171
112364,21642,64,53,241,319,101404,27571,43,86,211,68,39,171
136715,46837,290,218,898,397,126305,60782,285,185,882,184,42,171
317111,233238,259,474,2989,1238,90860,89302,105,124,1006,765,130,172
552883,205357,369,329,3243,165,273350,77444,149,120,992,481,119,172
113913,15539,72,85,656,79,104517,19356,79,119,597,184,40,173
113665,14786,47,46,135,156,107023,18582,52,55,185,115,39,173
710818,545907,137,200,2289,697,360889,332194,93,159,1456,377,142,174
165153,184167,113,222,960,5,126433,233202,116,139,782,210,52,174
88558,23189,96,66,514,379,84116,29798,75,43,469,70,35,174
