"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
221188,7425,4,89,0,268,89515,4380,45,67,8,11,81,175
259937,49283,0,111,115,251,192429,43332,20,99,136,16,62,178
713913,149152,965,917,2923,335,574606,155303,703,602,1776,416,71,181
630083,400956,0,90,0,252,129604,144790,35,61,153,246,192,182
525737,212094,1140,944,3707,957,424081,191342,662,580,3074,984,73,183
233974,360309,434,462,1326,389,139893,335015,300,265,858,302,71,184
488668,52164,68,142,378,367,479354,66148,70,80,249,305,56,185
368104,28561,154,68,231,203,357834,37438,137,66,206,213,53,186
138004,65385,240,220,740,265,111559,75823,175,185,624,253,45,190
514935,10100,0,130,0,227,278164,6680,40,105,69,66,93,191
444160,492960,57,100,23,346,345055,543827,63,108,32,149,65,191
225997,186852,773,672,2392,708,163983,77282,309,295,1087,410,55,192
167128,163644,332,442,1600,565,94056,61895,193,221,539,580,44,193
129380,83278,109,25,58,393,111792,106651,81,32,67,170,43,194
1336794,1125933,4024,3490,14704,1733,447334,426453,981,683,3631,1009,245,197
124038,5970,42,47,0,352,119317,8298,46,42,0,51,41,202
165027,34817,77,0,209,274,120891,33812,94,36,156,13,54,202
121190,52496,229,135,490,350,104610,64142,210,120,414,360,42,202
237757,6483,0,21,0,324,219291,8771,22,69,56,143,53,202
82159,20808,0,57,137,330,82991,29375,11,93,90,175,33,204
605879,77156,109,187,439,215,601701,99306,98,96,403,40,58,204
839113,346273,1055,877,3123,1029,539529,204878,433,336,1279,731,99,206
224822,87864,271,144,349,556,216564,114144,247,172,327,526,47,209
599065,90039,98,175,527,370,599656,120037,62,91,478,248,58,210
743086,64294,104,166,225,438,743027,82112,118,126,261,301,60,212
1262966,633034,1822,1665,5582,1430,771731,460279,942,790,3321,880,110,213
90578,5558,37,68,136,233,90525,5896,59,55,170,0,34,214
740886,175636,217,131,328,287,584070,206446,167,100,292,117,66,216
253141,271300,635,379,1349,592,181733,301207,329,265,1200,435,63,216
224345,18775,80,86,80,429,218167,26201,77,103,39,414,47,218
440928,66789,61,61,508,413,423273,84782,80,99,395,191,56,222
659964,63846,124,45,312,518,661909,87762,94,91,255,190,58,222
262910,219802,13,107,67,506,159716,176562,73,90,152,394,70,223
205412,91300,493,448,1404,711,177911,101946,307,355,1171,501,50,223
156358,45869,213,208,1164,324,129119,55729,185,154,991,149,46,225
149669,54507,299,289,1008,527,123610,60556,226,225,1199,324,49,225
119965,76967,319,295,881,527,89300,90815,308,288,971,401,46,228
174075,110796,260,319,789,461,133398,130183,260,219,563,461,52,233
122854,35841,305,226,416,419,108217,44267,231,193,615,270,42,238
158753,8113,29,0,89,257,113884,9546,36,2,57,0,52,239
596298,56397,103,125,284,477,575438,71189,135,101,244,299,59,240
130318,75186,447,273,404,669,116960,90780,376,295,498,363,42,244
451588,59013,61,163,613,380,438944,74851,67,90,574,151,56,244
263761,42033,115,81,96,129,249048,49806,82,75,150,61,51,244
178220,139831,210,201,543,503,138260,173003,213,207,733,502,50,246
101946,19076,173,139,395,172,87059,24095,202,142,356,136,39,250
682689,120312,333,322,1425,607,598280,111172,205,197,1185,773,67,255
677242,59957,58,18,242,533,662117,77566,61,71,311,341,60,255
113772,117293,224,122,821,720,84441,126721,164,124,864,507,46,256
477724,187197,575,321,2111,22,413796,224183,402,341,1819,56,59,256
173310,183332,246,231,768,242,156367,243113,249,232,864,331,45,256
327637,36377,37,33,86,341,325961,49141,33,61,66,98,51,257
273065,23644,51,58,155,305,185051,19481,44,48,225,142,67,259
759173,117735,144,185,456,329,601180,136350,177,189,324,263,67,259
178610,28621,134,130,643,317,165122,36026,194,165,570,327,46,260
627089,71485,134,80,446,140,611284,91905,109,60,382,95,59,262
233131,149155,219,177,821,323,194197,177441,191,201,746,433,52,265
128712,13323,66,120,208,241,125133,18358,91,88,149,0,40,267
570459,2297985,2071,1595,6949,2028,428580,2630012,1732,1142,5421,1447,64,268
174930,62632,287,194,587,134,158890,81469,291,123,587,155,45,270
126499,71337,483,270,1595,332,83812,73207,361,226,1129,344,48,272
404573,44704,122,55,137,568,391383,55582,88,102,143,297,55,274
184614,34061,133,152,174,330,174213,46245,121,146,261,145,46,275
142632,93777,389,398,1071,125,108003,115585,337,289,784,238,48,277
215180,104287,564,625,2333,849,157506,92240,333,343,1528,855,54,278
462556,29786,68,81,255,421,434179,36558,105,47,313,205,57,279
378190,1004708,1956,1188,1584,480,234456,867114,1019,721,1238,514,77,283
303771,46244,212,186,365,0,291202,57755,205,143,311,0,52,283
160660,219744,787,715,3093,876,91784,147741,286,306,1366,585,47,284
105276,76767,159,195,398,550,91020,96117,127,121,457,436,39,285
580539,68112,98,88,430,208,566612,86967,81,128,269,91,59,285
613143,59252,84,66,289,382,598106,77907,66,96,217,364,59,286
