"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
225065,25329,34,92,504,588,192385,31339,110,102,484,556,50,152
150927,18943,84,125,353,269,135268,23032,64,87,274,115,44,152
619226,59852,37,78,380,480,618307,76913,33,56,464,519,58,153
397363,26584,21,65,193,389,390946,35462,71,81,185,269,54,153
212362,66027,160,134,0,296,107757,39830,115,81,95,144,70,153
108983,120219,27,68,88,184,95776,84168,22,61,129,16,38,153
223462,340079,990,845,3801,895,163071,291541,619,477,2698,563,66,153
722700,66421,34,0,245,519,719540,86447,51,62,278,282,60,153
134119,5362,29,43,130,266,125003,7114,33,60,140,0,42,155
558685,77853,22,102,205,422,537845,99187,45,111,205,120,58,156
1857990,78450,33,55,237,308,1688113,97159,44,86,378,95,72,156
462120,128105,158,331,1127,444,385591,144215,126,228,1274,570,60,157
446857,379238,16,0,44,246,317738,371982,24,60,165,15,71,157
376070,11069,16,23,53,276,270021,9989,69,39,104,85,70,158
150782,22764,105,208,574,301,143557,28645,97,135,501,333,43,162
134869,101061,52,151,664,491,124849,135200,39,109,730,539,41,162
192440,78143,92,189,292,587,155758,94139,80,129,320,408,52,163
195891,32297,0,42,125,272,118264,27553,36,41,200,83,63,163
545013,53073,37,66,381,453,539667,68909,77,67,474,235,58,164
848566,97697,95,112,387,687,828613,121369,85,91,382,483,62,165
450916,10288,62,75,198,307,371429,11687,64,132,103,122,68,165
111573,12478,63,110,377,200,99867,17319,73,81,342,66,40,165
134471,11918,0,13,22,268,91966,12164,24,37,58,35,50,166
146701,75737,233,106,842,109,111901,90554,149,93,816,228,50,166
250302,115571,19,0,190,274,100751,68764,76,75,125,171,104,166
167604,71040,152,32,610,329,155600,94112,205,48,641,218,44,166
225631,30277,188,294,554,725,205298,39147,192,288,545,427,48,168
237716,17271,87,12,151,435,230577,24844,110,57,276,179,49,171
687411,791499,1153,1073,3376,1377,525695,799287,772,783,2263,1255,71,171
260438,336541,61,101,185,400,107295,248265,60,128,198,154,92,171
154220,5941,11,117,0,441,98913,6910,17,73,0,253,56,174
205689,19982,79,125,162,448,195740,24061,80,196,188,235,47,175
195057,192950,399,289,2193,164,134687,215455,333,284,2227,284,57,175
459391,12601,9,41,0,346,362675,11918,68,54,50,177,69,178
113628,103739,83,0,0,264,80476,100815,36,75,98,0,45,179
469927,387232,61,68,40,245,301890,308691,38,79,45,18,78,179
688739,2660904,208,236,370,337,244610,1311063,121,128,221,195,131,180
262438,34016,95,191,607,429,252607,44112,104,253,581,195,50,180
214025,6935,38,136,0,336,111326,4672,63,61,63,154,68,181
125666,15346,43,95,26,207,84130,9262,42,75,58,17,46,182
110636,40436,90,151,435,275,100940,53450,98,131,345,161,39,183
302153,14121,0,41,34,314,228982,14084,0,28,34,118,62,183
222964,23982,53,0,2,292,164662,17507,40,28,52,137,59,185
178235,390917,19,67,0,287,101481,113115,26,87,19,96,56,185
494433,302241,1403,899,1607,1072,493889,401002,1085,765,1789,788,56,185
103603,53511,191,146,606,633,89140,59834,178,122,557,304,40,186
209311,180084,588,502,735,701,148894,207517,469,434,694,417,56,186
749598,157466,326,283,1057,891,588622,150410,233,156,545,524,73,186
575610,51393,71,40,166,258,569510,66612,58,65,262,55,58,189
592263,60668,144,94,429,344,596206,81151,92,80,315,206,58,191
750177,73465,76,149,498,344,744428,94372,98,112,569,153,61,192
1363654,233537,235,207,1477,353,1310656,272165,230,141,1373,336,68,195
457827,27617,172,84,442,272,447412,34958,207,55,428,69,55,196
677539,45859,109,102,597,257,659587,59057,95,120,310,160,60,197
220793,381200,3,55,238,370,86122,264369,56,112,269,111,97,197
188275,28829,94,117,236,616,172972,37095,111,111,242,284,46,199
92125,18132,48,114,220,246,85271,24187,57,92,319,34,36,200
219684,38271,135,160,869,393,201308,50649,146,161,867,438,48,203
94344,21141,97,91,519,220,84090,27553,168,84,717,84,37,205
677324,98169,48,165,298,473,665857,126060,81,104,398,421,60,206
507105,59698,67,129,203,108,481461,74958,104,73,187,105,57,207
179503,19583,43,42,22,277,172586,27245,89,81,49,24,45,210
308113,8716,38,1,179,248,214813,8197,95,18,127,13,67,210
146199,37518,107,148,758,322,98912,29460,69,66,610,319,49,212
237166,189939,346,215,1772,0,201269,232580,282,215,1437,145,52,215
102057,60124,162,224,701,167,82961,64649,131,178,420,66,41,216
544452,45882,109,163,172,305,529652,58833,96,200,214,97,58,217
297710,83707,340,364,667,434,192933,56886,253,187,486,289,77,219
419087,28936,150,47,240,513,407031,39894,105,64,348,272,55,224
714262,246002,260,333,1929,603,646178,173472,177,203,1325,388,69,225
419087,223086,585,527,2272,817,277480,202070,414,264,1251,583,74,232
1349824,102808,0,0,58,248,920473,104008,23,77,153,64,88,235
2425321,42057,89,141,142,265,1426312,29873,76,146,302,160,121,238
424585,378561,209,285,863,544,370593,466018,194,206,627,432,59,240
367269,216329,468,512,2726,301,234299,110593,203,260,1039,469,89,241
184648,221204,47,57,123,341,116914,184099,46,69,118,153,60,245
236126,37777,92,97,268,232,223518,49801,132,101,218,77,48,245
148038,33617,48,0,57,356,107955,21583,87,25,9,28,46,246
436465,79731,229,114,807,376,405039,98454,205,78,616,174,57,247
141885,88850,241,234,734,402,123593,82882,120,201,747,321,43,248
1098523,1268647,3008,2837,9642,816,752888,1185103,1688,2002,6741,948,89,248
537892,36823,102,175,241,311,519513,46649,72,114,282,153,57,249
682450,613427,482,366,2783,111,575911,743290,328,253,2641,276,64,249
130917,21737,42,51,205,283,125298,29833,30,76,123,216,40,250
149697,32282,140,236,493,370,134698,39008,141,266,638,275,43,258
382320,42453,58,85,406,424,371140,56585,88,106,430,212,54,260
310761,23429,67,0,68,300,190066,18026,114,47,100,73,73,267
216697,173231,297,282,1304,626,148731,126742,227,223,899,803,54,268
170568,8637,24,90,80,275,100885,7478,46,67,74,60,62,270
2852715,8583856,140,75,331,248,1039491,6883237,73,97,467,150,144,272
1974655,2587190,226,136,681,377,534453,963436,106,88,341,212,225,272
125383,36668,96,146,256,533,110219,46711,80,112,527,191,42,274
151508,57595,84,131,292,175,135545,74595,107,92,235,151,43,276
104267,18842,83,33,191,314,96294,23911,121,109,284,39,37,282
242440,459350,241,342,582,120,102054,251394,82,131,324,259,89,285
192538,626,0,22,0,259,93946,1987,29,21,41,45,73,285
639001,68441,37,94,388,175,631464,89841,54,92,308,169,59,286
205840,1645,29,51,159,250,150715,2130,55,78,220,25,54,288
331109,13556,16,0,112,307,196868,12481,53,57,180,108,78,290
1208829,76901,198,106,513,921,1097407,91334,145,130,550,485,71,291
531319,1026633,1134,1056,3007,1025,410093,1233189,932,885,2377,683,64,291
212372,25214,130,188,85,396,194755,32728,85,173,170,344,48,292
90355,46816,114,120,662,152,83879,58277,118,99,621,5,35,293
334795,180491,9,77,116,227,225688,160359,39,62,112,35,71,294
235808,334107,375,233,745,787,153177,200081,254,160,597,270,72,295
416758,301193,771,705,5327,246,300961,243195,515,411,3780,412,67,295
261142,2323,21,0,8,306,191637,4037,45,53,93,34,57,296
147382,108866,165,269,576,656,94395,64796,99,123,297,275,60,296
466507,43699,21,0,231,299,454270,55530,39,60,240,96,56,297
128809,30424,9,69,120,229,114982,38132,19,99,135,28,42,297
418811,548385,502,583,2631,818,358800,675727,369,486,1999,666,58,299
119426,30823,87,141,775,333,108334,39054,72,86,841,144,41,300
101146,23173,129,62,218,354,93646,30158,128,81,301,233,37,300
89122,45183,72,155,303,334,81110,57936,70,133,234,458,36,301
101782,25920,155,106,605,254,85344,29750,134,114,743,253,40,304
544549,839666,1230,1390,4810,532,381597,925859,882,867,3616,486,68,305
179766,98729,78,143,134,223,125052,91191,39,74,85,8,56,307
167176,16949,128,127,123,294,157082,23599,144,97,112,90,44,310
103188,41187,83,105,362,350,94078,54752,70,87,212,317,38,310
283249,153741,483,429,1493,126,172443,162492,331,306,1143,472,66,310
215547,77613,160,288,653,768,205438,101761,152,270,763,717,48,310
308920,24193,38,96,110,442,304963,31123,79,57,171,227,51,312
727087,1161723,88,125,206,259,556356,1314182,51,95,112,29,85,312
174721,111907,51,112,130,358,108350,104952,69,90,85,54,62,312
705139,116803,87,143,418,288,693926,152220,84,164,499,68,60,312
106421,7532,0,96,65,228,86808,8371,43,106,85,0,42,313
174473,65186,216,183,620,167,139984,73032,172,117,462,111,49,313
483997,68498,119,51,470,208,454271,87004,121,66,346,139,57,314
656615,70604,104,99,509,470,653719,90398,49,98,575,270,59,315
353545,339314,43,66,136,250,234520,315424,43,102,195,22,70,319
239074,27770,79,102,621,403,222221,37250,90,123,597,176,50,320
173174,17184,138,0,322,198,155262,22455,92,61,246,18,45,321
161407,44243,143,136,649,369,151880,58478,179,153,725,297,44,321
1795020,4291522,5868,9759,33485,0,1245102,4475983,4203,6946,23874,2298,82,322
976493,21829,68,0,86,274,720789,19690,54,68,132,160,84,322
478433,818834,354,486,2146,844,402196,935725,233,316,1590,843,63,323
165178,22344,38,0,68,240,158082,28613,51,17,86,0,44,323
4600022,16777215,4451,3391,6139,4127,2164149,16673191,2274,1550,3540,2373,120,327
725571,56800,61,116,275,386,715126,70997,58,114,223,219,61,328
84966,14111,89,96,87,302,80525,19325,55,89,131,49,34,328
98976,15930,88,38,158,246,84305,19827,64,41,192,60,39,330
319125,379895,27,81,28,333,114683,216201,47,68,135,176,115,330
94222,60460,211,116,693,0,83635,63182,122,234,746,264,36,331
217112,144360,162,232,830,287,199472,180390,129,152,697,480,47,331
159705,202657,0,20,0,242,80381,138532,39,115,56,51,71,333
483411,173829,750,587,3100,636,368592,170122,490,431,2102,625,70,334
220336,106153,294,292,1293,361,174879,130665,264,183,1384,582,53,334
481779,153895,350,209,1160,780,373977,186535,351,227,1327,765,61,335
95607,73289,168,124,261,188,80088,91413,147,107,304,414,39,335
105246,123272,245,254,744,211,88852,158582,176,253,685,98,41,337
152572,9896,73,81,105,403,143599,12792,71,30,92,183,42,337
140075,213023,108,198,674,350,129333,278649,80,143,592,174,43,337
87496,5544,67,50,0,379,81770,9911,67,66,16,137,34,338
1430476,721255,0,0,236,277,830944,633561,18,31,269,49,107,339
180508,91900,246,289,1115,638,127588,82254,181,154,746,658,61,339
152784,67120,289,249,1694,603,103628,73804,290,186,1635,612,52,339
450142,952285,7,135,0,273,308940,875353,25,66,36,27,75,342
181030,38946,122,350,757,603,175615,51814,111,306,706,373,44,343
133719,15403,67,163,162,229,123010,21049,75,147,208,17,42,343
231445,111292,423,367,1893,622,179893,128818,356,280,1609,853,55,344
787601,487153,14920,7925,13603,1603,699105,580312,12518,6398,10943,1366,65,345
193189,200616,169,252,865,156,166403,248110,158,220,800,0,48,346
