"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
201148,140723,0,35,367,231,105871,89024,5,102,184,81,74,189
273191,7073,57,0,214,435,259450,9741,55,31,204,245,51,190
2354766,614310,17863,10428,19754,2827,1637679,634642,12584,7355,13478,2889,85,195
346298,181238,355,244,711,444,334382,232639,261,215,924,252,53,196
122500,19706,31,0,111,240,113233,26398,37,13,129,38,40,198
172102,49038,0,124,145,239,104716,43858,25,70,77,55,64,198
370357,1485502,60,0,47,272,207446,839281,56,54,66,42,78,199
163858,6554,60,82,0,254,95505,5102,61,50,97,42,60,203
138077,29638,22,13,157,339,110574,35075,47,68,170,130,46,208
187731,244927,24,0,122,222,131822,231690,37,26,183,0,57,209
1173621,363361,0,116,126,287,502138,216692,93,85,120,176,212,212
1027719,12105,45,119,0,242,270566,6273,44,68,93,50,185,212
130962,67661,6,0,80,363,90882,65741,7,38,128,137,51,214
247479,34376,56,111,42,245,174465,26821,37,74,67,51,62,215
110067,23580,67,39,83,242,92365,28524,57,42,90,73,42,216
237633,104034,50,0,132,313,126147,81841,86,60,141,128,74,217
148101,193056,127,84,153,468,81958,120548,81,98,98,235,60,219
464012,161677,19,92,94,286,313029,128677,49,62,157,93,83,220
268534,107978,22,162,255,358,114528,62461,48,178,167,152,90,220
129413,40810,8,47,70,223,117070,49776,23,82,63,2,42,222
329948,1568282,202,196,243,416,87471,359872,65,126,176,280,121,224
546051,3851475,228,0,554,563,105367,1307480,109,84,256,204,247,224
242861,86657,2,77,27,287,199835,87576,20,128,150,52,56,226
259719,12161,30,25,29,255,206452,12701,45,39,63,25,56,229
87807,60413,0,36,47,326,81529,59099,12,46,138,192,34,233
247819,21610,15,78,53,247,227559,25791,40,80,110,56,51,234
174353,92557,54,63,0,295,100772,40062,55,107,50,160,62,234
1479669,119062,128,86,272,550,1304572,133822,106,106,236,182,69,234
216101,589403,272,138,194,425,145366,576585,228,107,429,203,60,235
197202,10469,0,51,265,310,161555,10402,5,75,247,41,53,237
800578,285676,5294,5193,12049,35,738150,352487,4688,4443,10445,576,63,239
165794,28905,47,66,141,194,149831,35679,27,71,62,33,46,240
342098,278759,18,120,110,378,81612,103487,54,74,112,170,153,244
109325,58660,81,95,278,323,98623,79175,83,67,221,185,39,254
174276,127398,0,22,22,286,125362,125729,29,49,100,69,55,255
270043,159325,60,151,0,283,118052,69023,73,86,77,94,108,256
186910,144234,15,20,234,225,81639,80997,57,37,242,4,81,258
