"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
301240,204420,12,25,61,214,306900,277658,45,38,80,24,50,160
153930,141800,2188,1294,1628,480,152293,198772,2076,1111,1477,661,42,161
472573,60297,4,127,216,600,428268,67601,28,76,198,340,58,161
194824,80517,29,56,33,270,105053,55046,19,70,65,29,68,162
1799804,438201,99,113,146,330,1375316,379869,101,103,285,193,89,162
207594,41402,66,66,94,301,201093,47405,73,70,175,167,46,165
418261,62474,29,0,67,257,412017,72389,34,29,139,43,55,166
139463,27619,22,53,2,265,124881,34849,34,94,23,20,44,166
119596,18996,429,319,649,278,115290,25382,478,286,481,322,39,167
184872,114994,22,0,35,237,154009,80191,26,37,102,90,48,167
190553,110529,30,23,131,235,129874,105666,33,58,255,18,57,168
191569,23385,403,282,660,151,181765,29649,427,223,783,115,46,168
93167,21433,20,4,129,276,81694,26844,19,30,249,56,37,169
297441,244415,27,17,210,165,149660,143163,68,48,349,20,75,171
350995,413815,0,259,413,358,100634,108949,42,107,189,225,137,171
246799,257008,23,96,156,640,88360,39624,42,115,25,449,55,171
1081551,592109,174,25,241,481,855654,589295,128,100,194,434,74,171
129135,39021,33,50,8,362,116359,46092,49,37,50,210,42,171
229708,258828,721,479,1679,416,221377,340235,587,364,1737,456,48,172
160491,209908,0,102,99,247,82432,80216,59,80,126,43,42,175
451128,48720,182,84,156,269,412233,62692,144,79,271,46,57,176
196777,39695,2,74,11,295,154955,47502,37,72,82,87,51,177
1091971,2288413,472,313,593,1169,588436,1750154,215,158,328,710,116,177
132289,19945,0,3,3,263,125027,25623,11,47,53,19,41,180
2774652,866903,22,193,174,187,1396119,450172,47,121,190,113,141,183
85857,51565,23,71,32,356,83022,49407,33,88,9,210,36,184
224096,14019,74,0,154,350,121179,9206,53,48,208,101,72,185
274807,180272,41,64,158,295,188031,161037,58,59,130,52,66,185
1055287,38232,32,0,186,224,895823,41200,26,93,362,0,73,188
241130,229103,23,73,105,174,244446,295254,44,91,102,0,48,189
134639,135376,32,14,86,343,112752,82457,25,34,171,175,39,189
243646,35861,19,65,62,324,209445,44366,21,127,96,131,51,189
199740,184015,6,55,0,270,96229,114867,31,92,80,109,84,190
908174,35308,6,17,0,227,808640,40758,30,104,0,54,67,191
134667,39990,18,51,140,328,89677,41639,44,79,142,234,53,192
315159,620292,59,45,245,338,269702,773254,48,106,128,144,56,192
163765,283870,0,147,52,348,145022,362028,4,109,45,175,46,193
95579,15912,0,22,122,329,87786,23059,36,28,255,62,37,195
742924,453033,45,18,101,416,683433,532008,55,52,78,211,64,196
423283,658809,148,134,52,545,169708,373179,80,113,189,310,106,197
151167,91357,0,23,118,292,99534,92313,21,33,134,50,57,198
1816946,97632,129,54,105,313,1651682,107810,102,35,113,208,74,199
185538,103348,60,96,88,162,107667,78928,26,70,156,13,59,199
1559445,267053,3749,2207,2262,1156,1473681,320811,3335,1964,1802,778,69,204
175396,146953,56,21,75,255,162503,172453,74,30,55,2,46,205
273899,347965,12,0,192,281,124298,225164,39,84,213,49,97,205
2573703,917278,246,263,277,309,1072609,605423,173,136,204,227,154,206
1523916,265781,108,219,421,480,1364665,328155,116,150,357,331,71,208
233274,198131,83,18,156,276,85447,102349,64,32,232,23,96,215
1370763,82815,0,113,140,312,406046,29619,33,63,261,107,184,220
299500,102707,0,42,0,293,114460,47655,43,93,90,141,119,222
215774,54656,66,103,21,212,204740,67909,38,76,42,18,48,223
